userid,key,value,boardSize,condition,boardType,time
fff22850,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194545789
fff22850,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194553073
fff22850,clickPos_practice,3_1_1,6,full,easy,1558194553074
fff22850,timeQuiz,200536,6,full,easy,1558194557177
fff22850,quiz1,2,6,full,easy,1558194557182
fff22850,quiz2,2,6,full,easy,1558194557186
fff22850,quiz3,3,6,full,easy,1558194557187
fff22850,quiz4,c1,6,full,easy,1558194557190
fff22850,quiz5,b4,6,full,easy,1558194557196
fff22850,quiz6,b3,6,full,easy,1558194557198
fff22850,quiz6v,0,6,full,easy,1558194557203
fff22850,passedQuiz,TRUE,6,full,easy,1558194557208
fff22850,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1558194557211
fff22850,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194557223
fff22850,start,"[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,full,easy,1558194557253
9ad23291,new_user,9ad23291,6,full,easy,1558196881362
9ad23291,experimentalCondition,6_full_easy,6,full,easy,1558196881364
9ad23291,boardSize,6,6,full,easy,1558196881365
9ad23291,difficulty,easy,6,full,easy,1558196881366
9ad23291,condition,full,6,full,easy,1558196881366
9ad23291,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,0,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,0],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:4,winPath:[[[3,5],[1,5],[2,5],[4,5]],[[1,5],[3,5],[2,5],[4,5]]],losePath:[[[0,2],[1,4],[0,5]],[[1,4],[0,2],[0,5]]],winMove:[f3,F3,3F,3F,f5,F5,5F,5F]}",6,full,easy,1558196881367
9ad23291,gender,male,6,full,easy,1558196920570
9ad23291,education,2,6,full,easy,1558196920571
9ad23291,age,48,6,full,easy,1558196920572
9ad23291,timeInstructions,41567,6,full,easy,1558196962139
9ad23291,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558196962165
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197070352
9ad23291,clickPos_practice,3_1_1,6,full,easy,1558197070355
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,2,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197078885
9ad23291,clickPos_practice,2_4_2,6,full,easy,1558197078886
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,2,0],[0,1,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197084354
9ad23291,clickPos_practice,3_4_1,6,full,easy,1558197084354
9ad23291,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197086407
9ad23291,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,full,easy,1558197087648
9ad23291,clickPos_practice,3_1_1,6,full,easy,1558197087649
