,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus
52,82e14880,10,full,medium,FALSE,FALSE,515976,28059,29,0,1.56207E+12,3M0BCWMB8W30C06RCROK92XF4XEBWT,A34HWABNHGW5OX,0
53,e0b14a0b,10,full,medium,FALSE,FALSE,516014,98110,61,0,1.56207E+12,3NQL1CS15SFJAJZXW9X8VBC2IXTYVK,A34BX72ZUITSW3,0
54,56b1504d,10,pruned,medium,TRUE,FALSE,36553,6746,4,0,1.56207E+12,3UNH76FOCTC0KW5OIHWH8FTPR4HYM3,A3388HIWAKD3DV,0
55,f9c14f1b,10,full,medium,FALSE,FALSE,371439,31356,49,0,1.56207E+12,3HRMW88U17X3N193A9L8GNZ5FS90MD,AP4750DK7PU1B,0
56,f4f14f89,10,full,medium,FALSE,FALSE,44712,56650,17,0,1.56207E+12,3ERET4BTVNGQT7XDPTRLUL8UTQ39KM,A8TFVGAEEN2EC,0
57,ded14ffd,10,pruned,medium,TRUE,TRUE,147921,49456,10,3,1.56207E+12,3Z7VU45IPZO3TXT4LHF22UEOZNS1ZR,A35PLLN5TFI4KW,1
58,3ce149c2,10,full,easy,FALSE,FALSE,57248,38871,2,0,1.56207E+12,3YMU66OBIOFE6RJDXEUY9AEP5MTGHF,A1TH0PTGDSBWMO,0
59,7ca15050,10,full,easy,FALSE,FALSE,366692,7363,25,0,1.56207E+12,3TE22NPXPCJ4IZ2YN68E6W8IACY44U,A3G16WWK0QUQ80,0
60,aee1533a,10,pruned,easy,FALSE,FALSE,33456,35929,3,0,1.56207E+12,3BF51CHDTWHHVN8SJC5VOIR9Y6DH0O,ATDLGSQ11C6OF,0
61,7bd154b6,10,pruned,medium,FALSE,FALSE,98760,25264,12,0,1.56207E+12,3LKC68YZ3BAKVUV0GWT6FMXEBX9WOW,A3BUDBPUB2XP1Z,0
62,8ec154b4,10,full,hard,TRUE,FALSE,92428,52943,2,7,1.56207E+12,3KXIR214I5NUFLNBJSPQDHBKQZF42D,A3JQT0VNB572G1,0
63,83f15600,10,pruned,easy,FALSE,FALSE,38197,18095,11,0,1.56207E+12,3BV8HQ2ZZX8XZBMTFVBKGXEWYEDA6B,A3C0LPVN749UF3,0
64,26e154ac,10,full,hard,TRUE,TRUE,362673,34423,71,5,1.56207E+12,37KGEN7NJ4XCWLA0JASQCSU8S5UPP3,A3UAAA096DXGSP,1
65,2aa15594,10,pruned,medium,TRUE,TRUE,188269,24862,35,3,1.56207E+12,35GCEFQ6I6VZ307J8LTLQNTLX8I3ZZ,A2AXL9GK18UGJN,1
66,c6a15708,10,pruned,easy,FALSE,FALSE,370015,31677,41,0,1.56207E+12,3QAVNHZ3ENBFIWP02ZHM5GWTO9VLAN,A1RH3X41J9J05R,0
67,d1e15779,10,pruned,easy,TRUE,TRUE,218844,35606,34,3,1.56207E+12,3WSELTNVR49319X5B8JDR76AILBAT7,A30FBN7J2Y79TX,1
68,ceb154c1,10,pruned,hard,TRUE,TRUE,343884,30342,53,4,1.56207E+12,34MAJL3QP5UJ03JUNS3VWRGCWDF43O,A4CHLWPHZIP7Y,1
69,68e158de,6,full,easy,FALSE,FALSE,416330,63658,52,0,1.56207E+12,3URFVVM166PJ2UK2N5PMDWJLAL1UZX,A3GICG9JOLMFR8,0
70,5de15d4b,10,pruned,easy,FALSE,FALSE,41507,20123,2,0,1.56207E+12,3PJUZCGDJ7N6Y6VCG4UI4GZ3YQ8891,A1PR74OHURJNTO,0
71,22c15f64,10,pruned,medium,TRUE,TRUE,115216,53204,17,3,1.56208E+12,3DI28L7YXBL5I228PU1PHKD6BIVE1C,A1DMTTZDZD77MT,1
72,afc166b1,10,full,easy,TRUE,FALSE,66004,20611,6,3,1.56208E+12,3S06PH7KSSB0QWO8TZQ5B2VLB5H1DR,A2ZARG52ZPGMBH,0
73,f9e165cd,10,full,hard,TRUE,FALSE,275333,92382,35,6,1.56208E+12,33FBRBDW6P68W42FSO49660B4BB8CI,A3I8HU3ZCHOROC,0
74,65d16666,10,full,easy,TRUE,TRUE,478358,179467,10,14,1.56208E+12,3JZQSN0I3RHUSVS72O6Y6P2CP85FG7,A21D5QDKDO65OM,1
75,45c16f91,6,pruned,easy,TRUE,TRUE,111436,14842,26,3,1.56208E+12,33FBRBDW6P68W42FSO49660B4C78CG,A249Y8464RRI4J,1
76,9de17b3b,10,full,medium,FALSE,FALSE,537047,10242,134,0,1.56208E+12,3VNXK88KKDP49IRPOX5SWUJB9PB9VB,A2BK45LZGGWPLX,0
77,a7b181fa,6,pruned,easy,FALSE,FALSE,319774,48504,27,0,1.56208E+12,3YW4XOSQKRSM7YZUFUGUL2Z9X6B1U2,A1QLOVE2J07QO5,0
78,67b1a7f0,6,full,easy,TRUE,TRUE,90415,21025,15,4,1.56209E+12,3KKG4CDWKJ55F58A4145N4JYW7049K,A2DOIZHRZR5HHU,1
79,94a1a7e0,10,pruned,hard,TRUE,TRUE,89641,21139,18,4,1.56209E+12,3RUIQRXJBCVWEFG4ZQ6CEUC4INCLLR,A1YAHGRFVDZ4X8,1
80,38a1a872,10,full,medium,FALSE,FALSE,70328,14256,26,0,1.56209E+12,3KXIR214I5NUFLNBJSPQDHBKQ1R42T,A3BNEHTXMZB3VN,0
81,a2e1a84e,10,pruned,medium,TRUE,TRUE,206519,28020,21,3,1.56209E+12,3Z7ISHFUH12L4XDPK2OHH41WDWL8ZB,A2M3FPQF852HW4,1
82,16c1a872,10,pruned,easy,TRUE,TRUE,146326,46981,8,6,1.56209E+12,3HUTX6F6VVUYJEXT2C4ZRFHP7SQO2M,A2IDZ3JF5XPPLS,1
83,2dc1a9c9,10,pruned,hard,FALSE,FALSE,34985,22201,3,0,1.56209E+12,3WLEIWSYHPOORXB6YZ9976KOV6D2HD,A2OEK75DGI4PW2,0
84,19a1a95d,10,pruned,hard,TRUE,TRUE,173740,82461,22,8,1.56209E+12,3P1L2B7AD2W4K0J1CIM46BGYDSHLO8,A1ZN6V0PU8VVAH,1
85,58e1a94c,10,pruned,easy,TRUE,TRUE,109762,34524,12,3,1.56209E+12,3H7XDTSHKDYW3HE2SDGYADOCKDUGW9,A3APMO8WXVH1V0,1
86,1fd1a960,6,pruned,easy,FALSE,FALSE,222577,107151,37,0,1.56209E+12,34V1S5K3GT8JUSCONPXKK23CSY6697,A26VFMS3M1XWSX,0
87,2ce1ab22,10,pruned,easy,TRUE,TRUE,56287,22836,16,3,1.56209E+12,3VA45EW49OURUTFXJ84LMW7KFMCO15,A1FH1O46FOKOVA,1
88,38c1ac46,10,pruned,easy,TRUE,TRUE,193182,21922,15,3,1.5621E+12,3B837J3LDP3ULQ67OJ09CSZYG9BRS3,A2LW2GSGDM72NX,1
89,f9d1ac6a,10,pruned,medium,FALSE,FALSE,278848,118374,29,0,1.5621E+12,3X08E93BHWPWC9AQPIU80SCA2XY66W,ADAQIHMKC6NVC,0
90,55e1abb3,10,full,easy,TRUE,TRUE,495543,23333,79,4,1.5621E+12,3X1FV8S5JYYJOSEX23B2OB5YD4SGVZ,A1OZWGFBAFHPX,1
91,36c1af0c,10,full,medium,FALSE,FALSE,145992,50838,20,0,1.5621E+12,3DPNQGW4LMMIXM6C6U1T3USW66S64B,A4LCG4MSNJRUF,0
92,f6c1aeee,10,full,medium,TRUE,FALSE,149969,41775,25,4,1.5621E+12,3K2755HG5TARGBIG0Y5Q04ZFCIODFY,A27HGM9SULA4BC,0
93,e9e1b017,6,pruned,easy,TRUE,TRUE,78933,45471,25,6,1.5621E+12,3QBD8R3Z22Q8MSCG6QNNKUENR6MO4I,A2HHQU4D5Z8MQ8,1
94,72c1b0e6,10,full,hard,TRUE,TRUE,394345,50178,74,5,1.5621E+12,3KKG4CDWKJ55F58A4145N4JYW7094P,A2S3SV1LQTKJ8K,1
95,22c1b18a,10,pruned,hard,TRUE,TRUE,183950,60263,10,4,1.5621E+12,3I3WADAZ9RBQIBGGKV6XPMK1R2HO5N,AB66CTVQ90RCV,1
