,Unnamed: 0,userid,board_size,condition,board_type,solved_correct,validated_correct,time_solution,time_validation,actions_solution,actions_validation,time,AssignmentId,WorkerId,bonus,board_name
29,29,9df449da,10,pruned,hard,FALSE,FALSE,226666,27404,23,0,1.5544E+12,3H7XDTSHKDYW3HE2SDGYADNB3CXGWQ,A2SNZOY3RDSJ9A,0,10_pruned_hard
30,30,e4e447e2,10,full,medium,FALSE,FALSE,452406,96717,16,0,1.5544E+12,35H6S234SB70T5ACKZK38MX9P1E56K,A1LE6AUI3CJNIT,0,10_full_medium
31,31,97d44ac8,10,full,easy,TRUE,TRUE,377283,43243,50,4,1.5544E+12,3NC5L260MPTIK895Q7J6BYADZWBFOT,A3DS5B06ZCD3E3,0,10_full_easy
32,32,b9e44d9b,10,full,hard,FALSE,FALSE,33016,22159,11,0,1.5544E+12,3ZDAD0O1T2KFXM5YMIBRBFG729QXTQ,A1M0DNO6Y0IXGF,0,10_full_hard
33,33,b2d44cf9,10,pruned,medium,TRUE,FALSE,258012,11586,10,0,1.5544E+12,3G5W44VEU8P58HKL3ZXVM2TGG64KGG,A2HM5H49DEQ8SV,0,10_pruned_medium
34,34,e0a44f08,10,full,medium,FALSE,FALSE,102056,75890,17,0,1.5544E+12,3Z4XG4ZF49YWZ2DAJK0WKJKKOW7X83,AOTF48KUV9KWM,0,10_full_medium
35,35,99b44e42,10,pruned,easy,FALSE,FALSE,215766,36350,23,0,1.5544E+12,3TUI152ZZCUUF5SDYLWPB11JDNBQ1C,A2IJJOV2S8AYLW,0,10_pruned_easy
36,36,c3b45154,10,full,medium,FALSE,FALSE,159256,198501,10,0,1.5544E+12,3IX2EGZR7CQ1MNNH1PRVKR7A3QGJRD,A38F8U7SZ7CE1Y,0,10_full_medium
37,37,93a45177,10,pruned,medium,TRUE,TRUE,274086,126059,53,17,1.5544E+12,3OVR4I9USQQB74PWL3FR9Z8MP7S4QA,A2NLAKN6UQK125,0,10_pruned_medium
38,38,1ab458e7,10,full,easy,TRUE,FALSE,474154,75886,90,6,1.55441E+12,3O6CYIULEE8F8ZFXCI5FESO2CLWUWQ,A1G42P7S1ROOD2,0,10_full_easy
39,39,faf45b5f,10,full,hard,TRUE,TRUE,537529,84859,52,9,1.55441E+12,3U8YCDAGXQNU8G7V22SPXWI98VI0QW,ATGD9YT82E25,0,10_full_hard
40,40,8aa45fa2,6,pruned,easy,FALSE,FALSE,171591,87970,5,0,1.55441E+12,3Z7VU45IPZO3TXT4LHF22UDNIQH1Z2,A3CYHZ9BKS79E5,0,6_pruned_easy
41,41,cfc46a6f,10,pruned,easy,FALSE,FALSE,390108,151466,56,0,1.55441E+12,39U1BHVTDMY3HOYK2T434ZR3VECT39,A1I0DV4B4MFQCL,0,10_pruned_easy
42,42,6cb47215,6,pruned,easy,FALSE,FALSE,318269,17583,15,0,1.55441E+12,3P1L2B7AD2W4K0J1CIM46BFXWT1LOA,A1FTGHYEU1T71Y,0,6_pruned_easy
43,43,f9f4736c,10,pruned,easy,FALSE,FALSE,31262,22384,50,0,1.55441E+12,386PBUZZXG4QJPS4W5UZYFYBXZQLJQ,A2PT382MYCTXCU,0,10_pruned_easy
44,44,77c580bf,6,full,easy,FALSE,FALSE,111521,45816,15,0,1.55448E+12,3483FV8BEFQ8U8RP2GI5AFUX5XZ628,A2CWJRAEFZ44HU,0,6_full_easy
