userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp
61d43874,10,full,medium,FALSE,FALSE,54530,42312,8,0,1.55931E+12
bddeba5e,6,full,hard,FALSE,FALSE,7057,2327,7,0,1.56197E+12
51aebd91,6,full,easy,TRUE,TRUE,11536,5856,8,4,1.56197E+12
57aedfe7,10,full,hard,FALSE,FALSE,129266,32962,8,0,1.56198E+12
c5bee0d6,10,full,medium,FALSE,FALSE,86672,13094,15,0,1.56198E+12
6fcee175,10,pruned,easy,TRUE,TRUE,36311,22272,6,3,1.56198E+12
44eedf0e,6,full,easy,FALSE,FALSE,514471,20830,50,0,1.56198E+12
2abedf01,10,full,hard,TRUE,FALSE,498628,39433,46,4,1.56198E+12
b6bee067,6,full,easy,FALSE,FALSE,66809,33571,6,0,1.56198E+12
2ecee330,6,full,easy,TRUE,TRUE,219005,40992,24,9,1.56198E+12
43fee258,10,pruned,easy,FALSE,FALSE,557664,14732,1,0,1.56198E+12
66eee342,10,pruned,easy,TRUE,TRUE,544724,30051,134,3,1.56198E+12
64bee4d9,10,full,easy,FALSE,FALSE,219585,87689,4,0,1.56198E+12
abeedf8b,10,pruned,hard,TRUE,TRUE,99743,44500,2,5,1.56198E+12
66aee800,10,full,easy,FALSE,FALSE,95092,32037,22,0,1.56198E+12
efcee9b9,10,full,easy,TRUE,FALSE,119148,78327,17,34,1.56198E+12
71beed42,6,pruned,easy,TRUE,TRUE,195768,12725,17,3,1.56198E+12
aabeec31,10,full,hard,TRUE,FALSE,109722,180284,4,0,1.56198E+12
39eeed89,10,pruned,easy,FALSE,FALSE,247459,62241,36,0,1.56198E+12
f4beefc5,6,full,easy,TRUE,FALSE,161767,79302,12,4,1.56198E+12
83aeef63,10,pruned,easy,TRUE,TRUE,387734,30178,33,3,1.56198E+12
1feef0c1,10,pruned,easy,TRUE,TRUE,134778,27768,21,3,1.56198E+12
f5def218,6,full,easy,TRUE,TRUE,364700,74601,33,8,1.56198E+12
c7eefab1,10,full,easy,FALSE,FALSE,131538,37954,16,0,1.56198E+12
b5eefb3b,10,full,easy,FALSE,FALSE,75050,33107,10,0,1.56198E+12
abcefbdf,10,pruned,medium,FALSE,FALSE,160235,42454,4,0,1.56198E+12
fcfefd95,10,full,easy,TRUE,FALSE,124915,75400,8,3,1.56198E+12
97af0065,10,full,hard,FALSE,FALSE,55355,17949,3,0,1.56199E+12
32bf008f,6,pruned,easy,TRUE,TRUE,114646,22843,16,3,1.56199E+12
97aefe1f,10,pruned,medium,TRUE,TRUE,84772,64174,14,8,1.56199E+12
98ef1a30,10,full,medium,FALSE,FALSE,96275,39861,16,0,1.56199E+12
feef235a,10,full,easy,FALSE,FALSE,493648,33231,93,0,1.56199E+12
a0a14678,10,pruned,hard,FALSE,FALSE,134507,33074,36,0,1.56207E+12
fab14685,10,pruned,hard,TRUE,TRUE,114599,45800,8,4,1.56207E+12
b5b1466a,6,full,easy,TRUE,FALSE,311922,55204,53,4,1.56207E+12
8ec146c8,10,pruned,easy,TRUE,TRUE,167791,57030,16,4,1.56207E+12
50b147cb,10,full,medium,FALSE,FALSE,104668,71856,4,0,1.56207E+12
57f14696,10,full,easy,FALSE,FALSE,351858,42496,32,0,1.56207E+12
11a14803,10,pruned,hard,TRUE,TRUE,82890,23604,2,4,1.56207E+12
63a146c7,10,full,medium,FALSE,FALSE,230844,35704,33,0,1.56207E+12
2ae147be,6,full,easy,TRUE,FALSE,177714,49875,7,4,1.56207E+12
f3b14830,10,pruned,easy,TRUE,TRUE,145332,35805,23,3,1.56207E+12
98e146a8,10,full,hard,FALSE,FALSE,36736,12581,131,0,1.56207E+12
f5c147ff,10,full,hard,FALSE,FALSE,133401,77466,4,0,1.56207E+12
a1c14b65,10,full,easy,FALSE,FALSE,2146,21166,1,0,1.56207E+12
ffa14b05,10,pruned,medium,FALSE,FALSE,89620,5838,83,0,1.56207E+12
74b149ab,10,full,medium,FALSE,FALSE,70011,73582,5,0,1.56207E+12
8bb14a06,10,pruned,medium,FALSE,FALSE,182019,65415,6,0,1.56207E+12
45b146b0,10,full,hard,FALSE,FALSE,235968,176050,36,0,1.56207E+12
5eb14b17,10,full,medium,TRUE,FALSE,229311,45877,41,3,1.56207E+12
32e14a26,10,full,hard,FALSE,FALSE,181673,46027,30,0,1.56207E+12
dbb14c32,6,pruned,easy,FALSE,FALSE,79661,16161,8,0,1.56207E+12
82e14880,10,full,medium,FALSE,FALSE,515976,28059,29,0,1.56207E+12
e0b14a0b,10,full,medium,FALSE,FALSE,516014,98110,61,0,1.56207E+12
c4c14ee4,10,full,easy,FALSE,FALSE,116859,20022,16,0,1.56207E+12
56b1504d,10,pruned,medium,TRUE,FALSE,36553,6746,4,0,1.56207E+12
f9c14f1b,10,full,medium,FALSE,FALSE,371439,31356,49,0,1.56207E+12
f4f14f89,10,full,medium,FALSE,FALSE,44712,56650,17,0,1.56207E+12
ded14ffd,10,pruned,medium,TRUE,TRUE,147921,49456,10,3,1.56207E+12
9ab1515f,10,full,hard,FALSE,FALSE,278926,35761,47,0,1.56207E+12
3ce149c2,10,full,easy,FALSE,FALSE,57248,38871,2,0,1.56207E+12
7ca15050,10,full,easy,FALSE,FALSE,366692,7363,25,0,1.56207E+12
aee1533a,10,pruned,easy,FALSE,FALSE,33456,35929,3,0,1.56207E+12
7bd154b6,10,pruned,medium,FALSE,FALSE,98760,25264,12,0,1.56207E+12
8ec154b4,10,full,hard,TRUE,FALSE,92428,52943,2,7,1.56207E+12
83f15600,10,pruned,easy,FALSE,FALSE,38197,18095,11,0,1.56207E+12
26e154ac,10,full,hard,TRUE,TRUE,362673,34423,71,5,1.56207E+12
2aa15594,10,pruned,medium,TRUE,TRUE,188269,24862,35,3,1.56207E+12
c6a15708,10,pruned,easy,FALSE,FALSE,370015,31677,41,0,1.56207E+12
d1e15779,10,pruned,easy,TRUE,TRUE,218844,35606,34,3,1.56207E+12
ceb154c1,10,pruned,hard,TRUE,TRUE,343884,30342,53,4,1.56207E+12
68e158de,6,full,easy,FALSE,FALSE,416330,63658,52,0,1.56207E+12
5de15d4b,10,pruned,easy,FALSE,FALSE,41507,20123,2,0,1.56207E+12
22c15f64,10,pruned,medium,TRUE,TRUE,115216,53204,17,3,1.56208E+12
afc166b1,10,full,easy,TRUE,FALSE,66004,20611,6,3,1.56208E+12
f9e165cd,10,full,hard,TRUE,FALSE,275333,92382,35,6,1.56208E+12
7fa1672d,6,pruned,easy,TRUE,TRUE,573667,53498,43,3,1.56208E+12
65d16666,10,full,easy,TRUE,TRUE,478358,179467,10,14,1.56208E+12
45c16f91,6,pruned,easy,TRUE,TRUE,111436,14842,26,3,1.56208E+12
9de17b3b,10,full,medium,FALSE,FALSE,537047,10242,134,0,1.56208E+12
a7b181fa,6,pruned,easy,FALSE,FALSE,319774,48504,27,0,1.56208E+12
67b1a7f0,6,full,easy,TRUE,TRUE,90415,21025,15,4,1.56209E+12
