,userid,board_size,condition,board_type,solved_correct,validated_correct,timeSolution,timeValidation,actionsSolution,actionsValidation,timestamp,AssignmentId,WorkerId,bonus
60,d9d6ae3e,10,pruned,hard,FALSE,FALSE,562354,55244,3,0,1.56E+12,358UUM7WR0A82SMF0G2YH132TJ07RA,A1YH2I4Y2SYAXJ,0
61,9ef6ace9,10,pruned,easy,FALSE,FALSE,600038,46791,41,0,1.56E+12,3AWETUDC93ZET3P2TO08UTVAGGOIZ3,AOB5RZ3WSAZPS,0
62,62e6aa66,10,pruned,hard,FALSE,FALSE,450917,122315,50,0,1.56E+12,3IQ1VMJRYURKHUORD2EW075YO5UA9B,A13WFFPE9L1QAB,0
63,14c6b1ae,10,pruned,hard,TRUE,TRUE,145305,31342,8,4,1.56E+12,30ZX6P7VF92KI36WMZCUJJ038ME2JR,A20VNT5IHVO401,1
64,b7e6b167,10,pruned,easy,TRUE,TRUE,441759,48925,73,3,1.56E+12,3JWH6J9I9TKAP6XDKQXXDJKOBCWNBI,AZTHBV93S8U3T,1
65,7cd6b177,10,pruned,hard,TRUE,TRUE,177802,57653,19,4,1.56E+12,3RSDURM96BT288DB1J8YV7OGITJYEP,A2OC4PZXSR522W,1
66,87a6b32b,10,pruned,easy,TRUE,TRUE,64153,30283,8,3,1.56E+12,3II4UPYCOKEO708PEEGKC33TJ83QDN,A1PIGZNLSQMGNW,1
67,2aa6b178,10,pruned,hard,FALSE,FALSE,583711,52503,58,0,1.56E+12,32AT8R96GMGM1IYOSDVEH3MINWGUSN,A295P5SW3N83P6,0
68,71c6b3a3,10,pruned,hard,TRUE,TRUE,187167,52815,30,9,1.56E+12,3CFJTT4SXUXV9TJWAT8P392B6NB7I0,A1E4K9G6ZKPKX4,1
69,72f6b345,10,pruned,hard,FALSE,FALSE,135998,47128,20,0,1.56E+12,3300DTYQT3OTZ6MPA9R4ILLEJK4EQ4,A346XPIBKBQ8Z6,0
70,83b6b30c,10,pruned,easy,FALSE,FALSE,558834,37463,45,0,1.56E+12,3GFK2QRXXAOYNKPIBHX76GXNUSM5WY,AOWY4TEB0UCMX,0
71,fec6b568,10,pruned,easy,FALSE,FALSE,101762,44158,8,0,1.56E+12,37TD41K0AIGQFOHO6MAENX0CGW4CSQ,A2WC8DV7EB0FOY,0
72,45f6b774,10,pruned,hard,FALSE,FALSE,82399,80721,10,0,1.56E+12,3LYA37P8IRU9H0CAND5HLR3KHHZBK9,ASTDBTVY3WP1K,0
73,a1b6b72c,10,pruned,hard,TRUE,TRUE,102379,108520,8,38,1.56E+12,31Q0U3WYDQMK9NNY2MNJBALPPLA17C,A28WDLPJ0UOPW9,1
74,bbc6b8cf,10,pruned,easy,FALSE,FALSE,290046,30523,55,0,1.56E+12,30X31N5D64X2M9KQM8ENH2AOGTVASY,A5MHDN5VHCMCT,0
75,bfa6b911,10,pruned,easy,TRUE,TRUE,491793,55162,91,5,1.56E+12,3R5F3LQFV3ROPP05RJDDEQRWSPVOZC,A20EU0UH5K3VGE,1
76,60e6bcce,10,pruned,easy,FALSE,FALSE,396380,44183,56,0,1.56E+12,3FQ5JJ512MVBI917Q3AQCM3EY65KNZ,A3CURWAIS909NI,0
77,dfe6bb89,10,pruned,hard,FALSE,FALSE,488532,120013,20,0,1.56E+12,3QHK8ZVMINPK16US8DHI0RGZ6H4LBM,A91KOPU2OL423,0
78,d8d6bed1,10,pruned,hard,TRUE,TRUE,222619,28864,36,4,1.56E+12,3SKRO2GZ72Y842UILGCSFFQBV5FK16,A3P27PCME7XWOC,1
79,49b6bf52,10,pruned,easy,FALSE,FALSE,319230,30173,43,0,1.56E+12,3E47SOBEYR31LAES1AG0JVUP7Y2IC4,A23V73TZF5JIAW,0
80,c4c6bed8,10,pruned,easy,FALSE,FALSE,427124,53805,31,0,1.56E+12,3CPLWGV3MP6R1DIGM6J1MDPYNCTN98,A748N8WFG2HR4,0
81,40c6c24a,10,pruned,hard,FALSE,FALSE,158461,103254,12,0,1.56E+12,3FTYUGLFSVSZEEPRUMSHES82NC85DH,A13JMFIKC0UKYS,0
82,38e6c356,10,pruned,hard,FALSE,FALSE,257097,26155,31,0,1.56E+12,3YOH7BII0AEOQEAGSUWHM3XRK9EVKY,AWK93GL7CJ3FK,0
83,34c6c058,10,pruned,easy,FALSE,FALSE,93176,39947,53,0,1.56E+12,3GDTJDAPVVIL5QE65DYN925NYGG8MJ,ARQAVYXEMYPZJ,0
84,82e6c792,10,pruned,easy,FALSE,FALSE,42621,16077,1,0,1.56E+12,3ZR9AIQJUCGNJBKX45LCUTI5TSM402,A2US4COGM7OLMJ,0
85,afe6c7c5,10,pruned,hard,TRUE,FALSE,327080,58206,22,4,1.56E+12,39GAF6DQWS7MKDOUKKQZHO1SB3M1V9,A21RG48A9K95AM,0
86,9fe6c937,10,pruned,easy,TRUE,TRUE,256709,55754,41,6,1.56E+12,3WAKVUDHUXN0IKEW4AX3MCQM0IF7UP,A299C7WS77XSW4,1
87,c4d6cb2d,10,pruned,hard,FALSE,FALSE,130533,24875,8,0,1.56E+12,3VFJCI1K406RVLXGTJ6SNEGVSNXGR2,AFXNF8FWT090W,0
88,9aa6cdee,10,full,medium,FALSE,FALSE,70417,14830,17,0,1.56E+12,3Z9WI9EOZ0VJ8DFWN5FD726ICVIKHE,A1J9RWANLAAMZT,0
89,a8d6ce37,10,full,hard,FALSE,FALSE,51449,49189,8,0,1.56E+12,3FQ5JJ512MVBI917Q3AQCM3EY7RKNN,A1NY3RAROHFMRQ,0
90,2bd6cdfa,10,full,hard,FALSE,FALSE,68004,56407,3,0,1.56E+12,3A4NIXBJ776GKXYPZ27RE7RTIHMMLS,A3CJS37DSXQOAZ,0
91,6af6ce2f,10,pruned,medium,FALSE,FALSE,189702,16838,13,0,1.56E+12,3SKEMFQBZ4CQF2E3K1L7UPDJ9CSK8Z,A1IZXYBZFZAPAQ,0
92,17f6cea6,10,pruned,medium,TRUE,TRUE,144424,22481,28,3,1.56E+12,3TS1AR6UQRLBZ2H69L240CPJQW57FX,AKNV05F5X5YAC,1
