,size,type,condition,board_x,heuristic_name,moves,board_size,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board_y,timePerMoveMinutes,timePerMove
193,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.04889,1,1,2.755583333,100,100,10 DC,0.125253788,7.51522728
194,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.03778,1,1,2.0063,100,100,10 DC,0.118017647,7.08105882
195,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.09111,1,1,6.385066667,100,100,10 DC,0.155733333,9.34399998
196,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.02667,1,1,0.851266667,100,100,10 DC,0.070938889,4.25633334
197,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.03111,1,1,1.2724,100,100,10 DC,0.090885714,5.45314284
198,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.03556,0,0,1.203266667,0,0,10 DC,0.075204167,4.51225002
199,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.02,0,0,0.62685,0,0,10 DC,0.06965,4.179
200,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.01333,1,1,1.219966667,100,100,10 DC,0.203327778,12.19966668
201,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.00444,1,0,2.71255,100,0,10 DC,1.356275,81.3765
202,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.05556,0,0,2.2183,0,0,10 DC,0.088732,5.32392
203,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.03778,1,1,2.41105,100,100,10 DC,0.141826471,8.50958826
204,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.03556,1,1,1.773233333,100,100,10 DC,0.110827083,6.64962498
205,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.21111,0,0,9.372333333,0,0,10 DC,0.09865614,5.9193684
206,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.01333,1,1,0.952433333,100,100,10 DC,0.158738889,9.52433334
207,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.11111,0,0,10.14926667,0,0,10 DC,0.202985333,12.17911998
208,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.09111,0,0,10.06283333,0,0,10 DC,0.245434959,14.72609754
209,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.02222,1,1,1.5461,100,100,10 DC,0.15461,9.2766
210,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.02889,1,0,3.033633333,100,0,10 DC,0.23335641,14.0013846
211,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.04222,0,0,4.987433333,0,0,10 DC,0.262496491,15.74978946
212,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.05111,0,0,1.0024,0,0,10 DC,0.043582609,2.61495654
213,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.02444,1,1,1.296566667,100,100,10 DC,0.117869697,7.07218182
214,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.00889,0,0,1.329083333,0,0,10 DC,0.332270833,19.93624998
215,10,DC,truncated,10 DC truncated,interaction,255,10,CV,0.07556,1,1,2.81165,100,100,10 DC,0.082695588,4.96173528
