,board,correct,inverse_computation,k,move_limit,noise,shutter_size
173,6_hard_full,0.1,0.00656512605042,10,30,1.5,0.0
174,6_hard_pruned,0.15,0.00726269155349,10,30,1.5,0.0
175,10_easy_full,0.22,0.00298098133906,5,30,1.75,0.0
176,10_easy_pruned,0.31,0.0031917270435,5,30,1.75,0.0
177,10_hard_full,0.15,0.00286861732645,5,30,1.75,0.0
178,10_hard_pruned,0.12,0.00278055833611,5,30,1.75,0.0
179,10_medium_full,0.05,0.00256752593201,5,30,1.75,0.0
180,10_medium_full,0.13,0.00122488975992,5,30,1.75,0.5
181,10_medium_pruned,0.17,0.00288317379772,5,30,1.75,0.0
182,10_medium_pruned,0.28,0.00139958012596,5,30,1.75,0.5
183,6_easy_full,0.41,0.013453518095,5,30,1.75,0.0
184,6_easy_full,0.63,0.00563856780378,5,30,1.75,2.0
185,6_easy_pruned,0.7,0.014465499783,5,30,1.75,0.0
186,6_hard_full,0.14,0.00643210908857,5,30,1.75,0.0
187,6_hard_pruned,0.18,0.00696912676842,5,30,1.75,0.0
188,10_easy_full,0.24,0.00296630280019,10,30,1.75,0.0
189,10_easy_pruned,0.48,0.00293392794273,10,30,1.75,0.0
190,10_hard_full,0.11,0.00284681299285,10,30,1.75,0.0
191,10_hard_pruned,0.11,0.00289050757313,10,30,1.75,0.0
192,10_medium_full,0.08,0.00260647448261,10,30,1.75,0.0
193,10_medium_pruned,0.39,0.00260538794226,10,30,1.75,0.0
194,6_easy_full,0.61,0.0136574706364,10,30,1.75,0.0
195,6_easy_pruned,0.63,0.0137969094923,10,30,1.75,0.0
196,6_easy_pruned,0.77,0.00872524212547,10,30,1.75,0.5
197,6_hard_full,0.03,0.00655222120299,10,30,1.75,0.0
198,6_hard_full,0.08,0.00382248385001,10,30,1.75,0.5
199,6_hard_pruned,0.12,0.00727166957533,10,30,1.75,0.0
200,10_easy_full,0.15,0.00291749328977,5,30,2.0,0.0
201,10_easy_pruned,0.26,0.00327235838869,5,30,2.0,0.0
202,10_hard_full,0.12,0.00282469916954,5,30,2.0,0.0
