userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time
e1b6994c,10,pruned,medium,TRUE,TRUE,70664,45258,3,3,1.51E+12
e1e500d7,6,pruned,hard,TRUE,TRUE,46754,46269,16,12,1.51E+12
e2b10de5,10,pruned,hard,TRUE,TRUE,289031,33292,37,4,1.51E+12
e2bbe5e1,10,pruned,easy,FALSE,FALSE,158825,56121,31,0,1.51E+12
e3a4effd,10,full,medium,FALSE,FALSE,275966,26888,46,0,1.51E+12
e5b69f84,10,full,medium,FALSE,FALSE,105570,55492,13,4,1.51E+12
e6abcdb2,10,full,easy,TRUE,TRUE,84698,20600,13,4,1.51E+12
e6efec72,10,pruned,hard,TRUE,FALSE,584816,57640,53,4,1.51E+12
e9b10766,10,pruned,medium,TRUE,TRUE,178163,19864,18,3,1.51E+12
e9bbf006,10,full,easy,FALSE,FALSE,410734,31654,56,0,1.51E+12
e9dbbf8a,6,pruned,hard,TRUE,FALSE,158576,84615,19,5,1.51E+12
eaaff660,10,full,medium,FALSE,FALSE,153334,66064,18,0,1.51E+12
eba732b3,6,pruned,hard,TRUE,TRUE,41283,32880,4,4,1.51E+12
ecefd3a0,10,pruned,medium,FALSE,FALSE,562340,12787,95,0,1.51E+12
edbbcb60,6,pruned,easy,FALSE,FALSE,350245,38611,42,0,1.51E+12
edbbea2c,6,pruned,easy,TRUE,TRUE,117475,21095,5,3,1.51E+12
edf12206,10,full,hard,FALSE,FALSE,180198,35044,33,0,1.51E+12
edfff93e,10,pruned,hard,FALSE,FALSE,293346,52939,16,0,1.51E+12
eec719ce,10,pruned,easy,TRUE,TRUE,317558,58303,25,3,1.51E+12
eec7360c,6,full,hard,FALSE,FALSE,105098,45324,12,0,1.51E+12
eefbf52d,10,pruned,medium,TRUE,TRUE,165335,20443,22,3,1.51E+12
efa7383d,6,full,easy,FALSE,FALSE,203251,50729,49,0,1.51E+12
efd4fa4a,10,pruned,hard,FALSE,FALSE,313523,25138,36,0,1.51E+12
efebc5bb,6,full,hard,TRUE,FALSE,267313,90503,13,5,1.51E+12
f0ebc21e,10,full,hard,FALSE,FALSE,125736,50121,27,0,1.51E+12
f1ebd0b7,6,full,hard,FALSE,FALSE,53401,31855,5,0,1.51E+12
f1fbe0de,10,full,easy,FALSE,FALSE,259134,38619,28,0,1.51E+12
f3dbeb7e,6,full,hard,FALSE,FALSE,309668,43003,26,0,1.51E+12
f3f4f4ae,10,pruned,hard,FALSE,FALSE,147702,43382,10,0,1.51E+12
f4c4f33c,10,pruned,hard,FALSE,FALSE,334442,117274,26,0,1.51E+12
f5dac888,10,full,easy,FALSE,FALSE,427728,52316,64,0,1.51E+12
f6fbf6b1,6,full,hard,FALSE,FALSE,600821,83914,96,0,1.51E+12
f6fbf7bf,10,full,hard,TRUE,FALSE,181098,108457,35,15,1.51E+12
f7c73b9d,10,pruned,easy,TRUE,TRUE,184843,28463,3,3,1.51E+12
f7ebbfe9,10,full,hard,FALSE,FALSE,547450,59967,66,0,1.51E+12
f8bbc519,6,pruned,hard,FALSE,FALSE,62264,11676,2,0,1.51E+12
f8e11654,10,full,medium,TRUE,TRUE,376826,61677,49,4,1.51E+12
f8efd664,10,pruned,easy,TRUE,TRUE,122392,37411,31,3,1.51E+12
f9c123d7,6,full,easy,TRUE,TRUE,142270,29325,32,4,1.51E+12
faafd1c6,6,pruned,easy,TRUE,TRUE,113228,45384,2,3,1.51E+12
fac10d6e,6,full,hard,FALSE,FALSE,285264,111324,29,0,1.51E+12
fad517c1,10,pruned,hard,FALSE,FALSE,73999,25466,0,0,1.51E+12
fcaffad4,6,pruned,hard,FALSE,FALSE,370941,24473,71,0,1.51E+12
fcb764e3,10,pruned,hard,TRUE,TRUE,254277,23724,35,4,1.51E+12
fcf4f6d3,10,full,easy,FALSE,FALSE,389048,40868,29,0,1.51E+12
fda4f169,6,full,easy,TRUE,TRUE,244768,45675,18,4,1.51E+12
fdaa7ebb,6,pruned,hard,FALSE,FALSE,365446,25459,63,0,1.51E+12
fdc4f07b,10,pruned,easy,TRUE,TRUE,261677,32239,31,3,1.51E+12
fedbec09,10,full,easy,TRUE,FALSE,251376,39322,27,4,1.51E+12
