userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time
1fbbc8ec,10,full,hard,FALSE,FALSE,14073,82079,3,0,1.51E+12
1fdbc072,6,pruned,easy,TRUE,FALSE,52828,36613,6,3,1.51E+12
1feffe13,10,pruned,medium,TRUE,TRUE,57146,18057,6,3,1.51E+12
1ff4f828,10,full,hard,FALSE,FALSE,385327,26884,26,0,1.51E+12
20a4fec4,10,full,easy,TRUE,FALSE,251055,42373,16,4,1.51E+12
20bfd7bd,6,full,hard,FALSE,FALSE,62567,49541,14,0,1.51E+12
21abc061,10,full,hard,FALSE,FALSE,241100,20954,37,0,1.51E+12
22dac859,6,full,hard,FALSE,FALSE,601999,35609,74,0,1.51E+12
23b6924e,10,full,easy,FALSE,FALSE,596781,36757,101,0,1.51E+12
23dbc11c,10,full,hard,FALSE,FALSE,177689,37360,21,0,1.51E+12
25cfdeaf,6,pruned,hard,FALSE,FALSE,146641,28868,16,0,1.51E+12
25dfef96,6,full,easy,TRUE,TRUE,387312,28928,22,4,1.51E+12
26dbf473,10,full,hard,FALSE,FALSE,46751,30854,3,0,1.51E+12
26dbf6e9,6,full,hard,TRUE,TRUE,106446,55428,17,5,1.51E+12
26e680e4,10,full,easy,FALSE,FALSE,553103,43925,59,0,1.51E+12
28d4fefb,10,pruned,hard,TRUE,TRUE,176238,45882,51,4,1.51E+12
28e67c08,10,full,hard,TRUE,TRUE,122677,101483,48,5,1.51E+12
29bff31a,10,pruned,easy,TRUE,TRUE,81028,31478,4,3,1.51E+12
29e72a67,10,pruned,medium,FALSE,FALSE,586688,36512,118,0,1.51E+12
2aabe76a,6,full,easy,TRUE,FALSE,181630,155515,28,3,1.51E+12
2afbbf79,6,pruned,hard,FALSE,FALSE,200185,42839,41,0,1.51E+12
2bcfe659,6,full,easy,FALSE,FALSE,573573,62591,66,0,1.51E+12
2bd72f3e,10,pruned,medium,TRUE,TRUE,93047,76947,7,3,1.51E+12
2dca846d,6,pruned,easy,FALSE,FALSE,168194,23363,43,0,1.51E+12
2dfbc35a,6,pruned,easy,TRUE,FALSE,153286,44671,8,3,1.51E+12
2fb4f99a,10,full,hard,TRUE,TRUE,91311,46773,14,5,1.51E+12
2fd101b0,10,pruned,easy,FALSE,FALSE,229629,125053,64,0,1.51E+12
2fe692a5,10,full,easy,TRUE,TRUE,164856,22430,8,4,1.51E+12
2ff50f64,6,pruned,hard,FALSE,FALSE,72778,31346,19,0,1.51E+12
30e4feac,6,pruned,hard,FALSE,FALSE,288720,47121,18,0,1.51E+12
31b4fc9e,10,full,easy,TRUE,TRUE,418323,69452,30,4,1.51E+12
31cfd831,10,pruned,medium,FALSE,FALSE,79745,43368,4,0,1.51E+12
31f6a576,10,pruned,hard,TRUE,FALSE,592843,49564,70,4,1.51E+12
32b10037,6,full,easy,FALSE,FALSE,587130,38151,80,0,1.51E+12
32ebf2e8,6,full,hard,TRUE,TRUE,191253,35710,49,5,1.51E+12
32fad07f,10,pruned,hard,TRUE,TRUE,219513,65356,24,4,1.51E+12
33a74451,10,pruned,medium,TRUE,TRUE,373311,117892,65,9,1.51E+12
33b693e2,6,pruned,easy,FALSE,FALSE,133679,17127,31,0,1.51E+12
33bbca9a,10,full,medium,FALSE,FALSE,169312,48531,25,4,1.51E+12
33ebe68d,6,pruned,easy,TRUE,TRUE,213824,60995,24,3,1.51E+12
34b12db9,10,full,hard,TRUE,FALSE,157994,92100,18,6,1.51E+12
34cffc40,6,full,easy,TRUE,FALSE,369827,39002,35,5,1.51E+12
34d51755,10,full,medium,TRUE,NA,209491,98929,10,0,1.51E+12
36ebe4da,10,full,medium,FALSE,FALSE,128011,32369,12,0,1.51E+12
37bffc4e,10,full,easy,TRUE,TRUE,538974,103072,32,8,1.51E+12
38abe966,6,full,easy,TRUE,TRUE,106170,53865,19,9,1.51E+12
38cbc1f6,10,full,medium,FALSE,FALSE,308379,85019,55,0,1.51E+12
38ebbf94,6,full,hard,FALSE,FALSE,217100,68112,34,0,1.51E+12
39afd1eb,10,pruned,easy,TRUE,TRUE,104220,22944,11,3,1.51E+12
39b67ab6,10,full,medium,FALSE,FALSE,162120,39293,15,0,1.51E+12
