run,chosen_moves,num_nodes_rollouts,board,num_nodes,correct
159,55,72,10_easy_pruned,51,0
160,54,59,10_easy_pruned,52,0
161,20,45,10_easy_pruned,50,1
162,20,46,10_easy_pruned,50,1
163,30,69,10_easy_pruned,51,0
164,45,69,10_easy_pruned,51,0
165,20,45,10_easy_pruned,50,1
166,30,72,10_easy_pruned,51,0
167,75,70,10_easy_pruned,51,0
168,20,43,10_easy_pruned,50,1
169,63,64,10_easy_pruned,50,0
170,84,61,10_easy_pruned,50,0
171,99,90,10_easy_pruned,51,0
172,95,89,10_easy_pruned,51,0
173,63,72,10_easy_pruned,51,0
174,95,93,10_easy_pruned,51,0
175,20,46,10_easy_pruned,50,1
176,83,55,10_easy_pruned,50,0
177,11,79,10_easy_pruned,51,0
178,55,68,10_easy_pruned,51,0
179,55,66,10_easy_pruned,51,0
180,20,47,10_easy_pruned,50,1
181,66,74,10_easy_pruned,51,0
182,66,56,10_easy_pruned,50,0
183,76,60,10_easy_pruned,50,0
184,49,73,10_easy_pruned,51,0
185,57,79,10_easy_pruned,52,0
186,55,71,10_easy_pruned,51,0
187,63,59,10_easy_pruned,50,0
188,20,45,10_easy_pruned,50,1
189,79,70,10_easy_pruned,51,0
190,86,75,10_easy_pruned,51,0
191,20,46,10_easy_pruned,50,1
192,55,71,10_easy_pruned,51,0
193,30,71,10_easy_pruned,51,0
194,55,70,10_easy_pruned,50,0
195,70,55,10_easy_pruned,52,0
196,20,46,10_easy_pruned,50,1
197,66,67,10_easy_pruned,50,0
198,76,71,10_easy_pruned,51,0
199,55,75,10_easy_pruned,51,0
0,6,116,10_hard_full,51,0
1,74,89,10_hard_full,51,0
2,37,105,10_hard_full,50,0
3,72,105,10_hard_full,51,0
4,45,102,10_hard_full,51,0
5,25,101,10_hard_full,50,1
6,36,113,10_hard_full,51,0
7,44,109,10_hard_full,51,0
8,96,90,10_hard_full,51,0
9,45,103,10_hard_full,51,0
10,62,78,10_hard_full,50,0
11,45,115,10_hard_full,51,0
12,44,129,10_hard_full,51,0
13,45,109,10_hard_full,51,0
14,24,93,10_hard_full,50,0
15,62,86,10_hard_full,50,0
16,44,99,10_hard_full,51,0
17,44,110,10_hard_full,51,0
18,68,89,10_hard_full,50,0
19,44,97,10_hard_full,51,0
20,45,105,10_hard_full,52,0
21,24,90,10_hard_full,50,0
22,74,105,10_hard_full,50,0
23,25,90,10_hard_full,50,1
24,56,93,10_hard_full,51,0
25,66,145,10_hard_full,51,0
26,84,106,10_hard_full,52,0
27,54,126,10_hard_full,51,0
28,74,103,10_hard_full,50,0
29,46,110,10_hard_full,50,0
30,44,115,10_hard_full,51,0
31,44,104,10_hard_full,51,0
32,72,89,10_hard_full,51,0
33,92,95,10_hard_full,51,0
34,25,98,10_hard_full,50,1
35,58,81,10_hard_full,51,0
36,72,101,10_hard_full,51,0
37,44,101,10_hard_full,51,0
38,72,107,10_hard_full,50,0
39,74,104,10_hard_full,50,0
40,72,94,10_hard_full,51,0
41,45,122,10_hard_full,51,0
42,74,90,10_hard_full,50,0
43,45,120,10_hard_full,51,0
44,62,103,10_hard_full,51,0
45,45,108,10_hard_full,51,0
46,62,122,10_hard_full,51,0
47,37,110,10_hard_full,51,0
48,7,113,10_hard_full,50,0
49,45,130,10_hard_full,51,0
50,47,98,10_hard_full,51,0
51,96,112,10_hard_full,51,0
52,66,146,10_hard_full,51,0
53,96,123,10_hard_full,51,0
54,25,95,10_hard_full,50,1
55,44,101,10_hard_full,51,0
56,24,109,10_hard_full,52,0
57,62,97,10_hard_full,50,0
58,24,116,10_hard_full,51,0
59,25,95,10_hard_full,50,1
60,62,98,10_hard_full,51,0
61,25,104,10_hard_full,50,1
62,91,117,10_hard_full,50,0
63,57,94,10_hard_full,51,0
64,45,104,10_hard_full,51,0
65,96,95,10_hard_full,51,0
66,61,68,10_hard_full,52,0
67,54,89,10_hard_full,51,0
68,72,104,10_hard_full,51,0
69,47,93,10_hard_full,51,0
70,47,100,10_hard_full,51,0
71,45,112,10_hard_full,51,0
72,25,108,10_hard_full,50,1
73,41,87,10_hard_full,51,0
74,44,117,10_hard_full,51,0
75,9,109,10_hard_full,51,0
76,24,108,10_hard_full,51,0
77,67,122,10_hard_full,50,0
78,36,111,10_hard_full,51,0
79,44,112,10_hard_full,51,0
80,25,107,10_hard_full,50,1
81,45,120,10_hard_full,51,0
82,78,106,10_hard_full,50,0
83,25,96,10_hard_full,50,1
84,25,104,10_hard_full,50,1
85,44,128,10_hard_full,51,0
86,58,94,10_hard_full,51,0
87,44,116,10_hard_full,51,0
88,45,112,10_hard_full,51,0
89,25,97,10_hard_full,50,1
90,74,78,10_hard_full,52,0
91,28,111,10_hard_full,51,0
92,44,101,10_hard_full,51,0
93,85,89,10_hard_full,51,0
94,45,93,10_hard_full,51,0
95,72,97,10_hard_full,51,0
96,72,93,10_hard_full,51,0
97,60,107,10_hard_full,51,0
98,45,90,10_hard_full,52,0
99,25,98,10_hard_full,50,1
100,71,112,10_hard_full,51,0
101,88,107,10_hard_full,51,0
102,25,95,10_hard_full,50,1
103,60,111,10_hard_full,51,0
104,17,114,10_hard_full,51,0
105,37,114,10_hard_full,52,0
106,38,108,10_hard_full,51,0
107,30,87,10_hard_full,51,0
108,44,119,10_hard_full,51,0
109,54,116,10_hard_full,51,0
110,25,109,10_hard_full,50,1
111,45,100,10_hard_full,51,0
112,25,98,10_hard_full,50,1
113,44,104,10_hard_full,51,0
114,36,104,10_hard_full,51,0
115,44,133,10_hard_full,51,0
116,44,111,10_hard_full,51,0
117,85,122,10_hard_full,51,0
118,25,105,10_hard_full,50,1
119,54,116,10_hard_full,51,0
120,9,111,10_hard_full,51,0
121,25,111,10_hard_full,50,1
122,25,98,10_hard_full,50,1
123,25,98,10_hard_full,50,1
124,25,102,10_hard_full,50,1
125,66,117,10_hard_full,51,0
126,54,119,10_hard_full,50,0
127,25,105,10_hard_full,50,1
128,45,101,10_hard_full,51,0
129,44,126,10_hard_full,51,0
130,25,94,10_hard_full,50,1
131,75,135,10_hard_full,51,0
132,47,99,10_hard_full,50,0
133,45,112,10_hard_full,51,0
134,75,134,10_hard_full,51,0
135,74,108,10_hard_full,52,0
136,24,93,10_hard_full,51,0
137,18,106,10_hard_full,51,0
138,45,105,10_hard_full,51,0
139,25,95,10_hard_full,50,1
140,44,106,10_hard_full,51,0
141,84,108,10_hard_full,50,0
142,85,98,10_hard_full,51,0
143,61,75,10_hard_full,52,0
144,96,111,10_hard_full,50,0
145,25,103,10_hard_full,50,1
146,25,102,10_hard_full,50,1
147,25,103,10_hard_full,50,1
148,44,111,10_hard_full,51,0
149,36,80,10_hard_full,50,0
150,62,85,10_hard_full,50,0
151,45,109,10_hard_full,51,0
152,64,115,10_hard_full,51,0
153,45,112,10_hard_full,51,0
154,72,98,10_hard_full,51,0
155,44,109,10_hard_full,51,0
156,40,103,10_hard_full,51,0
157,25,98,10_hard_full,50,1
158,74,93,10_hard_full,51,0
159,54,94,10_hard_full,50,0
160,56,98,10_hard_full,51,0
161,49,111,10_hard_full,51,0
162,92,95,10_hard_full,51,0
163,30,110,10_hard_full,51,0
164,74,68,10_hard_full,50,0
165,45,107,10_hard_full,51,0
166,24,95,10_hard_full,51,0
167,44,107,10_hard_full,51,0
168,75,148,10_hard_full,51,0
169,45,94,10_hard_full,51,0
170,45,133,10_hard_full,51,0
171,62,108,10_hard_full,51,0
172,25,88,10_hard_full,50,1
173,74,115,10_hard_full,50,0
174,44,103,10_hard_full,51,0
175,67,105,10_hard_full,51,0
176,19,128,10_hard_full,51,0
