,move_limit,noise,k,board,tradeoff
226,30,1.75,5,6_easy_full,1
227,30,1.75,5,6_easy_pruned,0
228,30,1.75,5,6_hard_full,0
229,30,1.75,5,6_hard_pruned,0
230,30,1.75,10,10_easy_full,0
231,30,1.75,10,10_easy_pruned,0
232,30,1.75,10,10_hard_full,0
233,30,1.75,10,10_hard_pruned,0
234,30,1.75,10,10_medium_full,0
235,30,1.75,10,10_medium_pruned,0
236,30,1.75,10,6_easy_full,0
237,30,1.75,10,6_easy_pruned,1
238,30,1.75,10,6_hard_full,1
239,30,1.75,10,6_hard_pruned,0
240,30,2.0,3,10_easy_full,0
241,30,2.0,3,10_easy_pruned,1
242,30,2.0,3,10_hard_full,0
243,30,2.0,3,10_hard_pruned,0
244,30,2.0,3,10_medium_full,0
245,30,2.0,3,10_medium_pruned,0
246,30,2.0,3,6_easy_full,0
247,30,2.0,3,6_easy_pruned,0
248,30,2.0,3,6_hard_full,0
249,30,2.0,3,6_hard_pruned,0
250,30,2.0,5,10_easy_full,0
251,30,2.0,5,10_easy_pruned,0
252,30,2.0,5,10_hard_full,1
253,30,2.0,5,10_hard_pruned,0
254,30,2.0,5,10_medium_full,0
255,30,2.0,5,10_medium_pruned,0
256,30,2.0,5,6_easy_full,0
257,30,2.0,5,6_easy_pruned,1
258,30,2.0,5,6_hard_full,0
259,30,2.0,5,6_hard_pruned,0
260,30,2.0,10,10_easy_full,0
261,30,2.0,10,10_easy_pruned,0
262,30,2.0,10,10_hard_full,0
263,30,2.0,10,10_hard_pruned,0
264,30,2.0,10,10_medium_full,0
265,30,2.0,10,10_medium_pruned,0
266,30,2.0,10,6_easy_full,0
267,30,2.0,10,6_easy_pruned,1
268,30,2.0,10,6_hard_full,0
269,30,2.0,10,6_hard_pruned,0
270,30,2.25,3,10_easy_full,0
271,30,2.25,3,10_easy_pruned,0
272,30,2.25,3,10_hard_full,1
273,30,2.25,3,10_hard_pruned,1
274,30,2.25,3,10_medium_full,0
275,30,2.25,3,10_medium_pruned,1
276,30,2.25,3,6_easy_full,0
277,30,2.25,3,6_easy_pruned,1
278,30,2.25,3,6_hard_full,0
279,30,2.25,3,6_hard_pruned,0
280,30,2.25,5,10_easy_full,0
281,30,2.25,5,10_easy_pruned,0
282,30,2.25,5,10_hard_full,0
283,30,2.25,5,10_hard_pruned,0
284,30,2.25,5,10_medium_full,0
285,30,2.25,5,10_medium_pruned,1
286,30,2.25,5,6_easy_full,0
287,30,2.25,5,6_easy_pruned,1
288,30,2.25,5,6_hard_full,0
289,30,2.25,5,6_hard_pruned,0
290,30,2.25,10,10_easy_full,0
291,30,2.25,10,10_easy_pruned,0
292,30,2.25,10,10_hard_full,0
293,30,2.25,10,10_hard_pruned,0
294,30,2.25,10,10_medium_full,0
295,30,2.25,10,10_medium_pruned,0
296,30,2.25,10,6_easy_full,1
297,30,2.25,10,6_easy_pruned,0
298,30,2.25,10,6_hard_full,0
299,30,2.25,10,6_hard_pruned,0
300,30,2.5,3,10_easy_full,0
301,30,2.5,3,10_easy_pruned,0
302,30,2.5,3,10_hard_full,0
303,30,2.5,3,10_hard_pruned,0
304,30,2.5,3,10_medium_full,1
305,30,2.5,3,10_medium_pruned,0
306,30,2.5,3,6_easy_full,1
307,30,2.5,3,6_easy_pruned,0
308,30,2.5,3,6_hard_full,1
309,30,2.5,3,6_hard_pruned,0
310,30,2.5,5,10_easy_full,0
311,30,2.5,5,10_easy_pruned,0
312,30,2.5,5,10_hard_full,0
313,30,2.5,5,10_hard_pruned,1
314,30,2.5,5,10_medium_full,0
315,30,2.5,5,10_medium_pruned,1
316,30,2.5,5,6_easy_full,1
317,30,2.5,5,6_easy_pruned,0
318,30,2.5,5,6_hard_full,0
319,30,2.5,5,6_hard_pruned,0
320,30,2.5,10,10_easy_full,0
321,30,2.5,10,10_easy_pruned,1
322,30,2.5,10,10_hard_full,0
323,30,2.5,10,10_hard_pruned,1
324,30,2.5,10,10_medium_full,0
325,30,2.5,10,10_medium_pruned,0
326,30,2.5,10,6_easy_full,1
327,30,2.5,10,6_easy_pruned,1
328,30,2.5,10,6_hard_full,0
329,30,2.5,10,6_hard_pruned,0
