,board,correct,fitted_heuristic,o_prob_mean,o_prob_median,o_prob_ratio_mean,o_prob_ratio_median,o_rank_mean,o_rank_median,userid,x_prob_mean,x_prob_median,x_prob_ratio_mean,x_prob_ratio_median,x_rank_mean,x_rank_median
70,6_easy_full,0,linear,0.030484783,0.030484783,0.233333333,0.233333333,4,4,4ed755f1,0.082912458,0.091750842,0.729166667,0.791666667,3.75,1.5
71,10_medium_pruned,0,blocking,0.013333333,0.013333333,1,1,0,0,4fba815c,0.255560791,0.263749478,0.811996064,1,0.625,0
72,10_medium_full,0,blocking,0.03137857,0.023003279,0.213796354,0.129475653,15.28,7,54d4fd9d,0.084287825,0.063650351,0.504331143,0.467357423,5.784313725,3
73,10_medium_full,0,blocking,0.041636936,0.014884335,0.37652049,0.11772688,6.857142857,5,54f6b927,0.117382567,0.071040529,0.595235233,0.896755409,8.642857143,1
74,6_easy_pruned,0,density,0.159143465,0.085970464,0.565210227,0.636363636,4.3,2,55a709fd,0.073014066,0.076923077,0.586088154,0.636363636,4.454545455,3
75,10_easy_full,0,blocking,0.087122883,0.005910804,0.308383645,0.021096831,13.11111111,4,56e6f5d2,0.103018212,0.046035064,0.537775897,0.446529081,7.266666667,2
76,6_easy_pruned,1,blocking,0.064954385,0.071428571,0.778125,1,0.75,0,58e72ee8,0.574171345,0.644300123,0.812640459,1,0.916666667,0
77,6_easy_full,0,non-linear,0.083317077,0.091370558,0.431462034,0.444444444,3.090909091,3,59d51c4c,0.086876098,0.066071429,0.641703493,0.708333333,2.9375,1.5
78,6_easy_full,1,blocking,0.071428571,0.071428571,1,1,0,0,5acfeabc,0.59482723,0.644300123,1,1,0,0
79,6_hard_pruned,0,density,0.058101475,0.06741573,0.678571429,0.75,6.111111111,2,5adff9a5,0.162262885,0.088607595,0.815073815,0.777777778,1.538461538,1
80,10_easy_pruned,0,non-linear,0.126387855,0.018178893,0.480175878,0.38381201,9,8,5aebf3c2,0.073783084,0.035113597,0.836671214,1,3.9,0
81,10_hard_pruned,1,blocking,0.014285714,0.014285714,1,1,0,0,5bc4f225,0.354854439,0.36196034,1,1,0,0
82,10_easy_full,0,blocking,0.151482583,0.070682209,0.499834945,0.322406817,9.857142857,1.5,5cd6bb63,0.116228553,0.097489556,0.62529163,0.758300619,5.684210526,2
83,6_hard_pruned,0,interaction,0.240169356,0.095483814,0.659890113,0.665957521,1,1,5dbfe29c,0.363011427,0.162603211,0.698514219,0.73379773,3.166666667,1.5
84,6_easy_full,1,non-linear,0.074958416,0.04903192,0.410815849,0.241698595,4,2.5,5de11557,0.091992987,0.076923077,0.624836943,0.75,4.24,3
85,6_hard_full,0,interaction,0.37462798,0.408235711,0.753333333,1,2.75,0,5edbbf73,0.161345216,0.09745239,0.729414945,0.703452323,2.75,2
86,10_medium_pruned,1,blocking,0.069229322,0.012987013,0.429497101,0.083408711,6.6,7,5efbf191,0.111265854,0.066452141,0.458972526,0.368292017,5.5,5
87,10_hard_full,1,blocking,0.007192857,0.007192857,0.5,0.5,0.5,0.5,65f68460,0.283666109,0.170286488,1,1,0,0
88,6_easy_pruned,1,density,0.114841577,0.085365854,0.651220898,0.636363636,3.487804878,2,67abc3ab,0.107565071,0.076923077,0.629538682,0.666666667,3.036363636,2
89,6_easy_pruned,0,density,0.062407556,0.052631579,0.457575758,0.363636364,7,8,67abf219,0.114504856,0.076923077,0.625298439,0.633333333,5.318181818,3.5
90,6_hard_full,0,linear,0.109256116,0.028938907,0.430207747,0.3,5,3,67eac875,0.124904768,0.047619048,0.609545968,0.677419355,2.851851852,2
91,10_easy_full,0,blocking,0.057276492,0.057276492,0.667272116,0.667272116,1,1,67f69d24,0.121802181,0.078013758,0.499944913,0.388102428,9.5,2.5
92,6_hard_full,0,blocking,0.23174288,0.149338818,0.604194143,0.631963463,2.333333333,1.5,69bad0fe,0.140149426,0.077892545,0.578533117,0.498292121,2.916666667,2
93,10_easy_full,0,blocking,0.126218614,0.083456125,0.486832738,0.354791606,3.483870968,3,6ac7311a,0.030959762,0.018796053,0.260944303,0.157938907,10.61904762,11
94,6_hard_pruned,1,blocking,0.055555556,0.055555556,1,1,0,0,6bb10472,0.465653798,0.478257102,0.957739156,1,0.25,0
95,6_easy_full,0,non-linear,0.104991645,0.111291274,0.60106865,0.568100358,3,2,6bca8117,0.180014587,0.129499399,0.665584416,0.742424242,2.571428571,1
96,6_hard_full,0,interaction,0.246745455,0.047012837,0.525172,0.536169281,2,1,6bf51f66,0.285876812,0.15407776,0.929463135,1,0.6,0
97,6_easy_pruned,0,non-linear,0.089487922,0.100222717,0.546737213,0.555555556,3.285714286,2,6cbbcdf7,0.176560457,0.118811881,0.683303624,0.666666667,1.470588235,1
98,10_medium_pruned,1,blocking,0.012987013,0.012987013,1,1,0,0,6db76212,0.216012322,0.204738982,0.795318028,1,0.875,0
99,6_hard_pruned,0,non-linear,0.058636349,0.058168317,0.622070137,0.654545455,3.181818182,3,6dd103e2,0.14108292,0.07480315,0.725206995,0.863636364,1.615384615,2
100,10_easy_full,0,blocking,0.019259683,0.016393443,0.381723057,0.133246948,8.333333333,5,6dfbeafe,0.081881461,0.097489556,0.583414556,0.698162282,9,3
101,6_easy_pruned,1,non-linear,0.093502202,0.109369584,0.554969136,0.574074074,2.125,2,6fc70a09,0.233681475,0.118811881,0.746583482,0.818181818,1.352941176,1
102,10_easy_full,0,blocking,0.187981226,0.120055716,0.562878111,0.454944828,4.724137931,1,70bffd4d,0.03096397,0.017462543,0.412416723,0.180615399,13.96428571,8
103,6_hard_full,1,interaction,0.260389042,0.036764158,0.512193207,0.516577445,3.2,2,70da8cfb,0.261058887,0.104043292,0.839858976,1,1.411764706,0
104,10_medium_pruned,0,blocking,0.013333333,0.013333333,1,1,0,0,71ebc315,0.250526514,0.206297426,0.871630108,1,0.6,0
105,10_medium_full,1,blocking,0.08433061,0.08433061,0.591800182,0.591800182,1.5,1.5,72e6961c,0.185365653,0.185365653,0.691240778,0.691240778,1.5,1.5
106,6_easy_pruned,1,non-linear,0.058597536,0.057109557,0.290679012,0.302469136,6.5,7,7acbc3e2,0.139445392,0.148514851,0.715151515,0.742424242,1.1,1
107,6_easy_pruned,1,non-linear,0.056550676,0.066748768,0.611111111,0.666666667,3.75,3,7cc119e0,0.268965133,0.178217822,0.768109668,1,1.357142857,0
108,6_easy_pruned,1,blocking,0.062832239,0.071428571,0.704166667,1,0.666666667,0,7db4f1d2,0.549285394,0.506494401,0.833707891,1,0.555555556,0
109,6_hard_pruned,1,blocking,0.16014806,0.129623274,0.535493384,0.611791851,2.515151515,2,7dd704e0,0.25765908,0.092177756,0.615260531,0.593604101,2.527777778,1
110,10_hard_pruned,0,blocking,0.078110633,0.014385938,0.307241138,0.137113926,7.695652174,3,7dea8d37,0.135118946,0.100987759,0.663177865,1,2.826086957,0
111,10_medium_full,0,blocking,0.041616516,0.028959293,0.39262836,0.268817097,10.22222222,4,81a10227,0.113158847,0.063951365,0.554442404,0.508152953,4.285714286,3
112,6_hard_pruned,1,interaction,0.042427821,0.042427821,0.554450629,0.554450629,5,5,81c11c9f,0.362640855,0.162603211,0.727452994,0.73379773,1.333333333,1.5
113,10_hard_full,1,blocking,0.050948345,0.036430064,0.515033184,0.404104913,2,2,84dbf4f9,0.195669707,0.170286488,0.703416612,1,1.888888889,0
114,10_medium_full,0,blocking,0.027223265,0.021015934,0.45467805,0.1787068,4.857142857,8,85e50169,0.173746732,0.096207388,0.66388584,0.69416126,1.615384615,2
115,6_easy_full,0,density,0.083891203,0.068965517,0.519560683,0.555555556,4.983606557,3,86f6e2cb,0.119382923,0.083333333,0.654624783,0.666666667,3.342465753,2
116,6_hard_full,0,interaction,0.332966154,0.108195057,0.612548586,1,1.909090909,0,87b50908,0.255247798,0.106527876,0.882060834,1,0.928571429,0
117,10_medium_full,1,blocking,0.010557967,0.010557967,0.077119853,0.077119853,4.5,4.5,89fbc220,0.13394694,0.107070563,0.676527608,0.691240778,1.5,1.5
118,10_hard_pruned,1,blocking,0.081055178,0.014285714,0.594106982,1,9.090909091,0,8aa6d830,0.199617134,0.151206159,0.804948148,1,4.540540541,0
119,6_easy_pruned,1,interaction,0.071428571,0.071428571,1,1,0,0,8ab71c6b,0.678469428,0.920485691,0.864661654,1,1,0
120,10_easy_full,1,blocking,0.015873016,0.015873016,1,1,0,0,8de6a2af,0.357075507,0.371504807,1,1,0,0
121,6_easy_full,1,interaction,0.1879192,0.071428571,0.675004573,1,0.5,0,8df4f6e8,0.272879298,0.174183143,0.760092607,1,2.142857143,0
122,10_hard_pruned,0,blocking,0.120532511,0.100420173,0.44910289,0.426788433,5,1,8ea50714,0.137820049,0.083372012,0.627265148,0.558001934,1.590909091,1
123,6_hard_full,1,blocking,0.15791293,0.055555556,0.742520676,1,1.5,0,8fc76287,0.249045881,0.210034309,0.704713641,1,1.483870968,0
124,6_hard_full,1,blocking,0.230090899,0.16286018,0.624244009,0.682394329,1.6,1,91cfd7fb,0.20681544,0.164633104,0.680912513,0.800475782,1.363636364,1
125,10_easy_full,0,blocking,0.154997498,0.127042398,0.513683961,0.344667919,7.214285714,1.5,92a70054,0.041293674,0.017427383,0.422926406,0.129705364,9.192307692,7
126,6_hard_pruned,0,interaction,0.040620978,0.03863277,0.348817601,0.143588561,5.25,5.5,92a74a76,0.237052483,0.109012461,0.656441993,0.731639817,1.2,1
127,6_hard_full,0,blocking,0.109640753,0.00761936,0.351841172,0.015827438,4.333333333,1,92b722f3,0.132940745,0.112833709,0.72102812,1,1.882352941,0
128,10_hard_full,1,blocking,0.014285714,0.014285714,1,1,0,0,92e6f512,0.30686374,0.240119735,1,1,0,0
129,10_easy_pruned,1,blocking,0.023441106,0.023441106,0.557673611,0.557673611,3,3,92f69945,0.236512268,0.246327633,0.653456563,1,12.28571429,0
130,10_medium_full,1,blocking,0.061916054,0.055212603,0.667255891,0.85628732,3.666666667,0.5,93c70cc1,0.17882376,0.129918519,0.690278108,1,0.9,0
131,10_medium_pruned,1,blocking,0.023042041,0.021715379,0.223142829,0.113823375,6.928571429,4.5,93ebead7,0.11017092,0.067062458,0.424657496,0.273575463,4.117647059,4
132,10_medium_pruned,1,blocking,0.265639356,0.265639356,1,1,0,0,94a4f5d4,0.196908241,0.203180538,0.684501434,1,2.285714286,0
133,6_easy_pruned,1,blocking,0.071428571,0.071428571,1,1,0,0,94abbfb2,0.430525738,0.285714791,0.736841794,0.564102564,0.777777778,1
134,6_hard_full,0,interaction,0.278536037,0.108195057,0.517871881,0.331915043,3.769230769,1,94d6ef33,0.115968077,0.104043292,0.687296591,0.675264828,2.75862069,2
135,10_medium_pruned,1,blocking,0.012987013,0.012987013,1,1,0,0,95e69707,0.226827321,0.206297426,0.81611876,1,0.666666667,0
136,10_medium_full,0,blocking,0.010530436,0.010530436,0.527618014,0.527618014,14,14,96abd246,0.246171814,0.254371379,0.866839356,1,1,0
137,6_easy_pruned,1,interaction,0.363688801,0.274701138,0.756675,1,0.5,0,96afd320,0.248153218,0.077657821,0.616267454,0.959183673,2.583333333,0.5
138,10_hard_pruned,0,blocking,0.05319206,0.054128639,0.418654754,0.332414015,7.25,1,98c10b8a,0.148078139,0.151206159,0.753312058,1,1.285714286,0
139,10_hard_full,1,blocking,0.25063287,0.368806448,1,1,0,0,98d105c1,0.206333008,0.151206159,0.796235209,1,1,0
140,6_hard_full,0,density,0.072961258,0.068591586,0.928571429,0.928571429,0.5,0.5,9adbc2df,0.17014116,0.073170732,0.719135802,0.666666667,3.888888889,3
141,10_easy_full,1,blocking,0.015873016,0.015873016,1,1,0,0,9ae751bc,0.15191604,0.10633202,0.746472333,0.761486756,5.85,1.5
142,10_medium_pruned,0,blocking,0.013333333,0.013333333,1,1,0,0,9ba1165f,0.249537797,0.263749478,0.784454493,1,0.5,0
143,10_hard_full,0,blocking,0.233688092,0.368806448,0.750159909,1,3.571428571,0,9befd8ad,0.168581695,0.099742829,0.612853487,0.585735426,1.833333333,1
