,userid,player,missed_win,board,fitted_heuristic,correct
139,5efbf191,2.0,0.75,10_medium_pruned,blocking,1
140,65f68460,1.0,0.0,10_hard_full,blocking,1
141,67abc3ab,1.0,0.5,6_easy_pruned,density,1
142,67abc3ab,2.0,0.583333333333,6_easy_pruned,density,1
143,67abf219,1.0,0.0,6_easy_pruned,density,0
144,67abf219,2.0,1.0,6_easy_pruned,density,0
145,67eac875,1.0,0.727272727273,6_hard_full,linear,0
146,67eac875,2.0,0.705882352941,6_hard_full,linear,0
147,67f69d24,1.0,0.0,10_easy_full,blocking,0
148,67f69d24,2.0,1.0,10_easy_full,blocking,0
149,69bad0fe,1.0,0.0,6_hard_full,blocking,0
150,69bad0fe,2.0,0.294117647059,6_hard_full,blocking,0
151,6ac7311a,2.0,0.777777777778,10_easy_full,blocking,0
152,6bb10472,1.0,0.0,6_hard_pruned,blocking,1
153,6bca8117,1.0,0.333333333333,6_easy_full,non-linear,0
154,6bca8117,2.0,1.0,6_easy_full,non-linear,0
155,6bf51f66,1.0,0.0,6_hard_full,interaction,0
156,6bf51f66,2.0,0.6,6_hard_full,interaction,0
157,6cbbcdf7,1.0,0.0,6_easy_pruned,non-linear,0
158,6cbbcdf7,2.0,1.0,6_easy_pruned,non-linear,0
159,6db76212,1.0,0.0,10_medium_pruned,blocking,1
160,6dd103e2,1.0,0.5,6_hard_pruned,non-linear,0
161,6dd103e2,2.0,1.0,6_hard_pruned,non-linear,0
162,6dfbeafe,2.0,1.0,10_easy_full,blocking,0
163,6fc70a09,1.0,0.0,6_easy_pruned,non-linear,1
164,6fc70a09,2.0,1.0,6_easy_pruned,non-linear,1
165,70bffd4d,2.0,0.230769230769,10_easy_full,blocking,0
166,70da8cfb,1.0,0.0,6_hard_full,interaction,1
167,70da8cfb,2.0,0.555555555556,6_hard_full,interaction,1
168,71ebc315,1.0,0.0,10_medium_pruned,blocking,0
169,72e6961c,1.0,0.0,10_medium_full,blocking,1
170,7acbc3e2,1.0,0.5,6_easy_pruned,non-linear,1
171,7acbc3e2,2.0,1.0,6_easy_pruned,non-linear,1
172,7cc119e0,1.0,0.2,6_easy_pruned,non-linear,1
173,7cc119e0,2.0,1.0,6_easy_pruned,non-linear,1
174,7db4f1d2,1.0,0.0,6_easy_pruned,blocking,1
175,7db4f1d2,2.0,1.0,6_easy_pruned,blocking,1
176,7dd704e0,1.0,0.0909090909091,6_hard_pruned,blocking,1
177,7dd704e0,2.0,0.5,6_hard_pruned,blocking,1
