win_score,blocking_score,fitted_heuristic,participants,proportion_participants
12800,10,interaction_blind,54,0.14516129
12800,10,linear,11,0.029569892
12800,10,non-linear,70,0.188172043
12800,20,blocking,42,0.112903226
12800,20,blocking_blind,135,0.362903226
12800,20,density,45,0.120967742
12800,20,interaction,12,0.032258065
12800,20,interaction_blind,59,0.158602151
12800,20,linear,10,0.02688172
12800,20,non-linear,69,0.185483871
12800,40,blocking,40,0.107526882
12800,40,blocking_blind,120,0.322580645
12800,40,density,45,0.120967742
12800,40,interaction,13,0.034946237
12800,40,interaction_blind,74,0.198924731
12800,40,linear,9,0.024193548
12800,40,non-linear,71,0.190860215
12800,80,blocking,37,0.099462366
12800,80,blocking_blind,110,0.295698925
12800,80,density,45,0.120967742
12800,80,interaction,16,0.043010753
12800,80,interaction_blind,82,0.220430108
12800,80,linear,10,0.02688172
12800,80,non-linear,72,0.193548387
12800,160,blocking,33,0.088709677
12800,160,blocking_blind,102,0.274193548
12800,160,density,45,0.120967742
12800,160,interaction,21,0.056451613
12800,160,interaction_blind,90,0.241935484
12800,160,linear,10,0.02688172
12800,160,non-linear,71,0.190860215
