,board_name,path,path_length,probability
61,6_hard_full,"[[2, 3, 1], [5, 3, 2], [5, 2, 1], [2, 2, 2], [3, 2, 1], [0, 0, 2]]",6,0.002
62,6_hard_full,"[[3, 2, 1], [4, 4, 2], [2, 2, 1], [5, 2, 2], [0, 2, 1], [2, 3, 2], [5, 3, 1], [3, 4, 2]]",8,0.002
63,6_hard_full,"[[2, 3, 1], [2, 2, 2], [0, 0, 1], [5, 2, 2], [1, 0, 1]]",5,0.002
64,6_hard_full,"[[2, 3, 1], [2, 2, 2], [0, 3, 1], [0, 0, 2], [3, 0, 1], [2, 4, 2], [2, 5, 1], [4, 4, 2], [1, 5, 1]]",9,0.002
65,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [2, 3, 1], [4, 4, 2], [5, 0, 1], [3, 4, 2], [0, 0, 1]]",9,0.002
66,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [5, 3, 1]]",5,0.008
67,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [2, 2, 2], [2, 0, 1], [4, 4, 2]]",6,0.002
68,6_hard_full,"[[0, 3, 1], [3, 0, 2], [3, 2, 1], [2, 2, 2], [4, 0, 1]]",5,0.002
69,6_hard_full,"[[4, 2, 1], [2, 3, 2], [5, 3, 1], [2, 2, 2], [2, 5, 1], [4, 3, 2], [2, 0, 1], [0, 0, 2], [3, 4, 1]]",9,0.002
70,6_hard_full,"[[4, 3, 1], [5, 2, 2], [5, 3, 1]]",3,0.002
71,6_hard_full,"[[4, 3, 1], [4, 4, 2], [2, 2, 1], [2, 4, 2], [2, 5, 1], [5, 3, 2], [1, 4, 1]]",7,0.002
72,6_hard_full,"[[2, 3, 1], [5, 2, 2], [5, 3, 1], [4, 4, 2], [2, 2, 1], [2, 4, 2], [2, 0, 1], [4, 2, 2], [4, 0, 1]]",9,0.002
73,6_hard_full,"[[3, 0, 1], [0, 3, 2], [2, 3, 1], [0, 0, 2], [2, 4, 1]]",5,0.002
74,6_hard_full,"[[4, 2, 1], [2, 2, 2], [2, 4, 1], [4, 4, 2], [2, 0, 1]]",5,0.002
75,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [3, 2, 1], [2, 2, 2], [4, 0, 1]]",7,0.004
76,6_hard_full,"[[0, 2, 1], [2, 2, 2], [5, 5, 1], [2, 3, 2], [4, 2, 1], [4, 4, 2], [0, 3, 1]]",7,0.002
77,6_hard_full,"[[0, 2, 1], [2, 2, 2], [5, 5, 1]]",3,0.002
78,6_hard_full,"[[0, 3, 1], [3, 0, 2], [0, 2, 1], [0, 5, 2], [2, 0, 1], [2, 2, 2], [4, 0, 1], [2, 3, 2], [5, 2, 1]]",9,0.002
