,entropy,condition
240,1.2238904640678623,Full
241,1.1920601779486104,Full
242,1.0514979087579879,Full
243,1.1444802630392816,Full
244,1.1217354547835128,Full
245,1.19584118792278,Full
246,1.2752357300443995,Full
247,1.3967969866080805,Full
248,1.42083666480458,Full
249,1.5021274962863707,Full
250,1.313195994408566,Full
251,1.1307937469632767,Full
252,1.4048839900158443,Full
253,1.0886533401530243,Full
254,1.3062936448899605,Full
255,1.3221536512941738,Full
256,1.4115954742185313,Full
257,1.1985983199897992,Full
258,1.3420038318960494,Full
259,1.1302841030163755,Full
260,1.2301427050024858,Full
261,1.267788992912477,Full
262,1.1426399285187727,Full
263,1.2457215681760128,Full
264,1.2732843362052644,Full
265,1.240682720230729,Full
266,1.171229634597822,Full
267,1.1573536555527049,Full
268,1.0718475607036535,Full
269,1.1801748461283068,Full
270,1.1534795981806163,Full
271,1.2806109832967705,Full
272,1.3751594760268446,Full
273,1.1709038654709159,Full
274,1.2694541581070475,Full
275,1.3011458331395858,Full
276,1.123877565660968,Full
277,1.2662841783680867,Full
278,1.353955451898389,Full
279,1.350426608287632,Full
280,1.39123739303828,Full
281,1.284844622598067,Full
282,1.2750001998999099,Full
283,1.4159714461734771,Full
284,1.31057766341545,Full
285,1.2160420550506665,Full
286,1.1981924275885816,Full
287,1.1283071472733617,Full
288,1.2077401008910973,Full
289,1.2645964555936777,Full
290,1.2422641045344194,Full
291,1.3154731264928472,Full
292,1.3867275443519267,Full
293,1.2644322050574792,Full
294,1.0946589545176435,Full
295,1.1745554733579566,Full
296,1.4002560655247502,Full
297,1.1425362205817906,Full
298,1.1214902264066766,Full
299,1.3730009838373518,Full
300,1.2672385303519844,Full
301,1.2343926551675393,Full
302,1.1421402965786716,Full
303,1.4029824885204285,Full
304,1.3633810269548623,Full
305,1.223270365917521,Full
306,1.4590569067619503,Full
307,1.2690152545016895,Full
308,1.2549633770323225,Full
309,1.1675523159638543,Full
310,1.262088866923506,Full
311,1.0578314996113118,Full
312,1.221681214100714,Full
313,1.3745894152829239,Full
314,1.1635757382633871,Full
315,1.007222100352497,Full
316,1.22253587609415,Full
317,1.1071632856112628,Full
318,1.309987466579266,Full
319,1.3961057982499394,Full
320,1.1970560045707577,Full
321,1.2046241709259975,Full
322,1.3021112801170138,Full
323,1.3375915113078818,Full
324,1.1057252026233693,Full
325,1.140863010521303,Full
326,1.2637160159914127,Full
327,1.3073954666084011,Full
328,1.2893019472846388,Full
329,1.2137055726392976,Full
330,1.1457798107267154,Full
331,1.1718269965527452,Full
332,1.440002475236806,Full
333,1.4775623007376435,Full
334,1.2356902431798262,Full
335,1.1857550906052894,Full
336,1.1896387143235159,Full
337,1.369860083015377,Full
338,1.2141144396120669,Full
339,1.2513307182046138,Full
340,1.1114018348417607,Full
341,1.3343201229095258,Full
342,1.1688160580200468,Full
343,1.4582075507368242,Full
344,1.2295782110439333,Full
345,1.4613019250798434,Full
346,1.1325540910203675,Full
347,1.3666935461633365,Full
348,1.3415455035225465,Full
349,1.200564486933395,Full
350,1.1934250659318224,Full
351,0.9939429569393767,Full
352,1.1755169444675304,Full
353,0.9951810927041049,Full
354,1.1449518638681249,Full
355,1.0905307781153293,Full
356,1.2540536082248628,Full
357,1.247172595101423,Full
358,1.0636958537120718,Full
359,1.3160347705133508,Full
360,1.1625381609042016,Full
361,1.2322142490345265,Full
362,1.1413016795960471,Full
363,1.0219466554937933,Full
364,1.180318070944438,Full
365,1.3134411959222958,Full
366,1.2732335667352728,Full
367,1.402578723377788,Full
368,1.0879196438231342,Full
369,1.402559345292019,Full
370,1.396875011521865,Full
371,1.0791820624919195,Full
372,1.2053570083959566,Full
373,1.2447945796444388,Full
374,1.104778325730199,Full
375,0.9634807752126864,Full
376,1.0820808911587352,Full
377,1.1866168433237163,Full
378,1.1085106641155618,Full
379,1.3146383121628293,Full
380,1.1624967304609202,Full
381,1.1150336166355037,Full
382,1.3104809416019894,Full
383,1.3112720188361,Full
384,1.363195689788716,Full
385,1.4073903983036085,Full
386,1.2605538482121315,Full
387,1.2266057179670435,Full
388,1.1427397254799163,Full
389,1.1823812974381178,Full
390,1.007222100352497,Full
391,1.3505858552980987,Full
392,1.3810853664987441,Full
393,1.191729392185075,Full
394,1.4227217125761098,Full
395,1.4037913010981322,Full
396,1.3163394594093965,Full
397,1.3155001051144726,Full
398,1.4261628415926106,Full
399,1.3265806288648445,Full
400,1.3229959437903012,Full
401,1.208433897981,Full
402,1.1259889091527415,Full
403,1.3168356597038766,Full
404,1.4410721418742878,Full
405,1.1395347503876194,Full
406,1.3728163636255273,Full
407,1.2644797036167932,Full
408,1.3060020288491834,Full
409,1.0305198549952412,Full
410,1.293830682694438,Full
411,1.2709686467528591,Full
412,1.2814853016962298,Full
413,1.2117861060568873,Full
414,1.275616682488411,Full
415,1.3125706289907244,Full
416,1.3189335077383497,Full
417,1.203679375363524,Full
418,1.090055656368314,Full
419,1.2805004773975874,Full
420,1.1727690872843342,Full
421,1.1921947615332698,Full
