,board,continued,count,path_length,probability,state
27,6_easy_full,1.0,1.0,4,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 2 0]
 [0 0 1 0 0 0]]"
28,6_easy_full,1.0,1.0,5,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 1 1 1 2 1]
 [1 2 2 2 0 0]
 [0 0 0 0 0 0]]"
29,6_easy_full,0.0,1.0,5,0.0,"[[0 1 2 2 2 0]
 [0 2 1 1 1 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 2 2 2 1 0]
 [1 0 0 0 0 0]]"
30,6_easy_full,0.0,1.0,5,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 2 1 1 2 1]
 [1 1 2 2 2 2]
 [0 0 0 0 0 0]]"
31,6_easy_full,15.0,21.0,2,0.714285714286,"[[0 1 0 2 0 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
32,6_easy_full,1.0,2.0,3,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 1 2]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [1 2 0 0 0 0]]"
33,6_easy_full,1.0,1.0,3,1.0,"[[1 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 2]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
34,6_easy_full,1.0,1.0,8,1.0,"[[0 1 0 2 0 1]
 [0 2 1 1 2 2]
 [1 2 2 2 1 1]
 [2 0 1 1 2 0]
 [1 1 2 2 1 2]
 [0 0 2 0 0 0]]"
35,6_easy_full,2.0,3.0,5,0.666666666667,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 1]
 [1 1 2 2 2 1]
 [0 0 0 0 0 0]]"
36,6_easy_full,1.0,1.0,3,1.0,"[[0 1 2 2 1 1]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
37,6_easy_full,0.0,1.0,1,0.0,"[[1 1 2 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
38,6_easy_full,1.0,2.0,8,0.5,"[[0 1 2 2 2 1]
 [0 2 1 1 1 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 1]
 [1 1 2 2 2 0]
 [0 0 0 0 0 0]]"
39,6_easy_full,1.0,1.0,13,1.0,"[[0 1 2 2 1 2]
 [1 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 2 1]
 [0 0 0 0 1 0]]"
40,6_easy_full,1.0,1.0,6,1.0,"[[0 1 2 2 1 0]
 [1 2 1 1 2 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 0 0]
 [0 0 0 0 0 0]]"
41,6_easy_full,1.0,1.0,5,1.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 2 1]
 [0 0 0 0 0 0]]"
42,6_easy_full,0.0,1.0,1,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 2]
 [1 0 2 2 0 1]
 [0 0 0 0 0 0]]"
43,6_easy_full,0.0,1.0,3,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 0 1]
 [1 2 2 2 1 2]
 [2 0 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
44,6_easy_full,0.0,1.0,6,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 1 0]
 [2 0 1 2 1 0]]"
45,6_easy_full,2.0,2.0,2,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 1]
 [1 0 2 2 2 0]
 [0 0 0 0 0 0]]"
46,6_easy_full,1.0,2.0,4,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 0 0]
 [1 2 0 0 2 1]]"
47,6_easy_full,1.0,1.0,4,1.0,"[[0 1 1 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 2]
 [1 0 2 2 0 0]
 [0 0 0 0 0 1]]"
48,6_easy_full,0.0,1.0,8,0.0,"[[0 1 2 2 0 0]
 [0 2 1 1 1 1]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 2 1]
 [0 0 0 0 0 0]]"
49,6_easy_full,1.0,1.0,2,1.0,"[[0 1 0 2 0 1]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
50,6_easy_full,1.0,2.0,1,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 1 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
51,6_easy_full,1.0,1.0,5,1.0,"[[0 1 0 2 0 1]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 2 1 1 2 0]
 [1 1 2 2 2 1]
 [0 0 0 0 0 0]]"
52,6_easy_full,1.0,2.0,3,0.5,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 1 0]
 [0 0 0 0 0 0]]"
53,6_easy_full,0.0,1.0,6,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 2 1]
 [1 2 2 2 1 1]
 [2 0 1 1 2 2]
 [1 0 2 2 2 0]
 [0 0 0 0 1 1]]"
54,6_easy_full,2.0,2.0,2,1.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 2]
 [2 0 1 1 2 1]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
55,6_easy_full,2.0,3.0,2,0.666666666667,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 0 1 1 2 0]
 [1 0 2 2 2 0]
 [0 0 0 0 0 1]]"
56,6_easy_full,11.0,16.0,0,0.6875,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 0]
 [2 1 1 1 2 0]
 [1 0 2 2 0 0]
 [0 0 0 0 0 0]]"
57,6_easy_full,0.0,1.0,4,0.0,"[[0 1 0 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 1]
 [2 2 1 1 2 2]
 [1 1 2 2 1 0]
 [0 0 0 0 0 0]]"
58,6_easy_full,0.0,1.0,5,0.0,"[[0 1 1 2 0 0]
 [0 2 1 1 0 0]
 [1 2 2 2 1 2]
 [2 2 1 1 2 2]
 [1 1 2 2 0 0]
 [0 0 0 0 0 1]]"
