,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
123,6_hard_full,density,-3.06641343802,-2.6289935061,-2.94778024206,fac10d6e
124,6_hard_full,density,-4.63674341768,-3.70127747565,-4.53816990404,fac6126a
125,6_hard_full,interaction,-2.31633946395,-2.62172534179,-2.30477219321,fde4bf4b
126,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,ffa4c00b
127,6_hard_full,blocking,-2.32900310691,-2.84778060165,-2.4539620185,fff4bf68
128,6_hard_pruned,density,-5.8453144682,-2.27876680649,-5.6632940135,11a64b43
129,6_hard_pruned,interaction,-1.39004558095,-2.34175945296,-1.19104586794,11a64d17
130,6_hard_pruned,interaction,-1.84998047813,-2.53316075864,-1.82128051595,11e652f7
131,6_hard_pruned,blocking,-0.814450301938,-2.38345203397,-0.86004592109,14d64999
132,6_hard_pruned,blocking,-1.45855659623,-2.28823640151,-1.61515997675,16d516ad
133,6_hard_pruned,blocking,-1.9378892547,-2.45268908037,-2.38801651757,1dac01e7
134,6_hard_pruned,interaction,-1.84104665732,-2.43861611813,-1.74382525666,25cfdeaf
135,6_hard_pruned,interaction,-1.11972444943,-2.23041780971,-0.837158130535,28e6483c
136,6_hard_pruned,blocking,-2.01756356107,-2.49214603767,-2.16254509469,2afbbf79
137,6_hard_pruned,interaction,-1.61692407175,-2.35205426068,-1.32484869631,2ca66220
138,6_hard_pruned,blocking,-2.36654753019,-2.42303954092,-2.5873205932,2cb650ed
139,6_hard_pruned,interaction,-1.58509988637,-2.2808661476,-1.39146108071,2fa647f5
140,6_hard_pruned,blocking,-1.85716402366,-2.48668748359,-2.00652800434,2ff50f64
141,6_hard_pruned,density,-4.09238368471,-2.51189529088,-3.92299153303,30e4feac
142,6_hard_pruned,interaction,-2.27552672408,-2.41338892338,-2.03332702217,33e649bd
143,6_hard_pruned,blocking,-1.00195535766,-2.19789606518,-1.25385567507,3ef64929
144,6_hard_pruned,blocking,-1.45278388095,-2.5778849788,-2.13399490414,3fa64b7b
