time_before,time_before_sec
21855,21.855
6302,6.302
3901,3.901
6135,6.135
2949,2.949
8713,8.713
9040,9.04
2257,2.257
842,0.842
11078,11.078
1575,1.575
5959,5.959
161,0.161
5218,5.218
173,0.173
2821,2.821
176,0.176
178,0.178
151,0.151
175,0.175
4102,4.102
2416,2.416
8506,8.506
1161,1.161
1228,1.228
3050,3.05
629,0.629
12702,12.702
877,0.877
904,0.904
8689,8.689
971,0.971
9552,9.552
1239,1.239
942,0.942
4058,4.058
1052,1.052
7447,7.447
2955,2.955
2711,2.711
3431,3.431
981,0.981
796,0.796
1299,1.299
4217,4.217
5148,5.148
1350,1.35
2231,2.231
4094,4.094
2277,2.277
2850,2.85
4871,4.871
13809,13.809
2881,2.881
2128,2.128
1742,1.742
3548,3.548
8517,8.517
1113,1.113
3813,3.813
3051,3.051
5604,5.604
200,0.2
159,0.159
150,0.15
5980,5.98
9965,9.965
2805,2.805
8879,8.879
1155,1.155
1076,1.076
13500,13.5
3424,3.424
4740,4.74
8849,8.849
370,0.37
2010,2.01
8277,8.277
1240,1.24
5280,5.28
3410,3.41
4669,4.669
461,0.461
190,0.19
157,0.157
174,0.174
1669,1.669
205,0.205
165,0.165
271,0.271
5119,5.119
197,0.197
166,0.166
6667,6.667
1228,1.228
356,0.356
2753,2.753
329,0.329
176,0.176
281,0.281
242,0.242
453,0.453
512,0.512
659,0.659
6729,6.729
140,0.14
1232,1.232
3974,3.974
3770,3.77
2083,2.083
378,0.378
5859,5.859
1445,1.445
2820,2.82
763,0.763
300,0.3
112,0.112
3812,3.812
775,0.775
3172,3.172
5735,5.735
4013,4.013
4533,4.533
135,0.135
7151,7.151
1688,1.688
857,0.857
18434,18.434
1177,1.177
2269,2.269
136,0.136
167,0.167
176,0.176
144,0.144
3324,3.324
7529,7.529
379,0.379
1024,1.024
2250,2.25
1114,1.114
783,0.783
442,0.442
9014,9.014
261,0.261
471,0.471
261,0.261
522,0.522
1928,1.928
3472,3.472
5922,5.922
291,0.291
391,0.391
692,0.692
6002,6.002
402,0.402
934,0.934
330,0.33
521,0.521
5601,5.601
221,0.221
444,0.444
2340,2.34
1607,1.607
271,0.271
1808,1.808
3214,3.214
241,0.241
221,0.221
240,0.24
1156,1.156
241,0.241
190,0.19
220,0.22
4378,4.378
943,0.943
220,0.22
543,0.543
260,0.26
251,0.251
521,0.521
1095,1.095
201,0.201
221,0.221
191,0.191
201,0.201
210,0.21
5726,5.726
9502,9.502
6487,6.487
834,0.834
2823,2.823
6679,6.679
12776,12.776
639,0.639
481,0.481
272,0.272
186,0.186
1584,1.584
232,0.232
2783,2.783
707,0.707
1390,1.39
6726,6.726
1350,1.35
175,0.175
173,0.173
182,0.182
176,0.176
192,0.192
186,0.186
191,0.191
214,0.214
269,0.269
3590,3.59
180,0.18
696,0.696
3773,3.773
5492,5.492
17733,17.733
202,0.202
193,0.193
368,0.368
5807,5.807
9916,9.916
9677,9.677
1032,1.032
2239,2.239
4669,4.669
3839,3.839
4211,4.211
1410,1.41
2727,2.727
3719,3.719
2173,2.173
6641,6.641
489,0.489
514,0.514
697,0.697
9755,9.755
6378,6.378
275,0.275
229,0.229
2062,2.062
306,0.306
272,0.272
331,0.331
830,0.83
6955,6.955
238,0.238
231,0.231
203,0.203
9341,9.341
916,0.916
5031,5.031
1145,1.145
7408,7.408
27524,27.524
479,0.479
391,0.391
3006,3.006
1017,1.017
307,0.307
270,0.27
173,0.173
3021,3.021
18631,18.631
3873,3.873
5007,5.007
508,0.508
270,0.27
492,0.492
9382,9.382
17292,17.292
1369,1.369
1992,1.992
18410,18.41
1598,1.598
3823,3.823
12492,12.492
944,0.944
1187,1.187
22164,22.164
867,0.867
770,0.77
7835,7.835
3094,3.094
1476,1.476
22777,22.777
8955,8.955
1226,1.226
8259,8.259
2839,2.839
3471,3.471
3752,3.752
4933,4.933
5185,5.185
1492,1.492
5645,5.645
973,0.973
546,0.546
615,0.615
3502,3.502
918,0.918
328,0.328
381,0.381
365,0.365
584,0.584
2414,2.414
349,0.349
254,0.254
345,0.345
752,0.752
2290,2.29
427,0.427
405,0.405
521,0.521
5451,5.451
1024,1.024
859,0.859
600,0.6
426,0.426
868,0.868
7698,7.698
256,0.256
209,0.209
209,0.209
190,0.19
219,0.219
191,0.191
189,0.189
208,0.208
2777,2.777
17179,17.179
1798,1.798
509,0.509
3685,3.685
6773,6.773
343,0.343
5824,5.824
2204,2.204
6820,6.82
4484,4.484
7756,7.756
8781,8.781
3788,3.788
3165,3.165
259,0.259
566,0.566
217,0.217
192,0.192
174,0.174
169,0.169
155,0.155
2346,2.346
1428,1.428
1524,1.524
1423,1.423
4986,4.986
1560,1.56
1421,1.421
6473,6.473
507,0.507
4438,4.438
481,0.481
4958,4.958
3588,3.588
579,0.579
263,0.263
191,0.191
216,0.216
223,0.223
260,0.26
304,0.304
491,0.491
7799,7.799
256,0.256
478,0.478
297,0.297
5780,5.78
224,0.224
423,0.423
551,0.551
5861,5.861
4354,4.354
319,0.319
3399,3.399
2898,2.898
903,0.903
636,0.636
1210,1.21
