,condition,entropy
79,Truncated,0.7445795752818917
80,Full,0.3223980950908248
81,Truncated,0.7705303727191944
82,Full,0.2766950471712088
83,Truncated,0.6122570435771507
84,Full,0.21831033533090133
85,Truncated,0.6897127918501431
86,Full,0.34060196927480857
87,Truncated,0.6432465583501901
88,Full,0.2518098072689046
89,Truncated,0.6860095240828864
90,Full,0.21182232496115566
91,Truncated,0.6578547264288549
92,Full,0.4401556267434453
93,Truncated,0.8991270674477788
94,Full,0.2390050285190926
95,Truncated,0.6739943778312476
96,Full,0.32077019799170514
97,Truncated,0.8097492923736025
98,Full,0.2765112645366502
99,Truncated,0.6504556374601823
100,Full,0.29527759684777816
101,Truncated,0.6738993144138735
102,Full,0.29569600100666776
103,Truncated,0.6938707205914914
104,Full,0.2873215353116182
105,Truncated,0.7241606149595297
106,Full,0.31262288960383544
107,Truncated,0.8802140008983209
108,Full,0.24126709165955557
109,Truncated,0.6878589699761226
110,Full,0.2916663111449414
111,Truncated,0.7995689613865363
112,Full,0.26544348078211205
113,Truncated,0.5846692867800265
114,Full,0.2756696503152317
115,Truncated,0.6699323373493168
116,Full,0.3288025365221385
117,Truncated,0.6682023550120759
118,Full,0.2542003664173925
119,Truncated,0.674256446467036
120,Full,0.35376853119801754
121,Truncated,0.7993613873858575
122,Full,0.4368614592120943
123,Truncated,0.7188760713862604
124,Full,0.22937349539342913
125,Truncated,0.6855479967943717
126,Full,0.3258288874740223
127,Truncated,0.6632413345815278
128,Full,0.22298913420467545
129,Truncated,0.5328126129084331
130,Full,0.26288432863554845
131,Truncated,0.6824368627633829
132,Full,0.2754086292190461
133,Truncated,0.6922681218241821
134,Full,0.3812036501038774
135,Truncated,0.7966551156149965
136,Full,0.3002953316628676
137,Truncated,0.6629198524022976
138,Full,0.30674042126696416
139,Truncated,0.5821849482020127
140,Full,0.28221077829297664
141,Truncated,0.6649266156752456
142,Full,0.2516713782776141
143,Truncated,0.7522482611708355
144,Full,0.22520119761412183
145,Truncated,0.6776535898933221
146,Full,0.28328084710982465
147,Truncated,0.6884068217213217
148,Full,0.25238035519654883
149,Truncated,0.9286442796032409
150,Full,0.29421805872145673
151,Truncated,0.7016206431530414
152,Full,0.3157345544028117
153,Truncated,0.6787441217053725
154,Full,0.245287501205921
155,Truncated,0.6820306525083728
156,Full,0.34874238448819544
157,Truncated,0.6516438817437087
158,Full,0.2980383134913488
159,Truncated,0.6604941751120159
160,Full,0.29683396882607593
161,Truncated,0.6654330227115659
162,Full,0.2964078431807592
163,Truncated,0.6717024614669781
164,Full,0.3058907887527069
165,Truncated,0.689602252028079
166,Full,0.2728838885802452
167,Truncated,0.6080910760357524
168,Full,0.34556800506075275
169,Truncated,0.7547154513544247
170,Full,0.309985667696356
171,Truncated,0.6985720126181619
172,Full,0.29113158169242537
173,Truncated,0.5997206420793529
174,Full,0.328181607600929
175,Truncated,0.6574535357912682
176,Full,0.3126379608921777
177,Truncated,0.7432914364222211
178,Full,0.32418749041073747
179,Truncated,0.6539709852836976
180,Full,0.28474465908989066
181,Truncated,0.6764058565957891
182,Full,0.3491279855121312
183,Truncated,0.6529514770766591
184,Full,0.31088874523959314
185,Truncated,0.7078483119727377
186,Full,0.22552004000946677
187,Truncated,0.6386961301817881
188,Full,0.2707855157730473
189,Truncated,0.7680151525574938
190,Full,0.3182904669407119
191,Truncated,0.6000229731591855
192,Full,0.30843811154499
193,Truncated,0.6553858989788296
194,Full,0.28207405420275455
195,Truncated,0.659223400374854
196,Full,0.3286722683264689
197,Truncated,0.6995252372142181
198,Full,0.33901057119454625
199,Truncated,0.6531173672991563
200,Full,0.2619785657507401
201,Truncated,0.7810941764123095
202,Full,0.26537061531581074
203,Truncated,0.7322216692643523
204,Full,0.23227028274150058
205,Truncated,0.7149633762559946
206,Full,0.23289544651104738
207,Truncated,0.6900852858591274
208,Full,0.25976977046833916
209,Truncated,0.588080605074736
210,Full,0.31708444849622486
211,Truncated,0.6311666501784491
212,Full,0.2487802350312699
213,Truncated,0.7152219980971632
214,Full,0.40863246415648935
215,Truncated,0.8554119147833225
216,Full,0.3046787694248095
217,Truncated,0.70457199044301
218,Full,0.2818868103206258
219,Truncated,0.7253184666040006
220,Full,0.33215345876605595
221,Truncated,0.8056014023838936
222,Full,0.2906815205190358
223,Truncated,0.7516563707199674
224,Full,0.29060351746558516
225,Truncated,0.5821759135472656
226,Full,0.3295017886386431
227,Truncated,0.7638560943019682
228,Full,0.34856644736378534
229,Truncated,0.7950382833514936
230,Full,0.32076664432337904
231,Truncated,0.6088005616676082
232,Full,0.3747126924591209
233,Truncated,0.8624464790515725
234,Full,0.4103421548453488
235,Truncated,0.7282989258091354
236,Full,0.24618904208696737
237,Truncated,0.7930564180976833
238,Full,0.3472102638173078
239,Truncated,0.8364003530175647
240,Full,0.30649713353252844
241,Truncated,0.6770844108388542
242,Full,0.2947851298985666
243,Truncated,0.7238927786429459
244,Full,0.2959294034531769
245,Truncated,0.7086382133278095
246,Full,0.2063232082688339
247,Truncated,0.5653549278143672
248,Full,0.29100752562322474
249,Truncated,0.8105136663623569
250,Full,0.3258606012504333
251,Truncated,0.6900470609199387
252,Full,0.33879656786612045
253,Truncated,0.7057322428541223
254,Full,0.32522967843972844
255,Truncated,0.7284625334026661
256,Full,0.2860611430326021
257,Truncated,0.5899760847274031
258,Full,0.35861667380474394
259,Truncated,0.6319466811618283
260,Full,0.2632742081523515
261,Truncated,0.6653695411588634
262,Full,0.32946678222671827
263,Truncated,0.5981449191608792
264,Full,0.27962876427346917
265,Truncated,0.6511754176767522
266,Full,0.3036735185511107
267,Truncated,0.7050585135741733
268,Full,0.23345035466306865
269,Truncated,0.6816813460903148
270,Full,0.2672609376943601
271,Truncated,0.6047458360444252
