userid,board_name,board_size,board_type,condition,blocking_score,win_score,heuristic,prob_move,log_move,rank_move,move_number,move_number_in_path,path_number
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.08151269879909123,-2.5069964573871983,3.0,23,1,8
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.2328579868933872,-1.4573265095476837,1.0,24,2,8
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.23998635665630527,-1.4271732045214074,1.0,24,2,8
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,1.0,0.0,0.0,25,3,8
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,1.0,0.0,0.0,25,3,8
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.04366255834256721,-3.1312643326332523,1.0,26,4,8
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0951695551528197,-2.3520951871462823,1.0,26,4,8
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.004873025469037506,-5.324040288572245,3.0,27,5,8
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.004873025469037506,-5.324040288572245,3.0,27,5,8
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.08845692483352476,-2.425239570502255,4.0,28,0,8
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.061903583461877194,-2.782177209822187,5.0,28,0,8
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.046735207648536885,-3.0632574872519323,4.0,29,1,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.046735207648536885,-3.0632574872519323,4.0,29,1,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.04165095827933029,-3.1784309027268733,3.0,30,2,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.07605178189150051,-2.5763408300253494,3.0,30,2,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,1.0,0.0,0.0,31,3,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,1.0,0.0,0.0,31,3,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.0864232481933432,-2.4484985630548226,1.0,32,4,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.11140165789651502,-2.1946130692252335,1.0,32,4,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.04947572699813344,-3.006273093349149,2.0,33,5,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.04947572699813344,-3.006273093349149,2.0,33,5,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.05162697610744438,-2.9637109503232257,1.0,34,6,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.09020283619425015,-2.405694409012658,1.0,34,6,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.518171850226496,-0.6574483345478958,0.0,35,7,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.518171850226496,-0.6574483345478958,0.0,35,7,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.08845692483352476,-2.425239570502255,4.0,36,0,9
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.061903583461877194,-2.782177209822187,5.0,36,0,9
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.235816672321567,-1.444700588028215,0.0,37,1,10
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.235816672321567,-1.444700588028215,0.0,37,1,10
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.0185653834617236,-3.9864565364776055,4.0,38,2,10
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.014433838142707224,-4.238179958008118,5.0,38,2,10
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.026811886793458486,-3.6189099527294704,2.0,39,3,10
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.026811886793458486,-3.6189099527294704,2.0,39,3,10
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.15222555036920668,-1.8823919739958799,0.0,40,0,10
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.10652989667055424,-2.2393296133158116,2.0,40,0,10
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.2060630100870005,-1.5795732827537945,1.0,41,1,11
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.2060630100870005,-1.5795732827537945,1.0,41,1,11
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.039003659293749486,-3.2440998092092075,3.0,42,2,11
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.07836476925521221,-2.5463808243682577,3.0,42,2,11
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.0005387896450732833,-7.526185332110733,12.0,43,3,11
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.0005387896450732833,-7.526185332110733,12.0,43,3,11
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.00484910680565955,-5.328960754774513,3.0,44,3,11
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.00484910680565955,-5.328960754774513,3.0,44,3,11
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.15222555036920668,-1.8823919739958799,0.0,45,0,11
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.10652989667055424,-2.2393296133158116,2.0,45,0,11
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.047697438232275534,-3.0428775883523667,5.0,46,1,12
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.047697438232275534,-3.0428775883523667,5.0,46,1,12
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.43222758723081356,-0.8388030071666221,0.0,47,2,12
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.3432184878841175,-1.0693880436930026,0.0,47,2,12
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.045454545454545456,-3.0910424533583156,0.0,48,3,12
22dac859,6_hard_full,6,hard,full,10,100,blocking_blind,0.045454545454545456,-3.0910424533583156,0.0,48,3,12
22dac859,6_hard_full,6,hard,full,10,100,interaction_blind,0.6004463266636507,-0.5100820225331771,0.0,49,4,12
