,userid,solved,board_name,board_size,board_type,condition,action
169,37f60bbc,wrong,6_hard_full,6,hard,full,1
170,37f61258,wrong,6_hard_full,6,hard,full,8
171,38a1a872,wrong,10_medium_full,10,medium,full,7
172,38abe966,validatedCorrect,6_easy_full,6,easy,full,16
173,38c1ac46,validatedCorrect,10_easy_pruned,10,easy,pruned,13
174,38cbc1f6,wrong,10_medium_full,10,medium,full,49
175,38e2e9be,wrong,6_easy_pruned,6,easy,pruned,14
176,38e6c356,wrong,10_hard_pruned,10,hard,pruned,25
177,38ebbf94,wrong,6_hard_full,6,hard,full,29
178,39a23ae7,solvedCorrect,10_easy_full,10,easy,full,61
179,39afd1eb,validatedCorrect,10_easy_pruned,10,easy,pruned,5
180,39b67ab6,wrong,10_medium_full,10,medium,full,11
181,39eeed89,wrong,10_easy_pruned,10,easy,pruned,21
182,3ab7160d,validatedCorrect,10_easy_pruned,10,easy,pruned,62
183,3ac5170c,validatedCorrect,10_easy_full,10,easy,full,22
184,3acff9fa,wrong,6_easy_full,6,easy,full,6
185,3ad4e7d3,validatedCorrect,6_hard_pruned,6,hard,pruned,5
186,3af4bfbb,wrong,6_hard_full,6,hard,full,8
187,3bac0799,validatedCorrect,6_easy_full,6,easy,full,8
188,3bb613b2,wrong,6_hard_full,6,hard,full,20
189,3cd60baf,validatedCorrect,6_hard_full,6,hard,full,13
190,3ce149c2,wrong,10_easy_full,10,easy,full,1
191,3ce55b94,wrong,6_easy_full,6,easy,full,73
192,3cf580c7,wrong,6_easy_pruned,6,easy,pruned,98
193,3db583aa,solvedCorrect,10_medium_pruned,10,medium,pruned,5
194,3dc571a5,validatedCorrect,6_easy_pruned,6,easy,pruned,13
195,3dc59c17,wrong,10_easy_full,10,easy,full,95
196,3de2a23d,validatedCorrect,10_hard_full,10,hard,full,23
197,3df11bae,solvedCorrect,6_hard_full,6,hard,full,24
198,3dfad0f2,wrong,10_easy_full,10,easy,full,8
199,3ea43816,validatedCorrect,10_hard_pruned,10,hard,pruned,7
200,3ebbc051,wrong,10_easy_pruned,10,easy,pruned,3
201,3ec55e12,wrong,6_easy_pruned,6,easy,pruned,4
202,3ed1161d,wrong,10_medium_pruned,10,medium,pruned,7
203,3ed61f8d,solvedCorrect,6_hard_full,6,hard,full,1
204,3ef64929,solvedCorrect,6_hard_pruned,6,hard,pruned,6
205,3fa1bb85,validatedCorrect,10_hard_pruned,10,hard,pruned,13
206,3fa64b7b,validatedCorrect,6_hard_pruned,6,hard,pruned,1
207,3fcbc0ab,validatedCorrect,6_easy_full,6,easy,full,50
208,3ff2e93a,validatedCorrect,6_easy_full,6,easy,full,16
209,40a29d8c,validatedCorrect,10_easy_pruned,10,easy,pruned,28
210,40a74de0,validatedCorrect,6_easy_full,6,easy,full,32
211,40c6c24a,wrong,10_hard_pruned,10,hard,pruned,9
212,40e4e2b8,wrong,6_hard_pruned,6,hard,pruned,5
213,40f6b779,wrong,10_medium_full,10,medium,full,1
214,41a6aea3,solvedCorrect,10_hard_pruned,10,hard,pruned,25
215,41bad9a2,validatedCorrect,10_hard_pruned,10,hard,pruned,43
216,42f75809,validatedCorrect,10_medium_pruned,10,medium,pruned,5
217,43c516b5,validatedCorrect,10_medium_pruned,10,medium,pruned,13
218,43c60cd9,validatedCorrect,6_hard_full,6,hard,full,31
219,43cad2c3,wrong,10_medium_pruned,10,medium,pruned,6
220,43dbc360,validatedCorrect,10_easy_pruned,10,easy,pruned,31
221,43e56481,validatedCorrect,6_easy_pruned,6,easy,pruned,5
222,43e64821,wrong,6_hard_pruned,6,hard,pruned,31
223,44a4fa14,wrong,6_hard_full,6,hard,full,5
224,44a65230,wrong,6_hard_pruned,6,hard,pruned,5
225,44b696ef,wrong,10_easy_pruned,10,easy,pruned,1
226,44c2eb5a,solvedCorrect,10_easy_full,10,easy,full,97
227,44eedf0e,wrong,6_easy_full,6,easy,full,48
228,45b146b0,wrong,10_hard_full,10,hard,full,31
229,45b64f9c,wrong,6_hard_pruned,6,hard,pruned,7
230,45c16f91,validatedCorrect,6_easy_pruned,6,easy,pruned,19
231,45f6b774,wrong,10_hard_pruned,10,hard,pruned,7
232,46c12352,validatedCorrect,10_easy_pruned,10,easy,pruned,18
233,46d5945f,validatedCorrect,6_easy_full,6,easy,full,7
234,46dad3ed,solvedCorrect,6_easy_pruned,6,easy,pruned,3
235,46e6d530,validatedCorrect,10_medium_pruned,10,medium,pruned,9
236,47a2e933,solvedCorrect,10_hard_pruned,10,hard,pruned,1
237,47a58969,validatedCorrect,6_easy_pruned,6,easy,pruned,3
238,47dbc824,wrong,10_easy_pruned,10,easy,pruned,25
239,47f614be,validatedCorrect,6_hard_full,6,hard,full,63
240,48c70a00,wrong,6_easy_pruned,6,easy,pruned,29
241,48e6dc30,wrong,10_hard_full,10,hard,full,5
242,48ec02bc,solvedCorrect,10_medium_full,10,medium,full,54
243,48f1c6a9,validatedCorrect,10_easy_pruned,10,easy,pruned,9
244,49b6bf52,wrong,10_easy_pruned,10,easy,pruned,40
245,49c72e9b,wrong,6_hard_pruned,6,hard,pruned,5
246,49e6113d,wrong,6_hard_full,6,hard,full,53
247,4ab308f9,validatedCorrect,6_easy_pruned,6,easy,pruned,5
248,4ac58df4,wrong,10_hard_pruned,10,hard,pruned,68
249,4af5df5d,wrong,6_hard_full,6,hard,full,6
250,4bb243a6,solvedCorrect,10_hard_full,10,hard,full,33
251,4bca7fc9,wrong,6_hard_pruned,6,hard,pruned,7
252,4bfffc8c,wrong,10_hard_pruned,10,hard,pruned,8
253,4ca649a6,wrong,6_hard_pruned,6,hard,pruned,1
254,4ca65156,wrong,6_hard_pruned,6,hard,pruned,36
255,4cb651bd,wrong,6_hard_pruned,6,hard,pruned,12
256,4cb73467,wrong,10_medium_full,10,medium,full,67
257,4cf589a5,validatedCorrect,10_hard_pruned,10,hard,pruned,102
258,4cffe209,wrong,10_medium_full,10,medium,full,43
259,4dc50d03,wrong,6_easy_pruned,6,easy,pruned,49
260,4de431b1,wrong,6_easy_full,6,easy,full,71
261,4de4f27d,wrong,10_medium_full,10,medium,full,45
262,4de6cf95,wrong,10_hard_full,10,hard,full,7
263,4dfbc07c,validatedCorrect,6_easy_pruned,6,easy,pruned,1
264,4eb2afd3,wrong,10_easy_full,10,easy,full,1
265,4eb4f441,validatedCorrect,10_easy_pruned,10,easy,pruned,5
266,4ecfea32,wrong,10_easy_pruned,10,easy,pruned,64
267,4ed4c1d3,validatedCorrect,6_hard_full,6,hard,full,29
268,4ed4e40b,validatedCorrect,6_hard_pruned,6,hard,pruned,21
269,4ed755f1,solvedCorrect,6_easy_full,6,easy,full,8
270,4ee64c2a,wrong,6_hard_pruned,6,hard,pruned,63
271,4fa58511,validatedCorrect,10_medium_pruned,10,medium,pruned,51
272,4fb692a0,wrong,10_easy_pruned,10,easy,pruned,5
273,4fba815c,wrong,10_medium_pruned,10,medium,pruned,14
274,4ffbe4e0,wrong,10_medium_full,10,medium,full,1
275,50b147cb,wrong,10_medium_full,10,medium,full,3
276,50c2b014,validatedCorrect,6_easy_full,6,easy,full,7
277,50c60ba6,validatedCorrect,6_hard_full,6,hard,full,7
278,50d2ea0b,wrong,10_easy_full,10,easy,full,17
279,50f6b001,wrong,10_hard_pruned,10,hard,pruned,27
280,51a4e32d,wrong,6_hard_pruned,6,hard,pruned,57
281,51b4380a,solvedCorrect,10_hard_pruned,10,hard,pruned,3
282,52e6cdec,wrong,10_medium_full,10,medium,full,1
283,53a654e5,wrong,6_hard_pruned,6,hard,pruned,21
284,53c4c041,wrong,6_hard_full,6,hard,full,20
