,userid,solved,board_name,board_size,board_type,condition,action
497,8cc55abe,solvedCorrect,6_easy_full,6,easy,full,11
498,8cd2e9f3,wrong,6_easy_full,6,easy,full,57
499,8de6a2af,validatedCorrect,10_easy_full,10,easy,full,7
500,8defd34b,wrong,10_easy_pruned,10,easy,pruned,45
501,8df4f6e8,validatedCorrect,6_easy_full,6,easy,full,36
502,8ea4bf56,wrong,6_hard_full,6,hard,full,18
503,8ea50714,wrong,10_hard_pruned,10,hard,pruned,53
504,8eb1ba3b,wrong,10_easy_pruned,10,easy,pruned,39
505,8ec146c8,validatedCorrect,10_easy_pruned,10,easy,pruned,10
506,8ec154b4,solvedCorrect,10_hard_full,10,hard,full,1
507,8fa6d75f,solvedCorrect,10_medium_full,10,medium,full,20
508,8fb6dff4,validatedCorrect,10_hard_full,10,hard,full,1
509,8fc76287,validatedCorrect,6_hard_full,6,hard,full,58
510,8fcbec83,wrong,6_hard_full,6,hard,full,39
511,8ff6ab84,solvedCorrect,10_easy_pruned,10,easy,pruned,7
512,90c60de8,solvedCorrect,6_hard_full,6,hard,full,43
513,90e4327c,solvedCorrect,10_hard_full,10,hard,full,14
514,91a61ead,wrong,6_hard_full,6,hard,full,5
515,91cfd7fb,validatedCorrect,6_hard_full,6,hard,full,45
516,91f586cc,wrong,6_easy_full,6,easy,full,89
517,92a70054,wrong,10_easy_full,10,easy,full,48
518,92a74a76,wrong,6_hard_pruned,6,hard,pruned,35
519,92b722f3,wrong,6_hard_full,6,hard,full,33
520,92d4349b,wrong,10_easy_full,10,easy,full,15
521,92e1b770,solvedCorrect,10_hard_pruned,10,hard,pruned,1
522,92e6f512,validatedCorrect,10_hard_full,10,hard,full,9
523,92f58f05,wrong,10_medium_full,10,medium,full,35
524,92f69945,validatedCorrect,10_easy_pruned,10,easy,pruned,12
525,93a45177,validatedCorrect,10_medium_pruned,10,medium,pruned,44
526,93c55a1b,validatedCorrect,6_easy_pruned,6,easy,pruned,42
527,93c6d00d,solvedCorrect,10_medium_full,10,medium,full,79
528,93c70cc1,validatedCorrect,10_medium_full,10,medium,full,18
529,93ebead7,validatedCorrect,10_medium_pruned,10,medium,pruned,40
530,93f5811e,wrong,6_easy_pruned,6,easy,pruned,5
531,94a1a7e0,validatedCorrect,10_hard_pruned,10,hard,pruned,17
532,94a4f5d4,validatedCorrect,10_medium_pruned,10,medium,pruned,11
533,94abbfb2,validatedCorrect,6_easy_pruned,6,easy,pruned,14
534,94d6ef33,wrong,6_hard_full,6,hard,full,50
535,94e4c554,validatedCorrect,6_hard_full,6,hard,full,38
536,94f5a0a9,wrong,10_medium_full,10,medium,full,7
537,95a648a3,wrong,6_hard_pruned,6,hard,pruned,2
538,95e69707,validatedCorrect,10_medium_pruned,10,medium,pruned,11
539,96abd246,wrong,10_medium_full,10,medium,full,7
540,96afd320,validatedCorrect,6_easy_pruned,6,easy,pruned,18
541,97aefe1f,validatedCorrect,10_medium_pruned,10,medium,pruned,11
542,97af0065,wrong,10_hard_full,10,hard,full,1
543,97d44ac8,validatedCorrect,10_easy_full,10,easy,full,41
544,98c10b8a,wrong,10_hard_pruned,10,hard,pruned,15
545,98c4bf54,wrong,6_hard_full,6,hard,full,8
546,98c56b80,wrong,6_easy_full,6,easy,full,21
547,98d105c1,validatedCorrect,10_hard_full,10,hard,full,15
548,98e146a8,wrong,10_hard_full,10,hard,full,23
549,98e1bc02,wrong,10_medium_pruned,10,medium,pruned,10
550,98ef1a30,wrong,10_medium_full,10,medium,full,7
551,99a55a43,solvedCorrect,6_easy_full,6,easy,full,13
552,99b44e42,wrong,10_easy_pruned,10,easy,pruned,22
553,99b587e6,validatedCorrect,10_hard_pruned,10,hard,pruned,9
554,99d55a2e,validatedCorrect,6_easy_full,6,easy,full,7
555,99f6aaf6,solvedCorrect,10_easy_pruned,10,easy,pruned,38
556,9aa6cdee,wrong,10_medium_full,10,medium,full,10
557,9ad23291,validatedCorrect,6_easy_full,6,easy,full,12
558,9adbc2df,solvedCorrect,6_hard_full,6,hard,full,15
559,9ae6cdf8,wrong,10_hard_full,10,hard,full,70
560,9ae751bc,validatedCorrect,10_easy_full,10,easy,full,36
561,9af4b085,validatedCorrect,10_easy_pruned,10,easy,pruned,5
562,9ba1165f,solvedCorrect,10_medium_pruned,10,medium,pruned,7
563,9be4eb1b,wrong,6_hard_pruned,6,hard,pruned,9
564,9be580e5,validatedCorrect,10_hard_pruned,10,hard,pruned,16
565,9befd8ad,wrong,10_hard_full,10,hard,full,15
566,9bf4f2c6,wrong,6_easy_full,6,easy,full,1
567,9cf22841,validatedCorrect,6_easy_pruned,6,easy,pruned,27
568,9da51cdd,validatedCorrect,10_medium_pruned,10,medium,pruned,50
569,9da55acf,validatedCorrect,6_easy_full,6,easy,full,103
570,9db10b00,validatedCorrect,6_easy_pruned,6,easy,pruned,8
571,9dc50a3d,wrong,6_hard_full,6,hard,full,70
572,9dd11e8e,wrong,10_medium_pruned,10,medium,pruned,49
573,9dd66bae,wrong,6_hard_pruned,6,hard,pruned,26
574,9de17b3b,wrong,10_medium_full,10,medium,full,131
575,9defd82d,wrong,6_easy_full,6,easy,full,42
576,9df449da,wrong,10_hard_pruned,10,hard,pruned,20
577,9df60bf8,wrong,6_hard_full,6,hard,full,8
578,9ea4fe94,wrong,10_medium_full,10,medium,full,11
579,9ed6aa41,wrong,10_hard_pruned,10,hard,pruned,5
580,9ef6ace9,wrong,10_easy_pruned,10,easy,pruned,40
581,9fa593df,wrong,10_easy_pruned,10,easy,pruned,7
582,9fe6c937,validatedCorrect,10_easy_pruned,10,easy,pruned,38
583,a0a14678,wrong,10_hard_pruned,10,hard,pruned,26
584,a0a4f4ea,wrong,10_medium_full,10,medium,full,30
585,a0d659c9,solvedCorrect,6_hard_pruned,6,hard,pruned,39
586,a0d6aab7,wrong,10_hard_pruned,10,hard,pruned,14
587,a0f4f1bf,solvedCorrect,6_hard_pruned,6,hard,pruned,44
588,a1b6b72c,validatedCorrect,10_hard_pruned,10,hard,pruned,3
589,a1e4e2c3,wrong,6_hard_pruned,6,hard,pruned,3
590,a2c12212,wrong,10_easy_pruned,10,easy,pruned,4
591,a2d1c30b,wrong,10_easy_full,10,easy,full,16
592,a2d5b09b,wrong,10_easy_full,10,easy,full,1
593,a2d68973,wrong,10_easy_full,10,easy,full,12
594,a2e1a84e,validatedCorrect,10_medium_pruned,10,medium,pruned,18
595,a2ebe618,wrong,6_hard_pruned,6,hard,pruned,6
596,a2f6ba1d,solvedCorrect,6_hard_full,6,hard,full,6
597,a3a2ec55,validatedCorrect,10_easy_full,10,easy,full,22
598,a3b4e28e,wrong,6_hard_pruned,6,hard,pruned,10
599,a3d4c3b2,validatedCorrect,6_hard_full,6,hard,full,25
600,a3d5dfda,wrong,6_hard_full,6,hard,full,36
601,a3eacaa9,wrong,10_hard_full,10,hard,full,25
602,a4c60d7a,wrong,6_hard_full,6,hard,full,9
603,a4f74985,wrong,10_hard_full,10,hard,full,35
604,a5a65415,solvedCorrect,6_hard_pruned,6,hard,pruned,3
605,a5d2fa66,validatedCorrect,10_hard_pruned,10,hard,pruned,9
606,a5d43d8e,solvedCorrect,10_hard_full,10,hard,full,10
607,a5e116c5,wrong,10_medium_full,10,medium,full,9
608,a6bff327,wrong,6_easy_full,6,easy,full,30
609,a6d2eaff,wrong,10_hard_full,10,hard,full,32
610,a6f610e1,wrong,6_hard_full,6,hard,full,29
611,a7a2ecf3,wrong,10_medium_full,10,medium,full,25
612,a7b181fa,wrong,6_easy_pruned,6,easy,pruned,24
613,a7b511d6,wrong,10_medium_full,10,medium,full,98
614,a7bfd4fc,wrong,10_easy_pruned,10,easy,pruned,15
615,a7f55a0a,validatedCorrect,6_easy_full,6,easy,full,45
616,a8b44557,wrong,10_medium_full,10,medium,full,75
617,a8b597cd,validatedCorrect,6_easy_full,6,easy,full,10
618,a8d6ce37,wrong,10_hard_full,10,hard,full,5
619,a9cbcabb,validatedCorrect,10_medium_pruned,10,medium,pruned,9
620,a9d5979e,wrong,6_easy_full,6,easy,full,46
621,a9e56013,wrong,6_easy_pruned,6,easy,pruned,19
622,aabeec31,solvedCorrect,10_hard_full,10,hard,full,2
623,aad5a289,validatedCorrect,6_easy_pruned,6,easy,pruned,7
624,aafbd6ab,wrong,6_hard_pruned,6,hard,pruned,20
625,abc728e1,validatedCorrect,10_hard_full,10,hard,full,14
626,abcefbdf,wrong,10_medium_pruned,10,medium,pruned,3
627,abd12ee2,validatedCorrect,10_medium_pruned,10,medium,pruned,9
628,abd29616,validatedCorrect,10_medium_pruned,10,medium,pruned,7
629,abdacc98,wrong,10_easy_full,10,easy,full,70
630,abe2aaa5,wrong,10_medium_pruned,10,medium,pruned,30
631,abeedf8b,validatedCorrect,10_hard_pruned,10,hard,pruned,1
632,abf59f0c,solvedCorrect,6_easy_full,6,easy,full,11
633,aca229a6,wrong,10_easy_full,10,easy,full,105
634,acb11b17,validatedCorrect,10_easy_pruned,10,easy,pruned,5
635,acc6e9d4,validatedCorrect,10_easy_full,10,easy,full,73
636,acd61c3d,wrong,6_hard_full,6,hard,full,9
637,acdac85f,wrong,10_hard_pruned,10,hard,pruned,57
638,aceaccbc,wrong,10_hard_full,10,hard,full,46
639,acf6e7eb,solvedCorrect,10_hard_full,10,hard,full,1
640,ada4c06f,wrong,6_hard_full,6,hard,full,87
641,adc2f895,validatedCorrect,10_hard_full,10,hard,full,36
642,add50f98,wrong,10_hard_full,10,hard,full,22
643,adf58cf8,wrong,10_medium_full,10,medium,full,1
644,adfac866,wrong,6_easy_pruned,6,easy,pruned,5
645,aeb5862d,wrong,10_hard_full,10,hard,full,1
646,aed647d3,wrong,6_hard_pruned,6,hard,pruned,27
647,aedbea55,validatedCorrect,6_easy_full,6,easy,full,20
648,aee1533a,wrong,10_easy_pruned,10,easy,pruned,1
649,aefbe715,solvedCorrect,10_easy_full,10,easy,full,37
650,afc166b1,solvedCorrect,10_easy_full,10,easy,full,4
651,afe6c7c5,solvedCorrect,10_hard_pruned,10,hard,pruned,21
652,b0c6f3a8,solvedCorrect,10_medium_pruned,10,medium,pruned,47
653,b0d5043d,wrong,10_medium_full,10,medium,full,33
654,b0d518a1,wrong,6_hard_full,6,hard,full,67
655,b0e1157c,wrong,6_hard_pruned,6,hard,pruned,16
656,b0e2a596,wrong,6_easy_pruned,6,easy,pruned,1
657,b0f2b4eb,wrong,10_hard_full,10,hard,full,27
658,b0f44295,wrong,10_easy_pruned,10,easy,pruned,10
659,b1ebd3b5,solvedCorrect,10_hard_full,10,hard,full,4
660,b2b4e2c1,wrong,6_hard_pruned,6,hard,pruned,80
661,b2d44cf9,solvedCorrect,10_medium_pruned,10,medium,pruned,9
662,b2d60bc9,wrong,6_hard_full,6,hard,full,79
663,b2e29cb8,wrong,10_hard_pruned,10,hard,pruned,17
664,b2e4e98a,wrong,6_hard_pruned,6,hard,pruned,7
665,b2f58fbd,wrong,10_hard_full,10,hard,full,24
666,b3b1b79a,wrong,10_hard_pruned,10,hard,pruned,7
667,b3dbd892,wrong,10_medium_full,10,medium,full,10
668,b3e4f78d,wrong,6_easy_full,6,easy,full,8
669,b4a4f22a,wrong,10_easy_full,10,easy,full,67
670,b4abeb7e,validatedCorrect,6_easy_full,6,easy,full,7
671,b5a6dc1f,wrong,10_easy_pruned,10,easy,pruned,22
672,b5b1466a,solvedCorrect,6_easy_full,6,easy,full,49
673,b5b6dcbc,wrong,10_hard_full,10,hard,full,34
674,b5c6aa47,wrong,10_easy_pruned,10,easy,pruned,5
675,b5eefb3b,wrong,10_easy_full,10,easy,full,7
676,b6b25181,wrong,10_easy_full,10,easy,full,34
677,b6bee067,wrong,6_easy_full,6,easy,full,3
678,b7a4fe27,wrong,6_hard_full,6,hard,full,9
679,b7b2b0b4,solvedCorrect,10_medium_pruned,10,medium,pruned,1
680,b7d2ed28,validatedCorrect,6_easy_pruned,6,easy,pruned,16
681,b7d3060c,solvedCorrect,10_medium_pruned,10,medium,pruned,1
682,b7e510d3,validatedCorrect,6_easy_pruned,6,easy,pruned,6
683,b7e6b167,validatedCorrect,10_easy_pruned,10,easy,pruned,72
684,b7eae04f,wrong,6_easy_full,6,easy,full,36
685,b8a11f60,wrong,6_easy_full,6,easy,full,3
686,b8a4fbaa,wrong,10_easy_full,10,easy,full,23
687,b8bac8b7,wrong,10_hard_pruned,10,hard,pruned,22
688,b8e4bf48,wrong,6_hard_full,6,hard,full,5
689,b8f4e433,wrong,6_hard_pruned,6,hard,pruned,18
690,b9bbc96c,solvedCorrect,10_medium_full,10,medium,full,16
691,b9bbef4c,wrong,10_easy_full,10,easy,full,15
692,b9c59db1,wrong,10_medium_full,10,medium,full,44
693,b9e10f8b,validatedCorrect,10_easy_pruned,10,easy,pruned,22
694,b9e44d9b,wrong,10_hard_full,10,hard,full,6
695,b9e512db,wrong,6_hard_pruned,6,hard,pruned,20
696,bac25238,validatedCorrect,10_hard_full,10,hard,full,32
697,bacbc468,validatedCorrect,10_hard_pruned,10,hard,pruned,5
698,bad4f1b5,wrong,6_hard_pruned,6,hard,pruned,44
699,bad589c5,validatedCorrect,6_easy_pruned,6,easy,pruned,11
700,bae297ee,wrong,10_easy_full,10,easy,full,9
701,bae4ffc0,solvedCorrect,6_hard_pruned,6,hard,pruned,20
702,bae515f2,wrong,6_hard_full,6,hard,full,13
703,bae5726e,validatedCorrect,6_easy_full,6,easy,full,58
704,bbc23545,wrong,6_easy_full,6,easy,full,39
705,bbc5629f,wrong,6_easy_full,6,easy,full,3
706,bbc6b8cf,wrong,10_easy_pruned,10,easy,pruned,54
707,bca124ea,solvedCorrect,10_medium_full,10,medium,full,7
708,bca5dc5e,solvedCorrect,6_hard_full,6,hard,full,1
709,bcdfd2df,wrong,6_hard_full,6,hard,full,52
710,bcf290e5,wrong,10_medium_pruned,10,medium,pruned,29
711,bcf51783,wrong,10_hard_pruned,10,hard,pruned,9
712,bda28d31,validatedCorrect,10_medium_pruned,10,medium,pruned,41
713,bdb28da4,wrong,6_easy_full,6,easy,full,74
714,bdd7483e,validatedCorrect,10_medium_pruned,10,medium,pruned,7
715,bdf2527a,solvedCorrect,10_medium_full,10,medium,full,17
716,bdf4e34a,wrong,6_hard_pruned,6,hard,pruned,72
717,bea55a9c,wrong,6_easy_pruned,6,easy,pruned,24
718,bea5941a,validatedCorrect,6_easy_full,6,easy,full,19
719,bed50a1d,validatedCorrect,6_hard_full,6,hard,full,25
720,bfa60c8b,validatedCorrect,6_hard_full,6,hard,full,20
721,bfa6b911,validatedCorrect,10_easy_pruned,10,easy,pruned,86
722,bfabcc7d,wrong,10_medium_full,10,medium,full,10
723,bfe4c87d,wrong,6_hard_full,6,hard,full,15
724,bff4e70e,wrong,6_hard_pruned,6,hard,pruned,6
725,c0cbeef2,validatedCorrect,6_easy_pruned,6,easy,pruned,7
726,c0dfd341,validatedCorrect,10_easy_full,10,easy,full,45
727,c0e2ec1e,validatedCorrect,10_hard_pruned,10,hard,pruned,10
728,c0f60e45,wrong,6_hard_full,6,hard,full,34
729,c1b6d6a4,solvedCorrect,10_hard_full,10,hard,full,9
730,c1f29bae,validatedCorrect,6_easy_pruned,6,easy,pruned,38
731,c2cbff2e,solvedCorrect,10_hard_pruned,10,hard,pruned,3
732,c3b45154,wrong,10_medium_full,10,medium,full,6
733,c3d6d0e6,wrong,10_hard_full,10,hard,full,46
734,c3dfd812,validatedCorrect,10_easy_pruned,10,easy,pruned,80
735,c4b1b32d,wrong,10_hard_full,10,hard,full,1
736,c4c6bed8,wrong,10_easy_pruned,10,easy,pruned,28
737,c4d6cb2d,wrong,10_hard_pruned,10,hard,pruned,7
738,c4f2ef6f,wrong,10_easy_pruned,10,easy,pruned,7
739,c5d58198,wrong,10_medium_full,10,medium,full,57
740,c5e22eb3,validatedCorrect,10_hard_full,10,hard,full,9
741,c5e4c4a5,wrong,6_hard_full,6,hard,full,1
742,c6a15708,wrong,10_easy_pruned,10,easy,pruned,40
743,c6aad6d0,validatedCorrect,10_easy_full,10,easy,full,44
744,c6b4c141,solvedCorrect,6_hard_full,6,hard,full,19
745,c6b60d63,wrong,6_hard_full,6,hard,full,33
746,c6c100be,wrong,10_medium_full,10,medium,full,74
747,c7a61295,solvedCorrect,6_hard_full,6,hard,full,38
748,c7a6593f,wrong,6_hard_pruned,6,hard,pruned,1
749,c7a67aab,wrong,6_hard_full,6,hard,full,51
750,c7a6ab83,validatedCorrect,10_easy_pruned,10,easy,pruned,1
751,c7b1e912,wrong,10_medium_full,10,medium,full,8
752,c7c4e29b,wrong,6_hard_pruned,6,hard,pruned,5
753,c7c6f18d,validatedCorrect,10_easy_pruned,10,easy,pruned,10
754,c7d594f8,solvedCorrect,6_easy_full,6,easy,full,10
755,c7eefab1,wrong,10_easy_full,10,easy,full,13
756,c7fffe38,wrong,6_hard_pruned,6,hard,pruned,27
757,c8a4fa50,wrong,6_hard_full,6,hard,full,54
758,c8afed22,solvedCorrect,6_easy_pruned,6,easy,pruned,41
759,c8b32c21,validatedCorrect,10_easy_full,10,easy,full,22
760,c8c4f85a,validatedCorrect,10_easy_full,10,easy,full,21
761,c8f4c13d,wrong,6_hard_full,6,hard,full,10
762,c9c757af,validatedCorrect,6_easy_pruned,6,easy,pruned,5
763,c9f64da2,wrong,6_hard_pruned,6,hard,pruned,17
764,caa248ea,wrong,6_easy_full,6,easy,full,1
765,cab61023,solvedCorrect,6_hard_full,6,hard,full,16
766,cbc42ba3,wrong,10_medium_full,10,medium,full,16
767,ccc4e27e,validatedCorrect,6_hard_pruned,6,hard,pruned,12
768,cccfd3ac,wrong,10_easy_full,10,easy,full,82
769,cce7504c,wrong,10_hard_pruned,10,hard,pruned,81
770,cceac8ca,wrong,6_hard_full,6,hard,full,15
771,cda2f561,wrong,6_easy_full,6,easy,full,5
772,cdc50047,validatedCorrect,10_easy_pruned,10,easy,pruned,44
773,cdc514e1,wrong,10_hard_pruned,10,hard,pruned,68
774,cdc57c79,validatedCorrect,6_easy_pruned,6,easy,pruned,73
775,cdd55d42,wrong,6_easy_pruned,6,easy,pruned,44
776,cdf65098,wrong,6_hard_pruned,6,hard,pruned,1
777,ceafe698,validatedCorrect,10_easy_pruned,10,easy,pruned,16
778,ceb154c1,validatedCorrect,10_hard_pruned,10,hard,pruned,50
779,ceb50693,solvedCorrect,6_hard_pruned,6,hard,pruned,27
780,cec10cc8,validatedCorrect,10_easy_pruned,10,easy,pruned,5
781,cee4bfa4,wrong,6_hard_full,6,hard,full,28
782,cee566b4,validatedCorrect,6_easy_full,6,easy,full,7
783,cefc077d,validatedCorrect,10_medium_pruned,10,medium,pruned,19
784,cfc29495,wrong,10_hard_full,10,hard,full,45
785,cfc46a6f,wrong,10_easy_pruned,10,easy,pruned,50
786,cfc5dcb3,wrong,6_hard_full,6,hard,full,12
787,cfd6ff5a,wrong,6_easy_full,6,easy,full,90
788,cff10c9a,validatedCorrect,10_easy_full,10,easy,full,31
789,d0a58874,validatedCorrect,6_easy_full,6,easy,full,14
790,d0d5a665,validatedCorrect,10_easy_pruned,10,easy,pruned,5
791,d0e4332c,wrong,10_medium_full,10,medium,full,99
792,d0e6841e,validatedCorrect,10_easy_full,10,easy,full,76
793,d0f687f1,wrong,10_medium_pruned,10,medium,pruned,38
794,d1a42fc7,solvedCorrect,10_hard_full,10,hard,full,23
795,d1a6dc33,wrong,10_medium_pruned,10,medium,pruned,1
796,d1bbc1e6,validatedCorrect,10_medium_pruned,10,medium,pruned,7
797,d1cac84b,wrong,10_hard_pruned,10,hard,pruned,67
798,d1d5684e,solvedCorrect,6_easy_full,6,easy,full,1
799,d1e15779,validatedCorrect,10_easy_pruned,10,easy,pruned,28
800,d1e4eb09,wrong,6_hard_pruned,6,hard,pruned,12
801,d2a60bac,wrong,6_hard_full,6,hard,full,2
802,d2ac158a,validatedCorrect,10_hard_full,10,hard,full,22
803,d2b6cfbb,solvedCorrect,10_medium_full,10,medium,full,24
804,d2d73ea5,wrong,6_easy_pruned,6,easy,pruned,19
805,d2f65bb5,wrong,6_hard_pruned,6,hard,pruned,23
806,d3b525de,wrong,6_easy_full,6,easy,full,53
807,d3c580d5,validatedCorrect,10_easy_full,10,easy,full,42
808,d4a2a5ec,validatedCorrect,6_easy_full,6,easy,full,47
809,d4c433e6,validatedCorrect,6_easy_full,6,easy,full,7
810,d4cbca4e,wrong,10_easy_full,10,easy,full,60
811,d4f331ad,wrong,10_medium_full,10,medium,full,40
812,d4fac87b,wrong,6_hard_pruned,6,hard,pruned,12
813,d5a6aafd,wrong,10_hard_pruned,10,hard,pruned,5
814,d5aff345,wrong,10_easy_pruned,10,easy,pruned,92
815,d5b22aaa,wrong,10_easy_full,10,easy,full,112
816,d5b5a5bc,wrong,10_medium_pruned,10,medium,pruned,1
817,d5d6cf7e,validatedCorrect,10_medium_pruned,10,medium,pruned,11
818,d6a29462,wrong,10_easy_full,10,easy,full,11
819,d6a55f6a,wrong,6_easy_pruned,6,easy,pruned,7
820,d6b67ee1,validatedCorrect,6_easy_full,6,easy,full,26
821,d6c10e9a,wrong,10_easy_full,10,easy,full,48
822,d6c6d18c,validatedCorrect,10_medium_pruned,10,medium,pruned,10
823,d6d500ab,wrong,6_easy_full,6,easy,full,21
824,d8a4f092,solvedCorrect,6_hard_pruned,6,hard,pruned,27
825,d8aacc7a,validatedCorrect,10_medium_pruned,10,medium,pruned,5
826,d8d2a375,wrong,10_medium_full,10,medium,full,1
827,d8d6bed1,validatedCorrect,10_hard_pruned,10,hard,pruned,32
828,d8e6ea40,wrong,10_medium_full,10,medium,full,36
829,d8f4e4d9,wrong,6_hard_pruned,6,hard,pruned,21
830,d8f6387b,wrong,6_hard_full,6,hard,full,11
831,d9a3047f,validatedCorrect,10_medium_pruned,10,medium,pruned,6
832,d9d6ae3e,wrong,10_hard_pruned,10,hard,pruned,2
833,d9e4f7e5,wrong,10_hard_pruned,10,hard,pruned,7
834,d9fa7f02,solvedCorrect,10_medium_pruned,10,medium,pruned,1
835,daa11f50,wrong,10_medium_pruned,10,medium,pruned,16
836,daa59c50,solvedCorrect,10_hard_pruned,10,hard,pruned,3
837,dabbe6bb,validatedCorrect,6_easy_full,6,easy,full,41
838,dacfd3d4,wrong,10_easy_full,10,easy,full,74
839,dae59162,validatedCorrect,10_medium_full,10,medium,full,71
840,daefd33a,wrong,6_hard_pruned,6,hard,pruned,5
841,daf74d3f,validatedCorrect,10_easy_full,10,easy,full,12
842,dba1b189,wrong,10_medium_full,10,medium,full,116
843,dbb14c32,wrong,6_easy_pruned,6,easy,pruned,5
844,dbc59105,wrong,10_hard_full,10,hard,full,94
845,dbc6ab5f,validatedCorrect,10_easy_pruned,10,easy,pruned,10
846,dbe65101,wrong,6_hard_pruned,6,hard,pruned,13
847,dbe71b15,wrong,6_hard_full,6,hard,full,14
848,dcc4f10e,wrong,6_hard_full,6,hard,full,15
849,dcd55a21,wrong,6_easy_full,6,easy,full,9
850,dcfbe5af,validatedCorrect,6_easy_pruned,6,easy,pruned,12
851,ddb7456a,validatedCorrect,6_easy_pruned,6,easy,pruned,9
852,dde2a9c5,validatedCorrect,10_medium_full,10,medium,full,28
853,ddf2ee42,validatedCorrect,6_easy_full,6,easy,full,24
854,dec24cb0,wrong,10_easy_full,10,easy,full,68
855,dec64994,wrong,6_hard_pruned,6,hard,pruned,14
856,ded14ffd,validatedCorrect,10_medium_pruned,10,medium,pruned,7
857,dfa705b9,validatedCorrect,6_easy_pruned,6,easy,pruned,46
858,dfb576d2,wrong,6_easy_full,6,easy,full,16
859,dfcbf407,wrong,6_hard_full,6,hard,full,13
860,dfe6bb89,wrong,10_hard_pruned,10,hard,pruned,14
861,dfe6bee3,solvedCorrect,6_hard_full,6,hard,full,34
862,e0a10efa,wrong,10_medium_full,10,medium,full,8
863,e0a44f08,wrong,10_medium_full,10,medium,full,14
864,e0a737b6,wrong,6_hard_pruned,6,hard,pruned,5
865,e0b14a0b,wrong,10_medium_full,10,medium,full,55
866,e0b1b70d,wrong,10_medium_full,10,medium,full,7
867,e0b57941,validatedCorrect,6_easy_pruned,6,easy,pruned,11
868,e0d29b7b,wrong,10_hard_full,10,hard,full,42
869,e0d4bfdf,wrong,6_hard_full,6,hard,full,25
870,e0e2ee92,validatedCorrect,10_hard_full,10,hard,full,1
871,e0e580d6,wrong,10_hard_pruned,10,hard,pruned,13
872,e1a64c7d,wrong,6_hard_pruned,6,hard,pruned,32
873,e1b100ae,validatedCorrect,6_easy_pruned,6,easy,pruned,44
874,e1b6994c,validatedCorrect,10_medium_pruned,10,medium,pruned,2
875,e1e500d7,validatedCorrect,6_hard_pruned,6,hard,pruned,7
876,e1f593de,validatedCorrect,10_medium_pruned,10,medium,pruned,1
877,e2a43b2c,solvedCorrect,10_hard_pruned,10,hard,pruned,7
878,e2b10de5,validatedCorrect,10_hard_pruned,10,hard,pruned,36
879,e2b59d5d,solvedCorrect,6_easy_pruned,6,easy,pruned,1
880,e2b655ad,wrong,6_hard_pruned,6,hard,pruned,6
881,e2bbe5e1,wrong,10_easy_pruned,10,easy,pruned,28
882,e3a4effd,wrong,10_medium_full,10,medium,full,43
883,e3f59d3c,wrong,6_easy_full,6,easy,full,53
884,e4a2eb1e,validatedCorrect,10_easy_full,10,easy,full,24
885,e4c58238,validatedCorrect,6_easy_full,6,easy,full,14
886,e4e447e2,wrong,10_medium_full,10,medium,full,13
887,e4f58f31,validatedCorrect,10_medium_pruned,10,medium,pruned,6
888,e5b69f84,wrong,10_medium_full,10,medium,full,7
889,e5d4e9ce,wrong,6_hard_pruned,6,hard,pruned,17
890,e5d4fef8,wrong,6_hard_pruned,6,hard,pruned,11
891,e6abcdb2,validatedCorrect,10_easy_full,10,easy,full,12
892,e6efec72,solvedCorrect,10_hard_pruned,10,hard,pruned,52
893,e6f649a1,wrong,6_hard_pruned,6,hard,pruned,1
894,e7c28d87,wrong,6_easy_full,6,easy,full,33
895,e7f6d472,wrong,10_medium_full,10,medium,full,40
896,e9b10766,validatedCorrect,10_medium_pruned,10,medium,pruned,15
897,e9bbf006,wrong,10_easy_full,10,easy,full,55
898,e9c4c917,wrong,6_hard_full,6,hard,full,1
899,e9dbbf8a,solvedCorrect,6_hard_pruned,6,hard,pruned,16
900,e9e1b017,validatedCorrect,6_easy_pruned,6,easy,pruned,8
901,e9e64bef,validatedCorrect,6_hard_pruned,6,hard,pruned,33
902,e9f6d068,wrong,10_hard_full,10,hard,full,32
903,eaaff660,wrong,10_medium_full,10,medium,full,15
904,eac6e690,validatedCorrect,10_medium_pruned,10,medium,pruned,2
905,ead61455,wrong,6_hard_full,6,hard,full,15
906,eba732b3,validatedCorrect,6_hard_pruned,6,hard,pruned,1
907,ebb5828a,validatedCorrect,10_easy_full,10,easy,full,59
908,ebc61801,solvedCorrect,6_hard_full,6,hard,full,14
909,ebc64a59,wrong,6_hard_pruned,6,hard,pruned,5
910,ecb22d03,validatedCorrect,10_hard_full,10,hard,full,50
911,ecb55f5b,validatedCorrect,6_easy_full,6,easy,full,25
912,ecc1bf78,solvedCorrect,10_medium_full,10,medium,full,7
913,ecefd3a0,wrong,10_medium_pruned,10,medium,pruned,87
914,edbbcb60,wrong,6_easy_pruned,6,easy,pruned,39
915,edbbea2c,validatedCorrect,6_easy_pruned,6,easy,pruned,4
916,edd28ea2,wrong,10_easy_full,10,easy,full,1
917,edf12206,wrong,10_hard_full,10,hard,full,30
918,edfff93e,wrong,10_hard_pruned,10,hard,pruned,13
919,eeb2a417,solvedCorrect,10_hard_full,10,hard,full,1
920,eec719ce,validatedCorrect,10_easy_pruned,10,easy,pruned,22
921,eec7360c,wrong,6_hard_full,6,hard,full,9
922,eef2e93f,wrong,10_medium_full,10,medium,full,78
923,eef58225,wrong,10_medium_full,10,medium,full,7
