,size,type,condition,sizeType,entropy,state
34,10,hard,pruned,10hard,1.176918013,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
35,10,hard,full,10hard,0.409458619,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
36,10,hard,pruned,10hard,0.646495243,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
37,10,hard,full,10hard,0.214559155,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
38,10,hard,pruned,10hard,0.610864302,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 2, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
39,10,hard,full,10hard,0.686961577,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 1, 1, 2, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
40,10,hard,pruned,10hard,0,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 2, 0, 0, 0, 0], [0, 1, 1, 2, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
41,10,hard,full,10hard,0,"[[0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 2, 2, 1, 1, 1, 1, 2, 2, 0], [0, 0, 2, 1, 2, 0, 0, 0, 0, 0], [0, 1, 1, 1, 1, 2, 0, 0, 0, 0], [0, 1, 1, 2, 2, 0, 0, 0, 0, 0], [2, 0, 1, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 2, 2, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0]]"
42,6,easy,pruned,6easy,2.006405015,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
43,6,easy,full,6easy,1.635537168,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
44,6,easy,pruned,6easy,1.585324439,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
45,6,easy,full,6easy,0.950270539,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
46,6,easy,pruned,6easy,1.045779483,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 1], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
47,6,easy,full,6easy,0.191444082,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 1], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
48,6,easy,pruned,6easy,0.462036428,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 2, 1], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
49,6,easy,full,6easy,0.663179453,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 2, 1], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
50,6,easy,pruned,6easy,0.770593947,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
51,6,easy,full,6easy,0.450561209,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]"
52,10,easy,pruned,10easy,1.091006011,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 1, 2], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
53,10,easy,full,10easy,0.536664562,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 1, 2], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
54,10,easy,pruned,10easy,3.103249439,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
55,10,easy,full,10easy,1.562920577,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
56,10,easy,pruned,10easy,0.702683276,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 1, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
57,10,easy,full,10easy,0.223718076,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 1, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
58,10,easy,pruned,10easy,0.366924991,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 2, 1], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
59,10,easy,full,10easy,0,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 2, 1], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
60,10,easy,pruned,10easy,0.408697725,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 1], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
61,10,easy,full,10easy,0,"[[0, 0, 0, 0, 1, 2, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 1], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]"
62,10,medium,pruned,10medium,2.453595732,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 1, 1, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 2, 1, 2, 0], [0, 0, 0, 0, 0, 1, 2, 2, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]"
63,10,medium,full,10medium,1.002718265,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 1, 1, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 2, 1, 2, 0], [0, 0, 0, 0, 0, 1, 2, 2, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]"
64,10,medium,pruned,10medium,0.543700826,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 1, 1, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 2, 1, 2, 0], [0, 0, 1, 0, 0, 1, 2, 2, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]"
65,10,medium,full,10medium,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0, 0, 0], [0, 0, 1, 1, 1, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 2, 1, 2, 0], [0, 0, 1, 0, 0, 1, 2, 2, 0, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]"
