win_score,blocking_score,fitted_heuristic,userid,proportion_participants
2000,160,interaction,27,0.072972973
2000,160,interaction_blind,106,0.286486486
2000,160,linear,8,0.021621622
2000,160,non-linear,53,0.143243243
2000,180,blocking,35,0.094594595
2000,180,blocking_blind,95,0.256756757
2000,180,density,44,0.118918919
2000,180,interaction,27,0.072972973
2000,180,interaction_blind,107,0.289189189
2000,180,linear,8,0.021621622
2000,180,non-linear,54,0.145945946
2000,200,blocking,35,0.094594595
2000,200,blocking_blind,91,0.245945946
2000,200,density,44,0.118918919
2000,200,interaction,28,0.075675676
2000,200,interaction_blind,110,0.297297297
2000,200,linear,8,0.021621622
2000,200,non-linear,54,0.145945946
2250,120,blocking,39,0.105405405
2250,120,blocking_blind,103,0.278378378
2250,120,density,43,0.116216216
2250,120,interaction,25,0.067567568
2250,120,interaction_blind,98,0.264864865
2250,120,linear,8,0.021621622
2250,120,non-linear,54,0.145945946
2250,140,blocking,39,0.105405405
2250,140,blocking_blind,101,0.272972973
2250,140,density,43,0.116216216
2250,140,interaction,25,0.067567568
2250,140,interaction_blind,101,0.272972973
2250,140,linear,8,0.021621622
2250,140,non-linear,53,0.143243243
2250,160,blocking,35,0.094594595
2250,160,blocking_blind,96,0.259459459
2250,160,density,44,0.118918919
2250,160,interaction,27,0.072972973
2250,160,interaction_blind,106,0.286486486
2250,160,linear,8,0.021621622
2250,160,non-linear,54,0.145945946
2250,180,blocking,35,0.094594595
2250,180,blocking_blind,96,0.259459459
2250,180,density,44,0.118918919
2250,180,interaction,28,0.075675676
2250,180,interaction_blind,105,0.283783784
2250,180,linear,8,0.021621622
2250,180,non-linear,54,0.145945946
2250,200,blocking,35,0.094594595
2250,200,blocking_blind,93,0.251351351
2250,200,density,44,0.118918919
2250,200,interaction,28,0.075675676
2250,200,interaction_blind,108,0.291891892
2250,200,linear,8,0.021621622
2250,200,non-linear,54,0.145945946
2500,120,blocking,40,0.108108108
2500,120,blocking_blind,102,0.275675676
2500,120,density,43,0.116216216
2500,120,interaction,24,0.064864865
2500,120,interaction_blind,98,0.264864865
2500,120,linear,8,0.021621622
2500,120,non-linear,55,0.148648649
2500,140,blocking,39,0.105405405
2500,140,blocking_blind,101,0.272972973
2500,140,density,43,0.116216216
2500,140,interaction,25,0.067567568
2500,140,interaction_blind,99,0.267567568
2500,140,linear,8,0.021621622
2500,140,non-linear,55,0.148648649
2500,160,blocking,36,0.097297297
2500,160,blocking_blind,97,0.262162162
2500,160,density,44,0.118918919
2500,160,interaction,26,0.07027027
2500,160,interaction_blind,103,0.278378378
2500,160,linear,8,0.021621622
2500,160,non-linear,56,0.151351351
2500,180,blocking,35,0.094594595
2500,180,blocking_blind,96,0.259459459
2500,180,density,44,0.118918919
2500,180,interaction,27,0.072972973
2500,180,interaction_blind,105,0.283783784
2500,180,linear,8,0.021621622
2500,180,non-linear,55,0.148648649
2500,200,blocking,36,0.097297297
2500,200,blocking_blind,91,0.245945946
2500,200,density,44,0.118918919
2500,200,interaction,27,0.072972973
2500,200,interaction_blind,108,0.291891892
2500,200,linear,8,0.021621622
2500,200,non-linear,56,0.151351351
