win_score,blocking_score,fitted_heuristic,board_name,userid
25,10,interaction_blind,6_easy_full,8
25,10,interaction_blind,6_easy_pruned,13
25,10,interaction_blind,6_hard_full,12
25,10,interaction_blind,6_hard_pruned,15
25,10,linear,10_easy_full,1
25,10,linear,6_easy_pruned,2
25,10,linear,6_hard_full,2
25,10,non-linear,10_easy_full,5
25,10,non-linear,10_easy_pruned,5
25,10,non-linear,10_medium_full,2
25,10,non-linear,6_easy_full,5
25,10,non-linear,6_easy_pruned,6
25,10,non-linear,6_hard_full,2
25,20,blocking,10_easy_full,13
25,20,blocking,10_easy_pruned,3
25,20,blocking,10_hard_pruned,5
25,20,blocking,10_medium_full,4
25,20,blocking,10_medium_pruned,3
25,20,blocking,6_easy_full,2
25,20,blocking,6_easy_pruned,3
25,20,blocking,6_hard_full,1
25,20,blocking,6_hard_pruned,2
25,20,blocking_blind,10_easy_full,15
25,20,blocking_blind,10_easy_pruned,3
25,20,blocking_blind,10_hard_full,17
25,20,blocking_blind,10_hard_pruned,10
25,20,blocking_blind,10_medium_full,19
25,20,blocking_blind,10_medium_pruned,13
25,20,blocking_blind,6_easy_full,2
25,20,blocking_blind,6_easy_pruned,3
25,20,blocking_blind,6_hard_full,11
25,20,blocking_blind,6_hard_pruned,5
25,20,density,10_easy_full,4
25,20,density,10_easy_pruned,6
25,20,density,10_hard_pruned,2
25,20,density,10_medium_full,3
25,20,density,10_medium_pruned,2
25,20,density,6_easy_full,13
25,20,density,6_easy_pruned,8
25,20,density,6_hard_full,4
25,20,density,6_hard_pruned,4
25,20,interaction,10_easy_full,7
25,20,interaction,10_easy_pruned,3
25,20,interaction,10_hard_full,5
25,20,interaction,10_hard_pruned,1
25,20,interaction,10_medium_pruned,2
25,20,interaction,6_easy_full,4
25,20,interaction,6_easy_pruned,5
25,20,interaction,6_hard_full,6
25,20,interaction,6_hard_pruned,1
25,20,interaction_blind,10_easy_full,5
25,20,interaction_blind,10_easy_pruned,11
25,20,interaction_blind,10_hard_full,9
25,20,interaction_blind,10_hard_pruned,16
25,20,interaction_blind,10_medium_full,11
25,20,interaction_blind,10_medium_pruned,15
25,20,interaction_blind,6_easy_full,8
25,20,interaction_blind,6_easy_pruned,14
25,20,interaction_blind,6_hard_full,16
25,20,interaction_blind,6_hard_pruned,21
25,20,linear,10_easy_full,1
25,20,linear,6_easy_pruned,2
25,20,linear,6_hard_full,2
25,20,non-linear,10_easy_full,6
25,20,non-linear,10_easy_pruned,5
25,20,non-linear,10_medium_full,2
25,20,non-linear,6_easy_full,5
25,20,non-linear,6_easy_pruned,7
25,20,non-linear,6_hard_full,2
25,40,blocking,10_easy_full,12
25,40,blocking,10_easy_pruned,3
25,40,blocking,10_hard_pruned,4
25,40,blocking,10_medium_full,3
25,40,blocking,10_medium_pruned,2
25,40,blocking,6_easy_full,2
25,40,blocking,6_easy_pruned,2
25,40,blocking,6_hard_full,1
25,40,blocking,6_hard_pruned,2
25,40,blocking_blind,10_easy_full,15
25,40,blocking_blind,10_easy_pruned,4
25,40,blocking_blind,10_hard_full,16
25,40,blocking_blind,10_hard_pruned,10
25,40,blocking_blind,10_medium_full,20
25,40,blocking_blind,10_medium_pruned,13
25,40,blocking_blind,6_easy_full,2
25,40,blocking_blind,6_easy_pruned,2
25,40,blocking_blind,6_hard_full,11
25,40,blocking_blind,6_hard_pruned,5
25,40,density,10_easy_full,4
25,40,density,10_easy_pruned,5
25,40,density,10_hard_pruned,2
25,40,density,10_medium_full,3
25,40,density,10_medium_pruned,2
25,40,density,6_easy_full,13
25,40,density,6_easy_pruned,8
25,40,density,6_hard_full,4
25,40,density,6_hard_pruned,4
25,40,interaction,10_easy_full,8
25,40,interaction,10_easy_pruned,3
25,40,interaction,10_hard_full,4
25,40,interaction,10_hard_pruned,1
25,40,interaction,10_medium_pruned,2
25,40,interaction,6_easy_full,4
25,40,interaction,6_easy_pruned,5
25,40,interaction,6_hard_full,6
25,40,interaction,6_hard_pruned,1
25,40,interaction_blind,10_easy_full,5
25,40,interaction_blind,10_easy_pruned,11
25,40,interaction_blind,10_hard_full,11
25,40,interaction_blind,10_hard_pruned,17
25,40,interaction_blind,10_medium_full,11
25,40,interaction_blind,10_medium_pruned,16
25,40,interaction_blind,6_easy_full,8
25,40,interaction_blind,6_easy_pruned,15
25,40,interaction_blind,6_hard_full,16
25,40,interaction_blind,6_hard_pruned,21
25,40,linear,10_easy_full,1
25,40,linear,6_easy_pruned,2
25,40,linear,6_hard_full,2
25,40,non-linear,10_easy_full,6
25,40,non-linear,10_easy_pruned,5
25,40,non-linear,10_medium_full,2
25,40,non-linear,6_easy_full,5
25,40,non-linear,6_easy_pruned,8
25,40,non-linear,6_hard_full,2
25,80,blocking,10_easy_full,11
25,80,blocking,10_easy_pruned,3
25,80,blocking,10_hard_pruned,3
25,80,blocking,10_medium_full,3
25,80,blocking,10_medium_pruned,2
25,80,blocking,6_easy_full,2
25,80,blocking,6_easy_pruned,2
25,80,blocking,6_hard_pruned,2
25,80,blocking_blind,10_easy_full,16
25,80,blocking_blind,10_easy_pruned,4
25,80,blocking_blind,10_hard_full,16
25,80,blocking_blind,10_hard_pruned,10
25,80,blocking_blind,10_medium_full,20
25,80,blocking_blind,10_medium_pruned,13
25,80,blocking_blind,6_easy_full,2
25,80,blocking_blind,6_easy_pruned,2
25,80,blocking_blind,6_hard_full,11
25,80,blocking_blind,6_hard_pruned,5
25,80,density,10_easy_full,4
25,80,density,10_easy_pruned,5
25,80,density,10_hard_pruned,2
25,80,density,10_medium_full,3
25,80,density,10_medium_pruned,2
25,80,density,6_easy_full,13
25,80,density,6_easy_pruned,8
25,80,density,6_hard_full,4
25,80,density,6_hard_pruned,4
25,80,interaction,10_easy_full,8
25,80,interaction,10_easy_pruned,3
25,80,interaction,10_hard_full,4
25,80,interaction,10_hard_pruned,1
25,80,interaction,10_medium_pruned,2
25,80,interaction,6_easy_full,4
25,80,interaction,6_easy_pruned,5
25,80,interaction,6_hard_full,4
25,80,interaction,6_hard_pruned,1
25,80,interaction_blind,10_easy_full,5
25,80,interaction_blind,10_easy_pruned,11
25,80,interaction_blind,10_hard_full,11
25,80,interaction_blind,10_hard_pruned,18
25,80,interaction_blind,10_medium_full,11
25,80,interaction_blind,10_medium_pruned,16
25,80,interaction_blind,6_easy_full,8
25,80,interaction_blind,6_easy_pruned,15
25,80,interaction_blind,6_hard_full,19
25,80,interaction_blind,6_hard_pruned,21
25,80,linear,10_easy_full,1
25,80,linear,6_easy_pruned,2
25,80,linear,6_hard_full,2
25,80,non-linear,10_easy_full,6
