userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
70bffd4d,10_easy_full,10,easy,full,interaction,200,1250,-4.388226268788087,-3.0658434266049004,-2.83958424763284,-2.7563621370448255,-2.970002373831819,-3.7063566717991443,-4.574824793247181
72caeffe,10_easy_full,10,easy,full,non-linear,200,1250,-4.007895672661053,-3.672382344618536,-3.570818121150497,-4.518963881274715,-4.815045332323006,-3.6016922762703394,-4.040288264651547
75bbec9c,10_easy_full,10,easy,full,blocking_blind,200,1250,-3.9546546894264982,-3.2660366548070203,-3.0296658789857527,-3.572950647481017,-3.5073194388982487,-3.1478812199987787,-2.9674084903870823
76c104da,10_easy_full,10,easy,full,density,200,1250,-4.310737080498396,-6.019905617904613,-5.765214889113264,-5.713315049452265,-5.905897235403967,-5.578881668441578,-5.893404157470119
89cbc391,10_easy_full,10,easy,full,non-linear,200,1250,-4.5270531713855,-3.5572706153064324,-3.4179598059890237,-3.680355293984611,-4.265064358032942,-4.0758839716113195,-5.274651875295524
8de6a2af,10_easy_full,10,easy,full,blocking_blind,200,1250,-3.310999482740936,-2.2611551099127665,-1.9382827470551462,-1.1898598642946907,-0.9914833955523997,-1.1326260064598785,-0.9813354996069886
92a70054,10_easy_full,10,easy,full,interaction,200,1250,-4.370790050854238,-3.4101485577561754,-3.2562813939626163,-3.1119886937374908,-3.4845497393947613,-3.9536914144517805,-4.818855906300889
9ae751bc,10_easy_full,10,easy,full,blocking_blind,200,1250,-3.9165265728259513,-2.3798253989666147,-1.9958695861012055,-1.8234907992732623,-1.0834663318964355,-1.735135832036761,-1.0808070935822423
a2d68973,10_easy_full,10,easy,full,non-linear,200,1250,-3.484313956882908,-3.523818861110326,-3.41972917885106,-5.063650378909134,-4.798852795185765,-5.650505732249918,-6.030153690466844
abdacc98,10_easy_full,10,easy,full,blocking,200,1250,-4.197150490261883,-2.9449990294329997,-2.7290800461814353,-2.6800642673525794,-2.42837639453901,-3.580835604347975,-4.06042077880187
acc6e9d4,10_easy_full,10,easy,full,blocking_blind,200,1250,-3.881442011698294,-3.029026245643308,-2.767312229396967,-3.0052087805800656,-2.8433072491490017,-2.4582147528295613,-2.357950957292748
aefbe715,10_easy_full,10,easy,full,density,200,1250,-5.134995576191276,-5.140698665560897,-5.284182285278814,-5.640514879556855,-5.238457139923387,-5.373772654370126,-5.243298749677584
b4a4f22a,10_easy_full,10,easy,full,blocking,200,1250,-4.176550772862734,-3.3289486275044595,-3.0388914752255194,-2.8185745364656456,-2.6462131782472436,-3.304492760332516,-3.4461615834903516
b8a4fbaa,10_easy_full,10,easy,full,linear,200,1250,-3.975308401210061,-3.6516264479958425,-3.705785081355586,-4.87301347645738,-6.319473730330048,-3.748688267322309,-5.255782969330747
b9bbef4c,10_easy_full,10,easy,full,interaction,200,1250,-4.817558054970296,-3.4476406207169106,-3.2638639453188527,-3.128264184748808,-3.913276586770378,-3.7794632963359436,-5.176210214617766
c0dfd341,10_easy_full,10,easy,full,interaction_blind,200,1250,-3.8373024977046604,-3.455846951153044,-3.2523167379553524,-3.958284606542246,-4.115652878517285,-2.884838488563492,-3.0656555348138945
c6aad6d0,10_easy_full,10,easy,full,blocking_blind,200,1250,-4.0698550829980356,-3.5857532478118985,-3.322670501811125,-3.869282247982959,-3.5988592926653067,-3.0382841202831643,-2.7787880104936664
c8c4f85a,10_easy_full,10,easy,full,blocking_blind,200,1250,-3.7520715910948583,-2.8568209416603545,-2.4747469182612143,-2.288251023454687,-1.6227402371284714,-1.954956679897502,-1.3433140175447413
cccfd3ac,10_easy_full,10,easy,full,non-linear,200,1250,-3.8353494713880645,-3.792316154997813,-3.706842807293669,-5.029502103284262,-5.405455673957504,-4.380551619480313,-4.76833730490352
cff10c9a,10_easy_full,10,easy,full,interaction_blind,200,1250,-3.8294570142964806,-3.220224576336012,-2.930645612895446,-3.319836138055733,-3.514009016754022,-2.447425692005525,-2.7020288201199163
