,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
135,10_hard_full,interaction,-3.45132965796,-3.38308983281,-3.95463643414,-4.67610689281,-4.00518387345,-3.24293636084,-4.14401564605,23dbc11c
136,10_hard_full,blocking,-1.60024042584,-1.03178592426,-1.03178592426,-1.80454885581,-1.2555873821,-1.2555873821,-1.60024042584,2fb4f99a
137,10_hard_full,blocking,-2.3851052531,-1.77407727223,-1.77407727223,-2.68086790256,-1.89186675117,-1.89186675117,-2.3851052531,65f68460
138,10_hard_full,blocking,-3.08547519677,-2.75769039139,-3.11820104894,-3.89383291987,-3.14177355818,-2.84570679377,-3.25835799632,75ffd9e8
139,10_hard_full,interaction,-3.48417418018,-3.57789861636,-3.44655614458,-3.60465955161,-3.42691600155,-3.32779148009,-3.51534710091,7cf6845b
140,10_hard_full,interaction,-2.06807646407,-1.68244468047,-1.87115760482,-2.69214981603,-1.89549019053,-1.67256512832,-2.16434986993,84dbf4f9
141,10_hard_full,blocking,-2.82141617196,-1.42337923931,-1.42337923931,-3.24356843746,-1.74992266714,-1.74992266714,-2.82141617196,87cfed83
142,10_hard_full,interaction,-3.03931059168,-3.01853083206,-2.94256150871,-3.21703113768,-2.96098729219,-2.87920664794,-3.05330292051,8bc69c49
143,10_hard_full,interaction,-1.84718477218,-1.49664022038,-1.72373197576,-2.459733356,-1.73668949579,-1.4467225362,-2.08940466693,98d105c1
144,10_hard_full,blocking,-2.77708718564,-2.53386009691,-2.83804465817,-2.89054189331,-2.86740209483,-2.6248335691,-2.89555771434,9befd8ad
145,10_hard_full,blocking,-2.60757469218,-2.19928660168,-2.70340151035,-3.13192926573,-2.79299435766,-2.29102480401,-3.07574009642,a3eacaa9
146,10_hard_full,blocking,-2.99090608635,-2.7981297353,-3.06121212513,-2.80036819202,-3.00778776633,-2.85095402766,-3.136298309,a4f74985
147,10_hard_full,blocking,-1.61088587778,-1.10356342985,-1.10356342985,-1.87488745287,-1.19792852257,-1.19792852257,-1.61088587778,abc728e1
148,10_hard_full,interaction,-2.58011721535,-2.44704010234,-2.72882463982,-3.42860996936,-2.73805127754,-2.3122904713,-2.89200434333,aceaccbc
149,10_hard_full,interaction,-2.05037927141,-2.15571431281,-3.52967581637,-4.29711025248,-3.42140528036,-1.86049069672,-3.53595002301,add50f98
150,10_hard_full,linear_dens,-4.05553454377,-4.06576037547,-4.1126327348,-4.01700064493,-3.99599711045,-4.1397291936,-3.91157075981,b5b6dcbc
151,10_hard_full,interaction_dens,-2.27094770146,-2.04646181711,-1.96721004952,-2.43012214862,-1.93458319611,-1.95731562994,-2.17528660629,d2ac158a
152,10_hard_full,interaction,-2.02942116201,-1.94119773934,-3.06075880147,-4.01559395742,-2.99261892935,-1.75794746598,-3.22041441994,edf12206
153,10_hard_full,interaction,-2.10334600547,-2.02459868805,-2.90283616909,-3.83604584704,-2.8822298662,-1.81088852043,-3.074659877,f0ebc21e
154,10_hard_full,interaction,-2.73020118943,-2.69672634124,-2.82419108952,-4.10962336136,-2.91940630843,-2.54397675808,-3.02334532504,f6fbf7bf
155,10_hard_full,interaction,-3.76842085533,-3.73627769868,-4.04919524509,-4.29897581523,-4.08945371847,-3.70704776972,-4.13620239128,f7ebbfe9
156,10_hard_pruned,interaction,-1.78263203049,-1.75591437902,-1.97325829237,-3.10489123346,-1.78099848328,-1.41858194647,-2.07885540734,13b7468e
157,10_hard_pruned,blocking,-2.54846550318,-2.12154119213,-2.38760465295,-2.75364191439,-2.56440031492,-2.30308137843,-2.78348597756,16f6e58d
