,fitted_heuristic,log_likelihood,userid
511,non-linear,-2.34589024426,4dc50d03
512,density,-2.89363435897,55a709fd
513,blocking,-0.524285805844,58e72ee8
514,density,-2.76125918435,67abc3ab
515,density,-2.59540581693,67abf219
516,non-linear,-1.98310102871,6cbbcdf7
517,non-linear,-1.93406324961,6fc70a09
518,density,-3.04191939387,7acbc3e2
519,interaction,-1.56667880101,7cc119e0
520,blocking,-1.02556151309,7db4f1d2
521,interaction,-1.47211903297,8ab71c6b
522,blocking,-1.16155042041,94abbfb2
523,interaction,-1.87025679412,96afd320
524,density,-1.717342692,9db10b00
525,linear,-2.07844314041,adfac866
526,interaction,-0.185534632387,b7e510d3
527,interaction,-0.84529896479,c0cbeef2
528,blocking,-1.41964279574,c8afed22
529,interaction,-0.247379509849,c9c757af
530,non-linear,-1.63549647536,d2d73ea5
531,linear,-2.25808299926,dcfbe5af
532,density,-2.56206135125,ddb7456a
533,density,-2.76141321927,dfa705b9
534,blocking,-2.75321602059,e1b100ae
535,non-linear,-2.67156657027,edbbcb60
536,density,-4.07815369837,16ead0a0
537,density,-4.72510168626,1de74153
538,blocking,-2.33355676644,20a4fec4
539,non-linear,-3.64553423921,23b6924e
540,blocking,-2.29154068057,26e680e4
541,blocking,-0.978939591413,2fe692a5
542,blocking,-1.83552443248,31b4fc9e
543,blocking,-2.4200959624,37bffc4e
544,blocking,-1.86938992007,3ac5170c
545,interaction,-2.35824280036,3dfad0f2
546,linear,-3.66838972846,55c68fc5
547,blocking,-2.66671021775,56e6f5d2
548,non-linear,-3.29168627602,58d72aaf
549,blocking,-2.52071821519,5cd6bb63
550,blocking,-1.35966449215,67f69d24
551,interaction,-1.96509171495,6ac7311a
552,interaction,-3.19124481012,6cc4f8b6
553,blocking,-2.97432064878,6cd50fc7
554,blocking,-1.88927575473,6dfbeafe
555,blocking,-2.79854148759,70bffd4d
556,non-linear,-3.3561685444,72caeffe
557,non-linear,-3.56112652863,75bbec9c
558,blocking,-3.53739293235,89cbc391
559,blocking,-0.818569992438,8de6a2af
560,interaction,-2.84457604541,92a70054
561,blocking,-1.50852831336,9ae751bc
562,non-linear,-3.17303603726,a2d68973
563,blocking,-2.40569615341,abdacc98
564,blocking,-2.44748918964,acc6e9d4
565,linear,-4.43115751232,aefbe715
566,blocking,-2.31970512537,b4a4f22a
567,linear,-3.58996007268,b8a4fbaa
568,interaction,-3.02140943487,b9bbef4c
