iteration,board,shutter_size,max_moves,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,answer,correct,exploredNodes
5,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,50,12,1,"[[0.15151515151515152, -1e-05, 0.15151515151515152, -2e-05, 0.15151515151515152, 0.18181818181818182], [0.030303030303030304, -2e-05, -1e-05, -1e-05, 0.030303030303030304, 0.030303030303030304], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.06060606060606061], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.09090909090909091], [-1e-05, 0.0, -2e-05, -2e-05, 0.030303030303030304, 0.06060606060606061], [0.0, 0.0, 0.0, 0.0, 0.0, 0.030303030303030304]]"
5,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,21,12,1,"[[0.08333333333333333, -1e-05, -2e-05, -2e-05, 0.08333333333333333, 0.16666666666666666], [0.0, -2e-05, -1e-05, -1e-05, 0.08333333333333333, 0.08333333333333333], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.16666666666666666], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.08333333333333333, 0.16666666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333]]"
5,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,16,0,"[[0.047619047619047616, -2e-05, 0.09523809523809523, 0.11904761904761904, -1e-05, 0.16666666666666666], [0.0, -2e-05, -1e-05, -2e-05, 0.0, 0.07142857142857142], [0.09523809523809523, -1e-05, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.07142857142857142], [0.07142857142857142, -1e-05, 0.047619047619047616, -2e-05, 0.0, 0.047619047619047616], [0.023809523809523808, -1e-05, 0.023809523809523808, 0.023809523809523808, 0.0, 0.023809523809523808], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
5,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,30,34,0,"[[0.08695652173913043, -2e-05, 0.17391304347826086, -1e-05, -1e-05, 0.08695652173913043], [0.08695652173913043, -2e-05, -1e-05, -2e-05, 0.08695652173913043, 0.08695652173913043], [0.0, -1e-05, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216], [-2e-05, -1e-05, 0.043478260869565216, -2e-05, 0.043478260869565216, 0.0], [0.0, -1e-05, 0.0, 0.043478260869565216, 0.043478260869565216, 0.0], [0.0, -2e-05, 0.0, 0.043478260869565216, -2e-05, 0.0]]"
6,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,35,12,1,"[[0.12, -1e-05, 0.04, -2e-05, 0.16, 0.24], [0.0, -2e-05, -1e-05, -1e-05, 0.0, 0.04], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.08], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.16], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.12], [0.0, 0.0, 0.0, 0.0, 0.0, 0.04]]"
6,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,14,12,1,"[[0.1111111111111111, -1e-05, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.1111111111111111], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111]]"
6,6_hard_full,3,50,shutter,blocking,False,True,2,square,2,True,50,17,0,"[[0.022727272727272728, -2e-05, 0.06818181818181818, 0.045454545454545456, -1e-05, 0.045454545454545456], [0.0, -2e-05, -1e-05, -2e-05, 0.045454545454545456, 0.045454545454545456], [0.0, -1e-05, 0.022727272727272728, 0.0, 0.022727272727272728, 0.045454545454545456], [0.022727272727272728, -1e-05, 0.0, -2e-05, 0.045454545454545456, 0.045454545454545456], [0.06818181818181818, -1e-05, 0.1590909090909091, 0.09090909090909091, 0.09090909090909091, 0.06818181818181818], [0.0, -2e-05, 0.045454545454545456, 0.0, -2e-05, 0.0]]"
6,6_hard_pruned,3,50,shutter,blocking,False,True,2,square,2,True,38,21,0,"[[0.07407407407407407, -2e-05, 0.1111111111111111, -1e-05, -1e-05, 0.0], [0.1111111111111111, -2e-05, -1e-05, -2e-05, 0.2222222222222222, 0.0], [0.0, -1e-05, 0.0, 0.0, 0.07407407407407407, 0.07407407407407407], [-2e-05, -1e-05, 0.037037037037037035, -2e-05, 0.1111111111111111, 0.037037037037037035], [0.0, -1e-05, 0.037037037037037035, 0.07407407407407407, 0.037037037037037035, 0.0], [0.0, -2e-05, 0.0, 0.0, -2e-05, 0.0]]"
7,6_easy_full,3,50,shutter,blocking,False,True,2,square,2,True,38,29,0,"[[0.11538461538461539, -1e-05, 0.19230769230769232, -2e-05, 0.0, 0.07692307692307693], [0.11538461538461539, -2e-05, -1e-05, -1e-05, 0.19230769230769232, 0.15384615384615385], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, 0.07692307692307693], [-1e-05, 0.0, -2e-05, -2e-05, 0.038461538461538464, 0.038461538461538464], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
7,6_easy_pruned,3,50,shutter,blocking,False,True,2,square,2,True,14,12,1,"[[0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.1111111111111111], [0.0, -2e-05, -1e-05, -1e-05, 0.1111111111111111, 0.1111111111111111], [-1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.2222222222222222], [-2e-05, 0.0, -1e-05, -1e-05, -2e-05, -1e-05], [-1e-05, 0.0, -2e-05, -2e-05, 0.1111111111111111, 0.2222222222222222], [0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111]]"
