,blocking,blocking_blind,blocking_player,board,density,heuristic,interaction,interaction_blind,interaction_player,linear,userid
18,-3.61658044144,-3.55714143081,-3.55714143081,6_hard_full,-2.84358915735,density,-3.95580981462,-3.89078851211,-3.89078851211,-4.1014378848,37f61258
19,-1.9412408053,-1.61189416123,-2.04291297443,6_hard_full,-2.70674786013,blocking_blind,-2.14192688666,-1.88463959677,-2.28251964516,-2.1656074569,38ebbf94
20,-2.15148207043,-2.04290157072,-2.36621693958,6_hard_full,-2.43380371764,interaction_blind,-1.88649546616,-1.81835280998,-2.07969899267,-1.88011620475,3af4bfbb
21,-1.06756799553,-1.31120541252,-1.05096066217,6_hard_full,-2.9072846387,blocking_player,-1.13265905556,-1.40000399407,-1.10507358349,-1.40581466637,3bb613b2
22,-1.09108893312,-1.20138079726,-1.07616857578,6_hard_full,-2.54315768195,interaction_player,-1.09836596863,-1.25119440712,-1.07144450068,-1.33118466792,3cd60baf
23,-1.61754703204,-1.55768546395,-1.60256067606,6_hard_full,-2.88664509886,blocking_blind,-1.79918138102,-1.7278733388,-1.79957241131,-1.93340300713,3df11bae
24,-1.56048438509,-1.47451288717,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.1839266743,-3.10682632106,3ed61f8d
25,-1.76564050827,-1.45728724605,-1.82011132935,6_hard_full,-2.68024207064,blocking_blind,-1.86032707361,-1.62011988448,-1.90572970583,-2.02441596826,43c60cd9
26,-2.42897920364,-2.11418423317,-2.65214484788,6_hard_full,-2.9638072055,interaction_blind,-2.18446947994,-1.88753867999,-2.38911875972,-2.1992972688,44a4fa14
27,-1.98233945119,-2.04913324297,-2.07448730712,6_hard_full,-2.81904732735,blocking,-2.08671737978,-2.20603558544,-2.18258629799,-2.2399197809,47f614be
28,-1.16506599768,-1.15059671792,-1.1311600502,6_hard_full,-3.05721020534,blocking_player,-1.47629014093,-1.50008892653,-1.43930493291,-1.74822754767,49e6113d
29,-2.83159286861,-1.64284943368,-3.27733867839,6_hard_full,-2.58673675959,interaction_blind,-2.56624760052,-1.49696489114,-2.99559095808,-2.36648895129,4af5df5d
30,-1.34489692769,-1.37440361545,-1.36763493921,6_hard_full,-2.81994892053,blocking,-1.50073334035,-1.54007676374,-1.51316553781,-1.73185662282,4ed4c1d3
31,-0.671880809707,-0.63313817792,-0.63313817792,6_hard_full,-2.88958227096,blocking_blind,-0.893778873442,-0.851824192427,-0.851824192427,-1.2304135793,50c60ba6
32,-1.99973412476,-2.14126497735,-2.15093985287,6_hard_full,-2.94347418962,interaction,-1.85019810987,-2.06835390061,-2.00267708758,-1.90250830411,53c4c041
33,-0.985122021802,-1.0355520515,-0.95567585313,6_hard_full,-2.5530413114,blocking_player,-1.05303141096,-1.12687155764,-1.01487211002,-1.30567932436,54f4bf95
34,-2.40148943837,-2.87623670455,-2.98600969839,6_hard_full,-2.82374528366,blocking,-2.74889136615,-2.96672856494,-3.34328165509,-2.7652675509,55f5fe54
35,-1.05344187664,-1.03543468803,-1.03543468803,6_hard_full,-2.52757743833,blocking_blind,-1.1619938638,-1.13588614477,-1.13588614477,-1.41549011615,57a4bf4b
36,-2.6637984841,-2.396906109,-2.6510798587,6_hard_full,-2.54656159815,blocking_blind,-2.85669141708,-2.59342603113,-2.8599353324,-2.91801749657,5ce612bc
37,-0.671880809707,-0.63313817792,-0.63313817792,6_hard_full,-2.88958227096,blocking_blind,-0.893778873442,-0.851824192427,-0.851824192427,-1.2304135793,5dd4c056
38,-2.18894945462,-2.29124451051,-2.30220528873,6_hard_full,-2.86043799038,interaction,-2.06211048331,-2.20280888574,-2.15941883564,-2.16137469755,5edbbf73
39,-1.56048438509,-1.47451288717,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.1839266743,-3.10682632106,5fd6115c
40,-3.93243881774,-1.9406498823,-4.15894709776,6_hard_full,-2.41217777345,blocking_blind,-3.78988331347,-2.05125822629,-4.00463122566,-3.76774263868,63c4bfcb
41,-1.60184023703,-1.49354600888,-1.58526469377,6_hard_full,-2.7297203661,blocking_blind,-1.75826722165,-1.64718958903,-1.72517636457,-2.00151616104,63e5efe1
42,-1.78252885902,-1.68469717067,-1.85523261844,6_hard_full,-3.29411521841,blocking_blind,-2.03464977347,-1.82485305521,-2.14578186647,-2.22203793632,64f61543
43,-3.05508092653,-2.71727747155,-3.39592749113,6_hard_full,-3.41703190423,blocking_blind,-3.14658043774,-2.79710757742,-3.56419350654,-3.0083850396,67eac875
44,-2.14380397706,-1.75225540491,-2.36873173778,6_hard_full,-2.59440617021,interaction_blind,-2.08474629949,-1.75207418603,-2.37292780583,-2.15047835358,68d5e249
45,-1.75258211308,-2.23357053195,-1.87889640447,6_hard_full,-2.87342445641,blocking,-1.78803217466,-2.21099958019,-1.90707034769,-1.85927765181,69bad0fe
46,-2.30028298488,-2.23526039613,-2.67906068106,6_hard_full,-2.812470899,interaction_blind,-2.12925533438,-2.08123462803,-2.49165911077,-2.17347302509,6bf51f66
47,-2.40723781543,-2.56585750968,-2.59477372132,6_hard_full,-2.99930971326,linear,-2.41589145173,-2.48677055209,-2.60220590482,-2.28498263234,6ee61190
48,-1.88444997196,-1.74519204496,-2.01097648081,6_hard_full,-2.75441948263,interaction_blind,-1.85587745683,-1.59763789998,-2.00154214982,-1.90089388348,70da8cfb
49,-2.41976097323,-2.5812586172,-2.54919783756,6_hard_full,-3.59872617458,blocking,-2.81464108383,-2.965559774,-3.01299137565,-2.76795228969,72f4c145
50,-3.45789259583,-3.62056332631,-3.88322584718,6_hard_full,-3.19455516733,density,-3.6369980851,-3.84507908504,-4.06238366938,-3.68729281568,74b60b9f
51,-2.06026053548,-1.47568696553,-2.10275708227,6_hard_full,-2.80167604095,blocking_blind,-2.26825035171,-1.84066294523,-2.32341137127,-2.35418647073,76e60f84
52,-0.888244918687,-0.853759049062,-0.853759049062,6_hard_full,-2.55119630782,blocking_blind,-1.03590488783,-0.997798657145,-0.997798657145,-1.31046595729,78f60c95
53,-2.14374340133,-2.94812239081,-2.21916783038,6_hard_full,-2.62474539077,blocking,-2.18841355599,-2.86440230133,-2.25417331046,-2.164911951,7bf4bf38
54,-1.82969207017,-1.8092401617,-1.8092401617,6_hard_full,-2.75618008944,blocking_blind,-2.03572550135,-2.01289615158,-2.01289615158,-2.29187798733,84a4bf3c
55,-1.83239190015,-2.08028712198,-2.0738667819,6_hard_full,-2.80103999536,interaction,-1.70823759147,-1.96871188538,-1.95964974427,-1.76919786468,87b50908
56,-3.40342643558,-3.35224619908,-3.77380945705,6_hard_full,-3.80858746145,linear,-3.38119987046,-3.62669752176,-3.79671208542,-3.31049263644,87f4bf56
57,-2.17407542475,-2.198610727,-2.1897569757,6_hard_full,-2.34337224192,interaction_blind,-2.19920371317,-1.98497055635,-2.28125642194,-2.0891136388,87f610ee
58,-1.9445250008,-1.84963088853,-2.15010118365,6_hard_full,-2.75984952706,blocking_blind,-1.97326615865,-1.8649152199,-2.18838646143,-2.06918516647,89d60ba4
59,-2.31471735834,-1.97053112452,-2.38268129568,6_hard_full,-3.1339282274,blocking_blind,-2.4103637571,-2.14372432696,-2.46130791122,-2.59516633313,8ac4c37c
60,-1.64390606479,-1.5966616294,-1.80935797704,6_hard_full,-2.49340091215,interaction,-1.50709921177,-1.51672965501,-1.67086827284,-1.61248043063,8ea4bf56
61,-1.82674356251,-1.7712628604,-1.90230442926,6_hard_full,-2.97910031392,blocking_blind,-1.92419750991,-1.92695954859,-2.01399126958,-2.07230038629,8fc76287
62,-4.06220789776,-3.68929343017,-4.42191729139,6_hard_full,-3.01442662834,density,-3.95456057602,-3.57524113588,-4.30031844861,-3.80211654266,8fcbec83
63,-2.28134887707,-2.85068423911,-2.44888703225,6_hard_full,-3.25150935427,blocking,-2.29369349382,-2.73781146406,-2.47069945986,-2.3530128037,90c60de8
64,-4.46324589598,-2.56900554565,-4.53437833461,6_hard_full,-2.77621210575,interaction_blind,-4.57649853039,-2.36939921345,-4.71231315923,-4.31165277472,91a61ead
65,-1.74834078087,-1.64468364908,-1.80497066463,6_hard_full,-2.70541546536,blocking_blind,-1.80575477078,-1.71882947762,-1.85234687598,-1.9633078042,91cfd7fb
66,-2.52548809004,-2.62819506241,-2.62770008517,6_hard_full,-3.04614559361,blocking,-2.56298677081,-2.67601062611,-2.67187987122,-2.55767802458,92b722f3
67,-2.19570243938,-2.03434016726,-2.36255047057,6_hard_full,-2.95222688293,interaction_blind,-2.15599795949,-2.01547459742,-2.31387514189,-2.27739747071,94d6ef33
68,-2.69286327308,-2.87349201114,-2.91963058684,6_hard_full,-3.37788703458,blocking,-2.77492468072,-2.86104889473,-3.0429927158,-2.7588387967,94e4c554
69,-3.75647865851,-2.79014933875,-4.34023486429,6_hard_full,-3.51477902193,interaction_blind,-3.50250314769,-2.6416221168,-4.07144394178,-3.44896990303,98c4bf54
70,-2.93499596653,-2.89145635024,-3.05324293867,6_hard_full,-2.48736221188,density,-2.75030373474,-2.89037638128,-2.84698032817,-2.73451398191,9adbc2df
71,-3.13241866375,-3.71009897329,-3.4465498516,6_hard_full,-3.08434230928,density,-3.22415027812,-3.66069899483,-3.55959494053,-3.09564392334,9dc50a3d
72,-2.31822387053,-1.77860687806,-2.55817018277,6_hard_full,-2.57006311388,interaction_blind,-2.21560659263,-1.75273538965,-2.44339015367,-2.13658397514,9df60bf8
73,-3.73803434007,-3.68102522526,-3.68102522526,6_hard_full,-1.84196834272,density,-3.92638618314,-3.86730608694,-3.86730608694,-4.27038376654,a2f6ba1d
74,-2.5515166459,-1.73047302267,-2.87432601926,6_hard_full,-2.87310152669,blocking_blind,-2.59489072408,-1.86900152206,-2.95231370266,-2.67543562343,a3d4c3b2
75,-2.93642809234,-2.71488308603,-2.99969179021,6_hard_full,-2.74962088946,blocking_blind,-2.94810378979,-2.76738349691,-3.06072700294,-2.91711363235,a3d5dfda
76,-2.82269879519,-3.28713340507,-2.91653072988,6_hard_full,-2.84929846136,blocking,-2.97938300125,-3.19739955543,-3.06967346316,-2.93743701105,a4c60d7a
77,-1.82621528198,-1.77654250944,-1.8181122071,6_hard_full,-2.88020478465,interaction_blind,-1.93411345327,-1.76917485212,-1.93404718457,-2.03541818673,a6f610e1
78,-4.08344514329,-3.80110415563,-4.25275745142,6_hard_full,-2.98767336741,density,-4.23346816703,-3.76454394854,-4.44902097132,-4.00852864365,acd61c3d
79,-2.5541350948,-2.22971776107,-2.73840760951,6_hard_full,-3.0280683396,blocking_blind,-2.66320961676,-2.32453662497,-2.86406749815,-2.70032681888,ada4c06f
80,-2.98544891608,-2.23457865033,-3.25417356917,6_hard_full,-3.16007957985,blocking_blind,-2.95909494508,-2.32589335151,-3.21627634927,-2.99009283408,b0d518a1
81,-2.24205427124,-2.38665617146,-2.25424062327,6_hard_full,-2.78559714322,interaction,-2.21336823072,-2.3241335439,-2.22893446029,-2.26643255746,b2d60bc9
82,-1.76918662716,-2.28230833764,-1.82711530884,6_hard_full,-3.18343857387,blocking,-1.8249903381,-2.25775303886,-1.87181807673,-1.86926263019,b7a4fe27
83,-2.23705250529,-1.67816730705,-2.61233002217,6_hard_full,-2.08838958304,interaction_blind,-1.98779305636,-1.48431878928,-2.34735467185,-1.90316894627,b8e4bf48
84,-1.15137042421,-1.24052495474,-1.13058685048,6_hard_full,-2.38551809776,blocking_player,-1.18885369981,-1.29843196596,-1.15942375232,-1.40897428129,bae515f2
85,-1.56048438509,-1.47451288717,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.1839266743,-3.10682632106,bca5dc5e
86,-3.02830031792,-2.77907093391,-3.31236995739,6_hard_full,-3.40319480011,blocking_blind,-3.11714353217,-2.89798206283,-3.45952881678,-3.07125694346,bcdfd2df
87,-1.8467957275,-1.82356995478,-1.82034700804,6_hard_full,-2.90955574038,blocking_player,-2.02902606089,-2.04884524026,-1.99881180682,-2.32240594508,bed50a1d
88,-2.15436006407,-1.83464270389,-2.26350744975,6_hard_full,-2.6608557725,blocking_blind,-2.14791698128,-1.85607546215,-2.24418125468,-2.29019416581,bfa60c8b
89,-1.97252122122,-2.0674409146,-2.08537328592,6_hard_full,-2.93818808151,linear,-1.94944264981,-1.94745628096,-2.06773069794,-1.94661145254,bfe4c87d
90,-1.53533712088,-2.06060904567,-1.53727195289,6_hard_full,-2.64653195557,interaction,-1.51108288869,-2.06975562217,-1.5119794285,-1.65392626207,c0f60e45
91,-2.66365558316,-2.62093660367,-2.62093660367,6_hard_full,-2.78501124224,interaction_blind,-2.35211331006,-2.26399896435,-2.26399896435,-2.43385554898,c5e4c4a5
92,-5.21425101672,-4.3752364403,-5.50563220764,6_hard_full,-3.38015034399,density,-5.28539557372,-4.53616976418,-5.58442997755,-5.30279630571,c6b4c141
93,-3.52481383675,-2.73994427239,-3.81743983341,6_hard_full,-3.015469877,blocking_blind,-3.62969886226,-2.86636015092,-3.93806517298,-3.57854864265,c6b60d63
94,-2.18540663556,-2.79879749284,-2.21644608154,6_hard_full,-3.06542779697,blocking,-2.24632451738,-2.81168201368,-2.27806646287,-2.31747224004,c7a61295
95,-3.32032143591,-1.99372969232,-3.48999950543,6_hard_full,-2.85776254748,interaction_blind,-3.25080111899,-1.93907029675,-3.45864181715,-3.19337388421,c7a67aab
96,-2.86192702832,-2.57543962449,-3.03379926163,6_hard_full,-2.93807466515,interaction_blind,-2.87311744056,-2.51614571018,-3.08681563221,-2.87775482238,c8a4fa50
97,-1.93528104896,-2.76288917724,-2.056369049,6_hard_full,-2.82196165896,blocking,-2.14290181044,-2.80371724948,-2.24505333752,-2.24495400555,c8f4c13d
98,-1.86622243176,-1.82021698011,-1.82021698011,6_hard_full,-2.81266813549,blocking_blind,-2.28335221031,-2.2226241821,-2.2226241821,-2.53653245035,cab61023
99,-2.58091263989,-2.10694181888,-2.71288925272,6_hard_full,-2.83073150785,interaction_blind,-2.52125624694,-2.08480024742,-2.73378804654,-2.46915176438,cceac8ca
100,-2.63201022651,-2.20233470873,-2.83286737913,6_hard_full,-2.74359224801,blocking_blind,-2.67199171928,-2.23416233913,-2.8762366599,-2.574064755,cee4bfa4
101,-2.99272605415,-2.90859523499,-3.12676025304,6_hard_full,-3.50173070519,blocking_blind,-3.10554566028,-3.01400721878,-3.56269753184,-3.09391656965,cfc5dcb3
102,-0.910927858674,-0.853632648796,-0.853632648796,6_hard_full,-2.78655207551,blocking_blind,-1.6340856809,-1.55409278791,-1.55409278791,-1.69212594667,d2a60bac
103,-5.23954097472,-3.87721296678,-6.20803432622,6_hard_full,-3.99737725352,blocking_blind,-5.33455329276,-4.08314561336,-6.49271602496,-5.16497521291,d8f6387b
104,-2.73254316846,-1.99897878122,-2.93196621471,6_hard_full,-2.76570369514,interaction_blind,-2.67259593079,-1.803398104,-2.89699913236,-2.62246292581,dbe71b15
105,-2.71025009978,-1.71435496607,-2.93149234132,6_hard_full,-2.47573453549,interaction_blind,-2.57676801518,-1.54569504008,-2.85948091072,-2.52778817478,dcc4f10e
106,-2.00320219542,-2.11752719715,-2.00998458724,6_hard_full,-2.58445746002,blocking,-2.16500144189,-2.17751179214,-2.20126795392,-2.28217650776,dfcbf407
107,-2.42043887837,-2.49500252014,-2.42698288984,6_hard_full,-2.63266336395,blocking,-2.43355797614,-2.59583623489,-2.44043936004,-2.47868682727,dfe6bee3
108,-1.04711554331,-1.0190306548,-1.0190306548,6_hard_full,-2.82826896125,blocking_blind,-1.42353477267,-1.38471209583,-1.38471209583,-1.66986613464,e0d4bfdf
109,-2.33838665424,-2.23932961332,-2.23932961332,6_hard_full,-2.44853900562,interaction_blind,-2.02684438114,-1.882391974,-1.882391974,-2.17407389134,e9c4c917
110,-3.27061516224,-3.09389337932,-3.68428093446,6_hard_full,-3.80599361941,linear,-3.15469697831,-3.25114122643,-3.65733985021,-3.08381716895,ead61455
111,-2.12650075178,-2.08684591441,-2.08684591441,6_hard_full,-2.88868895357,blocking_blind,-2.27160100422,-2.23011521868,-2.23011521868,-2.42098152182,ebc61801
112,-2.6407039688,-2.29808969854,-2.69344712671,6_hard_full,-2.91146802572,interaction_blind,-2.42955759047,-2.15054828276,-2.46738221278,-2.34102609496,eec7360c
113,-3.23678930731,-3.32631237965,-3.45497871691,6_hard_full,-3.53700481869,blocking,-3.3018410944,-3.5187090565,-3.50973411435,-3.41018347104,efebc5bb
114,-3.81407779348,-2.34829084135,-4.44204091208,6_hard_full,-2.8830383877,interaction_blind,-3.74641437014,-2.1257085046,-4.36070353744,-3.8472836286,eff4bf48
115,-1.30058710824,-1.32125700701,-1.30694686091,6_hard_full,-2.82197166772,blocking,-1.37418851298,-1.43301700186,-1.40218053606,-1.62024648761,f1e613a1
116,-2.18184014284,-2.23932961332,-2.23932961332,6_hard_full,-2.60268968544,interaction,-1.87029786975,-1.882391974,-1.882391974,-2.01053631443,f1ebd0b7
117,-1.93277384614,-2.01392168904,-2.07802384515,6_hard_full,-2.92412345349,blocking,-2.10537331551,-2.06891507478,-2.2817849116,-2.13239675597,f2f60bd9
118,-2.47833669937,-3.04469769608,-2.73272509115,6_hard_full,-2.75673806697,blocking,-2.61395919399,-2.95729521264,-2.87312085765,-2.5769628084,f3dbeb7e
119,-2.27642905632,-2.82553808911,-2.3375399315,6_hard_full,-2.77084630302,blocking,-2.41759316373,-2.68100978995,-2.47605618011,-2.32161758173,f4a6108e
120,-3.24729998452,-3.50502689017,-3.98719230416,6_hard_full,-3.46689230569,linear,-3.33614895338,-3.50299276114,-4.09084738536,-3.16312532519,f6fbf6b1
121,-3.66981726816,-2.32732465046,-4.40337361105,6_hard_full,-3.08115452157,blocking_blind,-3.59849269577,-2.47231679419,-4.4575531952,-3.64222775268,f7b4bfae
122,-3.85985111917,-4.69270361917,-4.10098364907,6_hard_full,-3.83091072736,density,-4.02038758105,-4.48911535504,-4.30095337967,-3.91227079245,f8d60bcb
123,-3.6209570266,-3.17564936492,-4.01898593722,6_hard_full,-3.02753768247,density,-3.61605631602,-3.10565957717,-4.05082013032,-3.31371973668,fac10d6e
124,-3.83444894983,-4.04138661972,-4.20300589082,6_hard_full,-3.89013461989,linear,-3.79314119732,-3.86539100908,-4.18245285074,-3.58220090403,fac6126a
125,-1.81669195056,-1.91635227035,-1.86540496055,6_hard_full,-2.89119510503,interaction,-1.81438945424,-1.92071122039,-1.86203748846,-1.9001964506,fde4bf4b
126,-2.61676133897,-2.78217720982,-2.78217720982,6_hard_full,-2.31500761299,interaction,-2.30521906587,-2.4252395705,-2.4252395705,-2.38009980568,ffa4c00b
127,-2.93386292529,-3.06202001106,-3.21075573961,6_hard_full,-3.23030154814,blocking,-2.9739543543,-3.1448317336,-3.23733044965,-3.17102807122,fff4bf68
128,-4.60196277582,-1.70375085338,-4.68474840433,6_hard_pruned,-2.41797445562,interaction_blind,-4.63943066752,-1.54807777093,-4.8838828848,-4.5764322348,11a64b43
129,-2.05724873794,-2.00417209454,-2.06800044342,6_hard_pruned,-2.25092436278,interaction_blind,-2.0578277311,-1.87402674371,-2.11569797442,-1.9799085111,11a64d17
130,-2.00923047831,-2.13764697471,-2.13836870187,6_hard_pruned,-2.94482942658,blocking,-2.03777527679,-2.1196559447,-2.23129648738,-2.07972291669,11e652f7
131,-1.0855454751,-1.73537461939,-1.08227818908,6_hard_pruned,-2.50231457414,blocking_player,-1.28671550721,-1.74052626383,-1.38823279246,-1.40211116026,14d64999
132,-1.24797067476,-1.64191522334,-1.19911139978,6_hard_pruned,-2.94738253509,blocking_player,-1.39687816595,-1.83196949022,-1.33499517767,-1.65695582917,16d516ad
133,-1.35534697513,-1.29661831962,-1.36233052106,6_hard_pruned,-2.95017490404,blocking_blind,-1.6330872429,-1.53128484752,-1.63097884705,-1.84896529803,1dac01e7
134,-2.95834887624,-2.39432942765,-3.05650883608,6_hard_pruned,-3.04681655553,blocking_blind,-3.16211749353,-2.54793061644,-3.30664221381,-3.1872979225,25b4e27c
135,-2.05118022183,-1.93365325933,-2.14740134953,6_hard_pruned,-2.5802667521,interaction_blind,-2.02189770444,-1.86464950557,-2.16579305205,-2.00345391577,25cfdeaf
136,-2.04843147029,-1.61538514397,-2.4030256084,6_hard_pruned,-1.95621020642,interaction_blind,-1.70663069079,-1.42060046734,-2.01819337019,-1.68223500987,28e6483c
137,-2.86243451154,-2.27494901295,-3.21104300624,6_hard_pruned,-3.09795697114,blocking_blind,-2.92058835641,-2.50086235792,-3.28260833547,-2.91463449455,2ab4ecbb
138,-2.32205431358,-2.3294665015,-2.50477159671,6_hard_pruned,-2.84966747681,blocking,-2.45541263053,-2.37253423298,-2.67792413183,-2.42336336647,2afbbf79
139,-3.076305803,-1.91157934972,-3.54694702699,6_hard_pruned,-2.59829111085,interaction_blind,-2.76680307866,-1.75734954575,-3.21645198812,-2.4628999392,2ca66220
140,-2.08693838457,-1.61581443465,-2.24170358186,6_hard_pruned,-2.87293630093,blocking_blind,-2.2360296551,-1.77396451562,-2.39719730896,-2.39310705532,2cb650ed
141,-2.58504843797,-2.48981447608,-2.62690501204,6_hard_pruned,-2.47552030648,linear,-2.30820573081,-2.36563800284,-2.31268097721,-2.23676152657,2fa647f5
142,-2.04770554159,-1.77441197598,-2.07641451361,6_hard_pruned,-2.64053199194,blocking_blind,-2.10407225646,-1.86162850213,-2.10487596147,-2.06341475231,2ff50f64
143,-2.90239474408,-2.87453523179,-3.22405039358,6_hard_pruned,-3.12765971269,linear,-2.8681549623,-2.938639257,-3.22551946975,-2.78689752254,30c4e230
144,-3.89226036492,-2.8751880607,-4.11539536527,6_hard_pruned,-2.93547765245,interaction_blind,-4.02425153812,-2.73962382327,-4.33446441636,-3.74299853821,30e4feac
145,-2.58165281368,-2.11508285836,-2.87681431604,6_hard_pruned,-1.92716689445,density,-2.28441476692,-1.95276229451,-2.54366305176,-2.26663881691,33e649bd
146,-0.628536256572,-0.591490871654,-0.591490871654,6_hard_pruned,-2.72931509306,blocking_blind,-0.798700783447,-0.755768534537,-0.755768534537,-1.10121374681,3ad4e7d3
147,-2.05883694247,-2.02796578837,-2.02796578837,6_hard_pruned,-2.69821694767,blocking_blind,-2.20064071487,-2.16486384078,-2.16486384078,-2.452734851,3ef64929
148,-1.51750743221,-1.41204639649,-1.41204639649,6_hard_pruned,-2.57768838324,blocking_blind,-2.2340433067,-2.09342135547,-2.09342135547,-3.18320359102,3fa64b7b
149,-2.34130013718,-1.92241335798,-2.68980696727,6_hard_pruned,-1.93751221769,interaction_blind,-2.02226074717,-1.75476676578,-2.33211281349,-2.06320614703,40e4e2b8
150,-2.74046441734,-2.77351260644,-2.87160399734,6_hard_pruned,-2.90470652645,blocking,-2.79936014368,-2.79232883875,-2.915171359,-2.8352239668,43e64821
151,-2.32291824247,-1.69656550123,-2.54092272737,6_hard_pruned,-2.21662241055,interaction_blind,-2.05667894641,-1.48066988242,-2.2524544101,-1.92429155423,44a65230
152,-1.62412291223,-1.77107203869,-1.81347698391,6_hard_pruned,-2.19242808032,interaction,-1.44262310049,-1.60646833623,-1.67354438459,-1.44548126577,45b64f9c
153,-2.06099652371,-1.63481642857,-2.422456893,6_hard_pruned,-1.91974589506,interaction_blind,-1.70741924194,-1.43012118333,-2.02771408618,-1.68572348561,49c72e9b
154,-2.46088213033,-3.29873741135,-2.38301335696,6_hard_pruned,-2.62342455873,blocking_player,-2.81592716746,-3.38260698363,-2.71469301921,-2.99764916418,4bca7fc9
155,-2.27405033953,-2.17686312264,-2.17686312264,6_hard_pruned,-2.42353770341,interaction_blind,-1.93791840141,-1.79188665516,-1.79188665516,-2.06399736722,4ca649a6
156,-2.35108289808,-2.72755057838,-2.49423397808,6_hard_pruned,-2.8619096667,blocking,-2.48586035148,-2.68136139675,-2.6695726496,-2.44767008756,4ca65156
157,-2.7128490332,-1.81982709577,-2.74363497724,6_hard_pruned,-2.57594387082,interaction_blind,-2.67528784512,-1.70457361601,-2.85698717973,-2.66377450187,4cb651bd
158,-2.27446673408,-1.82984312582,-2.36132346035,6_hard_pruned,-2.75358729051,blocking_blind,-2.41291561934,-1.87780843825,-2.52764375724,-2.53500293422,4ed4e40b
159,-2.10944880168,-2.03531700564,-2.30658509102,6_hard_pruned,-2.86576372436,blocking_blind,-2.18884334288,-2.13269760789,-2.38766870789,-2.26088426545,4ee64c2a
160,-1.93325587391,-2.70020125999,-2.06883718723,6_hard_pruned,-2.59926792006,blocking,-2.00919760818,-2.48705300574,-2.17135226659,-1.96067915601,51a4e32d
