,board,correct,inverse_computation,k,move_limit,noise,shutter_size
217,6_hard_pruned,0.11,0.00465060039251,10,50,1.0,0.0
218,10_easy_full,0.216699801193,0.0021271736924,3,50,1.5,0.0
219,10_easy_pruned,0.31013916501,0.00362240562301,3,50,1.5,0.0
220,10_hard_full,0.166,0.00192980898751,3,50,1.5,0.0
221,10_hard_pruned,0.114,0.00248038019268,3,50,1.5,0.0
222,10_medium_full,0.0781563126253,0.00219773443969,3,50,1.5,0.0
223,10_medium_pruned,0.246492985972,0.00359561896527,3,50,1.5,0.0
224,6_easy_full,0.447368421053,0.0102472831216,3,50,1.5,0.0
225,6_easy_pruned,0.671052631579,0.019662630653,3,50,1.5,0.0
226,6_hard_full,0.205263157895,0.00500902943464,3,50,1.5,0.0
227,6_hard_pruned,0.173684210526,0.0062027651274,3,50,1.5,0.0
228,10_easy_full,0.168,0.00192091220279,5,50,1.5,0.0
229,10_easy_pruned,0.362,0.00277975449208,5,50,1.5,0.0
230,10_hard_full,0.168,0.0018800597107,5,50,1.5,0.0
231,10_hard_pruned,0.082,0.00185376741151,5,50,1.5,0.0
232,10_medium_full,0.082,0.00167219046918,5,50,1.5,0.0
233,10_medium_pruned,0.238,0.00254407611876,5,50,1.5,0.0
234,6_easy_full,0.43,0.00895447544683,5,50,1.5,0.0
235,6_easy_pruned,0.708,0.013688129654,5,50,1.5,0.0
236,6_easy_pruned,0.794,0.00855651578677,5,50,1.5,0.5
237,6_hard_full,0.202,0.00428680435882,5,50,1.5,0.0
238,6_hard_pruned,0.154,0.00462060234172,5,50,1.5,0.0
239,10_easy_full,0.232686980609,0.00194027604592,10,50,1.5,0.0
240,10_easy_pruned,0.360110803324,0.00202802152736,10,50,1.5,0.0
241,10_hard_full,0.130193905817,0.00190053014788,10,50,1.5,0.0
242,10_hard_pruned,0.102493074792,0.00185724428164,10,50,1.5,0.0
243,10_medium_full,0.0969529085873,0.00169780085407,10,50,1.5,0.0
244,10_medium_pruned,0.229916897507,0.00173281940758,10,50,1.5,0.0
245,6_easy_full,0.486,0.00911095318792,10,50,1.5,0.0
246,6_easy_full,0.576,0.00547033981751,10,50,1.5,0.5
247,6_easy_pruned,0.664,0.00925548850468,10,50,1.5,0.0
248,6_easy_pruned,0.806,0.00556210648097,10,50,1.5,0.5
249,6_hard_full,0.112,0.00435965401786,10,50,1.5,0.0
250,6_hard_pruned,0.154,0.00470792060563,10,50,1.5,0.0
251,6_easy_full,0.312,0.0102995097433,3,50,2.0,0.0
252,6_easy_full,0.442,0.0072337962963,3,50,2.0,0.5
253,6_easy_pruned,0.634,0.01968271464,3,50,2.0,0.0
