position,solved,time_rel,userid,prev_action,board_name,player,time_between,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition
2_3,wrong,143971,22dac859,click,logs/6_hard_full_dec19,1,2.739,1513540046382,1513540043643,15,False,5,"6,hard,full"
2_2,wrong,146541,22dac859,click,logs/6_hard_full_dec19,2,2.57,1513540048952,1513540046382,16,False,6,"6,hard,full"
3_0,wrong,155788,22dac859,undo,logs/6_hard_full_dec19,1,1.996,1513540058199,1513540056203,17,True,1,"6,hard,full"
0_3,wrong,169784,22dac859,click,logs/6_hard_full_dec19,2,13.996,1513540072195,1513540058199,18,False,2,"6,hard,full"
4_2,wrong,186343,22dac859,click,logs/6_hard_full_dec19,1,16.559,1513540088754,1513540072195,19,False,3,"6,hard,full"
2_0,wrong,190257,22dac859,click,logs/6_hard_full_dec19,2,3.914,1513540092668,1513540088754,20,False,4,"6,hard,full"
5_2,wrong,191253,22dac859,click,logs/6_hard_full_dec19,1,0.996,1513540093664,1513540092668,21,False,5,"6,hard,full"
2_4,wrong,226839,22dac859,undo,logs/6_hard_full_dec19,1,7.129,1513540129250,1513540122121,22,True,1,"6,hard,full"
3_4,wrong,229516,22dac859,click,logs/6_hard_full_dec19,2,2.677,1513540131927,1513540129250,23,False,2,"6,hard,full"
2_3,wrong,231226,22dac859,click,logs/6_hard_full_dec19,1,1.71,1513540133637,1513540131927,24,False,3,"6,hard,full"
2_2,wrong,244703,22dac859,click,logs/6_hard_full_dec19,2,13.477,1513540147114,1513540133637,25,False,4,"6,hard,full"
0_3,wrong,259485,22dac859,click,logs/6_hard_full_dec19,1,14.782,1513540161896,1513540147114,26,False,5,"6,hard,full"
3_0,wrong,261528,22dac859,click,logs/6_hard_full_dec19,2,2.043,1513540163939,1513540161896,27,False,6,"6,hard,full"
2_2,wrong,290095,22dac859,undo,logs/6_hard_full_dec19,1,23.89,1513540192506,1513540168616,28,True,1,"6,hard,full"
2_0,wrong,292971,22dac859,click,logs/6_hard_full_dec19,2,2.876,1513540195382,1513540192506,29,False,2,"6,hard,full"
2_4,wrong,294813,22dac859,click,logs/6_hard_full_dec19,1,1.842,1513540197224,1513540195382,30,False,3,"6,hard,full"
2_3,wrong,296227,22dac859,click,logs/6_hard_full_dec19,2,1.414,1513540198638,1513540197224,31,False,4,"6,hard,full"
4_2,wrong,298134,22dac859,click,logs/6_hard_full_dec19,1,1.907,1513540200545,1513540198638,32,False,5,"6,hard,full"
3_2,wrong,299678,22dac859,click,logs/6_hard_full_dec19,2,1.544,1513540202089,1513540200545,33,False,6,"6,hard,full"
4_4,wrong,306473,22dac859,click,logs/6_hard_full_dec19,1,6.795,1513540208884,1513540202089,34,False,7,"6,hard,full"
4_3,wrong,307800,22dac859,click,logs/6_hard_full_dec19,2,1.327,1513540210211,1513540208884,35,False,8,"6,hard,full"
2_2,wrong,319954,22dac859,undo,logs/6_hard_full_dec19,1,5.976,1513540222365,1513540216389,36,True,1,"6,hard,full"
2_3,wrong,345510,22dac859,click,logs/6_hard_full_dec19,2,25.556,1513540247921,1513540222365,37,False,2,"6,hard,full"
4_3,wrong,348340,22dac859,click,logs/6_hard_full_dec19,1,2.83,1513540250751,1513540247921,38,False,3,"6,hard,full"
3_2,wrong,352347,22dac859,click,logs/6_hard_full_dec19,2,4.007,1513540254758,1513540250751,39,False,4,"6,hard,full"
2_3,wrong,362916,22dac859,undo,logs/6_hard_full_dec19,1,3.309,1513540265327,1513540262018,40,True,1,"6,hard,full"
2_2,wrong,365401,22dac859,click,logs/6_hard_full_dec19,2,2.485,1513540267812,1513540265327,41,False,2,"6,hard,full"
0_3,wrong,368923,22dac859,click,logs/6_hard_full_dec19,1,3.522,1513540271334,1513540267812,42,False,3,"6,hard,full"
2_0,wrong,372051,22dac859,click,logs/6_hard_full_dec19,2,3.128,1513540274462,1513540271334,43,False,4,"6,hard,full"
3_0,wrong,374849,22dac859,undo,logs/6_hard_full_dec19,2,0.887,1513540277260,1513540276373,44,False,4,"6,hard,full"
2_3,wrong,400073,22dac859,undo,logs/6_hard_full_dec19,1,2.164,1513540302484,1513540300320,45,True,1,"6,hard,full"
3_4,wrong,413883,22dac859,click,logs/6_hard_full_dec19,2,13.81,1513540316294,1513540302484,46,False,2,"6,hard,full"
2_2,wrong,416690,22dac859,click,logs/6_hard_full_dec19,1,2.807,1513540319101,1513540316294,47,False,3,"6,hard,full"
2_0,wrong,418218,22dac859,click,logs/6_hard_full_dec19,2,1.528,1513540320629,1513540319101,48,False,4,"6,hard,full"
2_4,wrong,430245,22dac859,click,logs/6_hard_full_dec19,1,12.027,1513540332656,1513540320629,49,False,5,"6,hard,full"
2_3,wrong,439398,22dac859,undo,logs/6_hard_full_dec19,1,2.654,1513540341809,1513540339155,50,True,1,"6,hard,full"
2_2,wrong,450865,22dac859,click,logs/6_hard_full_dec19,2,11.467,1513540353276,1513540341809,51,False,2,"6,hard,full"
4_5,wrong,458810,22dac859,click,logs/6_hard_full_dec19,1,7.945,1513540361221,1513540353276,52,False,3,"6,hard,full"
3_0,wrong,464808,22dac859,click,logs/6_hard_full_dec19,2,5.998,1513540367219,1513540361221,53,False,4,"6,hard,full"
3_4,wrong,469818,22dac859,click,logs/6_hard_full_dec19,1,5.01,1513540372229,1513540367219,54,False,5,"6,hard,full"
2_2,wrong,485680,22dac859,undo,logs/6_hard_full_dec19,2,8.221,1513540388091,1513540379870,55,False,2,"6,hard,full"
4_5,wrong,489153,22dac859,click,logs/6_hard_full_dec19,1,3.473,1513540391564,1513540388091,56,False,3,"6,hard,full"
3_4,wrong,492932,22dac859,click,logs/6_hard_full_dec19,2,3.779,1513540395343,1513540391564,57,False,4,"6,hard,full"
2_3,wrong,503150,22dac859,undo,logs/6_hard_full_dec19,1,3.864,1513540405561,1513540401697,58,True,1,"6,hard,full"
2_2,wrong,507578,22dac859,click,logs/6_hard_full_dec19,2,4.428,1513540409989,1513540405561,59,False,2,"6,hard,full"
3_0,wrong,510534,22dac859,click,logs/6_hard_full_dec19,1,2.956,1513540412945,1513540409989,60,False,3,"6,hard,full"
0_3,wrong,512032,22dac859,click,logs/6_hard_full_dec19,2,1.498,1513540414443,1513540412945,61,False,4,"6,hard,full"
4_5,wrong,515151,22dac859,click,logs/6_hard_full_dec19,1,3.119,1513540417562,1513540414443,62,False,5,"6,hard,full"
3_4,wrong,517362,22dac859,click,logs/6_hard_full_dec19,2,2.211,1513540419773,1513540417562,63,False,6,"6,hard,full"
2_3,wrong,526475,22dac859,undo,logs/6_hard_full_dec19,1,3.449,1513540428886,1513540425437,64,True,1,"6,hard,full"
2_2,wrong,530396,22dac859,click,logs/6_hard_full_dec19,2,3.921,1513540432807,1513540428886,65,False,2,"6,hard,full"
4_4,wrong,535801,22dac859,click,logs/6_hard_full_dec19,1,5.405,1513540438212,1513540432807,66,False,3,"6,hard,full"
3_0,wrong,549451,22dac859,click,logs/6_hard_full_dec19,2,13.65,1513540451862,1513540438212,67,False,4,"6,hard,full"
3_4,wrong,552579,22dac859,click,logs/6_hard_full_dec19,1,3.128,1513540454990,1513540451862,68,False,5,"6,hard,full"
4_5,wrong,556270,22dac859,click,logs/6_hard_full_dec19,2,3.691,1513540458681,1513540454990,69,False,6,"6,hard,full"
1_4,wrong,560011,22dac859,click,logs/6_hard_full_dec19,1,3.741,1513540462422,1513540458681,70,False,7,"6,hard,full"
2_4,wrong,562645,22dac859,click,logs/6_hard_full_dec19,2,2.634,1513540465056,1513540462422,71,False,8,"6,hard,full"
0_3,wrong,16003,26dbf6e9,,logs/6_hard_full_dec19,1,15.991,1513617458531,1513617442540,1,True,1,"6,hard,full"
3_0,wrong,17512,26dbf6e9,click,logs/6_hard_full_dec19,2,1.509,1513617460040,1513617458531,2,False,2,"6,hard,full"
0_2,wrong,25677,26dbf6e9,click,logs/6_hard_full_dec19,1,8.165,1513617468205,1513617460040,3,False,3,"6,hard,full"
0_5,wrong,28057,26dbf6e9,click,logs/6_hard_full_dec19,2,2.38,1513617470585,1513617468205,4,False,4,"6,hard,full"
2_2,wrong,35947,26dbf6e9,click,logs/6_hard_full_dec19,1,7.89,1513617478475,1513617470585,5,False,5,"6,hard,full"
3_2,wrong,39643,26dbf6e9,click,logs/6_hard_full_dec19,2,3.696,1513617482171,1513617478475,6,False,6,"6,hard,full"
2_3,wrong,53140,26dbf6e9,click,logs/6_hard_full_dec19,1,13.497,1513617495668,1513617482171,7,False,7,"6,hard,full"
2_4,wrong,58549,26dbf6e9,click,logs/6_hard_full_dec19,2,5.409,1513617501077,1513617495668,8,False,8,"6,hard,full"
2_0,wrong,59719,26dbf6e9,click,logs/6_hard_full_dec19,1,1.17,1513617502247,1513617501077,9,False,9,"6,hard,full"
2_2,wrong,68228,26dbf6e9,reset,logs/6_hard_full_dec19,1,1.459,1513617510756,1513617509297,10,True,1,"6,hard,full"
2_3,wrong,80654,26dbf6e9,click,logs/6_hard_full_dec19,2,12.426,1513617523182,1513617510756,11,False,2,"6,hard,full"
3_0,wrong,87646,26dbf6e9,click,logs/6_hard_full_dec19,1,6.992,1513617530174,1513617523182,12,False,3,"6,hard,full"
2_2,wrong,92333,26dbf6e9,reset,logs/6_hard_full_dec19,1,0.7,1513617534861,1513617534161,13,True,1,"6,hard,full"
2_3,wrong,92867,26dbf6e9,click,logs/6_hard_full_dec19,2,0.534,1513617535395,1513617534861,14,False,2,"6,hard,full"
0_3,validatedCorrect,30427,32ebf2e8,,logs/6_hard_full_dec19,1,30.411,1513616421930,1513616391519,1,True,1,"6,hard,full"
3_0,validatedCorrect,32679,32ebf2e8,click,logs/6_hard_full_dec19,2,2.252,1513616424182,1513616421930,2,False,2,"6,hard,full"
2_2,validatedCorrect,45554,32ebf2e8,reset,logs/6_hard_full_dec19,1,8.154,1513616437057,1513616428903,3,True,1,"6,hard,full"
0_2,validatedCorrect,52292,32ebf2e8,click,logs/6_hard_full_dec19,2,6.738,1513616443795,1513616437057,4,False,2,"6,hard,full"
0_3,validatedCorrect,54441,32ebf2e8,click,logs/6_hard_full_dec19,1,2.149,1513616445944,1513616443795,5,False,3,"6,hard,full"
3_0,validatedCorrect,57208,32ebf2e8,click,logs/6_hard_full_dec19,2,2.767,1513616448711,1513616445944,6,False,4,"6,hard,full"
3_2,validatedCorrect,59467,32ebf2e8,click,logs/6_hard_full_dec19,1,2.259,1513616450970,1513616448711,7,False,5,"6,hard,full"
4_2,validatedCorrect,63743,32ebf2e8,click,logs/6_hard_full_dec19,2,4.276,1513616455246,1513616450970,8,False,6,"6,hard,full"
2_4,validatedCorrect,65316,32ebf2e8,click,logs/6_hard_full_dec19,1,1.573,1513616456819,1513616455246,9,False,7,"6,hard,full"
2_3,validatedCorrect,66918,32ebf2e8,click,logs/6_hard_full_dec19,2,1.602,1513616458421,1513616456819,10,False,8,"6,hard,full"
1_4,validatedCorrect,72811,32ebf2e8,click,logs/6_hard_full_dec19,1,5.893,1513616464314,1513616458421,11,False,9,"6,hard,full"
3_4,validatedCorrect,73914,32ebf2e8,click,logs/6_hard_full_dec19,2,1.103,1513616465417,1513616464314,12,False,10,"6,hard,full"
4_3,validatedCorrect,75376,32ebf2e8,click,logs/6_hard_full_dec19,1,1.462,1513616466879,1513616465417,13,False,11,"6,hard,full"
1_0,validatedCorrect,81428,32ebf2e8,click,logs/6_hard_full_dec19,2,6.052,1513616472931,1513616466879,14,False,12,"6,hard,full"
5_0,validatedCorrect,106186,32ebf2e8,reset,logs/6_hard_full_dec19,1,14.858,1513616497689,1513616482831,15,True,1,"6,hard,full"
2_3,validatedCorrect,113807,32ebf2e8,click,logs/6_hard_full_dec19,2,7.621,1513616505310,1513616497689,16,False,2,"6,hard,full"
