,entropy,condition
259,1.2369443027468343,Full
260,1.4399912865283913,Full
261,1.3095705324034912,Full
262,1.3505907322048,Full
263,1.427100903549104,Full
264,1.0393511293332314,Full
265,1.3888205684879373,Full
266,1.2859577134670401,Full
267,1.3840704898737632,Full
268,1.3820042709495541,Full
269,1.3139023094519824,Full
270,1.250809140507257,Full
271,1.3737085244922616,Full
272,1.3358514765451606,Full
273,1.0958478812859391,Full
274,1.1317028650940437,Full
275,1.3524258699154463,Full
276,1.1290697820836402,Full
277,1.384707497116732,Full
278,1.4123372475883744,Full
279,1.2647539069584108,Full
280,0.9139612504725574,Full
281,1.3282146765151988,Full
282,1.1362270174200464,Full
283,1.002675013359144,Full
284,1.4374255044741362,Full
285,1.2942669266218179,Full
286,1.2002624775436475,Full
287,1.250101887102214,Full
288,1.0372400111288942,Full
289,1.2199282412795707,Full
290,1.5463199321163763,Full
291,1.4732788196997524,Full
292,1.2023045401124242,Full
293,1.2594709448023083,Full
294,1.2414981585594476,Full
295,1.2843091425150666,Full
296,0.9918104175815587,Full
297,1.4513170913890683,Full
298,1.0967215034373894,Full
299,1.3716027774721102,Full
300,0.9723035901736975,Full
301,1.30318993376118,Full
302,1.093647203548689,Full
303,1.383134252154986,Full
304,1.3228217739515165,Full
305,0.8905397204999551,Full
306,1.2791596283393534,Full
307,1.3161024894516105,Full
308,1.217294633583781,Full
309,1.4105166786510581,Full
310,1.118937474544687,Full
311,1.1618810882882054,Full
312,1.4046949005533433,Full
313,1.4771818784140929,Full
314,1.4414011695120084,Full
315,1.1734140905474444,Full
316,1.1745007114840316,Full
317,1.2965773938269773,Full
318,1.1497943670001345,Full
319,1.4538920818608572,Full
320,1.2586475932802659,Full
321,1.1661427425616664,Full
322,1.216894123542367,Full
323,1.356414140734271,Full
324,1.2620432850187273,Full
325,1.3924214337930325,Full
326,1.2784995396644883,Full
327,1.1883161504533604,Full
328,1.3290564557469868,Full
329,1.365679559855883,Full
330,1.3321164203255966,Full
331,1.2601710355474434,Full
332,1.2554823251787537,Full
333,1.0775563270668007,Full
334,1.4800550521997562,Full
335,1.4404599953352133,Full
336,1.2961578825305198,Full
337,1.1388922418532306,Full
338,1.1618810882882054,Full
339,1.5756452544580324,Full
340,1.283854286603223,Full
341,1.550018890606825,Full
342,1.4279491423930644,Full
343,1.5350016657563395,Full
344,1.2022572566231755,Full
345,1.3493297238536102,Full
346,1.306690871936816,Full
347,1.0935266609818393,Full
348,1.4394954351440357,Full
349,1.0876775776754268,Full
350,1.419815189912323,Full
351,1.3752020937425333,Full
352,1.4342613173644176,Full
353,1.3128674221705663,Full
354,1.1174327119212504,Full
355,1.2925718370167558,Full
356,1.3430464682556658,Full
357,1.3612310864022246,Full
358,1.1366320972687796,Full
359,1.274597720497609,Full
360,1.1707659397104129,Full
361,1.4528445582207543,Full
362,1.4273527924834482,Full
363,1.3373517142814888,Full
364,1.5784505866124816,Full
365,1.3698084280871372,Full
366,1.3491669592852673,Full
367,1.2307168425626318,Full
368,1.2281891334060058,Full
369,1.2671159046436662,Full
370,1.2756314149979768,Full
371,1.259809383653448,Full
372,1.0838225988316332,Full
373,1.2632716522990175,Full
374,1.035016633484322,Full
375,1.370848745606398,Full
376,1.3865728320314272,Full
377,1.3694035357113203,Full
378,1.3179900230755464,Full
379,1.2786457436180516,Full
380,0.9984280905413933,Full
381,1.3022469330278488,Full
382,1.306934001325458,Full
383,1.3851143267579986,Full
384,1.2252418643226084,Full
385,1.3908764771923452,Full
386,1.4021341434685204,Full
387,1.3133041850540068,Full
388,1.5224250707382003,Full
389,1.3170857061564942,Full
390,1.211538365477024,Full
391,1.4374255044741362,Full
392,1.0851210346782028,Full
393,1.4447083408373973,Full
394,1.393774788010697,Full
395,1.0847789581877945,Full
396,0.9387548872637546,Full
397,1.0738223582057085,Full
398,1.192273318406106,Full
399,1.255107110874601,Full
400,1.3778095821906036,Full
401,1.067683296994323,Full
402,1.3180176650941973,Full
403,1.3022058920395823,Full
404,1.325725602112749,Full
405,1.2592686715008208,Full
406,1.1439184876687052,Full
407,1.3437999557784006,Full
408,1.4488857119837817,Full
409,1.2528568481461588,Full
410,1.448522674248786,Full
411,1.282713519111391,Full
412,1.1410901347252358,Full
413,1.1363816096975867,Full
414,0.9970453177375399,Full
415,1.3189911728522297,Full
416,1.2406298652139403,Full
417,1.4971400922568332,Full
418,1.5173067399949574,Full
419,1.4666917941303173,Full
420,1.182278859620839,Full
421,1.317764641731125,Full
422,1.376542156395333,Full
423,1.4130961095623933,Full
424,1.1509169205883507,Full
425,1.1071672239720862,Full
426,1.4063630505249234,Full
427,1.3806295068205843,Full
428,1.627467054313634,Full
429,1.31948967519703,Full
430,1.1231308210776978,Full
431,1.4851948114656364,Full
432,1.1719798785046576,Full
433,1.400138654928281,Full
434,1.3881696582903007,Full
435,1.3437521330668272,Full
436,1.136379418399844,Full
437,1.1993048798972734,Full
438,1.4105135571148382,Full
439,1.4426830554625292,Full
440,1.177294752897789,Full
441,1.2819594442009046,Full
442,1.368945933319888,Full
443,1.303482994434071,Full
444,1.173724802715543,Full
445,1.328169086516668,Full
446,1.2053570083959568,Full
447,1.320783160655913,Full
448,1.2526316140007585,Full
449,1.1366320972687796,Full
450,1.1119558990316325,Full
451,1.3680749045427754,Full
452,1.3801618913307712,Full
453,1.3257440846962327,Full
454,1.5551318696128322,Full
455,1.291745908779023,Full
456,1.2525520238253671,Full
457,1.2744970973087293,Full
458,1.017227665393732,Full
459,1.3398143546128962,Full
460,1.2200904693115298,Full
461,1.4411831050226915,Full
462,1.4063956724517677,Full
463,1.4962603429087677,Full
464,1.3275633915915181,Full
465,1.4182955454598734,Full
466,1.4488404268331865,Full
467,1.094804668630383,Full
468,1.5504863001074187,Full
469,1.3721361080536072,Full
470,1.2655937705695286,Full
471,1.2607303335894366,Full
472,1.3503899443553888,Full
473,1.3072595428559015,Full
474,1.4478213935858817,Full
475,1.249386892138975,Full
476,1.2680593118705328,Full
477,1.317534317770613,Full
478,1.5314444849580415,Full
479,1.2524510726221292,Full
480,1.43078704568147,Full
481,1.3154889498303444,Full
482,1.1849719775620753,Full
483,1.2440175909427684,Full
484,1.3015314743064883,Full
485,1.075524390343655,Full
486,1.2528751360265649,Full
487,1.073524810182097,Full
488,1.6355363104130998,Full
489,1.471686379646759,Full
490,1.2651011718625655,Full
491,1.0076121040162174,Full
492,1.5834902617595605,Full
493,1.2261932058724232,Full
494,1.2419564257273958,Full
495,1.0374308652110866,Full
496,1.2520542364121847,Full
497,1.1080602786404865,Full
498,1.1776742650412078,Full
499,1.4937905799713525,Full
500,1.451055343900876,Full
501,1.331352594653079,Full
502,1.4159853521293875,Full
503,1.3741408620502613,Full
504,1.282731494778534,Full
505,1.2892513358955142,Full
506,1.0690002933785683,Full
507,1.3782331002079513,Full
508,1.3915150576449973,Full
509,1.3817168098032033,Full
510,1.0662173875546272,Full
511,1.3134253058707253,Full
512,1.2828428422641125,Full
513,1.4165467929031272,Full
514,1.21710621122941,Full
515,1.2460601462086511,Full
516,1.4427830844095073,Full
517,1.2531439589650801,Full
518,1.1294648225558381,Full
519,1.2607750804212094,Full
520,1.1218117650421304,Full
521,1.3097358605307057,Full
522,1.3447450723583105,Full
523,1.1959067847355591,Full
524,1.4157554003671515,Full
525,1.180414078417825,Full
526,1.4367879329436914,Full
527,1.4652658100447955,Full
528,1.2475774019093806,Full
529,1.2154851126497643,Full
530,1.153657150194434,Full
531,1.2103066582345008,Full
532,1.4320124921730986,Full
533,1.3195556907445747,Full
534,1.24649756901422,Full
535,1.265904201583373,Full
536,1.3163647246864316,Full
537,1.065279857676975,Full
538,1.242095774653636,Full
539,1.17497832889087,Full
540,1.2513547052152392,Full
541,1.200432378649641,Full
542,1.3591834460277794,Full
543,1.2135670992715648,Full
544,1.0201306525013127,Full
545,1.3900160131171684,Full
546,1.242647377010158,Full
547,1.0813275938317102,Full
548,1.466059632865018,Full
549,1.308416347498587,Full
550,1.295585283835525,Full
551,1.2966073988074995,Full
552,1.4404599953352133,Full
553,0.9368779699291143,Full
554,1.4383327208381502,Full
555,1.3829534770133733,Full
556,1.2949884483244205,Full
557,1.4930987417727206,Full
558,1.2165565847672628,Full
559,0.8931987588952126,Full
560,1.1904958436472488,Full
561,1.2445000296663002,Full
562,1.4890193419370747,Full
563,1.291141902244159,Full
564,1.3407139391154341,Full
565,1.2523272894067796,Full
566,1.3719354141500786,Full
567,1.2814287309393633,Full
568,1.2105901238659895,Full
569,1.2440175909427684,Full
570,1.138170249517656,Full
571,1.2410166880939622,Full
572,1.4929219192848984,Full
573,1.2755511574650173,Full
574,0.8918673953172509,Full
575,1.2219964234962863,Full
576,1.498984992284486,Full
577,1.327058352884417,Full
578,1.06997677837827,Full
579,1.2206726843171731,Full
580,1.482156220749018,Full
581,1.0765672714822472,Full
582,1.4657346498710757,Full
583,1.270263327143628,Full
584,1.424224664462978,Full
585,1.3550764998885687,Full
586,1.0128624489738476,Full
587,1.343546067598073,Full
588,1.3663626043792616,Full
589,1.3234251286324428,Full
590,1.2575350708218505,Full
591,1.4323701938263778,Full
592,1.0347237164131773,Full
593,1.2513547052152392,Full
594,1.3209037702081012,Full
595,1.2827043247024934,Full
596,1.4716498145406594,Full
597,1.3171099522384393,Full
598,1.3989235501896693,Full
599,1.3936215744039744,Full
600,1.293852398508837,Full
601,1.1711232164430587,Full
602,1.4093710121675134,Full
603,0.979014512157736,Full
604,1.2783131927042202,Full
605,1.1934726936741022,Full
606,1.2858954285352067,Full
607,1.397625926942,Full
608,1.3455686318128453,Full
609,1.0602136197232777,Full
