board_name,heuristic,path,move_number_in_path,prob_path
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1]]",27,2.93e-47
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2]]",26,1.23e-45
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1]]",25,2e-44
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2]]",24,8.809999999999999e-43
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1]]",23,8.809999999999998e-39
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2]]",22,4.05e-37
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1]]",21,6.35e-34
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2]]",20,3.05e-32
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1]]",19,4.04e-29
10_easy_full,blocking,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2]]",18,2.0200000000000002e-27
