,blocking,blocking_blind,board,density,heuristic,interaction,interaction_blind,linear,userid
34,-2.401489438,-2.876236705,6_hard_full,-2.823745284,blocking,-2.748891366,-2.966728565,-2.765267551,55f5fe54
35,-1.053441877,-1.035434688,6_hard_full,-2.527577438,blocking_blind,-1.161993864,-1.135886145,-1.415490116,57a4bf4b
36,-2.663798484,-2.396906109,6_hard_full,-2.546561598,blocking_blind,-2.856691417,-2.593426031,-2.918017497,5ce612bc
37,-0.67188081,-0.633138178,6_hard_full,-2.889582271,blocking_blind,-0.893778873,-0.851824192,-1.230413579,5dd4c056
38,-2.188949455,-2.291244511,6_hard_full,-2.86043799,interaction,-2.062110483,-2.202808886,-2.161374698,5edbbf73
39,-1.560484385,-1.474512887,6_hard_full,-2.785011242,blocking_blind,-2.262948197,-2.183926674,-3.106826321,5fd6115c
40,-3.932438818,-1.940649882,6_hard_full,-2.412177773,blocking_blind,-3.789883313,-2.051258226,-3.767742639,63c4bfcb
41,-1.601840237,-1.493546009,6_hard_full,-2.729720366,blocking_blind,-1.758267222,-1.647189589,-2.001516161,63e5efe1
42,-1.782528859,-1.684697171,6_hard_full,-3.294115218,blocking_blind,-2.034649773,-1.824853055,-2.222037936,64f61543
43,-3.055080927,-2.717277472,6_hard_full,-3.417031904,blocking_blind,-3.146580438,-2.797107577,-3.00838504,67eac875
44,-2.143803977,-1.752255405,6_hard_full,-2.59440617,interaction_blind,-2.084746299,-1.752074186,-2.150478354,68d5e249
45,-1.752582113,-2.233570532,6_hard_full,-2.873424456,blocking,-1.788032175,-2.21099958,-1.859277652,69bad0fe
46,-2.300282985,-2.235260396,6_hard_full,-2.812470899,interaction_blind,-2.129255334,-2.081234628,-2.173473025,6bf51f66
47,-2.407237815,-2.56585751,6_hard_full,-2.999309713,linear,-2.415891452,-2.486770552,-2.284982632,6ee61190
48,-1.884449972,-1.745192045,6_hard_full,-2.754419483,interaction_blind,-1.855877457,-1.5976379,-1.900893883,70da8cfb
49,-2.419760973,-2.581258617,6_hard_full,-3.598726175,blocking,-2.814641084,-2.965559774,-2.76795229,72f4c145
50,-3.457892596,-3.620563326,6_hard_full,-3.194555167,density,-3.636998085,-3.845079085,-3.687292816,74b60b9f
51,-2.060260535,-1.475686966,6_hard_full,-2.801676041,blocking_blind,-2.268250352,-1.840662945,-2.354186471,76e60f84
52,-0.888244919,-0.853759049,6_hard_full,-2.551196308,blocking_blind,-1.035904888,-0.997798657,-1.310465957,78f60c95
53,-2.143743401,-2.948122391,6_hard_full,-2.624745391,blocking,-2.188413556,-2.864402301,-2.164911951,7bf4bf38
54,-1.82969207,-1.809240162,6_hard_full,-2.756180089,blocking_blind,-2.035725501,-2.012896152,-2.291877987,84a4bf3c
55,-1.8323919,-2.080287122,6_hard_full,-2.801039995,interaction,-1.708237591,-1.968711885,-1.769197865,87b50908
56,-3.403426436,-3.352246199,6_hard_full,-3.808587461,linear,-3.38119987,-3.626697522,-3.310492636,87f4bf56
57,-2.174075425,-2.198610727,6_hard_full,-2.343372242,interaction_blind,-2.199203713,-1.984970556,-2.089113639,87f610ee
58,-1.944525001,-1.849630889,6_hard_full,-2.759849527,blocking_blind,-1.973266159,-1.86491522,-2.069185166,89d60ba4
59,-2.314717358,-1.970531125,6_hard_full,-3.133928227,blocking_blind,-2.410363757,-2.143724327,-2.595166333,8ac4c37c
60,-1.643906065,-1.596661629,6_hard_full,-2.493400912,interaction,-1.507099212,-1.516729655,-1.612480431,8ea4bf56
61,-1.826743563,-1.77126286,6_hard_full,-2.979100314,blocking_blind,-1.92419751,-1.926959549,-2.072300386,8fc76287
62,-4.062207898,-3.68929343,6_hard_full,-3.014426628,density,-3.954560576,-3.575241136,-3.802116543,8fcbec83
