userid,board_name,solved,explore_time,size,type,condition,exploit_time,explore_time_sec,id_fake
54d4fd9d,10_medium_full,wrong,11962,10,medium,full,6396,11.962,618
8fc76287,6_hard_full,wrong,12028,6,hard,full,7504,12.028,619
8df4f6e8,6_easy_full,wrong,12043,6,easy,full,11392,12.043,620
59d51c4c,6_easy_full,solvedCorrect,12046,6,easy,full,1641,12.046,621
6fc70a09,6_easy_pruned,solvedCorrect,12062,6,easy,pruned,1822,12.062,622
c3dfd812,10_easy_pruned,validatedCorrect,12106,10,easy,pruned,11361,12.106,623
c3dfd812,10_easy_pruned,validatedCorrect,12123,10,easy,pruned,3402,12.123,624
33b693e2,6_easy_pruned,solvedCorrect,12146,6,easy,pruned,4017,12.146,625
fdaa7ebb,6_hard_pruned,wrong,12191,6,hard,pruned,3033,12.191,626
b9bbef4c,10_easy_full,wrong,12203,10,easy,full,11480,12.203,627
29e72a67,10_medium_pruned,validatedCorrect,12295,10,medium,pruned,11262,12.295,628
4cffe209,10_medium_full,wrong,12319,10,medium,full,11849,12.319,629
8fcbec83,6_hard_full,validatedCorrect,12326,6,hard,full,11737,12.326,630
7dea8d37,10_hard_pruned,wrong,12331,10,hard,pruned,5404,12.331,631
c7a67aab,6_hard_full,wrong,12350,6,hard,full,11842,12.35,632
89cbc391,10_easy_full,wrong,12366,10,easy,full,11719,12.366,633
c3dfd812,10_easy_pruned,validatedCorrect,12368,10,easy,pruned,11297,12.368,634
8bc69c49,10_hard_full,solvedCorrect,12386,10,hard,full,6588,12.386,635
94e4c554,6_hard_full,wrong,12393,6,hard,full,7452,12.393,636
89cbc391,10_easy_full,wrong,12411,10,easy,full,0,12.411,637
4ed4c1d3,6_hard_full,wrong,12457,6,hard,full,2923,12.457,638
d3b525de,6_easy_full,wrong,12539,6,easy,full,7992,12.539,639
9dc50a3d,6_hard_full,solvedCorrect,12550,6,hard,full,9128,12.55,640
e2b10de5,10_hard_pruned,wrong,12561,10,hard,pruned,3344,12.561,641
5efbf191,10_medium_pruned,wrong,12596,10,medium,pruned,11888,12.596,642
46dad3ed,6_easy_pruned,validatedCorrect,12631,6,easy,pruned,0,12.631,643
19a105e3,6_easy_pruned,validatedCorrect,12659,6,easy,pruned,4561,12.659,644
7dd704e0,6_hard_pruned,wrong,12670,6,hard,pruned,10312,12.67,645
72caeffe,10_easy_full,wrong,12697,10,easy,full,7054,12.697,646
9dd11e8e,10_medium_pruned,validatedCorrect,12735,10,medium,pruned,11601,12.735,647
89cbfdf9,10_easy_pruned,wrong,12746,10,easy,pruned,2782,12.746,648
75bbec9c,10_easy_full,wrong,12760,10,easy,full,0,12.76,649
7db4f1d2,6_easy_pruned,validatedCorrect,12762,6,easy,pruned,10345,12.762,650
43dbc360,10_easy_pruned,wrong,12782,10,easy,pruned,6112,12.782,651
cff10c9a,10_easy_full,wrong,12805,10,easy,full,10958,12.805,652
ecefd3a0,10_medium_pruned,validatedCorrect,12821,10,medium,pruned,10313,12.821,653
6dd103e2,6_hard_pruned,wrong,12842,6,hard,pruned,4002,12.842,654
bed50a1d,6_hard_full,wrong,12848,6,hard,full,8897,12.848,655
89cbc391,10_easy_full,wrong,12861,10,easy,full,11778,12.861,656
a7b511d6,10_medium_full,wrong,12861,10,medium,full,8668,12.861,657
89cbfdf9,10_easy_pruned,wrong,12873,10,easy,pruned,9742,12.873,658
7dd704e0,6_hard_pruned,wrong,12911,6,hard,pruned,11049,12.911,659
19a105e3,6_easy_pruned,validatedCorrect,12921,6,easy,pruned,10040,12.921,660
fdc4f07b,10_easy_pruned,validatedCorrect,12923,10,easy,pruned,9516,12.923,661
34cffc40,6_easy_full,wrong,12927,6,easy,full,11529,12.927,662
98c10b8a,10_hard_pruned,wrong,12944,10,hard,pruned,11018,12.944,663
75bbec9c,10_easy_full,wrong,12971,10,easy,full,0,12.971,664
54d4fd9d,10_medium_full,wrong,12977,10,medium,full,11919,12.977,665
84dbf4f9,10_hard_full,wrong,13012,10,hard,full,2048,13.012,666
fda4f169,6_easy_full,validatedCorrect,13065,6,easy,full,6199,13.065,667
3fcbc0ab,6_easy_full,validatedCorrect,13067,6,easy,full,8628,13.067,668
3ab7160d,10_easy_pruned,validatedCorrect,13097,10,easy,pruned,7028,13.097,669
19a105e3,6_easy_pruned,validatedCorrect,13105,6,easy,pruned,8226,13.105,670
4ecfea32,10_easy_pruned,validatedCorrect,13111,10,easy,pruned,11000,13.111,671
25dfef96,6_easy_full,wrong,13115,6,easy,full,8151,13.115,672
32b10037,6_easy_full,wrong,13158,6,easy,full,10058,13.158,673
f5dac888,10_easy_full,wrong,13221,10,easy,full,12547,13.221,674
24a5e25a,6_hard_full,wrong,13237,6,hard,full,12218,13.237,675
cff10c9a,10_easy_full,wrong,13238,10,easy,full,10366,13.238,676
8fcbec83,6_hard_full,validatedCorrect,13248,6,hard,full,5203,13.248,677
8fcbec83,6_hard_full,validatedCorrect,13289,6,hard,full,10011,13.289,678
e2b10de5,10_hard_pruned,wrong,13290,10,hard,pruned,8848,13.29,679
fde4bf4b,6_hard_full,wrong,13300,6,hard,full,11688,13.3,680
d0e6841e,10_easy_full,validatedCorrect,13302,10,easy,full,0,13.302,681
14b4c043,6_hard_full,wrong,13317,6,hard,full,805,13.317,682
e0d4bfdf,6_hard_full,solvedCorrect,13364,6,hard,full,0,13.364,683
acc6e9d4,10_easy_full,wrong,13387,10,easy,full,11721,13.387,684
b0d518a1,6_hard_full,wrong,13390,6,hard,full,4457,13.39,685
31f6a576,10_hard_pruned,validatedCorrect,13394,10,hard,pruned,12243,13.394,686
4ecfea32,10_easy_pruned,validatedCorrect,13435,10,easy,pruned,11777,13.435,687
e3a4effd,10_medium_full,wrong,13435,10,medium,full,3704,13.435,688
e6efec72,10_hard_pruned,validatedCorrect,13452,10,hard,pruned,11793,13.452,689
3fcbc0ab,6_easy_full,validatedCorrect,13462,6,easy,full,12048,13.462,690
2afbbf79,6_hard_pruned,wrong,13478,6,hard,pruned,9863,13.478,691
b8a4fbaa,10_easy_full,wrong,13486,10,easy,full,6511,13.486,692
add50f98,10_hard_full,wrong,13488,10,hard,full,12561,13.488,693
8bc69c49,10_hard_full,solvedCorrect,13516,10,hard,full,3966,13.516,694
33a74451,10_medium_pruned,wrong,13530,10,medium,pruned,7988,13.53,695
edbbcb60,6_easy_pruned,validatedCorrect,13560,6,easy,pruned,7354,13.56,696
e6efec72,10_hard_pruned,validatedCorrect,13562,10,hard,pruned,0,13.562,697
e3a4effd,10_medium_full,wrong,13651,10,medium,full,9778,13.651,698
cfd6ff5a,6_easy_full,wrong,13666,6,easy,full,9892,13.666,699
89cbc391,10_easy_full,wrong,13682,10,easy,full,13235,13.682,700
89cbc391,10_easy_full,wrong,13690,10,easy,full,8371,13.69,701
cdc50047,10_easy_pruned,validatedCorrect,13698,10,easy,pruned,9096,13.698,702
9ae751bc,10_easy_full,wrong,13715,10,easy,full,2217,13.715,703
29e72a67,10_medium_pruned,validatedCorrect,13737,10,medium,pruned,10284,13.737,704
ada4c06f,6_hard_full,wrong,13753,6,hard,full,12395,13.753,705
d5aff345,10_easy_pruned,validatedCorrect,13753,10,easy,pruned,6448,13.753,706
18a695e2,10_hard_pruned,wrong,13769,10,hard,pruned,9967,13.769,707
a7b511d6,10_medium_full,wrong,13775,10,medium,full,11725,13.775,708
2dca846d,6_easy_pruned,solvedCorrect,13801,6,easy,pruned,11489,13.801,709
8ac4c37c,6_hard_full,wrong,13810,6,hard,full,2887,13.81,710
6cd50fc7,10_easy_full,wrong,13818,10,easy,full,11960,13.818,711
fdaa7ebb,6_hard_pruned,wrong,13821,6,hard,pruned,11161,13.821,712
39afd1eb,10_easy_pruned,wrong,13824,10,easy,pruned,2048,13.824,713
a7b511d6,10_medium_full,wrong,13848,10,medium,full,12148,13.848,714
9da51cdd,10_medium_pruned,solvedCorrect,13933,10,medium,pruned,10070,13.933,715
cee4bfa4,6_hard_full,wrong,13955,6,hard,full,2178,13.955,716
e2b10de5,10_hard_pruned,wrong,13967,10,hard,pruned,9649,13.967,717
9befd8ad,10_hard_full,validatedCorrect,13999,10,hard,full,8003,13.999,718
55a709fd,6_easy_pruned,validatedCorrect,14019,6,easy,pruned,11690,14.019,719
efa7383d,6_easy_full,validatedCorrect,14027,6,easy,full,12452,14.027,720
7dd704e0,6_hard_pruned,wrong,14114,6,hard,pruned,12523,14.114,721
d5aff345,10_easy_pruned,validatedCorrect,14116,10,easy,pruned,7841,14.116,722
33a74451,10_medium_pruned,wrong,14147,10,medium,pruned,13195,14.147,723
7dea8d37,10_hard_pruned,wrong,14159,10,hard,pruned,12302,14.159,724
87b50908,6_hard_full,wrong,14174,6,hard,full,13049,14.174,725
dcc4f10e,6_hard_full,wrong,14205,6,hard,full,10011,14.205,726
69bad0fe,6_hard_full,wrong,14207,6,hard,full,11569,14.207,727
25dfef96,6_easy_full,wrong,14208,6,easy,full,2552,14.208,728
89cbc391,10_easy_full,wrong,14228,10,easy,full,1330,14.228,729
