userid,board,solved,correct,explore_time,exploit_time,num_unique_first_moves,num_resets,num_moves_win_score,mean_score,num_restarts,solution_time,median_score,number_of_moves
fdc4f07b,10_easy_pruned,validatedCorrect,correct,26.82333333,12.46333333,0.157894737,0.096153846,0.666666667,0.684521473,0.119047619,0.388441366,0.068696884,0.153846154
18c75602,10_medium_full,validatedCorrect,correct,11.4235,9.2245,0.052631579,0.019230769,0.25,0.552643653,0.119047619,0.405914681,0.482273527,0.177514793
33bbca9a,10_medium_full,wrong,wrong,18.00275,10.9055,0.210526316,0.057692308,0.083333333,0.523705329,0.095238095,0.179896757,0.25731973,0.118343195
38cbc1f6,10_medium_full,wrong,wrong,34.7456,27.972,0.368421053,0.076923077,0.083333333,0.44831619,0.142857143,0.329992782,0.233586195,0.278106509
48ec02bc,10_medium_full,wrong,wrong,25.50066667,14.64783333,0.210526316,0.096153846,0.25,0.478971352,0.19047619,0.490520834,0.18436752,0.307692308
4cb73467,10_medium_full,solvedCorrect,wrong,29.84,24.8912,0.157894737,0.192307692,0.333333333,0.497958419,0.214285714,0.671273764,0.32420769,0.384615385
4cffe209,10_medium_full,wrong,wrong,9.185444444,6.380777778,0.263157895,0.153846154,0.083333333,0.371669754,0.214285714,0.136076926,0.224507429,0.24260355
4de4f27d,10_medium_full,wrong,wrong,25.67428571,13.23942857,0.315789474,0.115384615,0.25,0.41114055,0.166666667,0.41007155,0.122875354,0.25443787
54d4fd9d,10_medium_full,wrong,wrong,24.75617647,18.00876471,0.263157895,0.307692308,0.166666667,0.448344211,0.380952381,0.80206013,0.181782799,0.544378698
54f6b927,10_medium_full,wrong,wrong,28.381,22.9565,0.105263158,0.019230769,0.166666667,0.448191513,0.023809524,0.220536939,0.181782799,0.136094675
76abf978,10_medium_full,validatedCorrect,correct,13.14533333,6.487333333,0.052631579,0.038461538,0.333333333,0.490484274,0.047619048,0.305724699,0.149134869,0.218934911
81a10227,10_medium_full,wrong,wrong,30.93966667,18.177,0.105263158,0.038461538,0.166666667,0.509470605,0.047619048,0.297607291,0.233586195,0.147928994
93c70cc1,10_medium_full,solvedCorrect,wrong,44.98,43.048,0.001,0.001,0.333333333,0.448041761,0.001,0.408917192,0.124462636,0.094674556
a0a4f4ea,10_medium_full,wrong,wrong,19.67366667,10.8265,0.315789474,0.096153846,0.166666667,0.393137649,0.142857143,0.307432617,0.293337428,0.165680473
a7b511d6,10_medium_full,wrong,wrong,24.05092857,19.07121429,0.368421053,0.25,0.666666667,0.431836874,0.333333333,0.771376653,0.373950973,0.568047337
b0d5043d,10_medium_full,wrong,wrong,30.4,28.729,0.157894737,0.001,0.166666667,0.398010675,0.071428571,0.196720561,0.189868859,0.183431953
b3dbd892,10_medium_full,wrong,wrong,18.655,17.577,0.052631579,0.001,0.083333333,0.613941688,0.001,0.125574042,0.371287939,0.047337278
b9bbc96c,10_medium_full,wrong,wrong,36.992,33.428,0.052631579,0.019230769,0.166666667,0.552302435,0.001,0.188083545,0.511095192,0.082840237
e0a10efa,10_medium_full,wrong,wrong,36.2645,20.605,0.105263158,0.019230769,0.083333333,0.655182668,0.023809524,0.136135972,0.369687385,0.035502959
e3a4effd,10_medium_full,wrong,wrong,18.82625,7.889,0.315789474,0.134615385,0.25,0.371135525,0.19047619,0.308458549,0.156062491,0.24260355
f8e11654,10_medium_full,wrong,wrong,25.46,19.252,0.210526316,0.115384615,0.416666667,0.488070932,0.142857143,0.548777517,0.36695236,0.236686391
19b680e2,10_medium_pruned,validatedCorrect,correct,14.8275,8.838,0.105263158,0.019230769,0.166666667,0.44814044,0.023809524,0.213991642,0.086402266,0.065088757
29e72a67,10_medium_pruned,validatedCorrect,correct,18.15407692,10.94269231,0.684210526,1,0.25,0.303985819,0.547619048,0.751780619,0.111478869,0.668639053
33a74451,10_medium_pruned,wrong,wrong,17.919,13.00138462,0.263157895,0.230769231,1,0.526160611,0.285714286,0.651630493,0.202036348,0.366863905
76f6a1e9,10_medium_pruned,wrong,wrong,22.35788889,7.877111111,0.368421053,0.153846154,0.25,0.352804357,0.19047619,0.377491206,0.16117701,0.295857988
93ebead7,10_medium_pruned,validatedCorrect,correct,49.7745,34.0475,0.157894737,0.057692308,0.333333333,0.44855268,0.095238095,0.519512631,0.175637394,0.224852071
94a4f5d4,10_medium_pruned,validatedCorrect,correct,4.344333333,2.531,0.157894737,0.038461538,0.166666667,0.900223116,0.047619048,0.079652157,0.695857855,0.053254438
95e69707,10_medium_pruned,validatedCorrect,correct,12.991,8.1805,0.052631579,0.038461538,0.166666667,0.599079205,0.023809524,0.227858696,0.224507429,0.053254438
9da51cdd,10_medium_pruned,solvedCorrect,wrong,20.16966667,17.43966667,0.210526316,0.153846154,0.75,0.580971678,0.19047619,0.374224462,0.379809263,0.284023669
9dd11e8e,10_medium_pruned,validatedCorrect,correct,131.6345,109.7885,0.368421053,0.038461538,0.333333333,0.448043126,0.357142857,0.776349838,0.170679887,0.278106509
a9cbcabb,10_medium_pruned,wrong,wrong,10.083,7.622,0.001,0.001,0.083333333,0.448754948,0.001,0.025543485,0.19283951,0.041420118
abd12ee2,10_medium_pruned,validatedCorrect,correct,8.48,3.3615,0.052631579,0.019230769,0.083333333,0.44902155,0.023809524,0.189006145,0.560993043,0.041420118
b0c6f3a8,10_medium_pruned,validatedCorrect,correct,31.016,19.90785714,0.263157895,0.115384615,0.333333333,0.413422787,0.166666667,0.580751159,0.144660057,0.266272189
cefc077d,10_medium_pruned,validatedCorrect,correct,12.77775,9.7895,0.105263158,0.057692308,0.333333333,0.448601393,0.071428571,0.206525221,0.224507429,0.100591716
ecefd3a0,10_medium_pruned,validatedCorrect,correct,25.09388889,12.85394444,0.526315789,0.346153846,0.083333333,0.391532699,0.547619048,0.737193198,0.077549575,0.50295858
eefbf52d,10_medium_pruned,wrong,wrong,17.31766667,7.267333333,0.105263158,0.038461538,0.333333333,0.622572895,0.047619048,0.203490234,0.287254726,0.100591716
