board,move,correct
10_hard_full,2,0
10_hard_full,7,0
10_hard_full,60,0
10_hard_full,74,0
10_hard_full,58,0
10_hard_full,70,0
10_hard_full,20,0
10_hard_full,75,0
10_hard_full,28,0
10_hard_full,21,0
10_hard_full,25,1
10_hard_full,75,0
10_hard_full,92,0
10_hard_full,20,0
10_hard_full,18,0
10_hard_full,10,0
10_hard_full,56,0
10_hard_full,25,1
10_hard_full,25,1
10_hard_full,94,0
10_hard_full,75,0
10_hard_full,9,0
10_hard_full,25,1
10_hard_full,32,0
10_hard_full,66,0
10_hard_full,94,0
10_hard_full,24,0
10_hard_full,82,0
10_hard_full,17,0
10_hard_full,96,0
10_hard_full,61,0
10_hard_full,79,0
10_hard_full,59,0
10_hard_full,30,0
10_hard_full,90,0
10_hard_full,25,1
10_hard_full,61,0
10_hard_full,94,0
10_hard_full,12,0
10_hard_full,58,0
10_hard_full,62,0
10_hard_full,36,0
10_hard_full,93,0
10_hard_pruned,20,0
10_hard_pruned,90,0
10_hard_pruned,45,0
10_hard_pruned,8,0
10_hard_pruned,40,0
10_hard_pruned,24,1
10_hard_pruned,40,0
10_hard_pruned,7,0
10_hard_pruned,76,0
10_hard_pruned,98,0
10_hard_pruned,56,0
10_hard_pruned,24,1
10_hard_pruned,84,0
10_hard_pruned,89,0
10_hard_pruned,44,0
10_hard_pruned,36,0
10_hard_pruned,38,0
10_hard_pruned,18,0
10_hard_pruned,89,0
10_hard_pruned,75,0
10_hard_pruned,2,0
10_hard_pruned,82,0
10_hard_pruned,92,0
10_hard_pruned,41,0
10_hard_pruned,89,0
10_hard_pruned,92,0
10_hard_pruned,91,0
10_hard_pruned,56,0
10_hard_pruned,32,0
10_hard_pruned,10,0
10_hard_pruned,94,0
10_hard_pruned,24,1
10_hard_pruned,81,0
10_hard_pruned,75,0
10_hard_pruned,60,0
10_hard_pruned,50,0
10_hard_pruned,2,0
10_hard_pruned,51,0
10_hard_pruned,24,1
10_hard_pruned,2,0
10_hard_pruned,74,0
10_hard_pruned,13,0
10_hard_pruned,20,0
10_hard_pruned,6,0
10_hard_pruned,15,0
10_hard_pruned,28,0
10_hard_pruned,8,0
10_hard_pruned,38,0
10_hard_pruned,56,0
10_hard_pruned,57,0
10_medium_full,54,0
10_medium_full,81,0
10_medium_full,37,0
10_medium_full,15,0
10_medium_full,80,0
10_medium_full,44,0
10_medium_full,84,0
10_medium_full,2,0
10_medium_full,42,0
10_medium_full,39,0
10_medium_full,10,0
10_medium_full,19,0
10_medium_full,50,0
10_medium_full,96,0
10_medium_full,70,0
10_medium_full,25,0
10_medium_full,12,0
10_medium_full,30,0
10_medium_full,92,0
10_medium_full,2,0
10_medium_full,73,0
10_medium_full,53,0
10_medium_full,27,0
10_medium_full,62,0
10_medium_full,54,0
10_medium_full,80,0
10_medium_full,69,0
10_medium_full,87,0
10_medium_full,32,0
10_medium_full,42,0
10_medium_full,9,0
10_medium_full,16,0
10_medium_full,91,0
10_medium_full,99,0
10_medium_full,53,0
10_medium_full,80,0
10_medium_full,10,0
10_medium_full,93,0
10_medium_full,20,0
10_medium_full,68,0
10_medium_full,83,0
10_medium_full,29,0
10_medium_full,29,0
10_medium_full,91,0
10_medium_full,37,0
10_medium_full,79,0
10_medium_full,83,0
10_medium_full,62,0
10_medium_full,60,0
10_medium_full,18,0
10_medium_pruned,42,0
10_medium_pruned,53,1
10_medium_pruned,31,0
10_medium_pruned,42,0
10_medium_pruned,42,0
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,42,0
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,42,0
10_medium_pruned,53,1
10_medium_pruned,31,0
10_medium_pruned,53,1
10_medium_pruned,32,0
10_medium_pruned,31,0
10_medium_pruned,32,0
10_medium_pruned,53,1
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,42,0
10_medium_pruned,53,1
10_medium_pruned,42,0
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,31,0
10_medium_pruned,31,0
10_medium_pruned,42,0
10_medium_pruned,32,0
10_medium_pruned,31,0
10_medium_pruned,32,0
10_medium_pruned,53,1
10_medium_pruned,42,0
10_medium_pruned,53,1
10_medium_pruned,32,0
10_medium_pruned,53,1
10_medium_pruned,31,0
10_medium_pruned,32,0
10_medium_pruned,53,1
10_medium_pruned,32,0
10_medium_pruned,31,0
10_medium_pruned,32,0
10_medium_pruned,53,1
10_medium_pruned,53,1
10_medium_pruned,32,0
10_medium_pruned,32,0
10_medium_pruned,31,0
6_easy_full,3,0
6_easy_full,5,0
6_easy_full,12,1
6_easy_full,3,0
6_easy_full,18,0
6_easy_full,34,0
6_easy_full,12,1
6_easy_full,26,0
6_easy_full,6,0
6_easy_full,33,0
6_easy_full,11,0
6_easy_full,6,0
6_easy_full,12,1
6_easy_full,6,0
6_easy_full,11,0
6_easy_full,12,1
6_easy_full,33,0
6_easy_full,12,1
6_easy_full,26,0
6_easy_full,3,0
6_easy_full,11,0
6_easy_full,29,0
6_easy_full,36,0
6_easy_full,12,1
6_easy_full,12,1
6_easy_full,24,1
6_easy_full,33,0
6_easy_full,3,0
6_easy_full,11,0
6_easy_full,24,1
6_easy_full,11,0
6_easy_full,35,0
6_easy_full,36,0
6_easy_full,32,0
6_easy_full,3,0
6_easy_full,18,0
6_easy_full,35,0
6_easy_full,30,0
6_easy_full,33,0
6_easy_full,3,0
6_easy_full,3,0
6_easy_full,35,0
6_easy_full,32,0
6_easy_full,24,1
6_easy_full,32,0
6_easy_full,12,1
6_easy_full,11,0
6_easy_full,3,0
6_easy_full,3,0
6_easy_full,12,1
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,11,0
6_easy_pruned,12,1
6_easy_pruned,12,1
6_easy_pruned,12,1
