,board_name,path,move_number_in_path,count,participants_prob
83,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2]]",14,1,0.166666666667
84,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1]]",13,1,0.166666666667
85,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2]]",12,1,0.166666666667
86,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1]]",11,1,0.0833333333333
87,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2]]",10,1,0.0625
88,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1]]",9,1,0.037037037037
89,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2]]",8,1,0.0192307692308
90,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1]]",7,1,0.00970873786408
91,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2]]",6,1,0.00662251655629
92,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1]]",5,1,0.00480769230769
93,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2]]",4,21,0.0739436619718
94,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1]]",3,22,0.0647058823529
95,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1], [2, 9, 2]]",8,1,0.0192307692308
96,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2], [4, 7, 1]]",7,1,0.00970873786408
97,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1], [4, 8, 2]]",6,1,0.00662251655629
98,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [2, 8, 1]]",5,1,0.00480769230769
99,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1], [4, 7, 2], [4, 8, 1]]",7,1,0.00970873786408
100,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1], [4, 7, 2]]",6,1,0.00662251655629
101,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 4, 1]]",5,1,0.00480769230769
102,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2], [4, 8, 1]]",5,1,0.00480769230769
103,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1], [1, 8, 2]]",4,5,0.0176056338028
104,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 9, 1]]",3,5,0.0147058823529
105,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [1, 8, 2]]",4,1,0.00352112676056
106,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [4, 8, 2]]",4,1,0.00352112676056
107,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 3, 2]]",4,1,0.00352112676056
108,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 4, 2], [9, 3, 1]]",5,1,0.00480769230769
109,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1], [9, 4, 2]]",4,1,0.00352112676056
110,10_easy_full,"[[0, 5, 1], [4, 9, 2], [2, 8, 1]]",3,3,0.00882352941176
111,10_easy_full,"[[0, 5, 1], [4, 9, 2]]",2,48,0.124352331606
112,10_easy_full,"[[0, 5, 1], [9, 8, 2], [4, 9, 1]]",3,1,0.00294117647059
113,10_easy_full,"[[0, 5, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,1,0.00352112676056
114,10_easy_full,"[[0, 5, 1], [9, 8, 2], [9, 4, 1]]",3,2,0.00588235294118
115,10_easy_full,"[[0, 5, 1], [9, 8, 2]]",2,2,0.00518134715026
116,10_easy_full,"[[0, 5, 1]]",1,57,0.125550660793
117,10_easy_full,"[[0, 7, 1], [1, 8, 2], [0, 5, 1], [4, 9, 2]]",4,1,0.00352112676056
118,10_easy_full,"[[0, 7, 1], [1, 8, 2], [0, 5, 1]]",3,1,0.00294117647059
119,10_easy_full,"[[0, 7, 1], [1, 8, 2]]",2,1,0.00259067357513
120,10_easy_full,"[[0, 7, 1]]",1,1,0.00220264317181
121,10_easy_full,"[[0, 9, 1], [1, 8, 2], [1, 9, 1], [2, 9, 2], [0, 5, 1], [4, 9, 2]]",6,1,0.00662251655629
122,10_easy_full,"[[0, 9, 1], [1, 8, 2], [1, 9, 1], [2, 9, 2], [0, 5, 1]]",5,1,0.00480769230769
123,10_easy_full,"[[0, 9, 1], [1, 8, 2], [1, 9, 1], [2, 9, 2]]",4,1,0.00352112676056
124,10_easy_full,"[[0, 9, 1], [1, 8, 2], [1, 9, 1]]",3,1,0.00294117647059
125,10_easy_full,"[[0, 9, 1], [1, 8, 2]]",2,2,0.00518134715026
126,10_easy_full,"[[0, 9, 1], [1, 9, 2]]",2,1,0.00259067357513
127,10_easy_full,"[[0, 9, 1], [9, 4, 2], [9, 3, 1], [9, 8, 2]]",4,1,0.00352112676056
128,10_easy_full,"[[0, 9, 1], [9, 4, 2], [9, 3, 1]]",3,1,0.00294117647059
129,10_easy_full,"[[0, 9, 1], [9, 4, 2]]",2,1,0.00259067357513
130,10_easy_full,"[[0, 9, 1], [9, 8, 2], [9, 4, 1]]",3,1,0.00294117647059
