,userid,win_score,Unnamed: 0,board_size,blocking_score,Density,Linear,Non-linear,Interaction,Forcing,interaction_blind,blocking_blind
85,16e512d0,2000,25868,6,160,-2.615729214,-1.839340576,-1.677845778,-2.365451895,-2.204395895,-2.406328738,-2.765829484
86,16e512d0,2250,28583,6,160,-2.615729214,-1.839340576,-1.677845778,-2.382825673,-2.218368258,-2.418598554,-2.775160799
87,16e512d0,2500,31298,6,160,-2.615729214,-1.839340576,-1.677845778,-2.398374171,-2.231155002,-2.42964796,-2.783811556
88,16ead0a0,25,1744.5,10,50.33333333,-4.069315655,-4.334270152,-4.481294611,-4.779156113,-5.106641497,-4.444426378,-4.719868121
89,16ead0a0,250,5002.5,10,50.33333333,-4.358227729,-4.48958467,-4.710412429,-5.465821459,-5.923034182,-4.690004224,-5.180022292
90,16ead0a0,500,8260.5,10,50.33333333,-4.460273606,-4.571773463,-4.805905626,-5.748122129,-6.148193498,-4.786702189,-5.263396172
91,16ead0a0,750,11518.5,10,50.33333333,-4.521091072,-4.625054845,-4.864381652,-5.921872317,-6.297783213,-4.845570783,-5.316243482
92,16ead0a0,1000,14776.5,10,50.33333333,-4.564562957,-4.66455437,-4.906650762,-6.047775255,-6.410265652,-4.888033406,-5.355249983
93,16ead0a0,1250,17763,10,160,-4.598418652,-4.695956181,-4.93977417,-6.14657999,-6.947359573,-4.973858637,-5.902407129
94,16ead0a0,1500,20478,10,160,-4.626151251,-4.722022205,-4.967014065,-6.227912672,-7.0121532,-5.001174751,-5.92559072
95,16ead0a0,1750,23193,10,160,-4.649640003,-4.744305103,-4.990148647,-6.297034919,-7.068922276,-5.024363524,-5.945641858
96,16ead0a0,2000,25908,10,160,-4.67001302,-4.763765115,-5.010254801,-6.357139425,-7.119443218,-5.04451018,-5.963323016
97,16ead0a0,2250,28623,10,160,-4.688000921,-4.781037717,-5.028034405,-6.410310116,-7.164959585,-5.062321198,-5.979144546
98,16ead0a0,2500,31338,10,160,-4.704104096,-4.79656535,-5.043970476,-6.45798274,-7.206376323,-5.078282343,-5.993465928
99,16f6e58d,25,1636.5,10,50.33333333,-3.538776591,-3.029253753,-2.767849904,-2.520562682,-2.324318092,-2.440789811,-2.259223894
100,16f6e58d,250,4894.5,10,50.33333333,-3.629338546,-3.045039658,-2.823768546,-2.534726125,-2.198072604,-2.531066605,-2.24406125
101,16f6e58d,500,8152.5,10,50.33333333,-3.661721349,-3.066436033,-2.852592059,-2.579754858,-2.222620388,-2.584695338,-2.286146298
102,16f6e58d,750,11410.5,10,50.33333333,-3.6810172,-3.081524296,-2.870623767,-2.610995964,-2.244397127,-2.619185382,-2.315707486
103,16f6e58d,1000,14668.5,10,50.33333333,-3.694807756,-3.093085878,-2.883766423,-2.634730963,-2.262624274,-2.644630452,-2.338408013
104,16f6e58d,1250,17655,10,160,-3.705546776,-3.102443691,-2.89411146,-2.653842535,-2.139571281,-2.626454631,-2.225262468
105,16f6e58d,1500,20370,10,160,-3.714342987,-3.11029986,-2.902642788,-2.669831758,-2.148745943,-2.642878733,-2.238268953
106,16f6e58d,1750,23085,10,160,-3.72179279,-3.117068452,-2.909902284,-2.683573352,-2.157306844,-2.65693037,-2.249769966
107,16f6e58d,2000,25800,10,160,-3.728254165,-3.123013452,-2.916220319,-2.695620415,-2.165277288,-2.669209526,-2.260071907
108,16f6e58d,2250,28515,10,160,-3.733958933,-3.128313297,-2.921813238,-2.706344546,-2.172707243,-2.68011386,-2.269398213
109,16f6e58d,2500,31230,10,160,-3.739065857,-3.133094175,-2.926830452,-2.716007318,-2.179651236,-2.689920566,-2.277916065
110,17e120dd,25,1361.5,6,50.33333333,-2.738862558,-2.366398704,-2.300116751,-2.151284265,-2.495485367,-2.220618367,-2.388848085
111,17e120dd,250,4619.5,6,50.33333333,-2.788588781,-2.391134748,-2.338017725,-2.156958512,-2.568412027,-2.561637834,-2.753951454
