userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
b2d60bc9,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.737174054,-2.503150441,-2.401285716,-2.264346584,-2.275843407,-2.259749263,-2.271419538
b7a4fe27,6_hard_full,6,hard,full,blocking,0.05,25,-2.911340376,-2.049987187,-1.96805978,-1.804050812,-1.789470119,-2.285610629,-2.301087674
b8e4bf48,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.114199401,-2.272129275,-2.171446964,-2.057386589,-2.125180375,-1.675470155,-1.728483822
bae515f2,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.404502665,-1.7780554,-1.580993237,-1.352131236,-1.349074379,-1.304389665,-1.295159613
bca5dc5e,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.785011242,-3.113515309,-2.662186784,-2.262948197,-2.109121577,-2.183926674,-2.022582857
bcdfd2df,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.113353435,-3.114378361,-3.095832749,-2.985767734,-2.969883946,-2.598160179,-2.559267272
bed50a1d,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.863142527,-2.573381013,-2.378154323,-2.080106052,-2.0444707,-2.030624675,-1.985535658
bfa60c8b,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.660855772,-2.520968191,-2.386509714,-2.134769092,-2.139252179,-1.903437733,-1.898543561
bfe4c87d,6_hard_full,6,hard,full,interaction,0.05,25,-2.859516775,-2.052118925,-1.974672453,-1.88345188,-1.894653834,-1.934081646,-1.972246447
c0f60e45,6_hard_full,6,hard,full,interaction,0.05,25,-2.658525775,-2.01572621,-1.863453935,-1.648923893,-1.649578178,-2.072479504,-2.064453717
c5e4c4a5,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.785011242,-2.708050201,-2.679578527,-2.35211331,-2.396791402,-2.263998964,-2.316229247
c6b4c141,6_hard_full,6,hard,full,density,0.05,25,-3.052809172,-5.060679101,-5.080467693,-5.06246423,-5.055897279,-4.295407351,-4.262146623
c6b60d63,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.843427121,-3.430309349,-3.343515987,-3.478987473,-3.451275031,-2.721341619,-2.680490752
c7a61295,6_hard_full,6,hard,full,blocking,0.05,25,-2.894340248,-2.594685774,-2.523911963,-2.239636317,-2.217107101,-2.81827857,-2.809874968
c7a67aab,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.667695546,-3.248529945,-3.225884981,-3.108460236,-3.132193669,-1.784675903,-1.801502739
c8a4fa50,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.846884477,-2.995274085,-2.927096386,-2.790468583,-2.78860269,-2.489748769,-2.498952226
c8f4c13d,6_hard_full,6,hard,full,blocking,0.05,25,-2.821961659,-2.479150461,-2.297165858,-2.18332836,-2.109944595,-2.91323262,-2.886249017
cab61023,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.812668135,-2.646823528,-2.413049375,-2.313168987,-2.199953979,-2.248211605,-2.136312777
cceac8ca,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.658588596,-2.509163914,-2.499110975,-2.397397925,-2.42254157,-1.989062307,-2.001736564
cee4bfa4,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.662114985,-2.531167941,-2.480278094,-2.527956094,-2.515393042,-2.282233527,-2.264130112
cfc5dcb3,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.100778573,-3.121347617,-3.09211635,-2.799792658,-2.800084603,-2.563090487,-2.53177958
d2a60bac,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.786552076,-1.633832995,-1.425714392,-1.634085681,-1.421422912,-1.554092788,-1.345206115
d8f6387b,6_hard_full,6,hard,full,density,0.05,25,-3.434996868,-4.688386477,-4.802914119,-4.797899818,-4.795511809,-3.548471134,-3.481229953
dbe71b15,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.680706319,-2.828773014,-2.747831739,-2.581474191,-2.606095367,-1.953647187,-2.001849956
dcc4f10e,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.404973264,-2.695494937,-2.642319966,-2.517910416,-2.559307559,-1.572092017,-1.621609601
dfcbf407,6_hard_full,6,hard,full,blocking,0.05,25,-2.591890294,-2.206209082,-2.088113404,-2.059031312,-2.027299648,-2.190353392,-2.182664156
dfe6bee3,6_hard_full,6,hard,full,non-linear,0.05,25,-2.580560987,-2.509919301,-2.427830026,-2.469284055,-2.467264929,-2.576960217,-2.544314825
e0d4bfdf,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.828268961,-1.829888822,-1.607258473,-1.461700247,-1.361195022,-1.417463998,-1.318065256
e9c4c917,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.448539006,-2.708050201,-2.679578527,-2.026844381,-2.071522473,-1.882391974,-1.934622257
ead61455,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.374940901,-3.065297502,-3.079330012,-2.957036399,-2.995381727,-2.64974207,-2.618557569
ebc61801,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.72436091,-2.558219099,-2.430352831,-2.270540858,-2.242704867,-2.20420143,-2.176534278
eec7360c,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.776035817,-2.599594581,-2.574923384,-2.390214271,-2.445738367,-2.255018371,-2.292272557
efebc5bb,6_hard_full,6,hard,full,blocking_blind,0.05,25,-3.249434994,-3.445055692,-3.379090379,-3.179228501,-3.166814981,-3.169348282,-3.129270606
eff4bf48,6_hard_full,6,hard,full,interaction_blind,0.05,25,-2.664189913,-3.763004531,-3.668371789,-3.507784911,-3.543103601,-2.115710212,-2.176690232
f1e613a1,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.746228047,-1.929090005,-1.772197437,-1.422164177,-1.411278598,-1.351245007,-1.330859633
f1ebd0b7,6_hard_full,6,hard,full,interaction,0.05,25,-2.602689685,-2.456735773,-2.405141681,-1.87029787,-1.914975961,-1.882391974,-1.934622257
f2f60bd9,6_hard_full,6,hard,full,blocking,0.05,25,-2.825587762,-2.17477556,-2.067601365,-2.037311547,-1.993274519,-2.075484821,-2.060110001
f3dbeb7e,6_hard_full,6,hard,full,blocking,0.05,25,-2.705497586,-2.479855996,-2.417821384,-2.394837099,-2.361728738,-3.035077364,-3.058692791
f4a6108e,6_hard_full,6,hard,full,non-linear,0.05,25,-2.770846303,-2.248129353,-2.168584772,-2.232879601,-2.187363204,-2.912208067,-2.953426045
f6fbf6b1,6_hard_full,6,hard,full,linear,0.05,25,-3.140139239,-2.951718002,-3.00492252,-3.043401537,-3.020474977,-3.220597562,-3.217951886
f7b4bfae,6_hard_full,6,hard,full,blocking_blind,0.05,25,-2.879023082,-3.4661594,-3.399898484,-3.379579135,-3.403316962,-2.226315957,-2.174935757
f8d60bcb,6_hard_full,6,hard,full,density,0.05,25,-3.423518019,-3.637500347,-3.736302728,-3.688649394,-3.654793828,-4.039710243,-4.087201311
fac10d6e,6_hard_full,6,hard,full,linear,0.05,25,-2.931307232,-2.856965392,-2.900895138,-3.315870567,-3.319650854,-3.086978686,-3.086674388
fac6126a,6_hard_full,6,hard,full,linear,0.05,25,-3.623311152,-3.389873654,-3.499235188,-3.506452975,-3.52159719,-3.609080806,-3.63962068
fde4bf4b,6_hard_full,6,hard,full,interaction,0.05,25,-2.81280424,-2.145824261,-2.037252147,-1.827315039,-1.833274062,-1.851029261,-1.847838876
ffa4c00b,6_hard_full,6,hard,full,interaction,0.05,25,-2.315007613,-2.574518808,-2.532975053,-2.305219066,-2.349897157,-2.425239571,-2.477469853
fff4bf68,6_hard_full,6,hard,full,blocking,0.05,25,-3.110632939,-3.232702223,-3.124757347,-2.884383793,-2.875130133,-3.022714597,-3.003602176
11a64b43,6_hard_pruned,6,hard,pruned,interaction_blind,0.05,25,-2.417974456,-4.694057754,-4.644117879,-4.639430668,-4.612478387,-1.631742775,-1.661662658
11a64d17,6_hard_pruned,6,hard,pruned,non-linear,0.05,25,-2.268700094,-2.031114349,-1.953175844,-1.99931412,-2.003106216,-2.008752486,-2.04039541
11e652f7,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.862495541,-2.084558418,-2.020950371,-1.974726572,-1.955498307,-2.100057919,-2.107658116
14d64999,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.510233649,-1.597474861,-1.432890895,-1.352716901,-1.293865679,-1.919299822,-1.924017608
16d516ad,6_hard_pruned,6,hard,pruned,blocking,0.05,25,-2.77389765,-1.802538852,-1.685996422,-1.355644028,-1.334417567,-1.573913445,-1.545098255
