,userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
116,f1ebd0b7,6_hard_full,6,hard,full,interaction,2,25,-2.602689685,-2.456735773,-2.405141681,-1.87029787,-1.940855026,-1.882391974,-1.964699209
118,f3dbeb7e,6_hard_full,6,hard,full,blocking,2,25,-2.705497586,-2.479855996,-2.417821384,-2.394837099,-2.35142919,-2.974913049,-3.012367637
120,f6fbf6b1,6_hard_full,6,hard,full,linear,2,25,-3.140139239,-2.951718002,-3.00492252,-3.043401537,-3.016270493,-3.195842359,-3.197368721
123,fac10d6e,6_hard_full,6,hard,full,linear,2,25,-2.931307232,-2.856965392,-2.900895138,-3.315870567,-3.327680788,-3.06970732,-3.075642715
132,16d516ad,6_hard_pruned,6,hard,pruned,blocking,2,25,-2.77389765,-1.802538852,-1.685996422,-1.355644028,-1.324309833,-1.573913445,-1.531858891
133,1dac01e7,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.901291598,-1.830982841,-1.667013879,-1.526489302,-1.428270328,-1.42761731,-1.341069413
135,25cfdeaf,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-2.588061232,-2.025703685,-1.963439056,-1.854506124,-1.876316998,-1.810602513,-1.848914254
138,2afbbf79,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.718366348,-2.435239676,-2.370411669,-2.331797653,-2.292061315,-2.275293801,-2.23933498
142,2ff50f64,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.640531992,-2.23801875,-2.137273196,-2.0520673,-2.009319764,-1.91645546,-1.857029953
144,30e4feac,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-2.796259618,-3.366689844,-3.425820179,-3.681984939,-3.644668377,-2.611584076,-2.662149817
153,49c72e9b,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-1.943129336,-2.208403204,-2.110056562,-1.896115335,-2.022978051,-1.590217946,-1.682126638
154,4bca7fc9,6_hard_pruned,6,hard,pruned,density,2,25,-2.480450373,-2.906888569,-2.698341676,-2.806103887,-2.679113876,-3.476295833,-3.464330153
164,5adff9a5,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.529192451,-2.878890455,-2.74687919,-2.529523086,-2.52958854,-2.463867895,-2.461324768
165,5dbfe29c,6_hard_pruned,6,hard,pruned,interaction,2,25,-2.458206906,-1.848092573,-1.733369063,-1.54986844,-1.585850354,-1.691592752,-1.719806188
169,65afea1f,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-3.497200169,-3.568118955,-3.615555121,-3.917701562,-3.907551096,-2.631875742,-2.729902963
175,6bb10472,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.354744901,-1.594324862,-1.385525447,-1.133235171,-1.116779852,-1.073088013,-1.060567773
177,6dd103e2,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-2.685134452,-2.241129201,-2.199377,-2.22611675,-2.21255603,-2.145953441,-2.157682189
179,74e11ee8,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.577688383,-3.265065207,-2.744126258,-2.234043307,-1.993876496,-2.093421355,-1.860411834
181,7dd704e0,6_hard_pruned,6,hard,pruned,blocking,2,25,-2.484914921,-1.915577853,-1.817336458,-1.69979547,-1.687751207,-1.836008846,-1.870594291
184,81c11c9f,6_hard_pruned,6,hard,pruned,interaction,2,25,-2.409136827,-1.301559823,-1.187893002,-1.018851646,-1.030004362,-1.196029307,-1.247297227
189,92a74a76,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-2.393019907,-2.332455048,-2.220388951,-2.164318196,-2.176501296,-1.578174111,-1.586053122
194,a0f4f1bf,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.996110623,-3.164810595,-3.145370686,-3.131186619,-3.100046799,-2.979098914,-2.961225957
196,a2ebe618,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-2.50352315,-2.456528677,-2.387816204,-1.922726755,-2.02193598,-1.486717697,-1.587289137
199,aafbd6ab,6_hard_pruned,6,hard,pruned,blocking,2,25,-2.682950098,-2.261515481,-2.189936806,-2.200053372,-2.136292839,-2.259305704,-2.281852436
201,b0e1157c,6_hard_pruned,6,hard,pruned,interaction,2,25,-2.387152265,-1.910541587,-1.802517043,-1.548987486,-1.561476984,-2.105525975,-2.104091473
205,b9e512db,6_hard_pruned,6,hard,pruned,blocking,2,25,-2.705694638,-1.497737903,-1.416486639,-1.482203195,-1.368816868,-2.252828428,-2.268004163
212,c7fffe38,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.519836774,-2.534935485,-2.452199824,-2.40169386,-2.378995116,-1.744467935,-1.730034199
219,d4fac87b,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.619462902,-3.583839077,-3.556836409,-3.387005076,-3.434113427,-1.93879192,-1.915978118
222,daefd33a,6_hard_pruned,6,hard,pruned,interaction_blind,2,25,-2.240473646,-2.354092592,-2.309552496,-2.273870014,-2.359969925,-2.113592737,-2.174973997
225,e0a737b6,6_hard_pruned,6,hard,pruned,density,2,25,-2.846763301,-4.034054945,-4.009532503,-3.692449203,-3.764493441,-3.270736384,-3.309849149
227,e1e500d7,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.354744901,-1.594324862,-1.385525447,-1.133235171,-1.116779852,-1.073088013,-1.060567773
232,e9dbbf8a,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.547219945,-2.979310474,-2.868088016,-2.92229432,-2.895684108,-2.147700653,-2.100913724
234,eba732b3,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.577688383,-3.265065207,-2.744126258,-2.234043307,-1.993876496,-2.093421355,-1.860411834
240,f8bbc519,6_hard_pruned,6,hard,pruned,density,2,25,-2.577688383,-3.17805383,-3.234749174,-3.515137787,-3.592010614,-3.62062117,-3.71038504
241,fcaffad4,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.988965316,-3.033043959,-3.059622725,-3.063690453,-3.059926653,-2.955482669,-2.897345983
242,fdaa7ebb,6_hard_pruned,6,hard,pruned,blocking_blind,2,25,-2.751853578,-3.605523178,-3.565339669,-3.795532324,-3.73669328,-2.778206599,-2.746341121
246,13f4ff5a,10_hard_full,10,hard,full,interaction_blind,2,25,-3.66641137,-3.469041927,-3.191807697,-2.654043581,-2.642025976,-2.395466936,-2.400764304
247,1cdbeb89,10_hard_full,10,hard,full,interaction,2,25,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-2.597034651,-2.703950654,-2.742784197
248,1df6940e,10_hard_full,10,hard,full,blocking_blind,2,25,-3.360319517,-2.3000212,-1.942934682,-1.493558702,-1.474106106,-1.413067475,-1.394656851
249,1ff4f828,10_hard_full,10,hard,full,interaction_blind,2,25,-3.520530705,-3.375283257,-3.081686751,-2.842136774,-2.850620791,-2.681132005,-2.68602099
250,21abc061,10_hard_full,10,hard,full,blocking,2,25,-3.44820115,-3.442683309,-3.213172691,-2.973981598,-2.934244149,-3.049040287,-3.017548278
251,23dbc11c,10_hard_full,10,hard,full,blocking_blind,2,25,-3.646840167,-4.600360795,-4.407642238,-4.570806542,-4.568273958,-3.588879695,-3.560311889
252,26dbf473,10_hard_full,10,hard,full,interaction,2,25,-3.020424886,-3.589059119,-3.323601453,-2.565173188,-2.597034651,-2.703950654,-2.742784197
253,28e67c08,10_hard_full,10,hard,full,blocking_blind,2,25,-3.298139985,-2.298319246,-1.9410214,-1.472552909,-1.453100313,-1.381388481,-1.362977857
254,2fb4f99a,10_hard_full,10,hard,full,blocking_blind,2,25,-3.328700705,-2.282110153,-1.927450547,-1.594754604,-1.510873953,-1.501857006,-1.419462703
255,34b12db9,10_hard_full,10,hard,full,blocking_blind,2,25,-3.781988683,-3.760127116,-3.45860983,-3.255698836,-3.25205348,-2.561683082,-2.546336543
256,65f68460,10_hard_full,10,hard,full,blocking_blind,2,25,-3.355047161,-3.119226283,-2.761398879,-2.229661089,-2.198770157,-2.14000431,-2.109513924
257,75ffd9e8,10_hard_full,10,hard,full,blocking_blind,2,25,-3.669730281,-4.008646461,-3.778137171,-3.664024395,-3.597335371,-2.697548125,-2.677948122
258,7cf6845b,10_hard_full,10,hard,full,blocking_blind,2,25,-3.75893617,-3.825733714,-3.622698757,-3.529336123,-3.543556139,-2.904246796,-2.903418021
259,84dbf4f9,10_hard_full,10,hard,full,blocking_blind,2,25,-3.532275393,-3.063638909,-2.749352855,-2.339403515,-2.308372662,-1.900541463,-1.890884143
260,87cfed83,10_hard_full,10,hard,full,blocking_blind,2,25,-3.243568437,-3.767750908,-3.228626787,-2.146308259,-2.048499348,-2.018607509,-1.918512998
261,8bc69c49,10_hard_full,10,hard,full,blocking_blind,2,25,-3.569174147,-3.477246846,-3.261282263,-3.138776148,-3.121017026,-2.679809168,-2.660072896
262,92e6f512,10_hard_full,10,hard,full,blocking_blind,2,25,-3.360319517,-2.3000212,-1.942934682,-1.493558702,-1.474106106,-1.413067475,-1.394656851
263,98d105c1,10_hard_full,10,hard,full,blocking_blind,2,25,-3.258994317,-2.806041279,-2.472933575,-1.925648524,-1.925489127,-1.692040772,-1.684893475
264,9befd8ad,10_hard_full,10,hard,full,blocking,2,25,-3.392605666,-3.017522872,-2.650235942,-2.193260333,-2.169175133,-2.447677969,-2.418771506
265,a3eacaa9,10_hard_full,10,hard,full,blocking_blind,2,25,-3.808324293,-3.257139286,-2.99080882,-2.723096595,-2.696178713,-2.366186091,-2.323140795
266,a4f74985,10_hard_full,10,hard,full,blocking,2,25,-3.626480238,-3.130095453,-2.915006967,-2.767554857,-2.750194695,-3.049227366,-3.058096556
267,abc728e1,10_hard_full,10,hard,full,blocking_blind,2,25,-3.522659772,-2.302139677,-1.980856287,-1.503835487,-1.476263158,-1.419787115,-1.39310726
268,aceaccbc,10_hard_full,10,hard,full,blocking_blind,2,25,-3.418725109,-3.397197276,-3.097575419,-2.618648771,-2.609821193,-2.179653036,-2.15542638
269,add50f98,10_hard_full,10,hard,full,interaction_blind,2,25,-3.757204971,-3.83258564,-3.651264245,-3.202574568,-3.232531891,-2.622704877,-2.644012113
270,b1ebd3b5,10_hard_full,10,hard,full,blocking_blind,2,25,-3.221165398,-3.885724852,-3.378404612,-2.786778542,-2.558936002,-2.707274102,-2.481774802
271,b5b6dcbc,10_hard_full,10,hard,full,blocking,2,25,-3.856918524,-3.891561296,-3.678392038,-3.501884906,-3.497313895,-4.089264315,-4.114869424
272,d2ac158a,10_hard_full,10,hard,full,interaction_blind,2,25,-3.294465354,-2.790769475,-2.495044503,-2.208212746,-2.204129622,-2.0251961,-2.031611182
273,edf12206,10_hard_full,10,hard,full,interaction_blind,2,25,-3.701217797,-3.742155156,-3.543415828,-3.087345207,-3.097957707,-2.421289517,-2.440995571
274,f0ebc21e,10_hard_full,10,hard,full,blocking_blind,2,25,-3.632314139,-3.782694727,-3.572670834,-3.267814812,-3.256155229,-2.161650885,-2.151382921
275,f6fbf7bf,10_hard_full,10,hard,full,blocking_blind,2,25,-3.797887406,-4.093277041,-3.957366635,-3.817288571,-3.770624465,-2.619246164,-2.57816428
276,f7ebbfe9,10_hard_full,10,hard,full,blocking_blind,2,25,-3.905876482,-4.301793534,-4.137727268,-3.980012969,-3.955824206,-3.56927557,-3.544756312
277,13b7468e,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-3.241954366,-3.547882552,-3.267936883,-2.626054376,-2.64063785,-1.695050527,-1.737667966
278,13dbbfb8,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.8251912,-3.53625461,-3.372530526,-2.84293923,-2.839206882,-2.258224007,-2.243203322
279,16f6e58d,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.538776591,-3.029253753,-2.767849904,-2.520562682,-2.448598881,-2.497788936,-2.432865466
280,18a695e2,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-3.226016901,-4.223078733,-4.016708632,-3.945492437,-3.93578616,-2.92832509,-2.945743911
281,1bd72c42,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.082972839,-3.762371153,-3.370415836,-3.106487071,-3.065130575,-3.030354425,-2.990116659
282,28d4fefb,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.404436398,-3.470376483,-3.200030143,-2.887338724,-2.878461886,-2.423423038,-2.409272416
283,31f6a576,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.495507193,-3.533583438,-3.306271568,-3.1233429,-3.113299037,-2.787010138,-2.768806011
284,32fad07f,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-2.906637308,-2.943863495,-2.565522884,-2.270153399,-2.265271197,-2.184273288,-2.181132078
285,41bad9a2,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.32732217,-3.506527187,-3.190923031,-2.963733313,-2.927676892,-3.186124409,-3.206903735
286,4bfffc8c,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-3.459031634,-4.894355034,-4.750137643,-4.827289788,-4.814329594,-2.832739203,-2.853178013
287,50f6b001,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.871476316,-4.127938891,-3.916343833,-3.788258338,-3.699379667,-3.696446515,-3.67886696
288,5bc4f225,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.034719396,-2.417825871,-2.035596511,-1.60017057,-1.589132791,-1.50806347,-1.498691884
289,77ba7edc,10_hard_pruned,10,hard,pruned,density,2,25,-3.621136435,-4.049298842,-3.911782992,-4.033520712,-4.026730494,-4.217494754,-4.201757289
290,7dea8d37,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.519046215,-3.001972719,-2.75471031,-2.444388113,-2.379656574,-2.432980033,-2.388870165
291,7ef11f8d,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.538592672,-3.53226416,-3.319698085,-3.199005328,-3.13937208,-3.274237616,-3.248532937
292,8aa6d830,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.372679264,-2.766591988,-2.462691017,-2.036370209,-2.025992518,-1.872986798,-1.85690957
293,8ea50714,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.526550845,-3.085117269,-2.799624077,-2.54807071,-2.463696988,-3.283532997,-3.224628768
294,98c10b8a,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.422843416,-2.625409743,-2.339243447,-1.967123147,-1.949592692,-2.519983889,-2.526283735
295,acdac85f,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.484379556,-3.417251515,-3.168307366,-3.06499906,-2.980645271,-3.657879567,-3.656736023
296,b8bac8b7,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-3.515139938,-3.697091798,-3.48116657,-3.183987627,-3.20375019,-2.60391159,-2.608206506
297,bacbc468,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.400148527,-2.173823982,-1.810499486,-1.108485479,-1.093032589,-1.018490275,-1.005370055
298,bcf51783,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.784548598,-2.762446361,-2.469795755,-2.132312856,-2.136585181,-1.86025301,-1.859759335
299,c2cbff2e,10_hard_pruned,10,hard,pruned,density,2,25,-2.273120376,-5.082302429,-4.574952327,-4.369573013,-4.327042832,-4.223577583,-4.182162963
300,cce7504c,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.503562264,-3.489702058,-3.316493674,-3.206074867,-3.166133422,-3.222238242,-3.225927199
301,cdc514e1,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.313536672,-3.44221139,-3.160007014,-2.828090289,-2.794770416,-2.323533235,-2.302520296
302,d1cac84b,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.690840197,-4.188661334,-4.048275215,-4.014864012,-3.991671012,-3.521338387,-3.505451952
303,d9e4f7e5,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-2.574982375,-3.456763644,-3.154176145,-3.195034129,-3.173856264,-2.421385798,-2.448029431
304,e2b10de5,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-3.520417881,-3.415640499,-3.140928094,-2.873318775,-2.847231203,-2.655948114,-2.665234934
305,e6efec72,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.550836636,-3.22864481,-2.983293493,-2.560999286,-2.545874833,-2.053980084,-2.006870934
306,edfff93e,10_hard_pruned,10,hard,pruned,blocking,2,25,-3.544663429,-2.96767147,-2.670416469,-2.290899584,-2.227555812,-3.052791404,-3.043492835
307,efd4fa4a,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.790750286,-3.300715225,-3.108551084,-2.93801083,-2.926611651,-2.22264826,-2.212789641
308,f3f4f4ae,10_hard_pruned,10,hard,pruned,interaction_blind,2,25,-3.510859712,-4.220388188,-3.963934708,-4.159787763,-4.125093306,-2.787857558,-2.82481066
309,f4c4f33c,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.440869511,-3.635318616,-3.325394316,-2.935414767,-2.935747693,-2.822028637,-2.816236746
310,fcb764e3,10_hard_pruned,10,hard,pruned,blocking_blind,2,25,-3.498207715,-2.804443825,-2.51532784,-2.159453073,-2.122438934,-1.824443472,-1.785083769
311,12eacae6,6_easy_full,6,easy,full,density,2,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-3.987969412,-4.603523644,-4.635539183
312,25dfef96,6_easy_full,6,easy,full,blocking_blind,2,25,-2.58580303,-1.586073583,-1.380642671,-1.396274883,-1.231429303,-1.088648065,-0.984860354
313,2aabe76a,6_easy_full,6,easy,full,blocking,2,25,-2.735498399,-1.617001295,-1.453704272,-1.625506216,-1.448940279,-1.738146485,-1.691428915
314,2bcfe659,6_easy_full,6,easy,full,density,2,25,-3.005895554,-3.071406037,-3.087230773,-3.557292075,-3.443366253,-3.20801493,-3.229253625
315,32b10037,6_easy_full,6,easy,full,density,2,25,-2.877911865,-3.332326338,-3.283264346,-3.470483615,-3.393553164,-3.963486929,-3.980452456
316,34cffc40,6_easy_full,6,easy,full,interaction_blind,2,25,-3.025963008,-2.51545033,-2.557365108,-2.757749268,-2.7940231,-2.109380309,-2.270817169
317,38abe966,6_easy_full,6,easy,full,blocking_blind,2,25,-2.501634455,-1.236732846,-1.038171664,-0.779078514,-0.713050693,-0.605041435,-0.597020722
318,3acff9fa,6_easy_full,6,easy,full,density,2,25,-2.34191554,-3.248793081,-3.126565079,-3.108657047,-3.119937026,-3.855641605,-3.737081401
319,3bac0799,6_easy_full,6,easy,full,interaction_blind,2,25,-2.381531082,-1.390756178,-1.208076146,-0.925973235,-0.898152896,-0.758059595,-0.786164824
320,3fcbc0ab,6_easy_full,6,easy,full,interaction,2,25,-2.803219879,-2.366482939,-2.304208683,-2.228177732,-2.284283564,-4.643910049,-4.742603151
321,40a74de0,6_easy_full,6,easy,full,interaction,2,25,-2.719371524,-1.887117318,-1.740790111,-1.573400043,-1.592221046,-3.238348682,-3.285512587
322,4ed755f1,6_easy_full,6,easy,full,interaction_blind,2,25,-3.026327445,-2.78498315,-2.825636754,-3.096848716,-3.148523426,-2.614314906,-2.726206621
323,59d51c4c,6_easy_full,6,easy,full,non-linear,2,25,-2.848924672,-2.408810579,-2.323461188,-2.384244112,-2.328060685,-4.839716409,-4.902478136
324,5acfeabc,6_easy_full,6,easy,full,interaction_blind,2,25,-2.290018105,-1.272972335,-1.108698229,-0.794081214,-0.796976015,-0.661309211,-0.701243421
325,5de11557,6_easy_full,6,easy,full,non-linear,2,25,-2.918537733,-2.530875883,-2.522165989,-2.652508213,-2.682739531,-3.40746641,-3.469824234
326,6bca8117,6_easy_full,6,easy,full,non-linear,2,25,-2.577875021,-1.907684378,-1.79021127,-1.984195939,-1.902106951,-3.333448287,-3.354743937
327,86f6e2cb,6_easy_full,6,easy,full,density,2,25,-2.705198222,-3.017355226,-2.928472228,-3.003851153,-2.961052013,-4.307446461,-4.263631324
328,8df4f6e8,6_easy_full,6,easy,full,blocking,2,25,-2.760024033,-1.703944181,-1.592666336,-1.481476502,-1.473513622,-2.094261128,-2.166184291
329,9bf4f2c6,6_easy_full,6,easy,full,blocking_blind,2,25,-2.423537703,-2.890371758,-2.233592222,-2.481617161,-1.89514759,-2.070941981,-1.669735683
330,9defd82d,6_easy_full,6,easy,full,density,2,25,-2.588441251,-2.772176918,-2.667543568,-2.669285685,-2.658052915,-5.26341053,-5.231267256
331,a6bff327,6_easy_full,6,easy,full,density,2,25,-2.755985322,-3.301331726,-3.24926812,-3.643053691,-3.50947322,-3.311335744,-3.312516015
332,aedbea55,6_easy_full,6,easy,full,blocking_blind,2,25,-2.560213985,-1.243049025,-1.047055363,-0.853886273,-0.767031023,-0.695707585,-0.664795074
333,b3e4f78d,6_easy_full,6,easy,full,density,2,25,-1.527942009,-3.572835592,-3.378746284,-3.622441867,-3.548164636,-4.054327772,-3.971788115
334,b4abeb7e,6_easy_full,6,easy,full,interaction_blind,2,25,-2.290018105,-1.272972335,-1.108698229,-0.794081214,-0.796976015,-0.661309211,-0.701243421
335,b7eae04f,6_easy_full,6,easy,full,non-linear,2,25,-2.772138891,-2.450422603,-2.382430592,-2.495461632,-2.486558708,-3.779509753,-3.770737546
336,b8a11f60,6_easy_full,6,easy,full,density,2,25,-2.646039287,-4.997027963,-4.559174938,-4.724524898,-4.333545184,-4.450741445,-4.18327058
337,cfd6ff5a,6_easy_full,6,easy,full,density,2,25,-2.694598804,-3.133600907,-3.058890577,-3.232896034,-3.178411809,-3.331285901,-3.362016998
338,d3b525de,6_easy_full,6,easy,full,density,2,25,-2.640447736,-3.090016979,-3.117483456,-3.324915263,-3.371392689,-5.456194114,-5.643026169
