,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
59,6_hard_full,blocking_dens,-3.59866043025,-3.66012466084,-3.51036386137,-3.59864132225,-3.51036386137,-3.66012466084,-3.52307476675,c7a67aab
60,6_hard_full,linear,-3.00333241698,-3.01405300977,-3.09164617179,-3.22995510571,-3.09164617179,-3.01405300977,-3.11315794702,c8a4fa50
61,6_hard_full,blocking,-2.22344228457,-2.17394214073,-2.4480092755,-2.47856293852,-2.4480092755,-2.17394214073,-2.53106672778,c8f4c13d
62,6_hard_full,blocking_dens,-2.77351705053,-2.5558244403,-2.16400592257,-2.34501815255,-2.16400592257,-2.5558244403,-2.3816985328,cab61023
63,6_hard_full,linear_dens,-2.89694426724,-2.94375658528,-2.4289328015,-2.80270683471,-2.4289328015,-2.94375658528,-2.42453350517,cceac8ca
64,6_hard_full,linear_dens,-3.0187707458,-3.08635337545,-2.32913644934,-2.55739793353,-2.32913644934,-3.08635337545,-2.32576820564,cee4bfa4
65,6_hard_full,blocking_dens,-2.87983550576,-2.96632000193,-2.83196673088,-3.10367826214,-2.83196673088,-2.96632000193,-2.8417580861,dbe71b15
66,6_hard_full,blocking_dens,-3.05654193734,-3.09668632057,-2.67518647699,-2.80757092788,-2.67518647699,-3.09668632057,-2.69430174068,dcc4f10e
67,6_hard_full,blocking_dens,-2.78605254141,-2.67394131241,-2.03311112672,-2.05962032764,-2.03311112672,-2.67394131241,-2.15900994589,dfcbf407
68,6_hard_full,density,-2.65741874979,-2.59202002643,-2.64133526179,-2.44676025055,-2.64133526179,-2.59202002643,-2.70124992128,dfe6bee3
69,6_hard_full,blocking_dens,-2.17158902205,-1.96433117947,-1.33568132356,-1.58037703996,-1.33568132356,-1.96433117947,-1.54293916614,e0d4bfdf
70,6_hard_full,blocking_dens,-3.94968619429,-4.00558183336,-3.86428252499,-3.94548227244,-3.86428252499,-4.00558183336,-3.87066710696,ead61455
71,6_hard_full,blocking_dens,-2.33445545527,-2.21287377603,-2.19595879445,-2.59282348303,-2.19595879445,-2.21287377603,-2.31754047369,ebc61801
72,6_hard_full,blocking_dens,-2.42008208782,-2.50877980673,-2.13572887636,-2.92659382286,-2.13572887636,-2.50877980673,-2.15016127953,eec7360c
73,6_hard_full,blocking,-3.57462678385,-3.43356208284,-3.76286064706,-3.92234211276,-3.76286064706,-3.43356208284,-3.90473947551,efebc5bb
74,6_hard_full,blocking_dens,-2.16033758386,-1.95265986401,-1.63762378036,-1.94795696811,-1.63762378036,-1.95265986401,-1.83132870294,f1e613a1
75,6_hard_full,blocking_dens,-2.4174402566,-2.38976325917,-2.20637212102,-2.35895069319,-2.20637212102,-2.38976325917,-2.26428803977,f2f60bd9
76,6_hard_full,linear_dens,-2.80825834799,-2.88864747154,-2.53295618933,-2.58674791479,-2.53295618933,-2.88864747154,-2.52928820943,f3dbeb7e
77,6_hard_full,density,-4.15036759382,-4.25268444935,-3.68652223209,-3.44456119491,-3.68652223209,-4.25268444935,-3.64198773542,f6fbf6b1
78,6_hard_full,density,-4.24512796421,-4.23891755202,-4.30184154097,-4.2229927975,-4.30184154097,-4.23891755202,-4.35268995165,f8d60bcb
79,6_hard_full,density,-4.34237386306,-4.51349867234,-3.22474556034,-2.8075044923,-3.22474556034,-4.51349867234,-3.12951846013,fac10d6e
80,6_hard_full,density,-4.48210429117,-4.54329633755,-4.29954253977,-4.2585203229,-4.29954253977,-4.54329633755,-4.28521119684,fac6126a
81,6_hard_full,blocking,-2.18217144623,-2.14278861684,-2.14537101895,-2.27198080299,-2.14537101895,-2.14278861684,-2.20557878469,fde4bf4b
82,6_hard_full,blocking,-2.84054820399,-2.76195734091,-3.17519752664,-3.48454215372,-3.17519752664,-2.76195734091,-3.28283944421,fff4bf68
83,6_hard_pruned,blocking_dens,-2.0737223006,-2.14470972316,-1.67295552383,-1.85445330045,-1.67295552383,-2.14470972316,-1.67952459591,11a64d17
84,6_hard_pruned,blocking_dens,-2.41938950504,-2.40721340021,-2.10616916087,-2.20723283042,-2.10616916087,-2.40721340021,-2.18654030989,11e652f7
85,6_hard_pruned,blocking_dens,-1.66626644608,-1.59063375544,-1.30660238522,-1.53018048237,-1.30660238522,-1.59063375544,-1.401645641,14d64999
86,6_hard_pruned,blocking_dens,-2.22365207568,-2.05098103667,-1.65705085705,-1.75162901341,-1.65705085705,-2.05098103667,-1.84628205643,1dac01e7
87,6_hard_pruned,blocking_dens,-2.31022817077,-2.35645399378,-1.86233229533,-1.93338710939,-1.86233229533,-2.35645399378,-1.88276292309,25cfdeaf
88,6_hard_pruned,blocking_dens,-2.78512923807,-2.80651709166,-2.5815119168,-2.62064125773,-2.5815119168,-2.80651709166,-2.62597737987,2afbbf79
89,6_hard_pruned,blocking_dens,-2.84724789243,-2.76084028769,-2.2549633716,-2.47339480167,-2.2549633716,-2.76084028769,-2.39251177977,2cb650ed
90,6_hard_pruned,linear_dens,-2.03281363135,-2.11150301465,-1.83654377432,-2.17843387157,-1.83654377432,-2.11150301465,-1.83313117193,2ff50f64
91,6_hard_pruned,density,-4.43047999555,-4.56467496434,-3.75642541355,-3.54021750278,-3.75642541355,-4.56467496434,-3.69684597109,30e4feac
92,6_hard_pruned,blocking_dens,-2.49453696755,-2.58560425403,-2.11550948219,-2.41962655815,-2.11550948219,-2.58560425403,-2.12444454518,33e649bd
93,6_hard_pruned,blocking_dens,-2.85569201167,-2.64836273649,-2.13318899427,-2.63388835168,-2.13318899427,-2.64836273649,-2.34051826944,3ef64929
