,board,missed_win,player
272,6_hard_full,0,1.0
273,6_hard_full,0,1.0
274,6_hard_full,1,2.0
275,6_hard_full,1,1.0
276,6_hard_full,1,1.0
277,6_hard_full,0,2.0
278,6_hard_full,1,2.0
279,6_hard_full,0,2.0
280,6_hard_full,1,2.0
281,6_hard_full,1,2.0
282,6_hard_full,1,2.0
283,6_hard_full,1,2.0
284,6_hard_full,1,2.0
285,6_hard_full,1,2.0
286,6_hard_full,1,2.0
287,6_hard_full,1,2.0
288,6_hard_full,0,1.0
289,6_hard_full,0,2.0
290,6_hard_full,1,2.0
291,6_hard_full,0,2.0
292,6_hard_full,1,2.0
293,6_hard_full,0,1.0
294,6_hard_full,0,2.0
295,6_hard_full,0,2.0
296,6_hard_full,0,2.0
297,6_hard_full,0,2.0
298,6_hard_full,0,1.0
299,6_hard_full,1,2.0
300,6_hard_full,0,1.0
301,6_hard_full,0,2.0
302,6_hard_full,0,2.0
303,6_hard_full,0,1.0
304,6_hard_full,0,1.0
305,6_hard_full,0,1.0
306,6_hard_full,0,2.0
307,6_hard_full,1,2.0
308,6_hard_full,1,2.0
309,6_hard_full,1,2.0
310,6_hard_full,0,2.0
311,6_hard_full,1,2.0
312,6_hard_full,0,2.0
313,6_hard_full,0,2.0
314,6_hard_full,1,2.0
315,6_hard_full,0,2.0
316,6_hard_full,1,2.0
317,6_hard_full,1,2.0
318,6_hard_full,0,1.0
319,6_hard_full,1,2.0
320,6_hard_full,1,2.0
321,6_hard_full,1,2.0
322,6_hard_full,1,2.0
323,6_hard_full,0,2.0
324,6_hard_full,0,2.0
325,6_hard_full,1,2.0
326,6_hard_full,0,1.0
327,6_hard_full,0,1.0
328,6_hard_full,0,2.0
329,6_hard_full,1,1.0
330,6_hard_full,0,1.0
331,6_hard_full,1,2.0
332,6_hard_full,1,1.0
333,6_hard_full,0,2.0
334,6_hard_full,0,2.0
335,6_hard_full,1,2.0
336,6_hard_full,0,1.0
337,6_hard_full,1,2.0
338,6_hard_full,1,1.0
339,6_hard_full,0,2.0
340,6_hard_full,1,2.0
341,6_hard_full,1,1.0
342,6_hard_full,1,2.0
343,6_hard_full,1,1.0
344,6_hard_full,1,2.0
345,6_hard_full,0,2.0
346,6_hard_full,1,2.0
347,6_hard_full,0,2.0
348,6_hard_full,1,2.0
349,6_hard_full,0,2.0
350,6_hard_full,0,2.0
351,6_hard_full,0,2.0
352,6_hard_full,1,2.0
353,6_hard_full,0,1.0
354,6_hard_full,1,2.0
355,6_hard_full,1,2.0
356,6_hard_full,0,1.0
357,6_hard_full,1,2.0
358,6_hard_full,0,2.0
359,6_hard_full,0,2.0
360,6_hard_full,0,2.0
361,6_hard_full,1,1.0
362,6_hard_full,1,1.0
363,6_hard_full,0,1.0
364,6_hard_full,0,2.0
365,6_hard_full,1,2.0
366,6_hard_full,0,2.0
367,6_hard_full,1,2.0
368,6_hard_full,1,2.0
369,6_hard_full,1,2.0
370,6_hard_full,0,2.0
371,6_hard_full,1,2.0
372,6_hard_full,1,2.0
373,6_hard_full,1,1.0
374,6_hard_full,1,2.0
375,6_hard_full,0,2.0
376,6_hard_full,1,2.0
377,6_hard_full,0,1.0
378,6_hard_full,0,1.0
379,6_hard_full,0,1.0
380,6_hard_full,1,2.0
381,6_hard_full,1,1.0
382,6_hard_full,1,2.0
383,6_hard_full,0,2.0
384,6_hard_full,1,2.0
385,6_hard_full,1,2.0
386,6_hard_full,0,2.0
387,6_hard_full,1,2.0
388,6_hard_full,0,1.0
389,6_hard_full,0,2.0
390,6_hard_full,1,2.0
391,6_hard_full,0,1.0
392,6_hard_full,0,2.0
393,6_hard_full,1,2.0
394,6_hard_full,0,1.0
