,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,mcts_prob
51,51,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2], [6, 5, 1], [8, 7, 2]]",10,1,0.0625,0.0
52,52,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2], [6, 5, 1]]",9,1,0.037037037037,0.0
53,53,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [0, 9, 2]]",8,1,0.0192307692308,0.0
54,54,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1], [9, 8, 2]]",8,1,0.0192307692308,0.0
55,55,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2], [5, 4, 1]]",7,1,0.00970873786408,0.0
56,56,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1], [4, 4, 2]]",6,1,0.00662251655629,0.0
57,57,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [4, 8, 1]]",5,1,0.00480769230769,0.0
58,58,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1], [4, 4, 2], [4, 7, 1]]",7,1,0.00970873786408,0.0
59,59,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1], [4, 4, 2]]",6,1,0.00662251655629,0.0
60,60,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [5, 2, 1]]",5,1,0.00480769230769,0.0
61,61,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2], [7, 4, 1], [7, 3, 2]]",36,1,0.5,0.0
62,62,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2], [7, 4, 1]]",35,1,0.5,0.0
63,63,10_easy_full,"[[0, 5, 1], [4, 9, 2], [1, 8, 1], [1, 9, 2], [6, 2, 1], [6, 3, 2], [5, 3, 1], [5, 2, 2], [6, 6, 1], [6, 5, 2], [9, 8, 1], [9, 4, 2], [9, 3, 1], [2, 8, 2], [0, 8, 1], [4, 8, 2], [4, 4, 1], [5, 5, 2], [7, 7, 1], [8, 8, 2], [2, 1, 1], [0, 1, 2], [0, 2, 1], [0, 3, 2], [6, 4, 1], [7, 5, 2], [8, 5, 1], [8, 4, 2], [3, 2, 1], [5, 4, 2], [1, 0, 1], [6, 7, 2], [5, 6, 1], [5, 9, 2]]",34,1,0.5,0.0
