possible_moves,board_name,time_rel,move_ranking,solved,top_score,userid,prev_action,score_move,player,time_between,position,time,time_prev_move,move_number,first_move_in_path,move_number_in_path,condition,second_score
25,logs/6_hard_full_dec19,37857,1,wrong,4.215193452380952,20bfd7bd,reset,3.6043771258503403,1,4.165,3_2,1511905579177,1511905575012,6,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,43185,20,wrong,0,20bfd7bd,click,-5.38111181972789,2,5.328,4_3,1511905584505,1511905579177,7,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,44615,0,wrong,50016.931371882085,20bfd7bd,click,50016.931371882085,1,1.43,2_3,1511905585935,1511905584505,8,False,3,"6,hard,full",50009.72192743764
22,logs/6_hard_full_dec19,48360,20,wrong,0,20bfd7bd,click,-5043.125555555555,2,3.745,1_4,1511905589680,1511905585935,9,False,4,"6,hard,full",-0.1111111111111111
21,logs/6_hard_full_dec19,50000,1,wrong,50001.166371882086,20bfd7bd,click,5000.431111111111,1,1.64,5_0,1511905591320,1511905589680,10,False,5,"6,hard,full",5000.431111111111
25,logs/6_hard_full_dec19,46381,5,wrong,4.215193452380952,22dac859,,1.4777444727891158,1,46.369,4_3,1513539948792,1513539902423,1,True,1,"6,hard,full",3.6043771258503403
25,logs/6_hard_full_dec19,57483,16,wrong,4.215193452380952,22dac859,undo,0.27692743764172334,1,0.855,5_0,1513539959894,1513539959039,2,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,67141,20,wrong,0,22dac859,click,-2.8463718820861676,2,9.658,0_3,1513539969552,1513539959894,3,False,2,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,90821,1,wrong,4.215193452380952,22dac859,undo,3.6043771258503403,1,16.295,3_2,1513539993232,1513539976937,4,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,100535,22,wrong,0,22dac859,click,-50009.72192743764,2,9.714,2_2,1513540002946,1513539993232,5,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,102411,7,wrong,50003.4363725907,22dac859,click,0.8611111111111112,1,1.876,1_0,1513540004822,1513540002946,6,False,3,"6,hard,full",5.38111181972789
22,logs/6_hard_full_dec19,105397,20,wrong,0,22dac859,click,-5065.2711118197285,2,2.986,4_3,1513540007808,1513540004822,7,False,4,"6,hard,full",-0.16666666666666666
25,logs/6_hard_full_dec19,109697,3,wrong,4.215193452380952,22dac859,undo,2.728560799319728,1,2.311,2_2,1513540012108,1513540009797,8,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,112024,23,wrong,0,22dac859,click,-50001.166371882086,2,2.327,2_3,1513540014435,1513540012108,9,False,2,"6,hard,full",-0.1111111111111111
25,logs/6_hard_full_dec19,119489,12,wrong,4.215193452380952,22dac859,undo,0.3550347222222222,1,3.33,5_2,1513540021900,1513540018570,10,True,1,"6,hard,full",3.6043771258503403
25,logs/6_hard_full_dec19,129747,7,wrong,4.215193452380952,22dac859,undo,1.0416666666666667,1,0.974,3_0,1513540032158,1513540031184,11,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,134827,23,wrong,0,22dac859,click,-5032.346371882086,2,5.08,0_3,1513540037238,1513540032158,12,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,137849,2,wrong,6.35437712585034,22dac859,click,3.1850000000000005,1,3.022,2_0,1513540040260,1513540037238,13,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,141232,18,wrong,-0.1189236111111111,22dac859,click,-8.186928146258502,2,3.383,4_2,1513540043643,1513540040260,14,False,4,"6,hard,full",-0.16666666666666666
21,logs/6_hard_full_dec19,143971,2,wrong,50000.5,22dac859,click,11.853560799319727,1,2.739,2_3,1513540046382,1513540043643,15,False,5,"6,hard,full",50000.5
20,logs/6_hard_full_dec19,146541,15,wrong,-0.17447916666666666,22dac859,click,-5000.811372590703,2,2.57,2_2,1513540048952,1513540046382,16,False,6,"6,hard,full",-0.2213718820861678
25,logs/6_hard_full_dec19,155788,7,wrong,4.215193452380952,22dac859,undo,1.0416666666666667,1,1.996,3_0,1513540058199,1513540056203,17,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,169784,23,wrong,0,22dac859,click,-5032.346371882086,2,13.996,0_3,1513540072195,1513540058199,18,False,2,"6,hard,full",-0.16666666666666666
23,logs/6_hard_full_dec19,186343,4,wrong,6.35437712585034,22dac859,click,2.6035607993197276,1,16.559,4_2,1513540088754,1513540072195,19,False,3,"6,hard,full",3.6043771258503403
22,logs/6_hard_full_dec19,190257,20,wrong,-0.1111111111111111,22dac859,click,-10.280000000000001,2,3.914,2_0,1513540092668,1513540088754,20,False,4,"6,hard,full",-0.1189236111111111
21,logs/6_hard_full_dec19,191253,7,wrong,50000.680555555555,22dac859,click,0.4574829931972789,1,0.996,5_2,1513540093664,1513540092668,21,False,5,"6,hard,full",10.043560090702949
25,logs/6_hard_full_dec19,226839,6,wrong,4.215193452380952,22dac859,undo,1.167293083900227,1,7.129,2_4,1513540129250,1513540122121,22,True,1,"6,hard,full",3.6043771258503403
24,logs/6_hard_full_dec19,229516,20,wrong,0,22dac859,click,-3.387743764172335,2,2.677,3_4,1513540131927,1513540129250,23,False,2,"6,hard,full",-0.1111111111111111
23,logs/6_hard_full_dec19,231226,1,wrong,7.208560090702949,22dac859,click,7.208560090702948,1,1.71,2_3,1513540133637,1513540131927,24,False,3,"6,hard,full",7.208560090702948
22,logs/6_hard_full_dec19,244703,20,wrong,0,22dac859,click,-5009.166371882086,2,13.477,2_2,1513540147114,1513540133637,25,False,4,"6,hard,full",-0.1111111111111111
