,board,correct,inverse_computation,k,move_limit,noise,shutter_size
214,10_medium_full,0.13,0.000924026538042,10,100,0.1,0.0
215,10_medium_pruned,0.32,0.00127575428972,10,100,0.1,0.0
216,6_easy_full,0.68,0.00590597684857,10,100,0.1,0.0
217,6_easy_full,0.87,0.00305894588725,10,100,0.1,0.5
218,6_easy_pruned,0.88,0.00750750750751,10,100,0.1,0.0
219,6_easy_pruned,0.94,0.00435843793584,10,100,0.1,0.5
220,6_hard_full,0.22,0.00242718446602,10,100,0.1,0.0
221,6_hard_pruned,0.21,0.0026581605529,10,100,0.1,0.0
222,10_easy_full,0.23,0.00116288535113,5,100,0.2,0.0
223,10_easy_pruned,0.49,0.00231712120861,5,100,0.2,0.0
224,10_hard_full,0.26,0.00106230413767,5,100,0.2,0.0
225,10_hard_pruned,0.13,0.00126052538698,5,100,0.2,0.0
226,10_medium_full,0.09,0.00107142091842,5,100,0.2,0.0
227,10_medium_pruned,0.43,0.00223020138719,5,100,0.2,0.0
228,6_easy_full,0.78,0.00643500643501,5,100,0.2,0.0
229,6_easy_pruned,0.93,0.0141083521445,5,100,0.2,0.0
230,6_hard_full,0.24,0.00258886271261,5,100,0.2,0.0
231,6_hard_pruned,0.26,0.00316355583676,5,100,0.2,0.0
232,10_easy_full,0.29,0.00109768279163,10,100,0.2,0.0
233,10_easy_pruned,0.44,0.00152095881244,10,100,0.2,0.0
234,10_hard_full,0.12,0.00101713878859,10,100,0.2,0.0
235,10_hard_full,0.22,0.000462429884069,10,100,0.2,0.5
236,10_hard_pruned,0.15,0.00107127170664,10,100,0.2,0.0
237,10_medium_full,0.1,0.000946557370842,10,100,0.2,0.0
238,10_medium_pruned,0.33,0.00130412102243,10,100,0.2,0.0
239,6_easy_full,0.76,0.00596587519389,10,100,0.2,0.0
240,6_easy_pruned,0.91,0.00770060064685,10,100,0.2,0.0
241,6_hard_full,0.21,0.00239165789725,10,100,0.2,0.0
242,6_hard_pruned,0.14,0.00276808946465,10,100,0.2,0.0
243,10_easy_full,0.3,0.00118080483658,5,100,0.3,0.0
244,10_easy_pruned,0.46,0.0024429569551,5,100,0.3,0.0
245,10_hard_full,0.22,0.00102815076803,5,100,0.3,0.0
