userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,score_move_non_zero,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,deltaScoreByScore,path,move_prob,path_prob,path_number,board_state,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
dbe65101,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,45347,1,-10000,-10000,,,,,0,0,"[[2, 3, 1], [2, 2, 2], [4, 4, 1]]",0.047619048,0.005395924,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 1, 0], [0, 2, 0, 0, 2, 0]]",,9.867,9.867,click,,3,,1.52209E+12
dec64994,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,51450,1,-10000,-10000,,,,,-9982.97,-0.998297,"[[4, 2, 1], [5, 3, 2], [2, 0, 1]]",0.0001,1.35E-08,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 1, 0, 0, 0], [0, 2, 0, 2, 2, 0]]",,5.032,5.032,click,,3,,1.52209E+12
dec64994,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,97132,2,10000,10000,,,,,9983.335624,0.998333562,"[[4, 2, 1], [4, 0, 2], [4, 3, 1], [3, 2, 2]]",0.0001,7.26E-11,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 2, 2, 0, 0], [2, 1, 1, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,2.931,2.931,click,,4,,1.52209E+12
e1a64c7d,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,162060,2,-1,-1,,,,,9999,9999,"[[2, 4, 1], [1, 4, 2], [3, 2, 1], [2, 2, 2], [0, 5, 1], [0, 2, 2]]",4.98E-05,2.73E-13,1,"[[0, 2, 2, 1, 1, 1], [0, 2, 1, 2, 2, 0], [0, 1, 2, 0, 1, 0], [2, 1, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,5.97,5.97,click,,6,,1.52209E+12
e1a64c7d,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,263231,1,1.361111111,1.361111111,,,,,12.36111111,9.081632653,"[[2, 2, 1], [2, 3, 2], [4, 3, 1], [3, 2, 2], [0, 2, 1], [0, 5, 2], [1, 4, 1]]",1,6.21E-07,2,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 1, 0], [0, 1, 1, 2, 0, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 1, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.089,6.089,click,,7,,1.52209E+12
e1a64c7d,6_hard_pruned,6,hard,pruned,wrong,reset,1.52209E+12,427671,1,-10000,-10000,,,,,-9988.75,-0.998875,"[[4, 4, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2], [1, 4, 1]]",0.0001,3.05E-12,4,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 1, 0], [0, 1, 0, 2, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 2, 1, 1, 0], [0, 2, 0, 0, 2, 0]]",,18.508,18.508,click,,5,,1.52209E+12
e1e500d7,6_hard_pruned,6,hard,pruned,wrong,reset,1.5112E+12,116045,1,10000,10000,,,,,0,0,"[[0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.996440051,0.003778043,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,80.832,80.832,click,,7,,1.5112E+12
e9dbbf8a,6_hard_pruned,6,hard,pruned,wrong,reset,1.5136E+12,72279,1,10000,10000,,,,,20000,2,"[[4, 2, 1], [4, 0, 2], [4, 3, 1], [4, 4, 2], [3, 2, 1], [2, 2, 2], [2, 3, 1]]",0.497963543,1.80E-11,1,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 1, 0, 0], [2, 1, 1, 2, 0, 0], [2, 1, 1, 1, 2, 0], [0, 2, 0, 0, 2, 0]]",,2.539,2.539,click,,7,,1.5136E+12
e9dbbf8a,6_hard_pruned,6,hard,pruned,wrong,reset,1.5136E+12,102656,2,-5.942743764,-5.942743764,,,,,-22.52548753,-3.790418773,"[[0, 5, 1], [0, 2, 2], [1, 4, 1], [1, 5, 2], [2, 4, 1], [3, 4, 2]]",1,2.97E-08,2,"[[0, 2, 2, 1, 1, 1], [0, 2, 1, 2, 1, 2], [0, 1, 0, 0, 1, 0], [2, 1, 0, 2, 2, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,6.219,6.219,click,,6,,1.5136E+12
e9dbbf8a,6_hard_pruned,6,hard,pruned,wrong,reset,1.5136E+12,170416,1,10000,10000,,,,,0,0,"[[0, 2, 1], [2, 2, 2], [0, 5, 1]]",0.998026075,2.34E-05,3,"[[0, 2, 1, 1, 1, 1], [0, 2, 1, 2, 0, 0], [0, 1, 2, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,34.004,34.004,click,,3,,1.5136E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,48921,2,10000,10000,,,,,0,0,"[[0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 4, 2]]",0.055555556,0.003791541,1,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [0, 1, 1, 1, 2, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,3.874,3.874,click,,6,,1.52209E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,62711,2,-10000,-10000,,,,,0,0,"[[2, 2, 1], [2, 3, 2], [2, 0, 1], [4, 3, 2]]",0.498674556,4.88E-07,2,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [1, 1, 1, 2, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 2, 0, 0], [0, 2, 0, 0, 2, 0]]",,0.743,0.743,click,,4,,1.52209E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,103372,2,-10000,-10000,,,,,-10005.5,-1.00055,"[[0, 2, 1], [2, 3, 2], [4, 3, 1], [4, 2, 2], [2, 4, 1], [2, 2, 2], [4, 4, 1], [0, 0, 2]]",0.499056639,1.62E-23,3,"[[2, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 2, 2, 1, 0], [2, 1, 0, 2, 0, 0], [0, 1, 2, 1, 1, 0], [0, 2, 0, 0, 2, 0]]",,0.808,0.808,click,,8,,1.52209E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,140186,1,10000,10000,,,,,0,0,"[[0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.996440051,0.003778043,4,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,1.236,1.236,click,,7,,1.52209E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,154526,1,15.25,15.25,,,,,15.25,1,"[[0, 2, 1]]",0.234004438,0.234004438,5,"[[0, 2, 1, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,13.688,13.688,click,,1,,1.52209E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,154674,,0,0.02,,,,,,0,[],0.234004438,1,5,"[[0, 2, 0, 1, 1, 0], [0, 2, 1, 2, 0, 0], [0, 1, 0, 0, 0, 0], [2, 1, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,0.148,13.836,reset,,0,,1.52209E+12
e9e64bef,6_hard_pruned,6,hard,pruned,solvedCorrect,reset,1.52209E+12,258741,1,10000,10000,,,,,0,0,"[[0, 2, 1], [0, 5, 2], [2, 2, 1], [3, 2, 2], [2, 3, 1], [2, 0, 2], [2, 4, 1]]",0.996440051,0.003778043,6,"[[0, 2, 1, 1, 1, 2], [0, 2, 1, 2, 0, 0], [2, 1, 1, 1, 1, 0], [2, 1, 2, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 2, 0, 0, 2, 0]]",,81.867,81.867,click,,7,,1.52209E+12
