,max_moves,noise_sig,k,shutter_size,board,numberOfHeuristicComp,numberOfHeuristicComp_sem,correct,correct_sem,inverse_computation
765,50,1.0,10,0.5,10_hard_pruned,1127.93905817,5.8452501014,0.1108033241,0.0165433729152,0.000886572721066
766,50,1.0,10,0.5,10_medium_full,1307.22160665,5.53829825389,0.0969529085873,0.0155949637618,0.00076498123571
767,50,1.0,10,0.5,10_medium_pruned,1287.43213296,7.46376523815,0.301939058172,0.0241966402237,0.000776739972846
768,50,1.0,10,0.5,6_easy_full,179.264,1.47245810594,0.682,0.0208475716208,0.00557836486969
769,50,1.0,10,0.5,6_easy_pruned,178.216,0.931124413463,0.8,0.0179064592414,0.00561116846972
770,50,1.0,10,0.5,6_hard_full,406.298,2.06316739782,0.104,0.0136653387432,0.00246124765566
771,50,1.0,10,0.5,6_hard_pruned,401.772,2.00962813537,0.134,0.0152496920039,0.00248897384586
772,50,1.0,10,1.0,10_easy_full,1365.65927978,7.12669018006,0.232686980609,0.0222700440094,0.000732247065434
773,50,1.0,10,1.0,10_easy_pruned,1344.20498615,9.31503814289,0.490304709141,0.0263473592043,0.000743934154615
774,50,1.0,10,1.0,10_hard_full,1339.79778393,7.11025287123,0.141274238227,0.0183572440924,0.00074638129126
775,50,1.0,10,1.0,10_hard_pruned,1407.29916898,7.4472783712,0.0692520775623,0.0133807726188,0.00071058096391
776,50,1.0,10,1.0,10_medium_full,1582.18282548,6.59548560686,0.0692520775623,0.0133807726188,0.000632038209423
777,50,1.0,10,1.0,10_medium_pruned,1525.98891967,9.94111701973,0.277008310249,0.023586407709,0.000655312753003
778,50,1.0,10,1.0,6_easy_full,207.34,1.57546087032,0.662,0.0211756656952,0.00482299604514
779,50,1.0,10,1.0,6_easy_pruned,206.3,1.17053162647,0.828,0.0168938688763,0.00484730974309
780,50,1.0,10,1.0,6_hard_full,484.812,2.24261364124,0.088,0.0126820214215,0.0020626552148
781,50,1.0,10,1.0,6_hard_pruned,486.15,2.3326984297,0.11,0.0140068691994,0.00205697829888
782,50,1.0,10,2.0,10_easy_full,1820.33240997,7.86292621941,0.246537396122,0.0227154321281,0.000549350214566
783,50,1.0,10,2.0,10_easy_pruned,1788.72853186,11.2836021878,0.459833795014,0.026267146568,0.000559056325312
784,50,1.0,10,2.0,10_hard_full,1996.0,8.87521474387,0.13296398892,0.0178951084696,0.000501002004008
785,50,1.0,10,2.0,10_hard_pruned,2089.31855956,8.3984099673,0.0803324099723,0.0143254933869,0.000478624954259
786,50,1.0,10,2.0,10_medium_full,2240.56786704,7.43093396058,0.0831024930748,0.0145484314465,0.000446315425081
787,50,1.0,10,2.0,10_medium_pruned,2160.08864266,12.0667347591,0.335180055402,0.0248793972028,0.000462943964544
788,50,1.0,10,2.0,6_easy_full,294.22,2.12897163919,0.626,0.0216607103472,0.00339881721161
789,50,1.0,10,2.0,6_easy_pruned,272.742,1.54426434808,0.798,0.0179732600313,0.00366646867736
790,50,1.0,10,2.0,6_hard_full,698.83,2.32048864144,0.09,0.0128112550717,0.00143096318132
791,50,1.0,10,2.0,6_hard_pruned,688.848,2.48841681164,0.096,0.0131877151798,0.00145169906859
792,50,1.5,3,0.0,10_easy_full,470.107355865,3.87772311593,0.216699801193,0.0183882972786,0.0021271736924
793,50,1.5,3,0.0,10_easy_pruned,276.059642147,3.78730456081,0.31013916501,0.0206446342419,0.00362240562301
794,50,1.5,3,0.0,10_hard_full,518.186,3.43087578109,0.166,0.0166566168765,0.00192980898751
795,50,1.5,3,0.0,10_hard_pruned,403.164,4.07233225412,0.114,0.0142271861466,0.00248038019268
796,50,1.5,3,0.0,10_medium_full,455.014028056,3.43567348421,0.0781563126253,0.0120280715355,0.00219773443969
797,50,1.5,3,0.0,10_medium_pruned,278.116232465,2.92872274485,0.246492985972,0.0193121782456,0.00359561896527
798,50,1.5,3,0.0,6_easy_full,97.5868421053,0.996515712297,0.447368421053,0.0255405888826,0.0102472831216
799,50,1.5,3,0.0,6_easy_pruned,50.8578947368,0.533220299467,0.671052631579,0.0241335880434,0.019662630653
800,50,1.5,3,0.0,6_hard_full,199.639473684,2.94483560044,0.205263157895,0.0207466304544,0.00500902943464
801,50,1.5,3,0.0,6_hard_pruned,161.218421053,2.31124670817,0.173684210526,0.0194595857191,0.0062027651274
802,50,1.5,3,0.5,10_easy_full,981.840954274,9.72988318239,0.155069582505,0.01615555651,0.00101849489538
803,50,1.5,3,0.5,10_easy_pruned,555.284294235,7.94334587095,0.335984095427,0.0210812686181,0.00180087931602
804,50,1.5,3,0.5,10_hard_full,1076.154,8.32178230245,0.13,0.0150550093528,0.000929235035134
805,50,1.5,3,0.5,10_hard_pruned,850.002,9.83256439782,0.108,0.013894535481,0.00117646782008
806,50,1.5,3,0.5,10_medium_full,980.052104208,8.55896393944,0.0821643286573,0.012305788607,0.00102035391354
807,50,1.5,3,0.5,10_medium_pruned,570.44488978,6.85500632232,0.284569138277,0.020219157871,0.00175301771988
808,50,1.5,3,0.5,6_easy_full,143.905263158,1.9688283737,0.428947368421,0.0254226294571,0.00694901616561
809,50,1.5,3,0.5,6_easy_pruned,75.5,0.831978716626,0.686842105263,0.0238226753747,0.0132450331126
810,50,1.5,3,0.5,6_hard_full,327.231578947,5.76026017515,0.171052631579,0.0193423284452,0.0030559397819
811,50,1.5,3,0.5,6_hard_pruned,281.955263158,4.40289876824,0.181578947368,0.0198016572186,0.00354666193778
812,50,1.5,3,1.0,10_easy_full,1202.48310139,11.9283919372,0.214711729622,0.0183269663281,0.000831612518166
813,50,1.5,3,1.0,10_easy_pruned,671.30417495,9.69140987826,0.34393638171,0.0212011870602,0.00148963768931
814,50,1.5,3,1.0,10_hard_full,1335.4,10.511988766,0.174,0.0169712712575,0.000748839299086
815,50,1.5,3,1.0,10_hard_pruned,1046.04,12.0184886295,0.134,0.0152496920039,0.000955986386754
816,50,1.5,3,1.0,10_medium_full,1197.36873747,10.0241662091,0.0721442885772,0.0115938193445,0.00083516461446
817,50,1.5,3,1.0,10_medium_pruned,670.557114228,8.19653967223,0.282565130261,0.0201760363952,0.0014912972792
818,50,1.5,3,1.0,6_easy_full,155.592105263,2.08689807264,0.45,0.0255545358164,0.00642706131078
