time_before,time_before_sec
2607,2.607
32227,32.227
1112,1.112
3719,3.719
1754,1.754
1465,1.465
805,0.805
3924,3.924
8435,8.435
837,0.837
5207,5.207
4540,4.54
894,0.894
1022,1.022
927,0.927
37891,37.891
5497,5.497
1047,1.047
1396,1.396
1931,1.931
13570,13.57
980,0.98
1927,1.927
3980,3.98
1101,1.101
58191,58.191
39892,39.892
22119,22.119
19330,19.33
7086,7.086
8966,8.966
7416,7.416
16522,16.522
27666,27.666
6306,6.306
17442,17.442
2474,2.474
3354,3.354
21058,21.058
48416,48.416
28785,28.785
123949,123.949
6220,6.22
12849,12.849
961,0.961
1856,1.856
3345,3.345
1666,1.666
78477,78.477
1072,1.072
2847,2.847
3794,3.794
3294,3.294
7328,7.328
3932,3.932
2673,2.673
3428,3.428
5488,5.488
5525,5.525
2134,2.134
2969,2.969
42320,42.32
2128,2.128
6170,6.17
2420,2.42
2754,2.754
2770,2.77
1638,1.638
3989,3.989
5440,5.44
1172,1.172
2136,2.136
24355,24.355
104987,104.987
84199,84.199
3998,3.998
2349,2.349
4148,4.148
2602,2.602
3364,3.364
1268,1.268
46287,46.287
5330,5.33
4920,4.92
2715,2.715
14168,14.168
3306,3.306
2187,2.187
15539,15.539
1556,1.556
20348,20.348
2543,2.543
78037,78.037
2888,2.888
5374,5.374
4454,4.454
3299,3.299
44908,44.908
1928,1.928
6588,6.588
2647,2.647
1616,1.616
7938,7.938
99330,99.33
23782,23.782
16257,16.257
1619,1.619
47549,47.549
28731,28.731
1362,1.362
41409,41.409
2053,2.053
3953,3.953
25738,25.738
3753,3.753
12261,12.261
48554,48.554
91621,91.621
9759,9.759
161499,161.499
12812,12.812
50148,50.148
13167,13.167
165992,165.992
3196,3.196
8290,8.29
2494,2.494
1116,1.116
195139,195.139
113598,113.598
9699,9.699
6377,6.377
36660,36.66
3898,3.898
52822,52.822
2949,2.949
1581,1.581
2257,2.257
3145,3.145
1813,1.813
2269,2.269
1860,1.86
5658,5.658
11339,11.339
84298,84.298
6852,6.852
