userid,boardSize,condition,boardType,solvedCorrect,validatedCorrect,solutionTime,validationTime,actionsSolution,actionsValidation,time,solutionCorrect,validationCorrect,solutionAndValidationCorrect,solutionTimeMinutes
13b7468e,10,pruned,hard,TRUE,TRUE,188678,75011,14,15,1.51233E+12,1,1,1,3.144633333
39b67ab6,10,full,medium,FALSE,FALSE,162120,39293,15,0,1.51228E+12,0,0,0,2.702
95efe40b,10,verify,hard,FALSE,FALSE,50869,59780,5,0,1.51191E+12,0,0,0,0.847816667
d8f4f271,10,verify,hard,TRUE,FALSE,60446,103279,23,11,1.51119E+12,1,0,0,1.007433333
fcaffad4,6,pruned,hard,FALSE,FALSE,370941,24473,71,0,1.51191E+12,0,0,0,6.18235
2fd101b0,10,pruned,easy,FALSE,FALSE,229629,125053,64,0,1.51192E+12,0,0,0,3.82715
d2d73ea5,6,pruned,easy,FALSE,FALSE,244523,16874,22,0,1.51233E+12,0,0,0,4.075383333
f1a3a21d,6,verify,hard,FALSE,FALSE,66658,93023,3,0,1.51111E+12,0,0,0,1.110966667
34d51755,10,full,medium,FALSE,FALSE,209491,98929,10,0,1.5112E+12,0,0,0,3.491516667
5bc4f225,10,pruned,hard,TRUE,TRUE,109507,35368,20,4,1.51119E+12,1,1,1,1.825116667
9ae751bc,10,full,easy,TRUE,TRUE,403164,24401,42,4,1.51233E+12,1,1,1,6.7194
cdc50047,10,pruned,easy,TRUE,TRUE,302746,38326,47,6,1.5112E+12,1,1,1,5.045766667
88e518be,6,verify,hard,FALSE,FALSE,96771,33832,1,0,1.5112E+12,0,0,0,1.61285
fad517c1,10,pruned,hard,FALSE,FALSE,73999,25466,0,0,1.5112E+12,0,0,0,1.233316667
eab4f759,6,verify,easy,TRUE,FALSE,362677,155459,24,10,1.51119E+12,1,0,0,6.044616667
8ce3a1de,6,verify,easy,TRUE,TRUE,112711,87341,7,5,1.51111E+12,1,1,1,1.878516667
