,heuristic,percent
395,density,13.3333333333
396,linear,3.13725490196
397,non-linear,10.5882352941
398,interaction,19.6078431373
399,blocking,53.3333333333
400,density,12.1568627451
401,linear,1.56862745098
402,non-linear,10.1960784314
403,interaction,25.0980392157
404,blocking,50.9803921569
405,density,13.3333333333
406,linear,2.74509803922
407,non-linear,10.1960784314
408,interaction,21.568627451
409,blocking,52.1568627451
410,density,10.9803921569
411,linear,2.74509803922
412,non-linear,10.9803921569
413,interaction,21.9607843137
414,blocking,53.3333333333
415,density,12.5490196078
416,linear,1.56862745098
417,non-linear,12.1568627451
418,interaction,21.9607843137
419,blocking,51.7647058824
420,density,10.5882352941
421,linear,2.35294117647
422,non-linear,10.1960784314
423,interaction,23.5294117647
424,blocking,53.3333333333
425,density,13.7254901961
426,linear,2.74509803922
427,non-linear,12.5490196078
428,interaction,19.6078431373
429,blocking,51.3725490196
430,density,12.1568627451
431,linear,1.56862745098
432,non-linear,12.9411764706
433,interaction,19.6078431373
434,blocking,53.7254901961
435,density,10.1960784314
436,linear,2.74509803922
437,non-linear,9.41176470588
438,interaction,21.9607843137
439,blocking,55.6862745098
440,density,12.1568627451
441,linear,2.35294117647
442,non-linear,9.80392156863
443,interaction,21.1764705882
444,blocking,54.5098039216
445,density,14.1176470588
446,linear,2.35294117647
447,non-linear,9.41176470588
448,interaction,19.6078431373
449,blocking,54.5098039216
450,density,11.3725490196
451,linear,2.35294117647
452,non-linear,10.9803921569
453,interaction,21.1764705882
454,blocking,54.1176470588
455,density,12.9411764706
456,linear,1.96078431373
457,non-linear,10.9803921569
458,interaction,21.1764705882
459,blocking,52.9411764706
460,density,14.5098039216
461,linear,1.96078431373
462,non-linear,11.3725490196
463,interaction,23.5294117647
464,blocking,48.6274509804
465,density,12.9411764706
466,linear,1.96078431373
467,non-linear,10.9803921569
468,interaction,23.5294117647
469,blocking,50.5882352941
470,density,13.7254901961
471,linear,1.96078431373
472,non-linear,11.7647058824
473,interaction,23.137254902
474,blocking,49.4117647059
475,density,10.5882352941
476,linear,2.35294117647
477,non-linear,9.41176470588
478,interaction,21.9607843137
479,blocking,55.6862745098
480,density,12.9411764706
481,linear,1.56862745098
482,non-linear,12.1568627451
483,interaction,23.9215686275
484,blocking,49.4117647059
485,density,11.3725490196
486,linear,1.96078431373
487,non-linear,11.3725490196
488,interaction,21.9607843137
489,blocking,53.3333333333
490,density,12.9411764706
491,linear,2.74509803922
492,non-linear,12.1568627451
493,interaction,20.7843137255
494,blocking,51.3725490196
495,density,12.9411764706
496,linear,2.74509803922
497,non-linear,14.5098039216
498,interaction,20.0
499,blocking,49.8039215686
