,correlation,path_length
182,0.728749307365256,2
183,0.3953227715964778,1
184,,7
185,,6
186,,5
187,0.7234646377770676,4
188,0.8777363720191236,3
189,0.770697323667018,2
190,0.5003979707813928,1
191,,7
192,,6
193,,5
194,0.4667252767517716,4
195,0.8551976838417268,3
196,0.7231998204775696,2
197,0.5216307894439379,1
198,,7
199,,6
200,,5
201,,4
202,0.8252040661918024,3
203,0.8398895928132207,2
204,0.5566681587765671,1
205,,7
206,,6
207,,5
208,0.560894928230152,4
209,0.881910455123302,3
210,0.6940017341291409,2
211,0.5640541595318621,1
212,,7
213,,6
214,0.6693122662525711,5
215,0.45191069490033176,4
216,0.9026070687153104,3
217,0.6854861810588364,2
218,0.48928814264678333,1
219,,7
220,,6
221,0.6339583932677937,5
222,0.49369207383390507,4
223,0.8311340472069684,3
224,0.6989363879725111,2
225,0.5730682427537026,1
226,,7
227,,6
228,0.9193008625592753,5
229,0.8832386438411461,4
230,0.872711270268491,3
231,0.5775286576366443,2
232,0.5157051644768444,1
233,,7
234,,6
235,0.659602280016634,5
236,0.470873452251792,4
237,0.6934321768595849,3
238,0.6815731747965821,2
239,0.5951204137924607,1
240,,7
241,,6
242,0.7289417036496427,5
243,0.4902698855482494,4
244,0.805061048813098,3
245,0.7149034707350053,2
246,0.41453389981918076,1
247,,7
248,,6
249,0.651387085139505,5
250,0.6738776392138718,4
251,0.5768741206024245,3
252,0.7763880202742862,2
253,0.7301006388165011,1
254,,7
255,,6
256,0.8791194258372028,5
257,0.8499927635272185,4
258,0.8121961188623875,3
259,0.8688501227645373,2
260,0.5265647912705951,1
261,,7
262,,6
263,0.7773915140762628,5
264,0.5520091701499114,4
265,0.6934321768595848,3
266,0.7930838132369867,2
267,0.48639429953470126,1
268,,7
269,,6
270,0.8614252605325317,5
271,0.5073629715130564,4
272,0.900904630298404,3
273,0.5899824253965591,2
274,0.5416652335181267,1
275,,7
276,,6
277,0.8964501926005921,5
278,0.45652566627697566,4
279,0.8331719451002129,3
280,0.7509893991412746,2
281,0.4727979997210318,1
282,,7
283,,6
284,0.9189606065454463,5
285,0.4331438024810293,4
286,0.8121961188623875,3
287,0.6486646948048979,2
288,0.5110242701679417,1
289,,7
290,,6
291,0.692713324897124,5
292,0.8107927939668766,4
293,0.8653560253668278,3
294,0.7787905971937444,2
295,0.2340581758807183,1
296,,7
297,,6
298,0.6999028325965239,5
299,0.6918339288144236,4
300,0.9605447115761572,3
301,0.8096685513145925,2
302,0.44981914133719964,1
303,,7
304,,6
305,,5
306,0.5234261748216807,4
307,0.5974388344710071,3
308,0.7783491407168073,2
309,0.43529180549548824,1
310,,7
311,,6
312,0.6539316929200761,5
313,0.5348832285673816,4
314,0.8821633803090032,3
315,0.6591973387365676,2
316,0.29273035424582994,1
317,,7
318,,6
319,0.8162555028771682,5
320,0.889132735098466,4
321,0.930853550323316,3
322,0.3203131106620868,2
323,0.5922076796266516,1
324,,7
325,,6
326,0.6675135074162528,5
327,0.44013290496672863,4
328,0.908072517195759,3
329,0.6671629214306126,2
330,0.6793301082334535,1
331,,7
332,,6
333,,5
334,0.5108980339688102,4
335,0.4806171943910781,3
336,0.6715622089162993,2
337,0.6764654942472772,1
338,,7
339,,6
340,0.8446752721164382,5
341,0.6120672282155719,4
342,0.8737801130888526,3
343,0.6547969288605733,2
344,0.6036020158404531,1
345,,7
346,,6
347,0.6391876650936222,5
348,0.8112475172087016,4
349,0.9050501931757845,3
