,Unnamed: 0,board_name,path,move_number_in_path,count,participants_prob,heuristic,prob_path
76,15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.006622516556291391,density,1.25e-11
77,15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.006622516556291391,interaction,2.9600000000000005e-09
78,15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.006622516556291391,linear,8.23e-09
79,15,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1], [1, 8, 2]]",6,1,0.006622516556291391,non-linear,6.32e-08
80,16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.004807692307692308,blocking,5.68e-08
81,16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.004807692307692308,density,9.05e-10
82,16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.004807692307692308,interaction,2.9600000000000005e-09
83,16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.004807692307692308,linear,8.23e-09
84,16,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2], [1, 9, 1]]",5,1,0.004807692307692308,non-linear,6.32e-08
85,17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.02464788732394366,blocking,4.56e-07
86,17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.02464788732394366,density,4.75e-08
87,17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.02464788732394366,interaction,1.84e-07
88,17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.02464788732394366,linear,8.2e-07
89,17,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [0, 2, 2]]",4,7,0.02464788732394366,non-linear,2.19e-06
90,18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037037035,blocking,2.58e-14
91,18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037037035,density,1.7e-15
92,18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037037035,interaction,1.8000000000000002e-14
93,18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037037035,linear,1.13e-12
94,18,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2], [6, 3, 1]]",9,1,0.037037037037037035,non-linear,1.76e-12
95,19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.019230769230769232,blocking,4.75e-12
96,19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.019230769230769232,density,6.27e-14
97,19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.019230769230769232,interaction,2.36e-12
98,19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.019230769230769232,linear,5.03e-11
99,19,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1], [6, 2, 2]]",8,1,0.019230769230769232,non-linear,9.42e-11
100,20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.009708737864077669,blocking,1.99e-09
101,20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.009708737864077669,density,2.29e-12
102,20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.009708737864077669,interaction,8.52e-10
103,20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.009708737864077669,linear,2.89e-09
104,20,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2], [5, 3, 1]]",7,1,0.009708737864077669,non-linear,7.67e-09
105,21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.006622516556291391,blocking,2.18e-07
106,21,10_easy_full,"[[0, 5, 1], [4, 9, 2], [0, 3, 1], [4, 4, 2], [5, 4, 1], [6, 4, 2]]",6,1,0.006622516556291391,density,8.320000000000001e-11
