board_size,condition,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board,type,timePerMoveMinutes,timePerMove,size
10,truncated,CV,118,0,0,9.778133333,0,0,10 DC,DC,0.082865537,4.97193222,10
6,full,hard,14,0,0,1.512833333,0,0,6 HC,HC,0.108059524,6.48357144,6
10,truncated,hard,71,0,0,9.906183333,0,0,10 HC,HC,0.139523709,8.37142254,10
10,truncated,hard,0,0,0,1.277333333,0,0,10 HC,HC,0,0,10
10,truncated,medium,2,0,0,1.354033333,0,0,10 MC,MC,0.677016667,40.62100002,10
10,full,CV,35,1,1,4.530366667,100,100,10 DC,DC,0.129439048,7.76634288,10
10,truncated,CV,7,1,1,1.550783333,100,100,10 DC,DC,0.221540476,13.29242856,10
10,full,medium,29,0,0,6.484133333,0,0,10 MC,MC,0.223590805,13.4154483,10
10,truncated,hard,32,0,0,4.674483333,0,0,10 HC,HC,0.146077604,8.76465624,10
10,full,hard,22,0,0,6.3855,0,0,10 HC,HC,0.29025,17.415,10
10,truncated,hard,35,0,0,5.82215,0,0,10 HC,HC,0.166347143,9.98082858,10
10,full,CV,21,1,1,4.712016667,100,100,10 DC,DC,0.224381746,13.46290476,10
10,full,CV,30,0,0,3.449233333,0,0,10 DC,DC,0.114974444,6.89846664,10
6,full,hard,43,1,0,6.97065,100,0,6 HC,HC,0.16210814,9.7264884,6
10,full,medium,81,1,1,8.954366667,100,100,10 MC,MC,0.110547737,6.63286422,10
10,truncated,hard,35,1,1,4.23795,100,100,10 HC,HC,0.121084286,7.26505716,10
10,full,medium,50,0,0,8.9814,0,0,10 MC,MC,0.179628,10.77768,10
10,truncated,hard,53,1,0,9.746933333,100,0,10 HC,HC,0.183904403,11.03426418,10
10,full,medium,51,0,0,10.10885,0,0,10 MC,MC,0.198212745,11.8927647,10
10,full,CV,11,0,0,2.184816667,0,0,10 DC,DC,0.198619697,11.91718182,10
10,truncated,CV,18,1,1,2.969383333,100,100,10 DC,DC,0.164965741,9.89794446,10
10,full,hard,84,0,0,6.662083333,0,0,10 HC,HC,0.079310516,4.75863096,10
10,truncated,hard,56,0,0,9.390416667,0,0,10 HC,HC,0.167686012,10.06116072,10
6,truncated,medium,44,1,0,7.623416667,100,0,6 MC,MC,0.17325947,10.3955682,6
10,truncated,CV,65,1,1,6.22185,100,100,10 DC,DC,0.095720769,5.74324614,10
10,full,medium,59,0,0,9.218383333,0,0,10 MC,MC,0.156243785,9.3746271,10
