win_score,blocking_score,fitted_heuristic,num_participants,proportion_participants
3200,0.2,linear,9,0.024324324
3200,0.2,non-linear,58,0.156756757
3200,0.4,blocking,25,0.067567568
3200,0.4,blocking_blind,62,0.167567568
3200,0.4,density,44,0.118918919
3200,0.4,interaction,35,0.094594595
3200,0.4,interaction_blind,137,0.37027027
3200,0.4,linear,9,0.024324324
3200,0.4,non-linear,58,0.156756757
3200,0.8,blocking,18,0.048648649
3200,0.8,blocking_blind,48,0.12972973
3200,0.8,density,45,0.121621622
3200,0.8,interaction,37,0.1
3200,0.8,interaction_blind,151,0.408108108
3200,0.8,linear,9,0.024324324
3200,0.8,non-linear,62,0.167567568
6400,0.05,blocking,35,0.094594595
6400,0.05,blocking_blind,82,0.221621622
6400,0.05,density,45,0.121621622
6400,0.05,interaction,26,0.07027027
6400,0.05,interaction_blind,110,0.297297297
6400,0.05,linear,9,0.024324324
6400,0.05,non-linear,63,0.17027027
6400,0.1,blocking,29,0.078378378
6400,0.1,blocking_blind,75,0.202702703
6400,0.1,density,45,0.121621622
6400,0.1,interaction,32,0.086486486
6400,0.1,interaction_blind,117,0.316216216
6400,0.1,linear,9,0.024324324
6400,0.1,non-linear,63,0.17027027
6400,0.2,blocking,24,0.064864865
6400,0.2,blocking_blind,68,0.183783784
6400,0.2,density,45,0.121621622
6400,0.2,interaction,34,0.091891892
6400,0.2,interaction_blind,124,0.335135135
6400,0.2,linear,9,0.024324324
6400,0.2,non-linear,66,0.178378378
6400,0.4,blocking,21,0.056756757
6400,0.4,blocking_blind,57,0.154054054
6400,0.4,density,45,0.121621622
6400,0.4,interaction,36,0.097297297
6400,0.4,interaction_blind,136,0.367567568
6400,0.4,linear,9,0.024324324
6400,0.4,non-linear,66,0.178378378
6400,0.8,blocking,18,0.048648649
6400,0.8,blocking_blind,46,0.124324324
6400,0.8,density,47,0.127027027
6400,0.8,interaction,36,0.097297297
6400,0.8,interaction_blind,148,0.4
6400,0.8,linear,10,0.027027027
6400,0.8,non-linear,65,0.175675676
12800,0.05,blocking,30,0.081081081
12800,0.05,blocking_blind,74,0.2
12800,0.05,density,45,0.121621622
12800,0.05,interaction,25,0.067567568
12800,0.05,interaction_blind,114,0.308108108
12800,0.05,linear,10,0.027027027
12800,0.05,non-linear,72,0.194594595
12800,0.1,blocking,26,0.07027027
12800,0.1,blocking_blind,69,0.186486486
12800,0.1,density,45,0.121621622
12800,0.1,interaction,30,0.081081081
12800,0.1,interaction_blind,118,0.318918919
12800,0.1,linear,10,0.027027027
12800,0.1,non-linear,72,0.194594595
12800,0.2,blocking,21,0.056756757
12800,0.2,blocking_blind,62,0.167567568
12800,0.2,density,46,0.124324324
12800,0.2,interaction,30,0.081081081
12800,0.2,interaction_blind,126,0.340540541
12800,0.2,linear,11,0.02972973
12800,0.2,non-linear,74,0.2
12800,0.4,blocking,21,0.056756757
12800,0.4,blocking_blind,51,0.137837838
12800,0.4,density,49,0.132432432
12800,0.4,interaction,31,0.083783784
12800,0.4,interaction_blind,134,0.362162162
12800,0.4,linear,12,0.032432432
12800,0.4,non-linear,72,0.194594595
12800,0.8,blocking,17,0.045945946
12800,0.8,blocking_blind,44,0.118918919
12800,0.8,density,50,0.135135135
12800,0.8,interaction,31,0.083783784
12800,0.8,interaction_blind,143,0.386486486
12800,0.8,linear,13,0.035135135
12800,0.8,non-linear,72,0.194594595
