,size,type,condition,board,heuristic_name,moves,userid,board_size,board_type,board_name,solved,action,solutionAndValidationCorrectPercent,solutionAndValidationCorrect,solutionCorrect,actionsSolution
163,10,MC,truncated,10 MC truncated,interaction,198,aee1533a,10,easy,10_easy_pruned,wrong,1,0,0,0,1
164,10,MC,truncated,10 MC truncated,interaction,198,b0f44295,10,easy,10_easy_pruned,wrong,10,0,0,0,10
165,10,MC,truncated,10 MC truncated,interaction,198,b5a6dc1f,10,easy,10_easy_pruned,wrong,22,0,0,0,22
166,10,MC,truncated,10 MC truncated,interaction,198,b5c6aa47,10,easy,10_easy_pruned,wrong,5,0,0,0,5
167,10,MC,truncated,10 MC truncated,interaction,198,b7e6b167,10,easy,10_easy_pruned,validatedCorrect,72,100,1,1,72
168,10,MC,truncated,10 MC truncated,interaction,198,b9e10f8b,10,easy,10_easy_pruned,validatedCorrect,22,100,1,1,22
169,10,MC,truncated,10 MC truncated,interaction,198,bbc6b8cf,10,easy,10_easy_pruned,wrong,54,0,0,0,54
170,10,MC,truncated,10 MC truncated,interaction,198,bfa6b911,10,easy,10_easy_pruned,validatedCorrect,86,100,1,1,86
171,10,MC,truncated,10 MC truncated,interaction,198,c3dfd812,10,easy,10_easy_pruned,validatedCorrect,80,100,1,1,80
172,10,MC,truncated,10 MC truncated,interaction,198,c4c6bed8,10,easy,10_easy_pruned,wrong,28,0,0,0,28
173,10,MC,truncated,10 MC truncated,interaction,198,c4f2ef6f,10,easy,10_easy_pruned,wrong,7,0,0,0,7
174,10,MC,truncated,10 MC truncated,interaction,198,c6a15708,10,easy,10_easy_pruned,wrong,40,0,0,0,40
175,10,MC,truncated,10 MC truncated,interaction,198,c7a6ab83,10,easy,10_easy_pruned,validatedCorrect,1,100,1,1,1
176,10,MC,truncated,10 MC truncated,interaction,198,c7c6f18d,10,easy,10_easy_pruned,validatedCorrect,10,100,1,1,10
177,10,MC,truncated,10 MC truncated,interaction,198,cdc50047,10,easy,10_easy_pruned,validatedCorrect,44,100,1,1,44
178,10,MC,truncated,10 MC truncated,interaction,198,ceafe698,10,easy,10_easy_pruned,validatedCorrect,16,100,1,1,16
179,10,MC,truncated,10 MC truncated,interaction,198,cec10cc8,10,easy,10_easy_pruned,validatedCorrect,5,100,1,1,5
