,fitted_heuristic,log_likelihood,userid
199,interaction,-2.696419007947368,fdc4f07b
200,blocking,-1.7523005742727273,18c75602
201,blocking,-2.1153038908000004,33bbca9a
202,blocking,-2.01651847275,34d51755
203,blocking,-2.3961697183333333,36ebe4da
204,blocking,-2.823575880617647,38cbc1f6
205,blocking,-2.6098337936486486,48ec02bc
206,blocking,-2.377985028934782,4cb73467
207,blocking,-2.4685415826333332,4cffe209
208,blocking,-2.8579360580000004,4de4f27d
209,blocking,-2.6770818100769223,54d4fd9d
210,blocking,-2.687065302411764,54f6b927
211,interaction,-1.2359261316666668,72e6961c
212,blocking,-2.688066769,81a10227
213,blocking,-2.3102724497500002,85e50169
214,blocking,-2.0834890786666667,89fbc220
215,blocking,-3.5078160576666666,93c70cc1
216,blocking,-1.9472938390000003,96abd246
217,interaction,-1.745291362,9ea4fe94
218,density,-2.7926537375000002,a5e116c5
219,blocking,-2.3810760089705885,a7b511d6
220,blocking,-2.679895859142857,b3dbd892
221,blocking,-2.6669571564545453,b9bbc96c
222,interaction,-1.2750616424999999,bca124ea
223,interaction,-2.8398641322857143,bfabcc7d
224,blocking,-2.3689849415882356,c6c100be
225,interaction,-2.8752592548000004,e0a10efa
226,blocking,-2.0470093787500003,e5b69f84
227,blocking,-2.3995964347000003,eaaff660
228,interaction,-2.318618897413793,f8e11654
229,blocking,-1.748059222888889,19b680e2
230,interaction,-2.0279885839999996,2bd72f3e
231,blocking,-2.3755797071363642,33a74451
232,density,-3.2304074099999998,3ed1161d
233,interaction,-2.0279885839999996,42f75809
234,blocking,-1.925776940111111,43c516b5
235,blocking,-1.898237155111111,4fba815c
236,blocking,-2.8129742288,5efbf191
237,blocking,-1.6144907213333333,6db76212
238,blocking,-1.5651309504999997,71ebc315
239,blocking,-2.707960030107143,93ebead7
240,blocking,-1.237537539142857,94a4f5d4
241,blocking,-1.1883329525714288,95e69707
242,non-linear,-2.057169391,9ba1165f
243,interaction,-2.115333431428571,9da51cdd
244,blocking,-3.0658572556176473,9dd11e8e
245,blocking,-1.1716196943333335,a9cbcabb
246,blocking,-1.8128942214999997,abd12ee2
247,blocking,-3.1144735892812503,b0c6f3a8
248,blocking,-1.9814187002499999,bdd7483e
249,blocking,-2.433338532076923,cefc077d
250,blocking,-2.792915294846154,d0f687f1
251,interaction,-0.8640832795,d1bbc1e6
252,interaction,-0.8037700026666666,d8aacc7a
253,blocking,-2.396798888909091,daa11f50
254,interaction,-1.578597201,e9b10766
255,blocking,-2.5088438687999988,ecefd3a0
256,blocking,-1.8716527463076922,eefbf52d
257,interaction,-2.3651535522857143,17e120dd
258,blocking,-1.1156708180000001,18dac9ef
259,non-linear,-1.701479007,20bfd7bd
260,interaction,-1.4772254782222223,26dbf6e9
261,blocking,-1.713690541714286,32ebf2e8
262,non-linear,-1.8190692266500001,38ebbf94
263,blocking,-2.1129368220625,3df11bae
264,interaction,-1.313036171,44a4fa14
265,interaction,-2.006627778222222,5edbbf73
266,linear,-2.3538444997647057,67eac875
267,interaction,-1.7471970083050847,69bad0fe
268,interaction,-2.6761659851428568,6bf51f66
269,interaction,-2.3363015902272726,70da8cfb
270,interaction,-1.6157136187499996,87b50908
271,blocking,-1.9406405364749997,8fc76287
272,blocking,-1.3131464062903226,91cfd7fb
273,blocking,-2.46692133873913,92b722f3
274,interaction,-2.0006674069142854,94d6ef33
275,density,-2.3541036669,9adbc2df
276,linear,-3.1039762771224484,9dc50a3d
277,density,-1.39248047825,a2f6ba1d
278,density,-3.0644369921739143,b0d518a1
279,blocking,-1.2829118481666666,b7a4fe27
280,blocking,-1.3954820112222222,bae515f2
281,blocking,-2.0993796634705886,bed50a1d
282,density,-2.7837563832000005,c7a67aab
283,blocking,-2.4834636011891895,c8a4fa50
284,linear,-2.3957345473,cceac8ca
285,interaction,-2.1239708751111106,dbe71b15
286,interaction,-2.6789593677,dcc4f10e
287,blocking,-2.2429061270000004,dfcbf407
288,blocking,-2.181782922652174,dfe6bee3
289,linear,-2.5812512413333333,eec7360c
290,linear,-2.742819887,f3dbeb7e
291,linear,-2.7628434241129036,f6fbf6b1
292,linear,-2.790505359333333,fac10d6e
293,blocking,-0.64546361025,16d516ad
294,blocking,-1.2738760751666665,1dac01e7
295,non-linear,-2.1646718656999995,25cfdeaf
296,blocking,-1.8814253840769228,2afbbf79
297,blocking,-2.43345205625,2ff50f64
298,density,-2.9603562284166665,30e4feac
299,density,-1.640831497,49c72e9b
300,blocking,-0.94260045775,4bca7fc9
301,density,-2.3807392782000005,5adff9a5
302,interaction,-1.7205045725555559,5dbfe29c
303,interaction,-0.8236432945000001,6bb10472
304,linear,-2.5837098078095235,6dd103e2
305,blocking,-1.7710309240461541,7dd704e0
306,interaction,-1.0362479309,81c11c9f
307,blocking,-2.22073584625,92a74a76
308,interaction,-1.5791279724999998,a2ebe618
309,blocking,-1.8356565975,aafbd6ab
310,blocking,-1.3025760626363636,b0e1157c
311,blocking,-1.2743224977142857,b9e512db
312,non-linear,-2.285966806611111,c7fffe38
313,density,-2.9288871829999996,d4fac87b
314,linear,-2.7674005026666664,daefd33a
315,blocking,-1.5145176815,e1e500d7
316,density,-2.4880892286363636,e9dbbf8a
317,density,-2.7664636721904756,fdaa7ebb
318,interaction,-3.080790656166666,13f4ff5a
319,blocking,-1.5582579001666665,1df6940e
320,interaction,-2.8745414444999997,1ff4f828
321,blocking,-3.054294203958334,21abc061
322,blocking,-1.4468142640000001,28e67c08
323,blocking,-0.9832241051428571,2fb4f99a
324,blocking,-0.8331446091249999,65f68460
325,blocking,-1.2628927023636363,84dbf4f9
326,blocking,-1.5582579001666665,92e6f512
327,blocking,-1.3746880031000002,98d105c1
328,blocking,-2.3099561710000005,9befd8ad
329,blocking,-2.394513109411765,a3eacaa9
330,blocking,-2.879011682458333,a4f74985
331,blocking,-1.203097315888889,abc728e1
332,interaction,-2.507723439062501,aceaccbc
333,blocking,-2.0679325970666667,d2ac158a
334,density,-2.9728171476666665,13b7468e
335,blocking,-2.9800698785714284,13dbbfb8
336,blocking,-2.4783248143214283,16f6e58d
337,blocking,-1.5892662303333331,1bd72c42
338,interaction,-2.7440618495312497,28d4fefb
339,blocking,-1.7921455714374999,32fad07f
340,blocking,-2.7289567570000006,41bad9a2
341,blocking,-1.6099874349999999,5bc4f225
342,blocking,-2.5085493300606063,7dea8d37
343,blocking,-1.7181253321304348,8aa6d830
344,blocking,-2.3959115128648656,8ea50714
345,blocking,-1.4846532627,98c10b8a
346,blocking,-2.915951614641026,acdac85f
347,blocking,-0.8682324653333334,bacbc468
348,interaction,-1.4500468721666666,bcf51783
349,blocking,-2.822833392106383,cdc514e1
350,blocking,-1.6378736414999997,d9e4f7e5
351,blocking,-2.7375327634800004,e2b10de5
352,blocking,-2.3104003843055563,e6efec72
353,blocking,-1.927447844888889,edfff93e
354,blocking,-2.641734298111112,efd4fa4a
355,interaction,-3.1026412176875007,f4c4f33c
356,blocking,-1.6279258878823528,fcb764e3
357,blocking,-1.2042569684999997,25dfef96
358,non-linear,-1.6577778371176473,2aabe76a
359,linear,-3.0248912157058827,34cffc40
360,blocking,-0.40684172763636367,38abe966
361,density,-1.9858169372499999,3acff9fa
362,blocking,-0.6386845720000001,3bac0799
363,interaction,-2.6080440071428574,3fcbc0ab
364,interaction,-1.6949500082272733,40a74de0
365,non-linear,-1.9314168082000003,4ed755f1
366,interaction,-2.4342037280416666,59d51c4c
367,blocking,-0.40290561075000003,5acfeabc
368,linear,-2.6502652730000005,5de11557
369,non-linear,-1.723966652857143,6bca8117
370,density,-2.8605795713548385,86f6e2cb
371,non-linear,-1.57301394384,8df4f6e8
372,non-linear,-2.4472779518275862,9defd82d
373,density,-2.8153185383333335,a6bff327
374,blocking,-0.5920438299999999,aedbea55
375,density,-1.4426851085999999,b3e4f78d
376,blocking,-0.5961664197500001,b4abeb7e
377,non-linear,-2.3039505535200004,b7eae04f
378,density,-2.9004777746031754,cfd6ff5a
379,density,-2.561811548972973,d3b525de
380,blocking,-2.434871399111111,d6b67ee1
381,density,-2.55559995,d6d500ab
382,non-linear,-2.1921752345357146,dabbe6bb
383,density,-2.8157001653461537,efa7383d
384,blocking,-0.6970660484705883,f9c123d7
385,interaction,-1.456811416,fda4f169
386,non-linear,-1.6795412435454546,11dfe866
387,interaction,-1.1270652863333332,12ebbfd2
388,non-linear,-1.8615367208333329,16e512d0
389,blocking,-2.079877274384616,19a105e3
390,density,-1.5392901483333334,1de715c7
391,interaction,-0.4443168373333333,1fdbc072
392,density,-2.5436013297999995,2dca846d
393,interaction,-0.861109086,2dfbc35a
394,density,-2.303487128631579,33b693e2
395,interaction,-0.7307890194285714,33ebe68d
396,non-linear,-1.8566356089999996,48c70a00
397,non-linear,-2.425083906088236,4dc50d03
398,density,-2.6284677295714287,55a709fd
399,blocking,-1.536831922714286,58e72ee8
400,density,-2.76730503919403,67abc3ab
401,density,-2.6697935213599995,67abf219
402,non-linear,-1.8494465318095235,6cbbcdf7
403,non-linear,-1.9144681087619044,6fc70a09
404,linear,-2.044676222090909,7acbc3e2
405,non-linear,-1.4837967987333336,7cc119e0
406,blocking,-1.162072207727273,7db4f1d2
407,interaction,-1.02151817,8ab71c6b
408,blocking,-0.7394373867777778,94abbfb2
409,density,-2.5531248600000005,96afd320
410,interaction,-0.8070496653999999,9db10b00
411,linear,-2.082494534333333,adfac866
412,interaction,-0.2044504505,b7e510d3
413,interaction,-0.8660124204999999,c0cbeef2
414,non-linear,-1.7751735389642864,c8afed22
415,interaction,-1.1294621363333333,c9c757af
416,non-linear,-1.9824492153076925,d2d73ea5
417,non-linear,-1.906195946125,dcfbe5af
418,non-linear,-1.5635981734999997,ddb7456a
419,density,-2.7607034683125,dfa705b9
420,blocking,-2.5742439098333336,e1b100ae
421,density,-2.5154219954074075,edbbcb60
422,blocking,-2.1532308905,26e680e4
423,blocking,-1.1461577863333332,2fe692a5
424,blocking,-1.1718286012777779,31b4fc9e
425,blocking,-1.5874655399333333,3ac5170c
426,blocking,-3.001688737857143,56e6f5d2
427,blocking,-1.827618422387097,5cd6bb63
428,non-linear,-1.627334748142857,67f69d24
429,blocking,-2.001161374877551,6ac7311a
430,blocking,-2.181523040125,6dfbeafe
431,blocking,-2.5264441859795914,70bffd4d
432,blocking,-0.6671279117500001,8de6a2af
433,blocking,-3.1838227071212124,92a70054
434,blocking,-1.7324297755200002,9ae751bc
435,blocking,-2.3089528931428567,abdacc98
436,blocking,-2.817659428058824,acc6e9d4
437,blocking,-2.7105210639565227,b4a4f22a
438,blocking,-1.8515462671428569,c8c4f85a
439,blocking,-2.5087410546190476,cff10c9a
440,blocking,-2.4495293756060605,d6c10e9a
441,blocking,-2.0417548526250004,daf74d3f
442,blocking,-2.805115635125,e6abcdb2
443,blocking,-2.817440212131578,e9bbf006
444,blocking,-2.328380908642857,f1fbe0de
445,interaction,-1.212071803,39afd1eb
