path,length,count,board
"[[6, 3, 1], [7, 9, 2]]",2,1,10_easy_full
"[[6, 3, 1], [6, 5, 2]]",2,2,10_easy_full
"[[3, 2, 1], [9, 4, 2]]",2,14,10_easy_full
"[[8, 5, 1], [7, 3, 2]]",2,4,10_easy_full
"[[6, 4, 1], [0, 0, 2]]",2,2,10_easy_full
"[[5, 4, 1], [7, 4, 2], [6, 5, 1]]",3,1,10_easy_full
"[[5, 4, 1], [9, 8, 2]]",2,50,10_easy_full
"[[6, 3, 1], [5, 5, 2], [5, 3, 1]]",3,1,10_easy_full
"[[6, 9, 1], [9, 8, 2]]",2,5,10_easy_full
"[[1, 9, 1], [1, 8, 2], [4, 7, 1]]",3,1,10_easy_full
"[[9, 9, 1], [4, 8, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 6, 1]]",3,5,10_easy_full
"[[1, 8, 1], [1, 9, 2], [4, 9, 1]]",3,4,10_easy_full
"[[1, 8, 1], [1, 9, 2], [8, 4, 1]]",3,2,10_easy_full
"[[7, 3, 1], [2, 2, 2]]",2,1,10_easy_full
"[[5, 8, 1], [9, 4, 2]]",2,38,10_easy_full
"[[1, 9, 1], [1, 8, 2], [6, 9, 1]]",3,4,10_easy_full
"[[5, 8, 1], [8, 3, 2]]",2,2,10_easy_full
"[[5, 4, 1], [8, 3, 2]]",2,2,10_easy_full
"[[5, 3, 1], [8, 7, 2]]",2,1,10_easy_full
"[[8, 5, 1], [1, 8, 2]]",2,1,10_easy_full
"[[7, 5, 1], [7, 4, 2]]",2,1,10_easy_full
"[[8, 7, 1], [7, 3, 2]]",2,3,10_easy_full
"[[9, 4, 1], [4, 7, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [9, 4, 1]]",3,21,10_easy_full
"[[6, 4, 1], [2, 2, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [3, 0, 1]]",3,1,10_easy_full
"[[9, 3, 1], [4, 9, 2]]",2,1,10_easy_full
"[[6, 3, 1], [6, 4, 2]]",2,4,10_easy_full
"[[2, 9, 1], [4, 8, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [9, 2, 1]]",3,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [5, 8, 1]]",3,9,10_easy_full
"[[6, 6, 1]]",1,7,10_easy_full
"[[7, 9, 1], [4, 4, 2]]",2,1,10_easy_full
"[[7, 2, 1], [4, 4, 2]]",2,6,10_easy_full
"[[0, 7, 1], [6, 4, 2]]",2,3,10_easy_full
"[[4, 9, 1], [0, 5, 2], [6, 9, 1]]",3,3,10_easy_full
"[[9, 1, 1], [8, 4, 2], [6, 4, 1]]",3,1,10_easy_full
"[[5, 5, 1], [7, 2, 2]]",2,1,10_easy_full
"[[6, 7, 1]]",1,172,10_easy_full
"[[4, 7, 1], [8, 3, 2]]",2,1,10_easy_full
"[[8, 5, 1], [6, 6, 2]]",2,2,10_easy_full
"[[6, 7, 1], [9, 0, 2]]",2,1,10_easy_full
"[[2, 1, 1], [9, 3, 2]]",2,1,10_easy_full
"[[1, 1, 1], [4, 4, 2]]",2,1,10_easy_full
"[[6, 5, 1], [0, 8, 2], [5, 4, 1]]",3,1,10_easy_full
