,blocking,blocking_blind,board,density,heuristic,interaction,interaction_blind,non-linear,userid
14,-1.26776995891,-1.33754463314,6_hard_full,-2.517373954,blocking,-1.27435985224,-1.49138116343,-1.73619694315,26dbf6e9
15,-2.56689915682,-2.52907068212,6_hard_full,-3.08180998693,interaction_blind,-2.66831337168,-2.45171784547,-2.72756008041,31e63b91
16,-2.01937116261,-1.75375209427,6_hard_full,-2.91852115405,blocking_blind,-2.09054211029,-1.86802428207,-1.99830133584,32ebf2e8
17,-2.61676133897,-2.78217720982,6_hard_full,-2.31500761299,interaction,-2.30521906587,-2.4252395705,-2.53297505283,37f60bbc
18,-3.61658044144,-3.55714143081,6_hard_full,-2.84358915735,density,-3.95580981462,-3.89078851211,-4.01021712697,37f61258
19,-1.9412408053,-1.61189416123,6_hard_full,-2.70674786013,blocking_blind,-2.14192688666,-1.88463959677,-1.90105555243,38ebbf94
20,-2.15148207043,-2.04290157072,6_hard_full,-2.43380371764,interaction_blind,-1.88649546616,-1.81835280998,-2.24316585481,3af4bfbb
21,-1.06756799553,-1.31120541252,6_hard_full,-2.9072846387,blocking,-1.13265905556,-1.40000399407,-1.65634041959,3bb613b2
22,-1.09108893312,-1.20138079726,6_hard_full,-2.54315768195,blocking,-1.09836596863,-1.25119440712,-1.62187462795,3cd60baf
23,-1.61754703204,-1.55768546395,6_hard_full,-2.88664509886,blocking_blind,-1.79918138102,-1.7278733388,-2.01625327729,3df11bae
24,-1.56048438509,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.66218678431,3ed61f8d
25,-1.76564050827,-1.45728724605,6_hard_full,-2.68024207064,blocking_blind,-1.86032707361,-1.62011988448,-2.12123853713,43c60cd9
26,-2.42897920364,-2.11418423317,6_hard_full,-2.9638072055,interaction_blind,-2.18446947994,-1.88753867999,-2.569648188,44a4fa14
27,-1.98233945119,-2.04913324297,6_hard_full,-2.81904732735,blocking,-2.08671737978,-2.20603558544,-2.2824496833,47f614be
28,-1.16506599768,-1.15059671792,6_hard_full,-3.05721020534,blocking_blind,-1.47629014093,-1.50008892653,-1.74059481053,49e6113d
29,-2.83159286861,-1.64284943368,6_hard_full,-2.58673675959,interaction_blind,-2.56624760052,-1.49696489114,-2.67112558483,4af5df5d
30,-1.34489692769,-1.37440361545,6_hard_full,-2.81994892053,blocking,-1.50073334035,-1.54007676374,-1.73604039752,4ed4c1d3
31,-0.671880809707,-0.63313817792,6_hard_full,-2.88958227096,blocking_blind,-0.893778873442,-0.851824192427,-1.29962831471,50c60ba6
32,-1.99973412476,-2.14126497735,6_hard_full,-2.94347418962,interaction,-1.85019810987,-2.06835390061,-2.17785482852,53c4c041
33,-0.985122021802,-1.0355520515,6_hard_full,-2.5530413114,blocking,-1.05303141096,-1.12687155764,-1.50398196846,54f4bf95
34,-2.40148943837,-2.87623670455,6_hard_full,-2.82374528366,blocking,-2.74889136615,-2.96672856494,-2.44408767193,55f5fe54
35,-1.05344187664,-1.03543468803,6_hard_full,-2.52757743833,blocking_blind,-1.1619938638,-1.13588614477,-1.46231010203,57a4bf4b
36,-2.6637984841,-2.396906109,6_hard_full,-2.54656159815,blocking_blind,-2.85669141708,-2.59342603113,-2.85835544853,5ce612bc
37,-0.671880809707,-0.63313817792,6_hard_full,-2.88958227096,blocking_blind,-0.893778873442,-0.851824192427,-1.29962831471,5dd4c056
38,-2.18894945462,-2.29124451051,6_hard_full,-2.86043799038,interaction,-2.06211048331,-2.20280888574,-2.43919105394,5edbbf73
39,-1.56048438509,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.66218678431,5fd6115c
40,-3.93243881774,-1.9406498823,6_hard_full,-2.41217777345,blocking_blind,-3.78988331347,-2.05125822629,-3.62068481853,63c4bfcb
41,-1.60184023703,-1.49354600888,6_hard_full,-2.7297203661,blocking_blind,-1.75826722165,-1.64718958903,-2.00335847258,63e5efe1
42,-1.78252885902,-1.68469717067,6_hard_full,-3.29411521841,blocking_blind,-2.03464977347,-1.82485305521,-2.09146200845,64f61543
43,-3.05508092653,-2.71727747155,6_hard_full,-3.41703190423,blocking_blind,-3.14658043774,-2.79710757742,-3.02242359877,67eac875
44,-2.14380397706,-1.75225540491,6_hard_full,-2.59440617021,interaction_blind,-2.08474629949,-1.75207418603,-2.34260697028,68d5e249
45,-1.75258211308,-2.23357053195,6_hard_full,-2.87342445641,blocking,-1.78803217466,-2.21099958019,-1.99510704768,69bad0fe
46,-2.30028298488,-2.23526039613,6_hard_full,-2.812470899,interaction_blind,-2.12925533438,-2.08123462803,-2.55749057654,6bf51f66
47,-2.40723781543,-2.56585750968,6_hard_full,-2.99930971326,non-linear,-2.41589145173,-2.48677055209,-2.14725017526,6ee61190
48,-1.88444997196,-1.74519204496,6_hard_full,-2.75441948263,interaction_blind,-1.85587745683,-1.59763789998,-2.10763008269,70da8cfb
49,-2.41976097323,-2.5812586172,6_hard_full,-3.59872617458,blocking,-2.81464108383,-2.965559774,-3.00291558367,72f4c145
50,-3.45789259583,-3.62056332631,6_hard_full,-3.19455516733,density,-3.6369980851,-3.84507908504,-3.51727306033,74b60b9f
51,-2.06026053548,-1.47568696553,6_hard_full,-2.80167604095,blocking_blind,-2.26825035171,-1.84066294523,-2.27955080984,76e60f84
52,-0.888244918687,-0.853759049062,6_hard_full,-2.55119630782,blocking_blind,-1.03590488783,-0.997798657145,-1.34387543856,78f60c95
53,-2.14374340133,-2.94812239081,6_hard_full,-2.62474539077,non-linear,-2.18841355599,-2.86440230133,-2.09151588229,7bf4bf38
54,-1.82969207017,-1.8092401617,6_hard_full,-2.75618008944,blocking_blind,-2.03572550135,-2.01289615158,-2.05647325272,84a4bf3c
55,-1.83239190015,-2.08028712198,6_hard_full,-2.80103999536,interaction,-1.70823759147,-1.96871188538,-2.13009476964,87b50908
56,-3.40342643558,-3.35224619908,6_hard_full,-3.80858746145,blocking_blind,-3.38119987046,-3.62669752176,-3.60571817459,87f4bf56
57,-2.17407542475,-2.198610727,6_hard_full,-2.34337224192,non-linear,-2.19920371317,-1.98497055635,-1.94273855315,87f610ee
58,-1.9445250008,-1.84963088853,6_hard_full,-2.75984952706,blocking_blind,-1.97326615865,-1.8649152199,-2.10658876522,89d60ba4
59,-2.31471735834,-1.97053112452,6_hard_full,-3.1339282274,blocking_blind,-2.4103637571,-2.14372432696,-2.71481379745,8ac4c37c
60,-1.64390606479,-1.5966616294,6_hard_full,-2.49340091215,interaction,-1.50709921177,-1.51672965501,-1.90454662704,8ea4bf56
61,-1.82674356251,-1.7712628604,6_hard_full,-2.97910031392,blocking_blind,-1.92419750991,-1.92695954859,-2.23350794199,8fc76287
62,-4.06220789776,-3.68929343017,6_hard_full,-3.01442662834,density,-3.95456057602,-3.57524113588,-3.68508537996,8fcbec83
63,-2.28134887707,-2.85068423911,6_hard_full,-3.25150935427,blocking,-2.29369349382,-2.73781146406,-2.48555157394,90c60de8
64,-4.46324589598,-2.56900554565,6_hard_full,-2.77621210575,interaction_blind,-4.57649853039,-2.36939921345,-4.12296640605,91a61ead
65,-1.74834078087,-1.64468364908,6_hard_full,-2.70541546536,blocking_blind,-1.80575477078,-1.71882947762,-2.14695267529,91cfd7fb
66,-2.52548809004,-2.62819506241,6_hard_full,-3.04614559361,blocking,-2.56298677081,-2.67601062611,-2.62019191151,92b722f3
67,-2.19570243938,-2.03434016726,6_hard_full,-2.95222688293,interaction_blind,-2.15599795949,-2.01547459742,-2.44829313093,94d6ef33
68,-2.69286327308,-2.87349201114,6_hard_full,-3.37788703458,blocking,-2.77492468072,-2.86104889473,-3.06647627673,94e4c554
69,-3.75647865851,-2.79014933875,6_hard_full,-3.51477902193,interaction_blind,-3.50250314769,-2.6416221168,-3.82249058696,98c4bf54
70,-2.93499596653,-2.89145635024,6_hard_full,-2.48736221188,density,-2.75030373474,-2.89037638128,-3.01530076395,9adbc2df
71,-3.13241866375,-3.71009897329,6_hard_full,-3.08434230928,non-linear,-3.22415027812,-3.66069899483,-3.01060357724,9dc50a3d
72,-2.31822387053,-1.77860687806,6_hard_full,-2.57006311388,interaction_blind,-2.21560659263,-1.75273538965,-2.12476353933,9df60bf8
73,-3.73803434007,-3.68102522526,6_hard_full,-1.84196834272,density,-3.92638618314,-3.86730608694,-4.01228795901,a2f6ba1d
74,-2.5515166459,-1.73047302267,6_hard_full,-2.87310152669,blocking_blind,-2.59489072408,-1.86900152206,-2.69672572143,a3d4c3b2
75,-2.93642809234,-2.71488308603,6_hard_full,-2.74962088946,blocking_blind,-2.94810378979,-2.76738349691,-3.0116757163,a3d5dfda
76,-2.82269879519,-3.28713340507,6_hard_full,-2.84929846136,non-linear,-2.97938300125,-3.19739955543,-2.69202245284,a4c60d7a
77,-1.82621528198,-1.77654250944,6_hard_full,-2.88020478465,interaction_blind,-1.93411345327,-1.76917485212,-2.07710352674,a6f610e1
78,-4.08344514329,-3.80110415563,6_hard_full,-2.98767336741,density,-4.23346816703,-3.76454394854,-3.7502345052,acd61c3d
79,-2.5541350948,-2.22971776107,6_hard_full,-3.0280683396,blocking_blind,-2.66320961676,-2.32453662497,-2.81333416613,ada4c06f
80,-2.98544891608,-2.23457865033,6_hard_full,-3.16007957985,blocking_blind,-2.95909494508,-2.32589335151,-3.11842301495,b0d518a1
81,-2.24205427124,-2.38665617146,6_hard_full,-2.78559714322,interaction,-2.21336823072,-2.3241335439,-2.41043024517,b2d60bc9
82,-1.76918662716,-2.28230833764,6_hard_full,-3.18343857387,blocking,-1.8249903381,-2.25775303886,-2.16858691446,b7a4fe27
83,-2.23705250529,-1.67816730705,6_hard_full,-2.08838958304,interaction_blind,-1.98779305636,-1.48431878928,-2.10796856918,b8e4bf48
84,-1.15137042421,-1.24052495474,6_hard_full,-2.38551809776,blocking,-1.18885369981,-1.29843196596,-1.53288129549,bae515f2
85,-1.56048438509,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,-2.26294819685,-2.1839266743,-2.66218678431,bca5dc5e
86,-3.02830031792,-2.77907093391,6_hard_full,-3.40319480011,blocking_blind,-3.11714353217,-2.89798206283,-3.33238700215,bcdfd2df
87,-1.8467957275,-1.82356995478,6_hard_full,-2.90955574038,blocking_blind,-2.02902606089,-2.04884524026,-2.40712223921,bed50a1d
88,-2.15436006407,-1.83464270389,6_hard_full,-2.6608557725,blocking_blind,-2.14791698128,-1.85607546215,-2.38650971424,bfa60c8b
89,-1.97252122122,-2.0674409146,6_hard_full,-2.93818808151,interaction_blind,-1.94944264981,-1.94745628096,-2.02648718419,bfe4c87d
90,-1.53533712088,-2.06060904567,6_hard_full,-2.64653195557,interaction,-1.51108288869,-2.06975562217,-1.83065899398,c0f60e45
91,-2.66365558316,-2.62093660367,6_hard_full,-2.78501124224,interaction_blind,-2.35211331006,-2.26399896435,-2.67957852702,c5e4c4a5
92,-5.21425101672,-4.3752364403,6_hard_full,-3.38015034399,density,-5.28539557372,-4.53616976418,-5.28939724814,c6b4c141
93,-3.52481383675,-2.73994427239,6_hard_full,-3.015469877,blocking_blind,-3.62969886226,-2.86636015092,-3.44006276794,c6b60d63
94,-2.18540663556,-2.79879749284,6_hard_full,-3.06542779697,blocking,-2.24632451738,-2.81168201368,-2.64591036057,c7a61295
95,-3.32032143591,-1.99372969232,6_hard_full,-2.85776254748,interaction_blind,-3.25080111899,-1.93907029675,-3.36357948508,c7a67aab
96,-2.86192702832,-2.57543962449,6_hard_full,-2.93807466515,interaction_blind,-2.87311744056,-2.51614571018,-2.99583900388,c8a4fa50
97,-1.93528104896,-2.76288917724,6_hard_full,-2.82196165896,blocking,-2.14290181044,-2.80371724948,-2.297165858,c8f4c13d
98,-1.86622243176,-1.82021698011,6_hard_full,-2.81266813549,blocking_blind,-2.28335221031,-2.2226241821,-2.41304937494,cab61023
99,-2.58091263989,-2.10694181888,6_hard_full,-2.83073150785,interaction_blind,-2.52125624694,-2.08480024742,-2.63875927628,cceac8ca
100,-2.63201022651,-2.20233470873,6_hard_full,-2.74359224801,blocking_blind,-2.67199171928,-2.23416233913,-2.52601187579,cee4bfa4
101,-2.99272605415,-2.90859523499,6_hard_full,-3.50173070519,blocking_blind,-3.10554566028,-3.01400721878,-3.39528581777,cfc5dcb3
102,-0.910927858674,-0.853632648796,6_hard_full,-2.78655207551,blocking_blind,-1.6340856809,-1.55409278791,-1.42571439197,d2a60bac
103,-5.23954097472,-3.87721296678,6_hard_full,-3.99737725352,blocking_blind,-5.33455329276,-4.08314561336,-5.2648183117,d8f6387b
104,-2.73254316846,-1.99897878122,6_hard_full,-2.76570369514,interaction_blind,-2.67259593079,-1.803398104,-2.80854402384,dbe71b15
105,-2.71025009978,-1.71435496607,6_hard_full,-2.47573453549,interaction_blind,-2.57676801518,-1.54569504008,-2.67715341724,dcc4f10e
106,-2.00320219542,-2.11752719715,6_hard_full,-2.58445746002,blocking,-2.16500144189,-2.17751179214,-2.07143721746,dfcbf407
107,-2.42043887837,-2.49500252014,6_hard_full,-2.63266336395,non-linear,-2.43355797614,-2.59583623489,-2.41891575083,dfe6bee3
108,-1.04711554331,-1.0190306548,6_hard_full,-2.82826896125,blocking_blind,-1.42353477267,-1.38471209583,-1.60725847322,e0d4bfdf
109,-2.33838665424,-2.23932961332,6_hard_full,-2.44853900562,interaction_blind,-2.02684438114,-1.882391974,-2.67957852702,e9c4c917
110,-3.27061516224,-3.09389337932,6_hard_full,-3.80599361941,blocking_blind,-3.15469697831,-3.25114122643,-3.44632743053,ead61455
111,-2.12650075178,-2.08684591441,6_hard_full,-2.88868895357,blocking_blind,-2.27160100422,-2.23011521868,-2.52682019399,ebc61801
112,-2.6407039688,-2.29808969854,6_hard_full,-2.91146802572,interaction_blind,-2.42955759047,-2.15054828276,-2.66983633041,eec7360c
113,-3.23678930731,-3.32631237965,6_hard_full,-3.53700481869,blocking,-3.3018410944,-3.5187090565,-3.62250511286,efebc5bb
114,-3.81407779348,-2.34829084135,6_hard_full,-2.8830383877,interaction_blind,-3.74641437014,-2.1257085046,-3.75837034476,eff4bf48
115,-1.30058710824,-1.32125700701,6_hard_full,-2.82197166772,blocking,-1.37418851298,-1.43301700186,-1.82650781499,f1e613a1
116,-2.18184014284,-2.23932961332,6_hard_full,-2.60268968544,interaction,-1.87029786975,-1.882391974,-2.40514168132,f1ebd0b7
117,-1.93277384614,-2.01392168904,6_hard_full,-2.92412345349,blocking,-2.10537331551,-2.06891507478,-2.13619304888,f2f60bd9
118,-2.47833669937,-3.04469769608,6_hard_full,-2.75673806697,non-linear,-2.61395919399,-2.95729521264,-2.46116668577,f3dbeb7e
119,-2.27642905632,-2.82553808911,6_hard_full,-2.77084630302,non-linear,-2.41759316373,-2.68100978995,-2.16858477183,f4a6108e
120,-3.24729998452,-3.50502689017,6_hard_full,-3.46689230569,blocking,-3.33614895338,-3.50299276114,-3.27192430997,f6fbf6b1
121,-3.66981726816,-2.32732465046,6_hard_full,-3.08115452157,blocking_blind,-3.59849269577,-2.47231679419,-3.55291598144,f7b4bfae
122,-3.85985111917,-4.69270361917,6_hard_full,-3.83091072736,density,-4.02038758105,-4.48911535504,-4.06507230867,f8d60bcb
123,-3.6209570266,-3.17564936492,6_hard_full,-3.02753768247,non-linear,-3.61605631602,-3.10565957717,-2.97540468703,fac10d6e
124,-3.83444894983,-4.04138661972,6_hard_full,-3.89013461989,non-linear,-3.79314119732,-3.86539100908,-3.73230161481,fac6126a
125,-1.81669195056,-1.91635227035,6_hard_full,-2.89119510503,interaction,-1.81438945424,-1.92071122039,-2.09284999822,fde4bf4b
126,-2.61676133897,-2.78217720982,6_hard_full,-2.31500761299,interaction,-2.30521906587,-2.4252395705,-2.53297505283,ffa4c00b
127,-2.93386292529,-3.06202001106,6_hard_full,-3.23030154814,blocking,-2.9739543543,-3.1448317336,-3.22319167997,fff4bf68
128,-4.60196277582,-1.70375085338,6_hard_pruned,-2.41797445562,interaction_blind,-4.63943066752,-1.54807777093,-4.64411787879,11a64b43
129,-2.05724873794,-2.00417209454,6_hard_pruned,-2.25092436278,interaction_blind,-2.0578277311,-1.87402674371,-1.9004988536,11a64d17
130,-2.00923047831,-2.13764697471,6_hard_pruned,-2.94482942658,blocking,-2.03777527679,-2.1196559447,-2.0945442712,11e652f7
131,-1.0855454751,-1.73537461939,6_hard_pruned,-2.50231457414,blocking,-1.28671550721,-1.74052626383,-1.41319126891,14d64999
132,-1.24797067476,-1.64191522334,6_hard_pruned,-2.94738253509,blocking,-1.39687816595,-1.83196949022,-1.80237262572,16d516ad
133,-1.35534697513,-1.29661831962,6_hard_pruned,-2.95017490404,blocking_blind,-1.6330872429,-1.53128484752,-1.71064641201,1dac01e7
134,-2.95834887624,-2.39432942765,6_hard_pruned,-3.04681655553,blocking_blind,-3.16211749353,-2.54793061644,-3.03852391573,25b4e27c
135,-2.05118022183,-1.93365325933,6_hard_pruned,-2.5802667521,interaction_blind,-2.02189770444,-1.86464950557,-1.93780263502,25cfdeaf
136,-2.04843147029,-1.61538514397,6_hard_pruned,-1.95621020642,interaction_blind,-1.70663069079,-1.42060046734,-2.04811051981,28e6483c
137,-2.86243451154,-2.27494901295,6_hard_pruned,-3.09795697114,blocking_blind,-2.92058835641,-2.50086235792,-2.82176008606,2ab4ecbb
138,-2.32205431358,-2.3294665015,6_hard_pruned,-2.84966747681,blocking,-2.45541263053,-2.37253423298,-2.47746931657,2afbbf79
139,-3.076305803,-1.91157934972,6_hard_pruned,-2.59829111085,interaction_blind,-2.76680307866,-1.75734954575,-2.62367074602,2ca66220
140,-2.08693838457,-1.61581443465,6_hard_pruned,-2.87293630093,blocking_blind,-2.2360296551,-1.77396451562,-2.4102298429,2cb650ed
141,-2.58504843797,-2.48981447608,6_hard_pruned,-2.47552030648,interaction,-2.30820573081,-2.36563800284,-2.34270241416,2fa647f5
142,-2.04770554159,-1.77441197598,6_hard_pruned,-2.64053199194,blocking_blind,-2.10407225646,-1.86162850213,-2.13727319648,2ff50f64
143,-2.90239474408,-2.87453523179,6_hard_pruned,-3.12765971269,interaction,-2.8681549623,-2.938639257,-3.03042681746,30c4e230
144,-3.89226036492,-2.8751880607,6_hard_pruned,-2.93547765245,interaction_blind,-4.02425153812,-2.73962382327,-3.54088228921,30e4feac
145,-2.58165281368,-2.11508285836,6_hard_pruned,-1.92716689445,density,-2.28441476692,-1.95276229451,-2.4859742073,33e649bd
146,-0.628536256572,-0.591490871654,6_hard_pruned,-2.72931509306,blocking_blind,-0.798700783447,-0.755768534537,-1.28704228373,3ad4e7d3
147,-2.05883694247,-2.02796578837,6_hard_pruned,-2.69821694767,blocking_blind,-2.20064071487,-2.16486384078,-2.6075919651,3ef64929
148,-1.51750743221,-1.41204639649,6_hard_pruned,-2.57768838324,blocking_blind,-2.2340433067,-2.09342135547,-2.74412625758,3fa64b7b
149,-2.34130013718,-1.92241335798,6_hard_pruned,-1.93751221769,interaction_blind,-2.02226074717,-1.75476676578,-2.16987962338,40e4e2b8
150,-2.74046441734,-2.77351260644,6_hard_pruned,-2.90470652645,blocking,-2.79936014368,-2.79232883875,-2.78257577716,43e64821
151,-2.32291824247,-1.69656550123,6_hard_pruned,-2.21662241055,interaction_blind,-2.05667894641,-1.48066988242,-2.15628918375,44a65230
152,-1.62412291223,-1.77107203869,6_hard_pruned,-2.19242808032,interaction,-1.44262310049,-1.60646833623,-1.7132449115,45b64f9c
153,-2.06099652371,-1.63481642857,6_hard_pruned,-1.91974589506,interaction_blind,-1.70741924194,-1.43012118333,-2.04855099472,49c72e9b
154,-2.46088213033,-3.29873741135,6_hard_pruned,-2.62342455873,blocking,-2.81592716746,-3.38260698363,-2.72110069137,4bca7fc9
155,-2.27405033953,-2.17686312264,6_hard_pruned,-2.42353770341,interaction_blind,-1.93791840141,-1.79188665516,-2.59289528785,4ca649a6
156,-2.35108289808,-2.72755057838,6_hard_pruned,-2.8619096667,non-linear,-2.48586035148,-2.68136139675,-2.25286109344,4ca65156
157,-2.7128490332,-1.81982709577,6_hard_pruned,-2.57594387082,interaction_blind,-2.67528784512,-1.70457361601,-2.87867642166,4cb651bd
158,-2.27446673408,-1.82984312582,6_hard_pruned,-2.75358729051,blocking_blind,-2.41291561934,-1.87780843825,-2.56303622295,4ed4e40b
159,-2.10944880168,-2.03531700564,6_hard_pruned,-2.86576372436,blocking_blind,-2.18884334288,-2.13269760789,-2.1944588845,4ee64c2a
160,-1.93325587391,-2.70020125999,6_hard_pruned,-2.59926792006,non-linear,-2.00919760818,-2.48705300574,-1.93193411972,51a4e32d
161,-3.39139071749,-2.80005518181,6_hard_pruned,-3.12110823004,blocking_blind,-3.61433738199,-2.90494528897,-3.80855113195,53a654e5
162,-3.03182783091,-2.7758037047,6_hard_pruned,-2.72993878371,density,-2.98880136885,-2.75044316604,-3.17494996861,53d65632
163,-2.33513452492,-2.61690919779,6_hard_pruned,-2.97631589581,blocking,-2.44775406459,-2.51416452773,-2.42230274865,59d4e268
164,-2.52664055229,-2.47553769871,6_hard_pruned,-2.52451299768,interaction_blind,-2.52485541077,-2.47325043482,-2.73523850215,5adff9a5
165,-1.58889168892,-1.71804138419,6_hard_pruned,-2.44921327439,interaction,-1.52184597841,-1.69259233782,-1.71162142589,5dbfe29c
166,-0.798033430496,-0.763897742721,6_hard_pruned,-2.50223681702,blocking_blind,-0.921141642575,-0.881258659391,-1.32232529845,5dd4e3a2
167,-3.35789600487,-3.68595288413,6_hard_pruned,-2.86200282508,density,-3.34898949784,-3.54646132372,-3.34523891174,5fa651bb
168,-3.08483950616,-2.81647128437,6_hard_pruned,-3.19492171769,blocking_blind,-3.09772120965,-2.9110825017,-3.21617949248,61e65cc1
169,-4.1182860545,-3.07157851686,6_hard_pruned,-3.65583403464,interaction_blind,-4.12687597127,-2.84952245653,-3.72279619629,65afea1f
170,-1.07202351584,-1.03883566438,6_hard_pruned,-2.12377302362,blocking_blind,-1.12427369463,-1.08523486336,-1.38060221414,65e519cb
171,-3.06940197968,-2.48753550571,6_hard_pruned,-3.02711798287,interaction_blind,-2.97697917779,-2.48358661671,-3.16057595155,65f4e348
172,-2.95860584071,-2.72435914098,6_hard_pruned,-3.46461307203,interaction_blind,-2.93746253213,-2.67892656991,-3.23278608939,67f4ea8a
173,-3.56714464972,-2.15188146143,6_hard_pruned,-2.52719735706,interaction_blind,-3.43566204775,-2.04920001334,-3.46614316089,67f64a50
174,-2.6895309973,-2.01205137917,6_hard_pruned,-2.67148328046,blocking_blind,-2.81228570071,-2.22347459448,-2.63329238664,68c659b8
175,-0.919102840441,-0.887045507769,6_hard_pruned,-2.34003804842,blocking_blind,-1.00859939909,-0.970894462857,-1.34752745182,6bb10472
176,-2.60761414588,-3.49282529852,6_hard_pruned,-3.12986941119,blocking,-2.8366954307,-3.67425327585,-3.00657313949,6bb4e746
177,-2.39773808767,-2.19460370804,6_hard_pruned,-2.72104770674,interaction_blind,-2.45944423894,-2.15441334512,-2.21617419568,6dd103e2
178,-3.00646035626,-2.47498968205,6_hard_pruned,-3.07961383241,blocking_blind,-3.02811052614,-2.59707452644,-2.98661532594,6de4e267
179,-1.51750743221,-1.41204639649,6_hard_pruned,-2.57768838324,blocking_blind,-2.2340433067,-2.09342135547,-2.74412625758,74e11ee8
180,-4.35868121358,-3.72130210938,6_hard_pruned,-3.06866640093,density,-3.96820749166,-3.38650259324,-3.20792694649,7da4f147
181,-1.67267289032,-1.78713939263,6_hard_pruned,-2.48018810467,blocking,-1.6831820754,-1.69668462164,-1.80837000565,7dd704e0
182,-2.94749949195,-3.18796617884,6_hard_pruned,-3.0219884927,non-linear,-2.96393356825,-3.03970266585,-2.82118036914,7df4e828
183,-0.908167577479,-0.871093826183,6_hard_pruned,-2.34003804842,blocking_blind,-1.00739591075,-0.964242171849,-1.34684845474,80f4e933
184,-1.02159585031,-1.16094081873,6_hard_pruned,-2.4022736293,interaction,-1.00155218485,-1.09587012417,-1.17016060389,81c11c9f
185,-3.1123654609,-2.39837664021,6_hard_pruned,-3.00061411173,interaction_blind,-3.10202052303,-2.32983382822,-3.31721356776,82a4e284
186,-2.68125618068,-2.07706425493,6_hard_pruned,-2.38334306613,interaction_blind,-2.45089706532,-1.90261075375,-2.30641038113,83c64bf9
187,-2.53929214453,-2.34532014752,6_hard_pruned,-2.72451033474,interaction_blind,-2.47141623932,-2.30842105775,-2.54485583199,84f4e263
188,-1.74136000498,-1.79618406999,6_hard_pruned,-2.7288861588,blocking,-1.84071996938,-1.92279173166,-1.74283014302,85b4e5c4
189,-2.2376268227,-1.62972188647,6_hard_pruned,-2.4514425547,blocking_blind,-2.21641165584,-1.6363907946,-2.23655699215,92a74a76
190,-2.43668480399,-2.36766661782,6_hard_pruned,-2.59177382172,interaction_blind,-2.10055286587,-1.98269015034,-2.59289528785,95a648a3
191,-1.62600302701,-1.89113459736,6_hard_pruned,-2.57758944114,interaction,-1.59492865348,-1.7728333977,-1.61886215289,9be4eb1b
192,-4.75996848706,-2.7068729668,6_hard_pruned,-3.42800102212,interaction_blind,-4.78497022137,-2.70386998376,-4.85963547801,9dd66bae
193,-2.75719274321,-3.00459790611,6_hard_pruned,-2.688955743,density,-2.69283150593,-2.96988487572,-3.00697957852,a0d659c9
194,-3.26764613706,-3.11749147632,6_hard_pruned,-3.19042552812,blocking_blind,-3.40101255544,-3.17855381381,-3.30338751956,a0f4f1bf
195,-2.64909338545,-2.08431788786,6_hard_pruned,-2.54251479683,interaction_blind,-2.34919100469,-1.87867814922,-2.50853014782,a1e4e2c3
196,-2.13924220612,-1.7924688435,6_hard_pruned,-2.70271658489,interaction_blind,-1.87747674597,-1.53435133026,-2.52204031991,a2ebe618
197,-3.28080941316,-2.71345010993,6_hard_pruned,-1.84089639023,density,-3.27494138167,-2.55287862105,-3.00696332459,a3b4e28e
