,condition,entropy
240,Full,1.3954509188622728
241,Truncated,2.3671901758509697
242,Full,1.4568909907967664
243,Truncated,2.3900263485288713
244,Full,1.4217477302626407
245,Truncated,2.3762969347203464
246,Full,1.5251167538566441
247,Truncated,2.4424035742025474
248,Full,1.3363921289040583
249,Truncated,2.446238462808273
250,Full,1.3826526012254532
251,Truncated,2.448509368461038
252,Full,1.3798845736033751
253,Truncated,2.427540877270676
254,Full,1.422257332076002
255,Truncated,2.4241358556200674
256,Full,1.3646197613745668
257,Truncated,2.3966091474840816
258,Full,1.3357662103838464
259,Truncated,2.4116003985870647
260,Full,1.363189520248551
261,Truncated,2.435359730580319
262,Full,1.4774817481703777
263,Truncated,2.4049970007367003
264,Full,1.4827332546394953
265,Truncated,2.402228304595188
266,Full,1.4382868648467222
267,Truncated,2.431321022356137
268,Full,1.385098452679117
269,Truncated,2.414981918526039
270,Full,1.3336323273997113
271,Truncated,2.438299562587287
272,Full,1.4944071363375655
273,Truncated,2.4180133743139236
274,Full,1.4157764461713387
275,Truncated,2.4073878837159057
276,Full,1.4621738387261676
277,Truncated,2.3921893137572594
278,Full,1.4781264970486176
279,Truncated,2.404866923815761
280,Full,1.2947225065654848
281,Truncated,2.405848576845975
282,Full,1.4828906597479488
283,Truncated,2.4090715158805662
284,Full,1.4636306241115773
285,Truncated,2.3831302105419825
286,Full,1.418813299354823
287,Truncated,2.3893682195733392
288,Full,1.4568921091053224
289,Truncated,2.4420847145339324
290,Full,1.3854304059507212
291,Truncated,2.4083731546852607
292,Full,1.4740422132898847
293,Truncated,2.420608992043891
294,Full,1.4921017015584086
295,Truncated,2.4504968807303973
296,Full,1.372839622692129
297,Truncated,2.4231251422495004
298,Full,1.3766833111640309
299,Truncated,2.3893647957276976
300,Full,1.42961209044585
301,Truncated,2.3884502284795945
302,Full,1.4862520666293944
303,Truncated,2.457462461878357
304,Full,1.4311134444636258
305,Truncated,2.421999873921389
306,Full,1.5014801084121223
307,Truncated,2.3759300133012897
308,Full,1.424336936407169
309,Truncated,2.4086169511441637
310,Full,1.3524015026137834
311,Truncated,2.416502153870345
312,Full,1.4351542815902456
313,Truncated,2.438726817041458
314,Full,1.3926193826904822
315,Truncated,2.3942264546744685
316,Full,1.4769106828320713
317,Truncated,2.41642033448312
318,Full,1.4618394331567615
319,Truncated,2.40606966995357
320,Full,1.469445884128681
321,Truncated,2.384410542430278
322,Full,1.4904473761569477
323,Truncated,2.408354639414436
324,Full,1.3966429682611536
325,Truncated,2.40731601277145
326,Full,1.3551592123838354
327,Truncated,2.418306949895917
328,Full,1.3886921442195546
329,Truncated,2.4131351722965193
330,Full,1.3574364342035592
331,Truncated,2.423468111092794
332,Full,1.4174847320173902
333,Truncated,2.4622480829178786
334,Full,1.4363493539120318
335,Truncated,2.4020679292584157
336,Full,1.3723911328990348
337,Truncated,2.4427358183209895
338,Full,1.395134267787495
339,Truncated,2.450392052748506
340,Full,1.4625888232685875
341,Truncated,2.3850000267081177
342,Full,1.3836943675767484
343,Truncated,2.4314666537971137
344,Full,1.3431687764199962
345,Truncated,2.379017563647163
346,Full,1.4731017778548672
347,Truncated,2.414494821933131
348,Full,1.2192838495159588
349,Truncated,2.431465463742756
350,Full,1.4349284373914641
351,Truncated,2.4537518137799816
352,Full,1.4383068036141862
353,Truncated,2.3984743819057477
354,Full,1.4292370077846208
355,Truncated,2.4010236833088534
356,Full,1.429523931138738
357,Truncated,2.4179322293398116
358,Full,1.565277389775203
359,Truncated,2.4212841667751683
360,Full,1.4433072947172798
361,Truncated,2.3639124278510932
362,Full,1.4122976688015894
363,Truncated,2.3786186372666167
364,Full,1.2938762066714387
365,Truncated,2.367814338102
366,Full,1.3886849284193903
367,Truncated,2.4007501177321635
368,Full,1.361131853542609
369,Truncated,2.3912670178471265
370,Full,1.3204526539695973
371,Truncated,2.3751755359329842
372,Full,1.4434885954353753
373,Truncated,2.40382003594694
374,Full,1.5254014955559454
375,Truncated,2.428890703246314
376,Full,1.345974228860186
377,Truncated,2.43980147872933
378,Full,1.4676810051502218
379,Truncated,2.449566804665372
380,Full,1.3637407010586777
381,Truncated,2.415358125087247
382,Full,1.3390691304714994
383,Truncated,2.369071349616481
384,Full,1.4071589521253276
385,Truncated,2.424515919125485
386,Full,1.431084271744092
387,Truncated,2.385171613940623
388,Full,1.381178496657642
389,Truncated,2.4465772206992873
390,Full,1.4089049321896698
391,Truncated,2.4281622272574035
392,Full,1.3794376557811034
393,Truncated,2.3840341062528814
394,Full,1.5057458021730203
395,Truncated,2.422315958721307
396,Full,1.4474768435868224
397,Truncated,2.4085867318735183
398,Full,1.3515854241763243
399,Truncated,2.4553623590178697
400,Full,1.4183777294156823
401,Truncated,2.3725881361292114
402,Full,1.4097328229006458
403,Truncated,2.433203973357572
404,Full,1.3952787237549837
405,Truncated,2.4194850155034433
406,Full,1.4233346492132875
407,Truncated,2.422214980029701
408,Full,1.5082992564998885
409,Truncated,2.389748745760355
