userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,time_rel_sec,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,position,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,344643,344.643,1,-10000,0,-10000,-10000,21,2_2,0.278,0.278,click,37,5,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,354663,354.663,2,0.843856293,5,10000,10000,20,3_0,10.02,10.02,click,38,6,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,357719,357.719,,,,,,,3_0,3.056,3.056,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,358174,358.174,,,,,,,2_2,0.455,3.511,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,361080,361.08,,,,,,,2_3,2.906,6.417,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,362672,362.672,,,,,,,2_4,1.592,8.009,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,363129,363.129,1,-10000,1,7.692225057,-10000,23,2_3,0.457,8.466,undo,39,3,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,366788,366.788,2,1.5,7,10000,10000,22,5_3,3.659,3.659,click,40,4,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,367052,367.052,1,10.77548753,4,10000,10000,21,5_2,0.264,0.264,click,41,5,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,369424,369.424,,,,,,,5_2,2.372,2.372,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,369552,369.552,,,,,,,5_3,0.128,2.5,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,371811,371.811,2,1.5,7,10000,10000,22,5_3,2.259,4.759,undo,42,4,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,372079,372.079,1,10.77548753,4,10000,10000,21,5_2,0.268,0.268,click,43,5,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,373413,373.413,2,0.843856293,9,10000,10000,20,3_0,1.334,1.334,click,44,6,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,374560,374.56,,,,,,,3_0,1.147,1.147,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,376659,376.659,2,0.843856293,9,10000,10000,20,3_0,2.099,3.246,undo,45,6,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,377067,377.067,1,0.361111111,11,10000,10000,19,0_3,0.408,0.408,click,46,7,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,380932,380.932,2,10000,0,10000,10000,18,2_2,3.865,3.865,click,47,8,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,382616,382.616,1,-10000,0,-10000,-10000,17,4_4,1.684,1.684,click,48,9,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,391271,391.271,2,1.109481293,4,10000,10000,16,3_4,8.655,8.655,click,49,10,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,391512,391.512,1,-10000,0,-10000,-10000,15,4_5,0.241,0.241,click,50,11,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,397527,397.527,2,0.5,5,10000,10000,14,0_2,6.015,6.015,click,51,12,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,397946,397.946,1,-10000,0,-10000,-10000,13,0_5,0.419,0.419,click,52,13,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,400599,400.599,,,,,,,0_5,2.653,2.653,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,400716,400.716,,,,,,,0_2,0.117,2.77,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,402802,402.802,2,0.5,5,10000,10000,14,0_2,2.086,4.856,undo,53,12,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,403269,403.269,1,-10000,0,-10000,-10000,13,0_5,0.467,0.467,click,54,13,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,404476,404.476,2,0.5,5,10000,10000,12,1_4,1.207,1.207,click,55,14,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,405604,405.604,1,-10000,0,-10000,-10000,11,3_2,1.128,1.128,click,56,15,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,407889,407.889,2,0.25,6,10000,10000,10,4_3,2.285,2.285,click,57,16,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,409740,409.74,1,0,7,10000,10.14,9,1_0,1.851,1.851,click,58,17,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,420830,420.83,2,10000,0,10000,10000,8,2_4,11.09,11.09,click,59,18,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,421093,421.093,1,1.75,1,10000,1.75,7,3_5,0.263,0.263,click,60,19,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,424073,424.073,2,2.03,2,10000,10000,6,2_5,2.98,2.98,click,61,20,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,430371,430.371,1,10000,0,10000,1,5,5_0,6.298,6.298,click,62,21,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,432338,432.338,,,,,,,5_0,1.967,1.967,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,432740,432.74,,,,,,,2_5,0.402,2.369,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,433592,433.592,2,1,3,10000,10000,6,5_0,0.852,3.221,undo,63,20,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,434072,434.072,1,-10000,0,-10000,-10000,5,2_5,0.48,0.48,click,64,21,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,450524,450.524,,,,,,,2_5,16.452,16.452,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,451180,451.18,,,,,,,5_0,0.656,17.108,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,452965,452.965,,,,,,,3_5,1.785,18.893,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,453939,453.939,,,,,,,2_4,0.974,19.867,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,457826,457.826,2,1.333333333,2,10000,10000,8,3_5,3.887,23.754,undo,65,18,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,458236,458.236,1,10000,0,10000,10000,7,2_4,0.41,0.41,click,66,19,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,468586,468.586,2,1,1,10000,1,6,5_0,10.35,10.35,click,67,20,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,474683,474.683,,,,,,,,6.097,6.097,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,479921,479.921,1,5.207121599,4,8.430386905,7.208754252,25,4_2,5.238,11.335,reset,68,1,TRUE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,480152,480.152,2,1.425453515,8,10000,10000,24,3_2,0.231,0.231,click,69,2,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,484322,484.322,1,2.083333333,4,10000,6.578231293,23,3_0,4.17,4.17,click,70,3,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,484682,484.682,2,-10000,1,6.611111111,-10000,22,5_3,0.36,0.36,click,71,4,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,490346,490.346,1,10000,0,10000,10000,21,0_3,5.664,5.664,click,72,5,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,493545,493.545,,,,,,,0_3,3.199,3.199,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,494209,494.209,,,,,,,5_3,0.664,3.863,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,498397,498.397,2,6.611111111,0,6.611111111,-10000,22,0_3,4.188,8.051,undo,73,4,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,499349,499.349,1,-10000,1,8.292223639,-10000,21,5_3,0.952,0.952,click,74,5,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,500016,500.016,2,2.506944444,7,10000,10000,20,2_0,0.667,0.667,click,75,6,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,511248,511.248,1,-10000,1,7.025487528,-10000,19,4_3,11.232,11.232,click,76,7,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,512649,512.649,2,10000,0,10000,10000,18,2_3,1.401,1.401,click,77,8,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,514566,514.566,,,,,,,2_3,1.917,1.917,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,514677,514.677,,,,,,,4_3,0.111,2.028,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,515197,515.197,1,7.025487528,0,7.025487528,-10000,19,2_3,0.52,2.548,undo,78,7,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,515508,515.508,2,1.332743764,7,10000,10000,18,4_3,0.311,0.311,click,79,8,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,516750,516.75,1,0,9,6.820590986,6.262223639,17,4_0,1.242,1.242,click,80,9,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,reset,1.51362E+12,525507,525.507,,,,,,,,8.757,8.757,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,530473,530.473,1,2.955488946,5,8.430386905,7.208754252,25,4_3,4.966,13.723,reset,81,1,TRUE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,533399,533.399,2,1.680555556,6,10000,11.90784722,24,2_3,2.926,2.926,click,82,2,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,533767,533.767,1,6.611111111,0,6.611111111,-10000,23,0_3,0.368,0.368,click,83,3,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,537478,537.478,2,1,0,1,-10000,22,3_0,3.711,3.711,click,84,4,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,544477,544.477,1,10000,0,10000,10.09895833,21,4_2,6.999,6.999,click,85,5,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,546466,546.466,2,-10000,0,-10000,-10000,20,4_4,1.989,1.989,click,86,6,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,549852,549.852,1,10000,0,10000,10000,19,4_0,3.386,3.386,click,87,7,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,578904,578.904,,,,,,,4_0,29.052,29.052,click,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,undo,1.51362E+12,579778,579.778,,,,,,,4_4,0.874,29.926,undo,,,,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,581314,581.314,2,-10000,0,-10000,-10000,20,4_0,1.536,31.462,undo,88,6,FALSE,1.51362E+12
f6fbf6b1,6_hard_full,6,hard,full,wrong,click,1.51362E+12,581653,581.653,1,10000,0,10000,10000,19,4_4,0.339,0.339,click,89,7,FALSE,1.51362E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,83992,83.992,1,5.457121599,3,8.430386905,7.208754252,25,2_2,83.968,0,,1,1,TRUE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,91842,91.842,2,1.582743764,8,10000,12.23947988,24,0_2,7.85,7.85,click,2,2,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,102661,102.661,1,2.14,6,10000,18.08548753,23,0_3,10.819,10.819,click,3,3,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,106456,106.456,2,1,0,1,-10000,22,3_0,3.795,3.795,click,4,4,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,reset,1.51192E+12,122170,122.17,,,,,,,,15.714,15.714,click,,,,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,128235,128.235,1,0.553854875,16,8.430386905,7.208754252,25,5_0,6.065,21.779,reset,5,1,TRUE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,132718,132.718,2,1.267467404,11,10000,10000,24,3_2,4.483,4.483,click,6,2,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,142202,142.202,1,1.332743764,7,5.972222222,5.692743764,23,4_0,9.484,9.484,click,7,3,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,153127,153.127,2,1.332743764,12,10000,10000,22,3_0,10.925,10.925,click,8,4,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,162918,162.918,1,2.233856293,3,6.902223639,3.845488946,21,2_2,9.791,9.791,click,9,5,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,184650,184.65,2,1.819479875,6,10000,12.23947988,20,4_2,21.732,21.732,click,10,6,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,reset,1.51192E+12,192656,192.656,,,,,,,,8.006,8.006,click,,,,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,195993,195.993,1,0.710069444,12,8.430386905,7.208754252,25,5_2,3.337,11.343,reset,11,1,TRUE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,198721,198.721,2,0.25,13,10000,10000,24,3_0,2.728,2.728,click,12,2,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,200209,200.209,1,0.361111111,15,9.088752834,8.430386905,23,5_0,1.488,1.488,click,13,3,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,203367,203.367,2,1.491461168,9,10000,10000,22,3_2,3.158,3.158,click,14,4,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,207553,207.553,1,0.361111111,12,3.845488946,3.387120181,21,4_0,4.186,4.186,click,15,5,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,209111,209.111,2,10000,0,10000,10000,20,2_2,1.558,1.558,click,16,6,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,211115,211.115,1,-10000,0,-10000,-10000,19,2_0,2.004,2.004,click,17,7,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,220410,220.41,2,2.582743764,7,10000,10000,18,4_2,9.295,9.295,click,18,8,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,undo,1.51192E+12,229738,229.738,,,,,,,4_2,9.328,9.328,click,,,,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,233872,233.872,2,0,14,10000,10000,18,0_5,4.134,13.462,undo,19,8,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,undo,1.51192E+12,236183,236.183,,,,,,,0_5,2.311,2.311,click,,,,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,reset,1.51192E+12,237155,237.155,,,,,,,,0.972,3.283,undo,,,,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,238222,238.222,1,0.651112528,13,8.430386905,7.208754252,25,0_5,1.067,4.35,reset,20,1,TRUE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,250990,250.99,2,6.39,4,10000,10000,24,0_3,12.768,12.768,click,21,2,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,255590,255.59,1,14.58875283,0,14.58875283,-10000,23,2_3,4.6,4.6,click,22,3,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,258100,258.1,2,0.774376417,12,10000,10000,22,1_4,2.51,2.51,click,23,4,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,263963,263.963,1,10000,0,10000,15.58385488,21,2_2,5.863,5.863,click,24,5,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,265742,265.742,2,-10000,0,-10000,-10000,20,2_0,1.779,1.779,click,25,6,FALSE,1.51192E+12
fac10d6e,6_hard_full,6,hard,full,wrong,click,1.51192E+12,267255,267.255,1,10000,0,10000,10000,19,2_4,1.513,1.513,click,26,7,FALSE,1.51192E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,68466,68.466,1,5.361111111,3,7.458754252,7.208754252,23,0_2,68.454,0,,1,1,TRUE,1.5112E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,79083,79.083,2,0,0,0,-10000,22,0_5,10.617,10.617,click,2,2,FALSE,1.5112E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,83180,83.18,1,17.79385629,0,17.79385629,13.09548895,21,3_2,4.097,4.097,click,3,3,FALSE,1.5112E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,86872,86.872,2,10000,0,10000,-10000,20,2_2,3.692,3.692,click,4,4,FALSE,1.5112E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,101627,101.627,1,-10000,0,-10000,-10000,19,1_4,14.755,14.755,click,5,5,FALSE,1.5112E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,103971,103.971,2,12.03111111,2,10000,10000,18,2_4,2.344,2.344,click,6,6,FALSE,1.5112E+12
16d516ad,6_hard_pruned,6,hard,pruned,wrong,click,1.5112E+12,104487,104.487,1,10000,0,10000,10.76222364,17,2_3,0.516,0.516,click,7,7,FALSE,1.5112E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,25783,25.783,1,1.737847222,7,7.458754252,7.208754252,23,0_5,25.77,0,,1,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,27455,27.455,2,1.611111111,0,1.611111111,-10000,22,0_2,1.672,1.672,click,2,2,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,32721,32.721,,,,,,,0_2,5.266,5.266,click,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,34016,34.016,,,,,,,0_5,1.295,6.561,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,35007,35.007,1,5.361111111,3,7.458754252,7.208754252,23,0_2,0.991,7.552,undo,3,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,40383,40.383,2,0,0,0,-10000,22,0_5,5.376,5.376,click,4,2,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,42823,42.823,1,13.09548895,1,17.79385629,13.09548895,21,2_2,2.44,2.44,click,5,3,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,48601,48.601,,,,,,,2_2,5.778,5.778,click,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,49496,49.496,,,,,,,0_5,0.895,6.673,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,49825,49.825,,,,,,,0_2,0.329,7.002,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,445504,445.504,1,5.361111111,3,7.458754252,7.208754252,23,0_2,395.679,402.681,undo,6,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,446520,446.52,2,0,0,0,-10000,22,0_5,1.016,1.016,click,7,2,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,450264,450.264,1,13.09548895,1,17.79385629,13.09548895,21,2_2,3.744,3.744,click,8,3,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,455552,455.552,2,8.157467404,0,8.157467404,-10000,20,3_2,5.288,5.288,click,9,4,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,456844,456.844,1,0.472222222,7,10000,7.152223639,19,4_0,1.292,1.292,click,10,5,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,462302,462.302,,,,,,,4_0,5.458,5.458,click,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,462994,462.994,,,,,,,3_2,0.692,6.15,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,463513,463.513,,,,,,,2_2,0.519,6.669,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,463925,463.925,,,,,,,0_5,0.412,7.081,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,464477,464.477,,,,,,,0_2,0.552,7.633,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,473500,473.5,1,5.361111111,3,7.458754252,7.208754252,23,0_2,9.023,16.656,undo,11,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,475860,475.86,2,0,0,0,-10000,22,0_5,2.36,2.36,click,12,2,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,480708,480.708,1,13.09548895,1,17.79385629,13.09548895,21,2_2,4.848,4.848,click,13,3,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,481916,481.916,2,8.157467404,0,8.157467404,-10000,20,3_2,1.208,1.208,click,14,4,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,490852,490.852,1,5.598958333,2,10000,7.152223639,19,2_0,8.936,8.936,click,15,5,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,493196,493.196,2,10000,0,10000,-10000,18,2_3,2.344,2.344,click,16,6,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,496032,496.032,1,-10000,0,-10000,-10000,17,4_3,2.836,2.836,click,17,7,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,499814,499.814,,,,,,,4_3,3.782,3.782,click,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,500325,500.325,,,,,,,2_3,0.511,4.293,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,500581,500.581,,,,,,,2_0,0.256,4.549,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,500749,500.749,,,,,,,3_2,0.168,4.717,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,500925,500.925,,,,,,,2_2,0.176,4.893,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,501101,501.101,,,,,,,0_5,0.176,5.069,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,501284,501.284,,,,,,,0_2,0.183,5.252,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,504055,504.055,1,1.737847222,7,7.458754252,7.208754252,23,0_5,2.771,8.023,undo,18,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,504891,504.891,2,1.611111111,0,1.611111111,-10000,22,0_2,0.836,0.836,click,19,2,FALSE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,512453,512.453,,,,,,,0_2,7.562,7.562,click,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,512932,512.932,,,,,,,0_5,0.479,8.041,undo,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,513807,513.807,1,7.208754252,1,7.458754252,7.208754252,23,3_2,0.875,8.916,undo,20,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,undo,1.51362E+12,516054,516.054,,,,,,,3_2,2.247,2.247,click,,,,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,522421,522.421,1,5.361111111,3,7.458754252,7.208754252,23,0_2,6.367,8.614,undo,21,1,TRUE,1.51362E+12
1dac01e7,6_hard_pruned,6,hard,pruned,wrong,click,1.51362E+12,525044,525.044,2,0,0,0,-10000,22,0_5,2.623,2.623,click,22,2,FALSE,1.51362E+12
