,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
43,6_hard_full,blocking_dens,-2.70791930044,-2.62771813395,-2.19854234701,-2.92277156409,-2.19854234701,-2.62771813395,-2.32061455553,a3d4c3b2
44,6_hard_full,linear,-2.84134487145,-2.85611364094,-2.87518922559,-3.11232159087,-2.87518922559,-2.85611364094,-2.90461247959,a3d5dfda
45,6_hard_full,blocking_dens,-2.28685647952,-2.2145039512,-2.10112941549,-2.3618606344,-2.10112941549,-2.2145039512,-2.1773517821,a6f610e1
46,6_hard_full,density,-4.53539874685,-4.66980738184,-4.01867031825,-3.75275963099,-4.01867031825,-4.66980738184,-3.90586071057,acd61c3d
47,6_hard_full,blocking_dens,-2.85304901767,-2.83931923295,-2.55576213406,-2.98064096757,-2.55576213406,-2.83931923295,-2.60671417501,ada4c06f
48,6_hard_full,blocking_dens,-3.01194041658,-2.9563425807,-2.60605585152,-3.30933867315,-2.60605585152,-2.9563425807,-2.69154636665,b0d518a1
49,6_hard_full,blocking,-2.4541972914,-2.42607895632,-2.68979907264,-2.6612976832,-2.68979907264,-2.42607895632,-2.70851795573,b2d60bc9
50,6_hard_full,blocking_dens,-1.79036786275,-1.66815567058,-1.35750216037,-1.57470958013,-1.35750216037,-1.66815567058,-1.47849267909,bae515f2
51,6_hard_full,linear,-3.38131239026,-3.43204746369,-3.38818364331,-3.66618721903,-3.38818364331,-3.43204746369,-3.38992069285,bcdfd2df
52,6_hard_full,blocking,-2.27336970343,-1.98500991618,-2.06120060907,-2.50034549045,-2.06120060907,-1.98500991618,-2.3498534822,bed50a1d
53,6_hard_full,blocking_dens,-2.20875101522,-2.09592870464,-1.91756591496,-2.35051111081,-1.91756591496,-2.09592870464,-2.08898257672,bfa60c8b
54,6_hard_full,blocking_dens,-2.49989325499,-2.45123908468,-2.2118871527,-2.29636160374,-2.2118871527,-2.45123908468,-2.26282162138,bfe4c87d
55,6_hard_full,density,-2.46499879778,-2.40331297554,-2.41766916061,-1.90444708567,-2.41766916061,-2.40331297554,-2.48270159219,c0f60e45
56,6_hard_full,blocking_dens,-5.02791050154,-4.9073287024,-4.30282268981,-5.0948738201,-4.30282268981,-4.9073287024,-4.47426624233,c6b4c141
57,6_hard_full,blocking_dens,-3.1235290092,-3.19166691048,-2.87131889537,-3.72181906463,-2.87131889537,-3.19166691048,-2.87636132668,c6b60d63
58,6_hard_full,linear,-2.57990566047,-2.59406026029,-2.89032483772,-2.81158960584,-2.89032483772,-2.59406026029,-2.88426065295,c7a61295
59,6_hard_full,blocking_dens,-2.44441644149,-2.49912726497,-2.3493664655,-3.59864132225,-2.3493664655,-2.49912726497,-2.36883077799,c7a67aab
60,6_hard_full,linear,-2.6989912582,-2.71249198144,-2.79008514346,-3.22995510571,-2.79008514346,-2.71249198144,-2.80849888026,c8a4fa50
61,6_hard_full,density,-2.7985375842,-2.86537060282,-3.13943773759,-2.47856293852,-3.13943773759,-2.86537060282,-3.10616202741,c8f4c13d
62,6_hard_full,blocking_dens,-2.77351705053,-2.5558244403,-2.16400592257,-2.34501815255,-2.16400592257,-2.5558244403,-2.3816985328,cab61023
63,6_hard_full,blocking_dens,-2.78111144795,-2.79384629282,-2.27902250904,-2.80270683471,-2.27902250904,-2.79384629282,-2.30765311997,cceac8ca
64,6_hard_full,linear_dens,-2.90521585111,-2.98168646914,-2.22446954303,-2.55739793353,-2.22446954303,-2.98168646914,-2.21144033239,cee4bfa4
65,6_hard_full,blocking_dens,-2.35097257733,-2.43466199324,-2.30030872219,-3.10367826214,-2.30030872219,-2.43466199324,-2.31289515766,dbe71b15
66,6_hard_full,blocking_dens,-2.27592017078,-2.313427732,-1.89192788841,-2.80757092788,-1.89192788841,-2.313427732,-1.91367997412,dcc4f10e
67,6_hard_full,density,-2.84330931746,-2.7307888061,-2.08995862042,-2.05962032764,-2.08995862042,-2.7307888061,-2.21626672195,dfcbf407
68,6_hard_full,density,-2.64901342354,-2.58843831497,-2.63775355033,-2.44676025055,-2.63775355033,-2.58843831497,-2.69284459503,dfe6bee3
69,6_hard_full,blocking_dens,-2.17158902205,-1.96433117947,-1.33568132356,-1.58037703996,-1.33568132356,-1.96433117947,-1.54293916614,e0d4bfdf
70,6_hard_full,blocking_dens,-3.95140978126,-3.96718917405,-3.82588986568,-3.94548227244,-3.82588986568,-3.96718917405,-3.87239069393,ead61455
71,6_hard_full,blocking_dens,-2.33445545527,-2.21287377603,-2.19595879445,-2.59282348303,-2.19595879445,-2.21287377603,-2.31754047369,ebc61801
72,6_hard_full,blocking_dens,-2.42008208782,-2.50877980673,-2.13572887636,-2.92659382286,-2.13572887636,-2.50877980673,-2.15016127953,eec7360c
73,6_hard_full,blocking,-3.63807786744,-3.44301638317,-3.77231494739,-3.92234211276,-3.77231494739,-3.44301638317,-3.9681905591,efebc5bb
74,6_hard_full,blocking_dens,-2.16508556425,-1.94951687703,-1.63448079338,-1.94795696811,-1.63448079338,-1.94951687703,-1.83607668334,f1e613a1
75,6_hard_full,density,-2.65212486284,-2.62425900567,-2.44086786752,-2.35895069319,-2.44086786752,-2.62425900567,-2.49897264601,f2f60bd9
76,6_hard_full,density,-3.57231911111,-3.71538229524,-3.35969101304,-2.58674791479,-3.35969101304,-3.71538229524,-3.29334897255,f3dbeb7e
77,6_hard_full,density,-4.27425608249,-4.44800608007,-3.88184386282,-3.44456119491,-3.88184386282,-4.44800608007,-3.7663669364,f6fbf6b1
78,6_hard_full,density,-4.48759374438,-4.66679651862,-4.72972050757,-4.2229927975,-4.72972050757,-4.66679651862,-4.59491047122,f8d60bcb
79,6_hard_full,density,-4.43801458799,-4.62226673613,-3.33351362413,-2.8075044923,-3.33351362413,-4.62226673613,-3.22515918505,fac10d6e
80,6_hard_full,density,-4.54323876394,-4.66298367663,-4.41922987885,-4.2585203229,-4.41922987885,-4.66298367663,-4.34634566962,fac6126a
81,6_hard_full,blocking,-2.16587598294,-2.13372706131,-2.13630946342,-2.27198080299,-2.13630946342,-2.13372706131,-2.18951550617,fde4bf4b
82,6_hard_full,blocking,-2.84054820399,-2.76195734091,-3.17519752664,-3.48454215372,-3.17519752664,-2.76195734091,-3.28283944421,fff4bf68
83,6_hard_pruned,density,-2.31062620396,-2.36667470399,-1.89492050466,-1.85445330045,-1.89492050466,-2.36667470399,-1.91642849927,11a64d17
84,6_hard_pruned,density,-2.85893513467,-2.92290979795,-2.62186555862,-2.20723283042,-2.62186555862,-2.92290979795,-2.62608593952,11e652f7
85,6_hard_pruned,density,-2.35763115104,-2.36498781812,-2.08095644789,-1.53018048237,-2.08095644789,-2.36498781812,-2.09301034597,14d64999
86,6_hard_pruned,blocking_dens,-2.08735739395,-1.94553661749,-1.55160643788,-1.75162901341,-1.55160643788,-1.94553661749,-1.7099873747,1dac01e7
87,6_hard_pruned,density,-2.5650153005,-2.65400877668,-2.15988707824,-1.93338710939,-2.15988707824,-2.65400877668,-2.13755005283,25cfdeaf
88,6_hard_pruned,blocking_dens,-2.75264636046,-2.80697987779,-2.58197470293,-2.62064125773,-2.58197470293,-2.80697987779,-2.59387406349,2afbbf79
89,6_hard_pruned,blocking_dens,-2.49866991663,-2.41966006797,-1.91378315188,-2.47339480167,-1.91378315188,-2.41966006797,-2.04393380398,2cb650ed
90,6_hard_pruned,linear_dens,-2.03281363135,-2.11150301465,-1.83654377432,-2.17843387157,-1.83654377432,-2.11150301465,-1.83313117193,2ff50f64
91,6_hard_pruned,linear_dens,-3.6906449432,-3.80909245543,-3.00084290464,-3.54021750278,-3.00084290464,-3.80909245543,-2.95701091873,30e4feac
92,6_hard_pruned,blocking_dens,-2.49626222027,-2.58560425403,-2.11550948219,-2.41962655815,-2.11550948219,-2.58560425403,-2.12444454518,33e649bd
93,6_hard_pruned,blocking_dens,-2.85569201167,-2.64836273649,-2.13318899427,-2.63388835168,-2.13318899427,-2.64836273649,-2.34051826944,3ef64929
94,6_hard_pruned,density,-3.50696902136,-3.49915514647,-3.10865127498,-2.84075836606,-3.10865127498,-3.49915514647,-3.13617293593,43e64821
95,6_hard_pruned,density,-3.40244854914,-3.48974948548,-2.98794358273,-2.27351089079,-2.98794358273,-3.48974948548,-2.9628234734,4ca65156
96,6_hard_pruned,blocking_dens,-2.12788601501,-2.17325171065,-2.00801624909,-3.18255686025,-2.00801624909,-2.17325171065,-2.00822931809,4cb651bd
97,6_hard_pruned,density,-2.79712179739,-2.7893263455,-2.15227507394,-2.14559447249,-2.15227507394,-2.7893263455,-2.22358344833,4ee64c2a
98,6_hard_pruned,blocking_dens,-3.49264352042,-3.46733758661,-3.3643395056,-4.09528913585,-3.3643395056,-3.46733758661,-3.42753279812,53a654e5
99,6_hard_pruned,linear,-2.89223850083,-2.91042374392,-3.17399708273,-3.21025880817,-3.17399708273,-2.91042374392,-3.25350528774,53d65632
100,6_hard_pruned,blocking,-2.31538086454,-2.20628526696,-2.49498385125,-2.6555907862,-2.49498385125,-2.20628526696,-2.62973956423,5adff9a5
101,6_hard_pruned,linear,-3.23107864019,-3.29180063686,-3.54269424675,-3.40586321553,-3.54269424675,-3.29180063686,-3.52099435815,5fa651bb
102,6_hard_pruned,linear,-3.24545624327,-3.33883803361,-3.28540812576,-3.49012121035,-3.28540812576,-3.33883803361,-3.28919210766,61e65cc1
103,6_hard_pruned,blocking_dens,-2.35705072614,-2.38859851868,-2.32944437861,-3.70056043611,-2.32944437861,-2.38859851868,-2.374929786,67f64a50
104,6_hard_pruned,blocking_dens,-3.00663652193,-3.01767398421,-2.36828378509,-2.54697757732,-2.36828378509,-3.01767398421,-2.4090883972,68c659b8
105,6_hard_pruned,blocking_dens,-2.55821927685,-2.63585542309,-2.20687929072,-2.29953682937,-2.20687929072,-2.63585542309,-2.21068486738,6dd103e2
106,6_hard_pruned,density,-2.35540972634,-2.45928977205,-2.19693607482,-1.86503533819,-2.19693607482,-2.45928977205,-2.13172950536,7dd704e0
107,6_hard_pruned,density,-1.64256024053,-1.56283783565,-1.21465121972,-1.10325065961,-1.21465121972,-1.56283783565,-1.33459101536,81c11c9f
108,6_hard_pruned,blocking_dens,-2.1404143975,-2.11770895751,-1.78078231965,-2.26646473956,-1.78078231965,-2.11770895751,-1.85939717677,92a74a76
109,6_hard_pruned,linear,-1.88254565046,-1.89703848993,-1.89703848993,-2.59177382172,-1.89703848993,-1.89703848993,-1.88254565046,95a648a3
110,6_hard_pruned,linear,-3.07717374797,-3.12717016296,-3.12812303761,-5.30450132144,-3.12812303761,-3.12717016296,-3.19608051595,9dd66bae
111,6_hard_pruned,blocking,-2.94421897314,-2.91049746308,-3.40026722101,-3.14559023613,-3.40026722101,-2.91049746308,-3.43293633167,a0d659c9
112,6_hard_pruned,density,-3.76706434863,-3.82957155005,-3.89622170971,-3.59320792952,-3.89622170971,-3.82957155005,-3.8596739832,a0f4f1bf
113,6_hard_pruned,blocking_dens,-2.23986991984,-2.22351001851,-2.16172472128,-2.84600331495,-2.16172472128,-2.22351001851,-2.17723500311,a2ebe618
114,6_hard_pruned,density,-2.86666033032,-2.96372188725,-2.76624041897,-2.30223148627,-2.76624041897,-2.96372188725,-2.71412272232,aafbd6ab
